報告年度:2021,議題:人力發展,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率
1101,台泥,1184,1043,1082,958,26.21%,1,0.09%
1102,亞泥,1353,1214,1110,1003,22.31%,0,0.00%
1103,嘉泥,1797,1553,1139,923,40.00%,0,0.00%
1104,環泥,992,842,760,678,18.47%,0,0.00%
1108,幸福,640,523,523,478,28.57%,3,0.66%
1109,信大,772,641,664,624,30.00%,0,0.00%
1110,東泥,776,615,603,587,17.65%,1,1.33%
1201,味全,887,745,735,657,28.38%,6,4.37%
1203,味王,649,566,585,555,8.82%,5,0.69%
1210,大成,827,696,697,598,15.00%,13,0.55%
1213,大飲,513,435,446,402,3.00%,0,0.00%
1215,卜蜂,892,766,579,497,6.00%,18,0.82%
1216,統一,1408,1244,1217,1043,22.39%,5,0.09%
1217,愛之味,804,671,684,582,33.98%,5,0.90%
1218,泰山,946,803,737,634,23.90%,7,1.07%
1219,福壽,807,675,647,599,14.30%,8,1.30%
1220,台榮,696,582,603,553,13.79%,1,0.46%
1225,福懋油,902,767,701,614,8.70%,2,0.87%
1227,佳格,1195,981,827,758,30.00%,8,0.80%
1229,聯華,4077,3804,738,673,22.00%,0,0.00%
1231,聯華食,787,661,634,534,30.00%,21,0.01%
1232,大統益,1996,1758,1591,1382,27.27%,1,0.69%
1233,天仁,480,394,509,455,45.46%,16,1.16%
1234,黑松,935,773,779,577,12.66%,4,0.70%
1235,興泰,492,410,395,406,33.33%,1,5.00%
1236,宏亞,598,500,487,457,47.22%,6,0.96%
1256,鮮活果汁-KY,,,,,34.15%,24,2.66%
1301,台塑,1475,1276,1506,1403,6.51%,6,0.09%
1303,南亞,1401,1242,1410,1369,4.21%,8,0.07%
1304,台聚,1858,1609,1471,1318,1.08%,0,0.00%
1305,華夏,1366,1188,1190,1165,3.33%,4,0.60%
1307,三芳,806,675,627,600,10.00%,1,0.13%
1308,亞聚,1714,1462,1439,1346,3.12%,0,0.00%
1309,台達化,1568,1353,1366,1280,15.38%,0,0.00%
1310,台苯,1374,1117,1059,1018,20.00%,2,1.07%
1312,國喬,1916,1567,1590,1426,27.27%,0,0.00%
1313,聯成,1789,1544,1281,891,31.00%,2,0.89%
1314,中石化,1395,1234,989,899,5.92%,1,0.07%
1315,達新,765,615,599,520,44.20%,2,0.56%
1316,上曜,1401,1285,669,592,7.14%,0,0.00%
1319,東陽,679,564,619,532,13.00%,0,0.00%
1321,大洋,909,752,809,750,8.06%,4,0.88%
1323,永裕,701,596,597,513,25.66%,1,0.14%
1324,地球,713,591,556,456,29.63%,0,0.00%
1325,恆大,560,452,473,389,50.00%,0,0.00%
1326,台化,1744,1515,1528,1435,0.75%,3,0.02%
1337,再生-KY,,,,,14.29%,0,0.00%
1338,廣華-KY,,,,,27.40%,0,0.00%
1339,昭輝,679,567,510,449,42.00%,3,1.12%
1340,勝悅-KY,,,,,0.00%,0,0.00%
1341,富林-KY,,,,,22.00%,11,1.17%
1342,八貫,812,718,643,510,33.33%,7,2.00%
1402,遠東新,1286,1103,976,849,19.00%,101,0.50%
1409,新纖,907,778,761,611,8.89%,3,0.16%
1410,南染,673,580,537,547,41.18%,0,0.00%
1413,宏洲,741,623,648,614,18.00%,2,0.85%
