報告年度:2022,議題:廢棄物管理,,,,,,,
公司代號,公司名稱,有害廢棄物(公噸(t))-有害廢棄物(公噸(t)),非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t)),資料範圍-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證-取得驗證
1101,台泥,0,1363.66,1363.66,台泥台灣個體公司 (涵蓋企業團營運總部、研究室、2座水泥廠、24座製品廠),0.0002,產品,ISO 9001
1102,亞泥,0,2654,2654,亞洲水泥個體公司,0.247,百萬元營業額,ISO14001、ISO9001                                                                                                                                                                                       
1103,嘉泥,0,344,344,包含合併財務報表之母子公司,0.0002,百萬元營業額,
1104,環泥,0,16243.7284,16243.7284,母公司,0.0036,新台幣千元產值                                                                                                                                                                                          ,
1108,幸福,無，本公司於生產水泥熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。,無，本公司於生產水泥熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。,無，本公司於生產水泥熟料過程中，經過1450度旋窯之燒成，所有替代原料(包含廢棄物)均不會產生，故於生產過程中尚無產生廢棄物；另一般辦公室及廠房所產生之垃圾，則無法統計數量。,,無，無統計相關數據,,
1109,信大,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，無統計相關數據,,ISO 9001
1110,東泥,0,51.14,51.14,僅母公司,0.0301,百萬元營業額,
1201,味全,1.3,5378.4,5379.7,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.111年廢棄物重量為5379.70公噸，包含非有害廢棄物5378.40公噸及有廢棄物1.30公噸。 廢棄物處理方式：有害廢棄物採焚燒及化學處理、非有害廢棄物則以回收再利用(含回收及  堆肥處理為主、焚化處理次之) 3.111年廢棄物回收再利用及堆肥量等共計5212.00公噸，資源回收再利用率為96.9%。",0.665,百萬元營業額,ISO 14001
1203,味王,0,0,567.8,僅母公司,0.25,百萬元營業額,
1210,大成,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1213,大飲,52.13,20,72.13,僅母公司,無，NA,,NA                                                                                                                                                                                                      
1215,卜蜂,0,30571.45,30571.45,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,無，無統計相關數據,,
1216,統一,2.26,36403.71,36405.97,僅母公司,7.8,營業收入千萬元                                                                                                                                                                                          ,ISO 14001
1217,愛之味,0,2346.8,2346.8,"污泥、廢食用油、 菜渣、垃圾、廢紙、寶特瓶等",0.322,產品,
1218,泰山,0,1750.54,1750.54,泰山食品廠+油脂廠+行政大樓1542、水產飼料廠+北斗牧場208.54,0.1821,百萬元營業額,
1219,福壽,0.035,436.05,436.085,母公司、子公司,0,千元營業額。                                                                                                                                                                                            ,
1220,台榮,0,486.18,486.18,本公司雲林廠,0.0043,產品,
1225,福懋油,0.42,841.15,841.57,母公司,無，無統計相關數據,,
1227,佳格,4,6788,6792,佳格大園廠、中壢廠及佳乳湖口廠,0.0043,公噸/萬元營業額                                                                                                                                                                                         ,
1229,聯華,0,322.635,322.635,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",0.0437,百萬元營業額,
1231,聯華食,0,6775.63,6775.63,臺灣地區的總公司及各工廠之所有營運相關之活動,0.6289,百萬元營業額,
1232,大統益,0,1993,1993,僅母公司,0.099,百萬元營業額,ISO 14001
1233,天仁,0,0,756.1,本公司天仁茶業股份有限公司直營單位,0.414,百萬元營業額,
1234,黑松,0.6,2324,2324.6,中壢廠、斗六廠,0.01,產品,
1235,興泰,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1236,宏亞,0,607,607,母子公司,0.28,百萬元營業額,
1256,鮮活果汁-KY,12.526,4930.568,4943.094,子公司：蘇州鮮活飲品股份有限公司,0.0015,千元營業額                                                                                                                                                                                              ,
1301,台塑,3251,197023,200274,母公司,1.0266,百萬元營業額,
1303,南亞,5635.07,80116.86,85751.93,母公司,0.0005,111年個體營業額(千元)。                                                                                                                                                                                 ,ISO 14001
1304,台聚,63.35,389.27,452.62,台聚高雄廠,0.0022,產品,
1305,華夏,47,2812,2859,華夏頭份廠、華聚林園廠、台氯林園廠,0.0027,產品,ISO 14001
1307,三芳,329,2030,2359,母公司,3.06,百萬元營業額,
1308,亞聚,0,274.44,274.44,亞聚林園廠,0.0021,產品,ISO 14001
1309,台達化,2.1,3492.6,3494.7,前鎮廠、林園廠、頭份廠、中山廠,0.0079,產品,ISO 14001
1310,台苯,0,1594.62,1594.62,台苯高雄廠,0.005,產品,
1312,國喬,0,1114.71,1114.71,僅母公司,0.061,百萬元營業額,
1313,聯成,497.64,1145.41,1643.05,母公司林園廠,0.04,產品,
1314,中石化,37627,18552,56179,母公司,2.2446,百萬元營業額,ISO 9001
1315,達新,0,103,103,母公司,無，無統計相關數據,,
1316,上曜,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1319,東陽,382,3320,3702,母公司,0.2357,百萬元營業額,
1321,大洋,11.32,633.93,645.25,母公司,0.0043,產品,
1323,永裕,0,229.14,229.14,"永裕塑膠:96.65噸 上海永裕:129.84噸 威瑪精密:2.65噸",0.0001,"母公司永裕塑膠96.65噸/1,816,611千元營業額=0.00005                                                                                                                                                       ",
1324,地球,86.09,69.62,155.71,母公司(幼一二廠),0.1584,百萬元營業額,ISO 14001
1325,恆大,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1326,台化,73,223242,223315,111年母公司及台醋公司之台灣廠區,90.28,營業額億元                                                                                                                                                                                              ,ISO 14001
1337,再生-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1338,廣華-KY,355.92,1035.72,1391.64,僅重要子公司東莞廣澤汽車飾件有限公司,0.009,建築面積                                                                                                                                                                                                ,
1339,昭輝,155.31,18.42,173.73,母公司,無，無統計相關數據,,
1340,勝悅-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1341,富林-KY,580.22,6696.251,7276.471,越南子公司,0.523,產品,ISO 14001
1342,八貫,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1402,遠東新,12138,178072,190210,生產事業21個生產據點,0.0272,產品,ISO 14001
