報告年度:2022,議題:廢棄物管理,,,,,,,
公司代號,公司名稱,有害廢棄物(公噸(t))-有害廢棄物(公噸(t)),非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t)),資料範圍-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證-取得驗證
1409,新纖,0,0,5935.11,新光合纖中壢廠,無，無統計相關數據,,
1410,南染,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1413,宏洲,155.08,48.61,203.69,宏洲纖維工業股份有限公司桃園工廠,0.0647,百萬元營業額,
1414,東和,0,800.57,800.57,本公司,無，無統計相關數據,,
1416,廣豐,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1417,嘉裕,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1418,東華,252.76,122.82,375.58,111年委託清除處理量(非經常性產出之事業廢棄物),無，無統計相關數據,,
1419,新紡,0,106.9396,106.9396,生產單位,0,產品,
1423,利華,0,2.02,2.02,母公司,0,營業額,
1432,大魯閣,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1434,福懋,2508.41,17143.58,19651.99,台灣廠區,0.75,百萬元營業額,
1435,中福,無，無生產活動,無，無生產活動,無，無生產活動,,無，無生產活動,,
1436,華友聯,0,0,2935,僅母公司,無，無統計相關數據,,
1437,勤益控,無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料,無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料,無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料,,無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料,,
1438,三地開發,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1439,雋揚,0,0,2.5129,母公司,無，無統計相關數據,,
1440,南紡,47.52,456.24,503.76,母公司生產廠區,0.045,百萬元營業額,ISO 14001
1441,大東,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1442,名軒,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1443,立益物流,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1444,力麗,0,3082,3082,母公司各廠區,無，無統計相關數據,,ISO 14001
1445,大宇,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1446,宏和,0,8.58,8.58,母公司,0.0001,千元營業額                                                                                                                                                                                              ,
1447,力鵬,203,8565,8768,廠區,無，無統計相關數據,,ISO 14001
1449,佳和,0,380.7,380.7,母公司,0.15,產品,
1451,年興,7051,7250,14301,包含合併財務報表之母子公司,0.0016,千元營業額                                                                                                                                                                                              ,
1452,宏益,0,10.81,10.81,包含合併財務報表之母子公司,0.0005,每公噸產品                                                                                                                                                                                              ,
1453,大將,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1454,台富,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1455,集盛,0,1494.3,1494.3,母公司之五個製造廠區。,0.0087,產品,
1456,怡華,0,132,132,台南官田廠,0.013,服務,
1457,宜進,0,0,2.784,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,0.0028,百萬元營業額,
1459,聯發,0,64.75,64.75,工廠,0.0033,產品,
1460,宏遠,0,10030.59,10030.59,母公司,無，無統計相關數據,,
1463,強盛新,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1464,得力,0,3811.42,3811.42,僅母公司,0.8748,百萬元營業額,ISO 14001
1465,偉全,無，NA,無，NA,無，NA,,無，NA,,
1466,聚隆,0,250,250,母公司,0.0089,百萬元營業額,
1467,南緯,0.032,25.728,25.76,母公司,無，無統計相關數據,,
1468,昶和,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1470,大統新創,0,1281,1281,合併財務報表之母子公司之桃園廠區,0.24,產量(公噸)                                                                                                                                                                                              ,
1471,首利,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1472,三洋實業,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，尚未訂定,,
1473,台南,685.53,1149.15,1834.68,包含合併財務報表之母子公司,0.0001,產品,
1474,弘裕,0,732,732,母公司,0.29,百萬元營業額,
1475,業旺,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，詳年報說明,,
1476,儒鴻,0,0,12181.081,包含合併財務報表之母子公司,0.0003,百萬元營業額,
1477,聚陽,78,2862,2940,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",0.09,百萬元營業額,ISAE3000                                                                                                                                                                                                
1503,士電,2,986.84,988.84,揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。,無，無統計相關數據,,
1504,東元,0,1981.26,1981.26,台灣所有廠區,11.5,百萬元營業額,ISO 14001
1506,正道,2.23,839.83,842.06,僅母公司,0.9133,百萬元營業額,                                                                                                                                                                                                        
1512,瑞利,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1513,中興電,0,0,416.8362,母公司111年度,0.0225,百萬元營業額,
1514,亞力,0,115.76,115.76,母公司,無，無統計相關數據,,
1515,力山,19.14,40.36,59.5,僅母公司,0.013,百萬元營業額,
1516,川飛,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1517,利奇,0,592.8791,592.8791,廢紙、廢木材棧板、廢塑膠、廢鐵、廢潤滑油、廢無機性污泥、廢橡膠或其混合物,0.1539,百萬元營業額,
1519,華城,0,0,1046.456,僅母公司,0.1442,百萬元營業額,ISO 14001
1521,大億,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1522,堤維西,0,620.15,620.15,111年廢棄物聯單系統,5.38,億元營收                                                                                                                                                                                                ,ISO 14001
1524,耿鼎,0,219.99,219.99,母公司,0.0149,產品,
1525,江申,0,188.35,188.35,僅母公司,0.125,百萬元營業額,
1526,日馳,0,0,67.34,母公司,無，無統計相關數據,,
1527,鑽全,0,40.63,40.63,全公司,40.63,千元營業額                                                                                                                                                                                              ,ISO 14001
1528,恩德,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1529,樂事綠能,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1530,亞崴,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1531,高林股,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1532,勤美,4.29,5549.48,5553.77,勤美股份有限公司金屬成型事業處,0.3419,產品,ISO 14001：2015                                                                                                                                                                                         
1533,車王電,1.39,118.51,119.9,母子(孫)公司,119.9,千元營業額                                                                                                                                                                                              ,ISO 14001
1535,中宇,0,12.05,12.05,包含合併財務報表之母子公司,0.0136,千萬元營業額                                                                                                                                                                                            ,
1536,和大,0,0,554.87,僅母公司,0.076,百萬元營業額,ISO 14001
1537,廣隆,2491,1089,3580,含合併財務報表之母子公司,無，無統計相關數據,,
1538,正峰,0,15.1,15.1,母公司,無，無統計相關數據,,
1539,巨庭,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1540,喬福,0,0,0,母公司,無，無統計相關數據,,
1541,錩泰,5,93,98,僅母公司,0.0241,百萬元營業額,
1558,伸興,0,0,920,合併財務報表之母子公司,0.0004,產品,ISO 14001
1560,中砂,21.4,1540.455,1561.855,母公司,0.26,營業額,ISO 14001
1563,巧新,,,,,,,N/A
1568,倉佑,6.65,580.305,586.955,僅母公司,0.4351,百萬營業額                                                                                                                                                                                              ,ISO 14001
1582,信錦,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1583,程泰,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1587,吉茂,7735,46900,54635,111年,無，無統計相關數據,,
1589,永冠-KY,37184.41,403.086,37587.496,合併財務報表之母子公司,4.0055,百萬元營業額,ISO 14001
1590,亞德客-KY,4866.19,14843.17,19709.36,包含集團全部生產工廠，已涵蓋集團95%以上之廢棄物量,1.23,每百萬元產值                                                                                                                                                                                            ,
1597,直得,0,334.533,334.533,母公司,0.235,百萬元營業額,ISO 14001
1598,岱宇,0,0,57.02,彰化一廠、二廠及五廠,0.021,百萬元營業額,
1603,華電,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1604,聲寶,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1605,華新,0,0,234352.88,楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,0.18,產品,ISO 14001
1608,華榮,13.9,479.49,493.39,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,0.0622,百萬元營業額,ISO 14001
1609,大亞,343,2472,2815,大亞集團,0.1052,百萬元營業額,
1611,中電,3.6,21.11,24.71,工廠,無，無統計相關數據,,ISO 14001
1612,宏泰,131.67,257.23,388.9,僅母公司,0.0609,百萬元營業額,ISO 14001
1614,三洋電,0,0,72,母子公司,0.0117,百萬元營業額,
1615,大山,0,102.94,102.94,111年度,0.0257,百萬元營業額,
1616,億泰,0,141,141,母公司,0,千元營業額                                                                                                                                                                                              ,
1617,榮星,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1618,合機,0,490.01,490.01,母公司(不含子公司),0.1711,百萬元營業額,ISO 14001
1623,大東電,,,,,,,N/A
1626,艾美特-KY,114.67,21,135.67,營運地深圳艾美特+九江艾美特,135.67,百萬元營業額,
1702,南僑,35,14104,14139,台灣、中國大陸、泰國地區之製造單位及餐飲事業,0.6904,百萬元營業額,
1707,葡萄王,10.81,2815.101,2825.911,葡萄王生技,0.272,百萬元營業額,ISO 14001
1708,東鹼,0,874.62,874.62,僅母公司,5,公噸/每人/年                                                                                                                                                                                            ,ISO 14001
1709,和益,0.06,178.02,178.08,僅母公司(工廠),0.02,百萬元營業額,
1710,東聯,0.03,640.6,640.63,母公司,0.0501,百萬元營業額,ISO 14001
1711,永光,1693.4,8804,10497.4,永光化學一~四廠、新竹全通科技、蘇州永光,1.2,百萬元產值                                                                                                                                                                                              ,ISO 14001
1712,興農,0,1947.83,1947.83,母公司王田廠區(王田廠、王田二廠、生物工廠),0.13,植物保護佰萬元營收                                                                                                                                                                                      ,ISO 14001
1713,國化,0,0,188.8,屏南分公司,0.0003,產品,
1714,和桐,0,133.62,133.62,高雄廠,0.0037,產品,"ISO 9001, ISO 14001及ISO 45001                                                                                                                                                                          "
1717,長興,46661,7598,54259,母公司及包含合併財務報表之國內與國外子公司,0.0841,產品,
1718,中纖,0,21486.1,21486.1,111年度申報量,4.0811,營業額5264762仟元                                                                                                                                                                                       ,
1720,生達,574.5836,202.215,776.7986,生達一廠+生達二廠,28.02,百萬元營業額,
1721,三晃,129.49,1741.58,1871.07,母公司,0.0819,產品,確信準則公報第一號                                                                                                                                                                                      
1722,台肥,301.73,710.35,1012.08,母公司 台中廠 花蓮廠 苗栗廠,0.123,產品,
1723,中碳,18.24,194.08,212.32,母公司,0.0203,百萬元營業額,ISO 14001
1725,元禎,0,0,21.571,母公司,0.0029,百萬元營業額,
1726,永記,672.85,1590.97,2263.82,20220101~20221231,無，無統計相關數據,,ISO9001及ISO14001                                                                                                                                                                                       
1727,中華化,189.732,1451.552,1641.284,桃園一廠、桃園二廠,0.01,產品,
1730,花仙子,0.226,78.942,79.168,包含合併財務報表之母子公司,0.028,百萬元營業額,
1731,美吾華,0,12.12,12.12,台北總公司、台中及高雄服務中心及楊梅工廠及物流中心,無，無統計相關數據,,
1732,毛寶,0,521.27,521.27,母公司,0.89,噸CO2e/百萬營收                                                                                                                                                                                         ,
1733,五鼎,2.611,220.6,223.211,母子公司,0.0001,千元營收                                                                                                                                                                                                ,
1734,杏輝,12.99,204.52,217.51,母公司,0.0001,仟元營業額                                                                                                                                                                                              ,ISO 14001
1735,日勝化,10.12,498.65,508.77,母公司(未包含再利用廢棄物101.497公噸),0.0276,產品,
1736,喬山,0,27.37,27.37,母公司,0.0008,個體營業收入（百萬元）                                                                                                                                                                                  ,ISO 14001
1737,臺鹽,0,305.86,305.86,環境會計資料,305.86,百萬元營業額,
1752,南光,12.2,214.763,226.963,總公司,11.6991,廢棄物有害12.2+非有害214.763公噸  / 營業額19.4億 = 11.6991                                                                                                                                              ,
1760,寶齡富錦,0,0,359.3592,僅母公司,0.1498,百萬元營業額,
1762,中化生,1549,525,2074,母公司,0.01,產品,
1773,勝一,0,829.79,829.79,母公司,0.0039,產品,ISO 14001
1776,展宇,86.69,492.96,579.65,母公司(第1廠及第2廠),0.7393,營業額,
1783,和康生,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1786,科妍,0.048,41,41.048,母公司,無，無統計相關數據,,
1789,神隆,1891,306,2197,僅母公司,0.716,百萬元營業額,
1795,美時,128.4,210.9,339.3,母公司及重要子公司生產基地及研發中心,0.23,千萬元營業額                                                                                                                                                                                            ,
1802,台玻,0,0,22340.76,111年度 ESG報告書,無，無統計相關數據,,ISO 14001
1805,寶徠,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1806,冠軍,0,17633.87,17633.87,工廠,0.0018,產品,ISO 14001
1808,潤隆,0,18460.03,18460.03,本公司基隆德安A、B、C區建案,無，無統計相關數據,,
1809,中釉,16.22,132.18,148.4,僅母公司,148.4,產品,
1810,和成,9.7,3661,3670.7,母公司,0.9721,百萬元營業額,ISO 14001
1817,凱撒衛,0,0,82.08,台灣地區,0.03,百萬元營業額,
1903,士紙,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,,無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。,,
1904,正隆,0,335986,335986,母公司,0.231,噸/噸(工紙、家品、紙與紙板)                                                                                                                                                                             ,
1905,華紙,0,255767,255767,華紙合併財報之台灣、大陸生產據點,無，因非GRI準則規範，並未於永續報告書中公開廢棄物密集度資訊。,,
1906,寶隆,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
1907,永豐餘,369,537374,537743,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南合計35個生產據點。,0.27,產品,
1909,榮成,27.61,52980.36,53007.97,全台灣廠區,1.0008,百萬元營業額,
2002,中鋼,58.3,559748.4,559806.7,母公司,0.0663,廢棄物量(公噸)/鋼胚(公噸)                                                                                                                                                                               ,ISO 14001
2006,東和鋼鐵,33601,320186,353787,母公司生產廠區 (桃園廠、苗栗廠、高雄廠) 廢棄物處理,0.168,公噸鋼胚產量                                                                                                                                                                                            ,ISO 14001
2007,燁興,243,8030,8273,本公司,1.21,百萬元營業額,
2008,高興昌,0.03,435.4,435.43,總公司(無子公司)含屏南廠,0.0087,產品,ISO 14001
2009,第一銅,796.335,335.39,1131.725,僅計算第一伸銅科技股份有限公司臨海廠,0.106,產品,ISO 14001
2010,春源,0,12480,12480,台灣總公司及北中南各生產營業據點,0.029,產品,ISO 14001
2012,春雨,7907.86,2219.5,10127.36,母公司,0.0018,千元營業額                                                                                                                                                                                              ,ISO 14001
2013,中鋼構,0,1387.7,1387.7,僅母公司,無，無統計相關數據,,
2014,中鴻,17744.475,87346.806,105091.281,母公司,0.0428,產品,
2015,豐興,32434,354464,386898,僅母公司,10.022,百萬元營業額,ISO 14001
2017,官田鋼,0,2583.97,2583.97,官田廠、麻豆廠,0.95,百萬元營業額,
2020,美亞,0,0,7200.654,111年度,0.0012,營業額單位：千元營業額                                                                                                                                                                                  ,ISO 14001
2022,聚亨,1294.79,1067.19,2361.98,母公司,0.05,產品,
2023,燁輝,160,2988,3148,燁輝企業股份有限公司(僅母公司),1.6,百萬元營業額,確信準則 3000號                                                                                                                                                                                         
2024,志聯,769,175,944,廢酸+生活垃圾,0.8075,百萬元營業額,ISO 14001
2025,千興,0,0,1213.79,僅母公司,0.001,千元營業額                                                                                                                                                                                              ,
2027,大成鋼,0,715.53,715.53,僅母公司,0.0172,產品,
2028,威致,20830,129025,149855,個別公司,無，無統計相關數據,,
2029,盛餘,6.8,1540.09,1546.89,統計2022年有害/一般污泥產出量,4.214,產品,
2030,彰源,0,0,330.61,一廠、二廠、三廠、大連廠、元山廠、元富廠、員製課、南營部、北營部,0.0023,生產量                                                                                                                                                                                                  ,ISO 14001
2031,新光鋼,0,179.1339,179.1339,事業廢棄物(含生活垃圾),0.0124,百萬元營業額,
2032,新鋼,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2033,佳大,1003.95,158.79,1162.74,母公司,1.4341,百萬元營業額,
2034,允強,350.3,772.23,1122.53,僅母公司所有廠區,0.0092,產品,ISO 14001
2038,海光,5733.42,39692.85,45426.27,"有害：集塵灰產出 非有害：氧化碴、還原碴產出",4.11,百萬元營業額,
2049,上銀,349,11245,11594,包含上銀科技股份有限公司(營運總部、台中廠區、雲林廠區及嘉義廠區),0.52,百萬元營業額,ISO 14001:2015                                                                                                                                                                                          
2059,川湖,44.88,257.96,302.84,母公司及子公司川益科技(股)公司兩個廠區,0.0167,千組產品                                                                                                                                                                                                ,ISO 14001
2062,橋椿,100.11,1179.12,1279.23,母公司,0.39,產品,GRI準則                                                                                                                                                                                                 
2069,運錩,0,25.32,25.32,僅母公司所有廠區,無，無統計相關數據,,ISO 14001
2072,世紀風電,,,,,,,N/A
2101,南港,0,0,2570.47,企業永續報告書(111年總量),0.0835,產品,ISO 14001
2102,泰豐,0,995.76,995.76,僅母公司,0.075,每噸產品                                                                                                                                                                                                ,
2103,台橡,2144.63,3260,5404.63,合併財務報表之母子公司,10.01,每千噸產品產量                                                                                                                                                                                          ,中華民國會計研究發展基金會所發佈確信準則公報3000號進行SASB指標之有限確信                                                                                                                                
2104,國際中橡,181.5,1312.7,1494.2,國際中橡100%持有之子公司林園先進。,0.01,產品,
2105,正新,1.34,2991.5,2992.84,母公司,0.02,產品,
2106,建大,0,0,2168.26,台灣地區,0.0561,百萬元營業額,ISO 14001
2107,厚生,0,160.5,160.5,厚生 桃園廠,0.083,百萬元營業額,
2108,南帝,22.82,1604.45,1627.27,僅母公司,12.0745,產量千噸                                                                                                                                                                                                ,
2109,華豐,0,458.66,458.66,一般事業廢棄物及廢橡膠總量,0.08,百萬元營業額,ISO 14001
2114,鑫永銓,0,633,633,母公司,無，無統計相關數據,,
2115,六暉-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2201,裕隆,18.107,2531.17,2549.277,裕隆汽車製造(股)公司三義廠區,0.1138,百萬營業額                                                                                                                                                                                              ,
2204,中華,44.8442,4513.73,4558.5742,楊梅廠+新竹廠,0.0362,產品為楊梅廠+新竹廠年車輛生產台數總量                                                                                                                                                                   ,ISO 14001
2206,三陽工業,0,8737.63,8737.63,母公司(新竹廠),0.2435,百萬元營業額,
2207,和泰車,0,0,76.5,母公司,0.136,人數                                                                                                                                                                                                    ,
2208,台船,609.91,2695.52,3305.43,台船高雄廠,3305.43,"22,753,512仟元產值                                                                                                                                                                                      ",
2211,長榮鋼,0,8445.89,8445.89,僅母公司(長榮鋼鐵),0.7383,百萬元營業額,
2227,裕日車,0,0,64.1,母公司,0.175,人均生活廢棄物產出量(公噸/年-人)                                                                                                                                                                        ,ISO 14001
2228,劍麟,22.43,182.88,205.31,僅母公司,0.1255,百萬元營業額,ISO 14001
2231,為升,5023,28649.71,33672.71,無資料,無，無統計相關數據,,
2233,宇隆,87.87,313,400.87,僅母公司,無，無統計相關數據,,
2236,百達-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2239,英利-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
