報告年度:2022,議題:水資源管理,,,,,
公司代號,公司名稱,用水量(公噸(t))-用水量(公噸(t)),資料範圍-資料範圍,用水密集度-用水密集度,用水密集度-單位,取得驗證-取得驗證
1419,新紡,67484.2,生產單位,0.0072,產品,
1423,利華,1.546,母公司,0,營業額,
1432,大魯閣,無，無統計相關數據,,無，無統計相關數據,,
1434,福懋,5888000,台灣廠區,224.88,百萬元營業額,
1435,中福,無，無生產活動,,無，無生產活動,,
1436,華友聯,0.177,僅母公司,無，無統計相關數據,,
1437,勤益控,無，公司屬於辦公大樓無實際用水資料,,無，公司屬於辦公大樓無實際用水資料,,
1438,三地開發,無，無統計相關數據,,無，無統計相關數據,,
1439,雋揚,1003.7699,母公司,無，無統計相關數據,,
1440,南紡,813880,母公司生產廠區,72.7497,百萬元營業額,
1441,大東,無，無統計相關數據,,無，無統計相關數據,,
1442,名軒,207,母公司,無，無統計相關數據,,
1443,立益物流,無，無統計相關數據,,無，無統計相關數據,,
1444,力麗,506215,母公司各廠區,1.3593,產品,
1445,大宇,無，無統計相關數據,,無，無統計相關數據,,
1446,宏和,23549,母公司,0.1538,千元營業額                                                                                                                                                                                              ,
1447,力鵬,4715324,母公司各廠區,35.3,產品,ISO 46001
1449,佳和,1894520,母公司,363,產品,
1451,年興,2435899,包含合併財務報表之母子公司,0.2801,千元營業額                                                                                                                                                                                              ,
1452,宏益,54674,包含合併財務報表之母子公司,2.289,每公噸產品                                                                                                                                                                                              ,
1453,大將,無，無統計相關數據,,無，無統計相關數據,,
1454,台富,無，無統計相關數據,,無，無統計相關數據,,
1455,集盛,545553,母公司之五個製造廠區。,3.1803,產品,
1456,怡華,1895,台南官田廠,363,服務,
1457,宜進,1115,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,1.224,百萬元營業額,
1459,聯發,8254,工廠,0.4215,產品,
1460,宏遠,2511532,母公司,182.14,產品,
1463,強盛新,無，無統計相關數據,,無，無統計相關數據,,
1464,得力,2964,水權狀+自來水,0.6803,百萬元營業額,
1465,偉全,無，NA,,無，NA,,
1466,聚隆,231531,母公司,83.13,百萬元營業額,
1467,南緯,4173,母公司,無，無統計相關數據,,
1468,昶和,14460,母公司,21.07,百萬元營業額,
1470,大統新創,937715,合併財務報表之母子公司之桃園廠區,172,產量(公噸)                                                                                                                                                                                              ,
1471,首利,無，無統計相關數據,,無，無統計相關數據,,
1472,三洋實業,無，無統計相關數據,,無，無統計相關數據,,
1473,台南,285958,包含合併財務報表之母子公司,0.0118,產品,
1474,弘裕,957544,母公司,385.33,百萬元營業額,
1475,業旺,無，詳年報說明,,無，詳年報說明,,
1476,儒鴻,2423526,包含合併財務報表之母子公司,0.0609,百萬元營業額,
1477,聚陽,679295,"範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd",21.17,百萬元營業額,ISAE3000                                                                                                                                                                                                
1503,士電,222100,揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。,0.0073,百萬元營業額,
1504,東元,135107,台灣所有廠區,7.79,百萬元營業額,
1506,正道,13093,僅母公司,14.2,百萬元營業額,                                                                                                                                                                                                        
1512,瑞利,21592,母公司,無，無統計相關數據,,
1513,中興電,21927,母公司111年度自來水,1.1822,百萬元營業額,
1514,亞力,23763,母公司,3.3074,百萬元營業額,
1515,力山,6857,僅母公司,1.51,百萬元營業額,
1516,川飛,無，無統計相關數據,,無，無統計相關數據,,
1517,利奇,10103,彰化廠及南崗廠之自來水,2.623,百萬元營業額,
1519,華城,37884,僅母公司,5.2214,百萬元營業額,
1521,大億,無，無統計相關數據,,無，無統計相關數據,,
1522,堤維西,100.085,水費單,867.97,億元營收                                                                                                                                                                                                ,
1524,耿鼎,71188,母公司,0.0385,產品,
1525,江申,16408,僅母公司,10.94,百萬元營業額,
1526,日馳,12239,母公司,無，無統計相關數據,,
1527,鑽全,22930,全公司,22930,千元營業額                                                                                                                                                                                              ,
1528,恩德,無，無統計相關數據,,無，無統計相關數據,,
1529,樂事綠能,2112,年,無，無統計相關數據,,
1530,亞崴,無，無統計相關數據,,無，無統計相關數據,,
1531,高林股,無，無統計相關數據,,無，無統計相關數據,,
1532,勤美,107817,勤美股份有限公司金屬成型事業處,6.6373,產品,
1533,車王電,21109,母子(孫)公司,21109,千元營業額                                                                                                                                                                                              ,
1535,中宇,18901,包含合併財務報表之母子公司,2.1372,百萬元營業額,
1536,和大,157279,僅母公司,21.43,百萬元營業額,ISO 46001
1537,廣隆,374928,包含合併財務報表之母子公司,無，無統計相關數據,,
1538,正峰,無，無統計相關數據,,無，無統計相關數據,,
1539,巨庭,無，無統計相關數據,,無，無統計相關數據,,
1540,喬福,2.21,11101-11112,無，無統計相關數據,,
1541,錩泰,34950,僅母公司,0.0086,百萬元營業額,
1558,伸興,297725,合併財務報表之母子公司,0.1179,產品,永續報告書                                                                                                                                                                                              
1560,中砂,1408751,母公司,233.71,營業額,
1563,巧新,,,,,
1568,倉佑,16845,僅母公司,12.48,百萬營業額                                                                                                                                                                                              ,
1582,信錦,20281,母公司,無，無統計相關數據,,
1583,程泰,46.07,111/01-111/12,無，無統計相關數據,,
1587,吉茂,36958,111年,無，無統計相關數據,,
1589,永冠-KY,315200,合併財務報表之母子公司,33.5894,百萬元營業額,
1590,亞德客-KY,900710,包含集團全部生產工廠及大陸地區全部銷售公司，已涵蓋集團95%以上之用水量,56.27,每百萬元產值                                                                                                                                                                                            ,
1597,直得,35054,母公司,24.7,百萬元營業額,ISO 14001                                                                                                                                                                                               
1598,岱宇,11088,彰化一廠、二廠、五廠及台中辦公室,4.043,百萬元營業額,
1603,華電,無，無統計相關數據,,無，無統計相關數據,,
1604,聲寶,無，無統計相關數據,,無，無統計相關數據,,
1605,華新,14026956,楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,11.01,產品,
1608,華榮,73642,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,9.2912,百萬元營業額,
1609,大亞,280.203,2022年,10.4752,百萬元營業額,
1611,中電,3844,工廠,無，無統計相關數據,,
1612,宏泰,67770,僅母公司,10.6199,百萬元營業額,ISO14001                                                                                                                                                                                                
1614,三洋電,59796,母子公司,9.734,百萬元營業額,
1615,大山,258192,111年度,58.24,百萬元營業額,
1616,億泰,17417,母公司,0.005,千元營業額                                                                                                                                                                                              ,
