"報告年度:2021","議題:能源管理"
"公司代號","公司名稱","使用率(再生能源/總能源)-使用率(再生能源/總能源)","資料範圍-資料範圍","取得驗證-取得驗證"
"=""1101""","台泥","0.0051","台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠、子公司和平電力)","ISO 50001"
"=""1102""","亞泥","0.0000","亞泥個體公司","ISO 50001"
"=""1103""","嘉泥","無，尚未使用再生能源","","ISO 50001"
"=""1104""","環泥","無，無使用再生能源","",""
"=""1108""","幸福","無，已申報「再生能源義務用戶義務執行計劃書」800瓩","",""
"=""1109""","信大","無，詳年報說明","",""
"=""1110""","東泥","無，無統計相關數據","",""
"=""1201""","味全","無，1.母公司-台中廠已規劃111年底前建置太陽能綠電，預期發電量可達600千度/年之綠電。 2.112起年再生能源使用率，佔母公司用電量1.4%。(600千度 / 42,043千度)。 備註 : 110年母公司用電量42,043千度 (母公司含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。","","ISO 50001"
"=""1203""","味王","無，無統計相關數據","",""
"=""1210""","大成","無，無統計相關數據","",""
"=""1213""","大飲","無，NA","","NA                                                                                                                                                                                                      "
"=""1215""","卜蜂","無，無統計相關數據","",""
"=""1216""","統一","0.0037","僅母公司",""
"=""1217""","愛之味","無，無統計相關數據","",""
"=""1218""","泰山","無，目前僅生質鍋爐產生77%再生能源使用率，其餘能源種類無法以同一基礎計算，暫無可公評驗證資料","",""
"=""1219""","福壽","無，太陽能發電量均售回台電","","ISO 50001"
"=""1220""","台榮","無，無統計相關數據","",""
"=""1225""","福懋油","無，無統計相關數據","",""
"=""1227""","佳格","無，無統計相關數據","",""
"=""1229""","聯華","無，目前公司無使用再生能源","",""
"=""1231""","聯華食","無，已針對可用處建立太陽能板，未來逐步揭露相關資訊","",""
"=""1232""","大統益","無，目前無使用再生能源","","ISO 50001"
"=""1233""","天仁","無，無統計相關數據","",""
"=""1234""","黑松","0.6000","台北總公司、中壢廠與斗六廠","ISO 50001"
"=""1235""","興泰","無，無使用再生能源","",""
"=""1236""","宏亞","26.3000","母公司",""
"=""1256""","鮮活果汁-KY","無，無統計相關數據","",""
"=""1301""","台塑","0.0000","母公司",""
"=""1303""","南亞","0.0000","母公司，已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，至119年，預計設置總容量約51,625KW，預估占台電契約容量29.4%(高於政府用電大戶條款規定的10%)，其中，新港配電盤廠廠房屋頂1,500KW太陽能發電設備建置投資案，於110年完成發包，進入施工階段。","1.ISO 50001能源管理系統:林口廠、樹林二廠、嘉義一廠、新港CCL一廠、新港CCL三廠。2.	綠色工廠標章: 樹林二廠、新港CCL一廠、新港CCL三廠。3.綠建築標章:林口製膜二廠(銀級標章)                                  "
"=""1304""","台聚","無，規劃於2022年開始購買再生能源電力及憑證，預計於2025/12/31前取得，共計購買369.8萬度。","","ISO 50001"
"=""1305""","華夏","無，1、華夏公司從自廠屋頂建設太陽光電設備做起，逐步擴大各廠區綠電使用量。華夏頭份廠於2019年於廠區屋頂興建1438kW太陽能設備，2021年實際發電量達178萬度。 2、華夏公司將持續擴增太陽能設備容量，預計於2025年前新增廠內約600kW太陽能建置。 3、台氯林園廠因無合適之屋頂可建置太陽能設備，目前規劃將於2025年底前外購164萬度綠電及憑證。","","ISO 50001"
"=""1307""","三芳","無，無統計相關數據","",""
"=""1308""","亞聚","無，亞聚已於2011年自建約0.5MW太陽能發電設備，並規劃將於2025年購買綠電251.5萬度。","","ISO 50001"
"=""1309""","台達化","無，台達林園廠規劃2025年前將採購82.5萬度的綠電。","","ISO 50001"
"=""1310""","台苯","無，詳年報說明","",""
"=""1312""","國喬","無，無統計相關數據","",""
"=""1313""","聯成","無，無再生能源","","ISO 50001"
"=""1314""","中石化","0.1225","僅母公司","ISO 50001"
"=""1315""","達新","0.9600","母公司",""
"=""1316""","上曜","無，無統計相關數據","",""
"=""1319""","東陽","無，未使用再生能源","",""
"=""1321""","大洋","無，無統計相關數據","",""
"=""1323""","永裕","0.0000","與台電合作躉售太陽能光電 每年產生綠電約達30000度電以上 但未使用綠電於企業自用.",""
"=""1324""","地球","無，無統計相關數據","",""
"=""1325""","恆大","無，無統計相關數據","",""
"=""1326""","台化","0.0000","110年台化及台醋公司之台灣廠區資料",""
"=""1337""","再生-KY","無，無統計相關數據","",""
"=""1338""","廣華-KY","無，目前規劃太陽能光伏發電預計2023年投入使用","",""
"=""1339""","昭輝","無，無統計相關數據","",""
"=""1340""","勝悅-KY","無，無統計相關數據","",""
"=""1341""","富林-KY","50.2919","生物質 能源(壓榨稻殼) 生物質 能源(壓榨稻殼)","Higg Index (FEM)                                                                                                                                                                                        "
"=""1342""","八貫","無，無統計相關數據","",""
"=""1402""","遠東新","1.1000","統計範疇共21個生產據點","ISO 50001"
"=""1409""","新纖","無，無統計相關數據","",""
"=""1410""","南染","無，無統計相關數據","",""
"=""1413""","宏洲","0.0000","僅母公司",""
"=""1414""","東和","0.0000","本公司",""
"=""1416""","廣豐","無，無統計相關數據","",""
"=""1417""","嘉裕","無，無統計相關數據","",""
"=""1418""","東華","無，本公司(廠)110年度壓克力纖維(棉)製程停工","",""
"=""1419""","新紡","無，無統計相關數據","",""
"=""1423""","利華","無，目前無使用再生能源","",""
"=""1432""","大魯閣","無，無統計相關數據","",""
"=""1434""","福懋","無，N/A","","ISO 50001"
"=""1435""","中福","無，無相關再生能源使用","",""
"=""1436""","華友聯","無，無統計相關數據","",""
"=""1437""","勤益控","無，無統計相關數據","",""
"=""1438""","三地開發","無，詳年報說明","",""
"=""1439""","雋揚","無，無統計相關數據","",""
"=""1440""","南紡","無，未使用再生能源","","ISO 50001"
"=""1441""","大東","無，無統計相關數據","",""
"=""1442""","名軒","無，無統計相關數據","",""
"=""1443""","立益物流","無，無統計相關數據","",""
"=""1444""","力麗","0.0600","母公司各廠區",""
"=""1445""","大宇","無，無統計相關數據","",""
"=""1446""","宏和","無，無相關排放設備","",""
"=""1447""","力鵬","無，無統計相關數據","","ISO 50001"
"=""1449""","佳和","0.0000","母公司",""
"=""1451""","年興","17.5821","2021年母公司。",""
"=""1452""","宏益","0.0000","包含合併財務報表之母子公司",""
"=""1453""","大將","無，無統計相關數據","",""
"=""1454""","台富","無，無統計相關數據","",""
"=""1455""","集盛","無，無統計相關數據","",""
"=""1456""","怡華","0.0000","未使用",""
"=""1457""","宜進","0.0000","僅母公司",""
"=""1459""","聯發","無，無統計相關數據","",""
"=""1460""","宏遠","0.0000","母公司","ISO 50001"
"=""1463""","強盛新","無，無統計相關數據","",""
"=""1464""","得力","無，無統計相關數據","",""
"=""1465""","偉全","無，無統計相關數據","",""
"=""1466""","聚隆","無，無統計相關數據","",""
"=""1467""","南緯","無，目前未使用再生能源","",""
"=""1468""","昶和","無，無統計相關數據","",""
"=""1470""","大統新創","0.0000","合併財務報表之母子公司之桃園廠區",""
"=""1471""","首利","無，無統計相關數據","",""
"=""1472""","三洋實業","無，本公司於5/11董事會剛通過溫室氣體排放，目前因組織尚未完整，尚未決定由何單位及何種方式進行此一數據收集。","",""
"=""1473""","台南","40.0000","包含合併財務報表之母子公司",""
"=""1474""","弘裕","無，無統計相關數據","",""
"=""1475""","業旺","無，詳年報說明","",""
"=""1476""","儒鴻","0.0000","包含合併財務報表之母子公司","ISO 50001"
"=""1477""","聚陽","1.1000","台北總公司","ISAE3000                                                                                                                                                                                                "
"=""1503""","士電","無，無統計相關數據","",""
"=""1504""","東元","2.4000","台灣所有廠區",""
"=""1506""","正道","無，無統計相關數據","",""
"=""1512""","瑞利","無，無統計相關數據","",""
"=""1513""","中興電","7.5300","母公司110年度",""
"=""1514""","亞力","無，無統計相關數據","",""
"=""1515""","力山","無，資料尚在驗證","",""
"=""1516""","川飛","無，無統計相關數據","",""
"=""1517""","利奇","無，無統計相關數據","",""
"=""1519""","華城","0.0894","僅母公司","ISO50001:2018                                                                                                                                                                                           "
"=""1521""","大億","無，無統計相關數據","",""
"=""1522""","堤維西","無，無統計相關數據","",""
"=""1524""","耿鼎","無，無統計相關數據","",""
"=""1525""","江申","無，無使用再生能源","",""
"=""1526""","日馳","無，無統計相關數據","",""
"=""1527""","鑽全","無，尚無採購再生能源","",""
"=""1528""","恩德","無，無統計相關數據","",""
"=""1529""","樂事綠能","無，無統計相關數據","",""
"=""1530""","亞崴","無，無統計相關數據","",""
"=""1531""","高林股","無，無統計相關數據","",""
"=""1532""","勤美","0.9700","勤美金屬成型事業處",""
"=""1533""","車王電","無，無統計相關數據","",""
"=""1535""","中宇","無，本公司非製造工廠，故無法取得數據。","",""
"=""1536""","和大","7.6813","僅母公司","ISO 50001"
"=""1537""","廣隆","無，未使用再生能源","",""
"=""1538""","正峰","無，無統計相關數據","",""
"=""1539""","巨庭","無，無統計相關數據","",""
"=""1540""","喬福","無，無統計相關數據","",""
"=""1541""","錩泰","無，無統計相關數據","",""
"=""1558""","伸興","0.0000","合併財務報表之母子公司","ISO 50001"
"=""1560""","中砂","無，沒有使用再生資源","","ISO 50001"
"=""1563""","巧新","N/A","N/A",""
"=""1568""","倉佑","0.0000","僅母公司",""
"=""1582""","信錦","無，無統計相關數據","","ISO 50001"
"=""1583""","程泰","無，無統計相關數據","",""
"=""1587""","吉茂","無，無統計相關數據","",""
"=""1589""","永冠-KY","無，尚未投入","","ISO 50001"
"=""1590""","亞德客-KY","2.3267","包含三個生產工廠，已涵蓋集團90%以上的排放量",""
"=""1597""","直得","3.7000","母公司",""
"=""1598""","岱宇","無，無統計相關數據","",""
"=""1603""","華電","無，規劃中","",""
"=""1604""","聲寶","無，無統計相關數據","",""
"=""1605""","華新","無，尚無自用自發綠電","","ISO 50001"
"=""1608""","華榮","無，無統計相關數據","",""
"=""1609""","大亞","無，無統計相關數據","","ISO 50001"
"=""1611""","中電","無，無統計相關數據","",""
"=""1612""","宏泰","無，無統計相關數據","",""
"=""1614""","三洋電","無，無統計相關數據","",""
"=""1615""","大山","無，尚未建立","",""
"=""1616""","億泰","無，110年無使用再生能源","",""
"=""1617""","榮星","無，無統計相關數據","",""
"=""1618""","合機","無，無統計相關數據","",""
"=""1623""","大東電","N/A","N/A",""
"=""1626""","艾美特-KY","無，無統計相關數據","",""
"=""1702""","南僑","無，無統計相關數據","",""
"=""1707""","葡萄王","0.0000","葡萄王生技、葡眾企業","ISO 50001"
"=""1708""","東鹼","無，無相關資訊。","",""
"=""1709""","和益","無，無統計相關數據","",""
"=""1710""","東聯","0.0000","1.2022年 H2已規劃建置太陽能光電系統（約87KW)。 2.2025年底前購買10%再生能源電力及憑證，以符合法令要求。","ISO 50001"
"=""1711""","永光","無，有建置499kw太陽能發電裝置，但並非自發自用，故無使用資訊可統計。","","ISO 14001                                                                                                                                                                                               "
"=""1712""","興農","0.0000","母公司王田廠區(王田廠、王田二廠、生物工廠)",""
"=""1713""","國化","0.0000","屏南分公司",""
"=""1714""","和桐","無，無再生能源","",""
"=""1717""","長興","0.0090","包含合併財務報表之母子公司","ISO 50001"
"=""1718""","中纖","無，無統計相關數據","","ISO 50001"
"=""1720""","生達","7.2000","生達一廠+生達二廠",""
"=""1721""","三晃","無，無統計相關數據","","確信準則公報第一號                                                                                                                                                                                      "
"=""1722""","台肥","4.4000","僅計算母公司台中廠、苗栗廠電力使用再生發電比例","ISO 50001"
"=""1723""","中碳","無，無統計相關數據","","ISO 50001"
"=""1725""","元禎","0.0000","母公司",""
"=""1726""","永記","無，無統計相關數據","",""
"=""1727""","中華化","無，未使用再生能源","",""
"=""1730""","花仙子","無，無統計相關數據","",""
"=""1731""","美吾華","無，無統計相關數據","",""
"=""1732""","毛寶","無，無統計相關數據","",""
"=""1733""","五鼎","無，無統計相關數據","",""
"=""1734""","杏輝","無，無統計相關數據","",""
"=""1735""","日勝化","無，目前沒有使用再生能源。","",""
"=""1736""","喬山","無，無統計相關數據","",""
"=""1737""","臺鹽","無，臺鹽無使用再生能源","",""
"=""1752""","南光","1.0791","屋頂型太陽能2021年發電212,861度",""
"=""1760""","寶齡富錦","無，無統計相關數據","",""
"=""1762""","中化生","無，無統計相關數據","",""
"=""1773""","勝一","無，無使用再生能源","",""
"=""1776""","展宇","無，無統計相關數據","",""
"=""1783""","和康生","無，未使用再生能源","",""
"=""1786""","科妍","無，無統計相關數據","",""
"=""1789""","神隆","0.5340","僅母公司(於2021年外購電力32,253,016度，太陽能發電172,218度)",""
"=""1795""","美時","無，無統計相關數據","",""
"=""1802""","台玻","無，無統計相關數據","","ISO 50001"
"=""1805""","寶徠","無，無統計相關數據","",""
"=""1806""","冠軍","無，無統計相關數據","","ISO 50001"
"=""1808""","潤隆","無，無統計相關數據","",""
"=""1809""","中釉","無，無統計相關數據","",""
"=""1810""","和成","無，無統計相關數據","","ISO 50001"
"=""1817""","凱撒衛","無，暫未運用","",""
"=""1903""","士紙","無，依規定本公司屬資本額50億元以下之公司別，應於第三階段完成溫室氣體盤查(115年)，本公司預計於112年啟動執行。","",""
"=""1904""","正隆","0.0100","母公司","ISO 50001"
"=""1905""","華紙","29.0000","華紙合併財報之台灣、大陸生產據點","ISO 50001"
"=""1906""","寶隆","無，無統計相關數據","",""
"=""1907""","永豐餘","31.2000","永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。 可再生能源包含：SRF、回收紙渣、廢膠片、餘泥、沼氣、木質素、樹皮、木片等","ISO 50001"
"=""1909""","榮成","2.0000","僅母公司","ISO 50001"
"=""2002""","中鋼","0.0001","母公司","ISO 50001"
"=""2006""","東和鋼鐵","0.0000","母公司","ISO 50001"
"=""2007""","燁興","無，太陽能光電設備設置中","","ISO 50001"
"=""2008""","高興昌","0.0000","110年屏南廠區",""
"=""2009""","第一銅","0.0000","無使用再生能源",""
"=""2010""","春源","無，無統計相關數據","",""
"=""2012""","春雨","無，無統計相關數據","",""
"=""2013""","中鋼構","無，目前無適用再生能源","","ISO 50001"
"=""2014""","中鴻","0.0000","母公司","ISO 50001"
"=""2015""","豐興","無，無統計相關數據","",""
"=""2017""","官田鋼","無，無統計相關數據","",""
"=""2020""","美亞","無，查證時程計劃書預計在下半年完成","",""
"=""2022""","聚亨","無，無統計相關數據","",""
"=""2023""","燁輝","0.0000","2021全年度","ISO 50001"
"=""2024""","志聯","無，無統計相關數據","",""
"=""2025""","千興","無，無統計相關數據","",""
"=""2027""","大成鋼","無，未採用其他再生能源","","中華民國確信準則公報第一號「非屬歷史性財務資訊查核或核閱之確信案件」標準                                                                                                                                "
"=""2028""","威致","無，無統計相關數據","",""
"=""2029""","盛餘","0.1737","太陽能/電力+天然氣+蒸氣+汽柴油(熱值)","ISO 50001"
"=""2030""","彰源","無，無統計相關數據","",""
"=""2031""","新光鋼","無，無統計相關數據","",""
"=""2032""","新鋼","無，無統計相關數據","",""
"=""2033""","佳大","無，無統計相關數據","",""
"=""2034""","允強","40.0000","四廠總用電量合計為 13698 kw，目前斗一廠和斗二廠安裝太陽能發電，發電量為 5500Kw，共佔四廠總用電量的 40%。","ISO 50001"
"=""2038""","海光","無，無使用","",""
