"報告年度:2021","議題:能源管理"
"公司代號","公司名稱","使用率(再生能源/總能源)-使用率(再生能源/總能源)","資料範圍-資料範圍","取得驗證-取得驗證"
"=""2528""","皇普","無，無統計相關數據","",""
"=""2530""","華建","無，無統計相關數據","",""
"=""2534""","宏盛","無，無統計相關數據","",""
"=""2535""","達欣工","0.0000","無",""
"=""2536""","宏普","無，無統計相關數據","",""
"=""2537""","聯上發","無，無統計相關數據","",""
"=""2538""","基泰","無，無統計相關數據","",""
"=""2539""","櫻花建","無，無統計相關數據","",""
"=""2540""","愛山林","無，無統計相關數據","",""
"=""2542""","興富發","無，無統計相關數據","",""
"=""2543""","皇昌","無，無統計相關數據","",""
"=""2545""","皇翔","無，尚未啟動","",""
"=""2546""","根基","無，無統計相關數據","",""
"=""2547""","日勝生","無，無統計相關數據","",""
"=""2548""","華固","無，無統計相關數據","",""
"=""2597""","潤弘","無，詳年報說明","",""
"=""2601""","益航","無，無統計相關數據","",""
"=""2603""","長榮","無，無統計相關數據","",""
"=""2605""","新興","無，無統計相關數據","",""
"=""2606""","裕民","無，未使用","","DNV VeriSustain 中度保證等級                                                                                                                                                                            "
"=""2607""","榮運","無，無","",""
"=""2608""","嘉里大榮","無，無統計相關數據","",""
"=""2609""","陽明","12.2809","母公司(含辦公大樓及營運船舶)用電量合計：20,594.6832MWH；其中船舶於奧克蘭使用100%太陽能加上風力發電使用量為2,529.2133MWH，佔總用電量比例為12.2809%。",""
"=""2610""","華航","0.3818","太陽能/總用電量","ISO 50001"
"=""2611""","志信","無，無統計相關數據","",""
"=""2612""","中航","無，無統計相關數據","",""
"=""2613""","中櫃","無，無統計相關數據","",""
"=""2614""","東森","無，無統計相關數據","",""
"=""2615""","萬海","3.9900","台中高雄專用碼頭與北中高辦公室",""
"=""2616""","山隆","無，無統計相關數據","",""
"=""2617""","台航","無，無統計相關數據","",""
"=""2618""","長榮航","0.0000","僅母公司","ISO 50001"
"=""2630""","亞航","0.1266","本公司台南廠區7-1棚屋頂設置太陽能板自用，年發電量15,000度，年用電量11,847,450度。",""
"=""2633""","台灣高鐵","0.0387","軌道、基地、車站及總公司",""
"=""2634""","漢翔","0.0100","僅母公司","ISO 50001"
"=""2636""","台驊控股","無，無統計相關數據","",""
"=""2637""","慧洋-KY","0.0000","包含合併財務報表之母子公司",""
"=""2642""","宅配通","無，無統計相關數據","",""
"=""2646""","星宇航空","N/A","N/A",""
"=""2701""","萬企","無，無統計相關數據","",""
"=""2702""","華園","無，無統計相關數據","",""
"=""2704""","國賓","無，無統計相關數據","",""
"=""2705""","六福","無，無統計相關數據","",""
"=""2706""","第一店","無，無統計相關數據","",""
"=""2707""","晶華","無，無統計相關數據","",""
"=""2712""","遠雄來","","",""
"=""2722""","夏都","無，無統計相關數據","",""
"=""2723""","美食-KY","無，無統計相關數據","",""
"=""2727""","王品","無，無統計相關數據","","                                                                                                                                                                                                        "
"=""2731""","雄獅","無，無統計相關數據","",""
"=""2739""","寒舍","無，無統計相關數據","",""
"=""2748""","雲品","無，無統計相關數據","",""
"=""2753""","八方雲集","無，無統計相關數據","",""
"=""2762""","世界健身-KY","N/A","N/A",""
"=""2801""","彰銀","無，無統計相關數據","","ISO 50001"
"=""2812""","台中銀","無，無統計相關數據","",""
"=""2816""","旺旺保","無，無統計相關數據","",""
"=""2820""","華票","無，無統計相關數據","",""
"=""2832""","台產","無，無使用再生能源","",""
"=""2834""","臺企銀","0.7400","總行及國內125家分行","ISO 50001"
"=""2836""","高雄銀","0.0000","母公司總行大樓","ISO 50001"
"=""2838""","聯邦銀","無，無統計相關數據","","ISO 50001"
"=""2845""","遠東銀","0.0000","母公司","ISO 50001"
"=""2849""","安泰銀","無，無統計相關數據","",""
"=""2850""","新產","無，未使用再生能源","",""
"=""2851""","中再保","無，無統計相關數據","",""
"=""2852""","第一保","無，無統計相關數據","",""
"=""2855""","統一證","無，無使用","",""
"=""2867""","三商壽","無，無統計相關數據","",""
"=""2880""","華南金","無，無統計相關數據","","ISO 50001"
"=""2881""","富邦金","0.0700","富邦金控、富邦人壽、台北富邦銀行、富邦產物及富邦證券。","ISO 50001"
"=""2882""","國泰金","0.6200","包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募)之國內據點，以及部份海外分支機構數據","ISO 50001"
"=""2883""","凱基金","0.0000","包含合併報表之母子公司，員工涵蓋率99.27%","ISO 50001"
"=""2884""","玉山金","2.6000","100%持有合併財務報表之母子公司","ISO 50001、ISO 14064                                                                                                                                                                                    "
"=""2885""","元大金","1.2800","110年度再生能源採購量52.67萬度","ISO 50001"
"=""2886""","兆豐金","1.0000","包含合併財務報表母子公司之國內所有據點","ISAE 3000                                                                                                                                                                                               "
"=""2887""","台新新光金","0.3100","據點涵蓋台新金控、台新銀行、台新證券、台新投信、台新創投、AMC及台新投顧，台新人壽於2021年7月加入台新金控，因相關盤查數據未滿一年故本次不納入人壽數字","ISO 50001"
"=""2889""","國票金","無，目前正委請顧問進行盤查","","ISO 50001"
"=""2890""","永豐金","0.0200","僅母公司","AA1000 Assurance Standard v3, Type 2 Moderate level of assurance                                                                                                                                        "
"=""2891""","中信金","0.1200","中國信託金融園區及臺中金融大樓","ISO 50001"
"=""2892""","第一金","3.1810","總能源資料範圍為本公司暨合併財報除「第一金證券亞洲」外之所有子公司。 110年購買及使用再生能源合計度數1,254,678度。 110年外購電力38,188,076度。1,254,678/(1,254,678+38,188,076)= 3.1810%","ISO 50001"
"=""2897""","王道銀行","0.5400","母公司全台營運據點","ISO 50001"
"=""2901""","欣欣","無，無統計相關數據","",""
"=""2903""","遠百","0.0517","僅母公司","ISO 50001"
"=""2904""","匯僑","無，無統計相關數據","",""
"=""2905""","三商","0.0000","母公司(建北大樓)",""
"=""2906""","高林","無，無統計相關數據","",""
"=""2908""","特力","無，2021年於台北總部及高雄賣場甫建置完成的太陽能板，暫採自發躉售台電的作法，後續將由專案小組進行自行使用之評估與規劃。","",""
"=""2910""","統領","無，無統計相關數據","",""
"=""2911""","麗嬰房","無，無統計相關數據","",""
"=""2912""","統一超","無，為回應國際減碳要求，並降低傳統電力的依賴，超商預計於2022年規劃門市導入再生能源，逐步朝低碳能源轉型。","","ISO 50001"
"=""2913""","農林","無，無統計相關數據","",""
"=""2915""","潤泰全","無，無統計相關數據","",""
"=""2923""","鼎固-KY","無，無統計相關數據","",""
"=""2929""","淘帝-KY","無，無統計相關數據","",""
"=""2939""","永邑-KY","無，無統計相關數據","",""
"=""2945""","三商家購","無，已於民國109年度展開提升能源使用效率政策","",""
"=""3002""","歐格","無，無統計相關數據","",""
"=""3003""","健和興","無，無統計相關數據","",""
"=""3004""","豐達科","1.1400","母公司",""
"=""3005""","神基","無，無使用再生能源","","GRI Standards核心依循選項與AA 1000 ASv3 Type1 中度保證等級的要求                                                                                                                                        "
"=""3006""","晶豪科","無，無使用相關再生能源","",""
"=""3008""","大立光","無，2021年未使用再生能源","",""
"=""3010""","華立","100.0000","母公司及子公司(全順、國軒、詠佳、富鈞、華恆),並未直接使用而是將能源提供於台電,但依發電量與消耗量計算,再生能源達100%。",""
"=""3011""","今皓","無，尚在評估中","",""
"=""3013""","晟銘電","5.6000","包含合併財務報表之母子公司",""
"=""3014""","聯陽","0.0000","母公司",""
"=""3015""","全漢","5.1500","母公司與部分子公司",""
"=""3016""","嘉晶","無，無使用再生能源","",""
"=""3017""","奇鋐","0.0000","深圳奇宏電子","ISO 50001"
"=""3018""","隆銘綠能","無，無統計相關數據","",""
"=""3019""","亞光","無，無統計相關數據","",""
"=""3021""","鴻名","無，無統計相關數據","",""
"=""3022""","威強電","無，無統計相關數據","",""
"=""3023""","信邦","1.5000","集團100%持股之11個據點。能源使用包含電力(再生能源、非再生能源)、汽油、柴油、液化石油氣、天然氣)，經換算熱值(GJ)之佔比(1657.01/105997.29=1.5%)",""
"=""3024""","憶聲","無，無統計相關數據","","ISO 50001"
"=""3025""","星通","無，無統計相關數據","",""
"=""3026""","禾伸堂","無，無統計相關數據","",""
"=""3027""","盛達","無，預計9月底申報","",""
"=""3028""","增你強","0.0000","母公司",""
"=""3029""","零壹","無，無統計相關數據","",""
"=""3030""","德律","無，目前未使用再生能源","",""
"=""3031""","佰鴻","無，無統計相關數據","",""
"=""3032""","偉訓","無，無統計相關數據","",""
"=""3033""","威健","無，目前無使用再生能源","",""
"=""3034""","聯詠","0.0000","母公司",""
"=""3035""","智原","無，無統計相關數據","",""
"=""3036""","文曄","0.0000","包含合併財務報表母子公司之台灣各營運據點",""
"=""3037""","欣興","0.0000","目前尚未使用再生能源。","ISO 50001"
"=""3038""","全台","無，無統計相關數據","",""
"=""3040""","遠見","無，無工廠，無生產行為","",""
"=""3041""","揚智","0.0000","僅母公司",""
"=""3042""","晶技","0.2000","2021年再生能源使用率",""
"=""3043""","科風","無，無統計相關數據","",""
"=""3044""","健鼎","15.0000","健鼎-無錫廠區","ISO 50001"
"=""3045""","台灣大","1.4012","2021","ISO 50001"
"=""3046""","建碁","13.0000","僅申報公司",""
"=""3047""","訊舟","無，無統計相關數據","",""
"=""3048""","益登","無，無統計相關數據","",""
"=""3049""","精金","無，2022年再生能源-太陽能建置中，預計設置容量777kw ，再生能源使用率預計2023年達6.75%","",""
"=""3050""","鈺德","0.0014","僅母公司",""
"=""3051""","力特","無，無統計相關數據","","ISO14001                                                                                                                                                                                                "
"=""3052""","夆典","無，無統計相關數據","",""
"=""3054""","立萬利","無，本公司產品皆委由加工廠製造，故無相關資訊。","",""
"=""3055""","蔚華科","無，無統計相關數據","",""
"=""3056""","富華新","無，無統計相關數據","",""
"=""3057""","喬鼎","無，無統計相關數據","",""
"=""3058""","立德","無，無統計相關數據","",""
"=""3059""","華晶科","無，無統計相關數據","",""
"=""3060""","銘異","無，無統計相關數據","",""
"=""3062""","建漢","0.0000","110/1~110/12",""
"=""3090""","日電貿","無，無統計相關數據","",""
"=""3092""","鴻碩","無，無統計相關數據","","ISO 50001"
"=""3094""","聯傑","無，無統計相關數據","",""
"=""3130""","一零四","無，本公司屬資訊服務業，除民生電力使用外，未實際製造產品，無相關再生能源使用。","",""
"=""3135""","凌航","N/A","N/A",""
"=""3138""","耀登","無，無統計相關數據","",""
"=""3149""","正達","無，無統計相關數據","",""
"=""3150""","鈺寶-創","N/A","N/A",""
"=""3164""","景岳","14.1500","再生能源節約量(天然氣) 110年	立方公尺 1月	979 2月	875 3月	1164 4月	1164 5月	1116 6月	1006 7月	915 8月	819 9月	1257 10月	944 11月	1125 12月	859 加總	12223 總天然氣使用量: 86376",""
"=""3167""","大量","無，無統計相關數據","",""
"=""3168""","眾福科","N/A","N/A",""
"=""3189""","景碩","無，用電主要以台電為主，未使用再生能源","",""
"=""3209""","全科","無，無統計相關數據","",""
"=""3229""","晟鈦","無，無統計相關數據","",""
"=""3231""","緯創","48.3700","母公司(內湖總部/汐止辦公區/新竹廠)及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠及昆山光電廠)","ISO 50001"
"=""3257""","虹冠電","無，辦公大樓管委會目前未規劃","",""
"=""3266""","昇陽","無，無統計相關數據","",""
"=""3296""","勝德","無，無統計相關數據","",""
"=""3305""","昇貿","1.8000","110/1/1~110/12/31",""
"=""3308""","聯德","無，無統計相關數據","",""
"=""3311""","閎暉","無，無統計相關數據","",""
"=""3312""","弘憶股","無，無統計相關數據","",""
"=""3321""","同泰","無，無統計相關數據","",""
"=""3338""","泰碩","無，無統計相關數據","",""
"=""3346""","麗清","無，無統計相關數據","",""
"=""3356""","奇偶","無，無統計相關數據","",""
"=""3376""","新日興","無，無統計相關數據","",""
"=""3380""","明泰","無，無統計相關數據","",""
"=""3406""","玉晶光","無，無統計相關數據","",""
"=""3413""","京鼎","無，無統計相關數據","",""
"=""3416""","融程電","無，無統計相關數據","",""
"=""3419""","譁裕","無，無統計相關數據","",""
"=""3432""","台端","0.0000","包含合併財務報表之母子公司",""
"=""3437""","榮創","無，無統計相關數據","",""
"=""3443""","創意","0.0000","本次報告書邊界為創意電子台灣地區，涵蓋新竹總部、新竹分部，未納入海外子公司",""
"=""3450""","聯鈞","無，無統計相關數據","",""
"=""3481""","群創","0.4100","群創光電(母公司)及子公司：寧波群志光電、寧波群輝光電、佛山群志光電","ISO 50001"
"=""3494""","誠研","1.3000","包含合併財務報表之母子公司",""
"=""3501""","維熹","無，無統計相關數據","",""
"=""3504""","揚明光","無，無統計相關數據","",""
"=""3515""","華擎","0.0000","母公司(目前用電主要以台電為主，未使用再生能源)",""
"=""3518""","柏騰","無，詳年報說明","",""
"=""3528""","安馳","無，無統計相關數據","",""
"=""3530""","晶相光","無，無統計相關數據","",""
"=""3532""","台勝科","0.0000","",""
"=""3533""","嘉澤","無，無統計相關數據","",""
"=""3535""","晶彩科","無，無統計相關數據","",""
"=""3543""","州巧","無，無統計相關數據","",""
"=""3545""","敦泰","無，尚未採用再生能源","",""
"=""3550""","聯穎","無，無統計相關數據","",""
"=""3557""","嘉威","0.0000","母公司及大陸子公司",""
"=""3563""","牧德","無，無統計相關數據","",""
"=""3576""","聯合再生","無，無統計相關數據","",""
"=""3583""","辛耘","無，尚未建置再生能源","",""
"=""3588""","通嘉","無，無統計相關數據","",""
"=""3591""","艾笛森","無，無統計相關數據","",""
"=""3592""","瑞鼎","無，無統計相關數據","",""
"=""3593""","力銘","無，無統計相關數據","",""
"=""3596""","智易","無，111年6月開始實施。","","ISO 50001"
"=""3605""","宏致","0.0000","公司目前尚無使用再生能源，以購入台電電力為主要使用電力",""
"=""3607""","谷崧","無，詳年報說明","",""
"=""3617""","碩天","無，無統計相關數據","",""
"=""3622""","洋華","無，無統計相關數據","",""
"=""3645""","達邁","無，無統計相關數據","",""
"=""3652""","精聯","無，無統計相關數據","",""
"=""3653""","健策","無，無統計相關數據","",""
"=""3661""","世芯-KY","無，無統計相關數據","",""
"=""3665""","貿聯-KY","6.3600","統計範圍涵蓋集團 17 個生產據點：昆山貿聯廠、昆山翔光廠、常州廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、新加坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、塞爾維亞廠、斯洛伐克廠、加州廠、德州廠、墨西哥廠。","GRI Standard, AA1000 ASv3                                                                                                                                                                               "
"=""3669""","圓展","無，110年度尚無使用再生能源。","",""
"=""3673""","TPK-KY","46.5681","宸鴻科技（廈門）有限公司、鴻通科技（廈門）有限公司、宸美（廈門）光電有限公司、祥達光學（廈門）有限公司、寶宸（廈門）光學科技有限公司、宸鴻科技（平潭）有限公司","ISO 50001"
"=""3679""","新至陞","無，無統計相關數據","",""
"=""3686""","達能","無，無統計相關數據","",""
"=""3694""","海華","無，無統計相關數據","",""
"=""3701""","大眾控","無，無統計相關數據","",""
"=""3702""","大聯大","無，無統計相關數據","",""
"=""3703""","欣陸","3.2000","母公司及主要營運子公司","ISO 50001，驗證範圍：鳳山及安平水資源回收中心                                                                                                                                                           "
"=""3704""","合勤控","0.0000","母公司",""
"=""3705""","永信","無，預計2026年12月完成","",""
"=""3706""","神達","0.8030","合併財務報表之母子公司, 含台灣營運、研發中心及廠區; 中國主要生產據點: 廣東順達廠區、江蘇昆達廠區; 美國加州組裝廠區: MiTACIS",""
"=""3708""","上緯投控","0.0000","上緯興業股份有限公司及上偉碳纖複合材料股份有限公司",""
"=""3711""","日月光投控","24.0397","包含再生能源或憑證","ISO 50001"
"=""3712""","永崴投控","無，預計111年計劃使用再生能源","",""
"=""3714""","富采","無，無統計相關數據","",""
"=""3716""","中化控股","N/A","N/A",""
"=""3717""","聯嘉投控","N/A","N/A",""
"=""4104""","佳醫","無，無統計相關數據","",""
"=""4106""","雃博","無，無統計相關數據","",""
"=""4108""","懷特","無，無統計相關數據","",""
"=""4119""","旭富","無，因公司火災影響產線生產","",""
"=""4133""","亞諾法","無，詳年報說明","",""
"=""4137""","麗豐-KY","無，無統計相關數據","",""
"=""4142""","國光生","無，無統計相關數據","",""
"=""4148""","全宇生技-KY","無，無統計相關數據","",""
"=""4155""","訊映","無，無統計相關數據","",""
"=""4164""","承業醫","無，無統計相關數據","",""
"=""4190""","佐登-KY","無，無統計相關數據","",""
"=""4306""","炎洲","無，詳年報說明","",""
"=""4414""","如興","無，無統計相關數據","",""
"=""4426""","利勤","無，無統計相關數據","","ISO 50001"
"=""4438""","廣越","無，無統計相關數據","",""
"=""4439""","冠星-KY","0.9049","Top Sports Textile Limited","EMeRet                                                                                                                                                                                                  "
"=""4440""","宜新實業","無，無統計相關數據","",""
"=""4441""","振大環球","N/A","N/A",""
"=""4526""","東台","無，電量躉售給台電公司","","ISO 50001"
"=""4532""","瑞智","無，無統計相關數據","",""
"=""4536""","拓凱","無，無統計相關數據","",""
"=""4540""","全球傳動","無，規劃中","",""
"=""4545""","銘鈺","無，無統計相關數據","",""
"=""4551""","智伸科","無，無統計相關數據","",""
"=""4552""","力達-KY","","",""
"=""4555""","氣立","無，無統計相關數據","",""
"=""4557""","永新-KY","無，無統計相關數據","",""
"=""4560""","強信-KY","無，無統計相關數據","",""
"=""4562""","穎漢","無，無統計相關數據","",""
"=""4564""","元翎","無，無統計相關數據","",""
"=""4566""","時碩工業","無，無統計相關數據","",""
"=""4569""","六方科-KY","N/A","N/A",""
"=""4571""","鈞興-KY","無，未使用再生能源","",""
"=""4572""","駐龍","無，無統計相關數據","",""
"=""4576""","大銀微系統","無，無統計相關數據","",""
"=""4581""","光隆精密-KY","0.0000","合併財務報表之母子公司",""
"=""4583""","台灣精銳","0.0000","母公司",""
"=""4585""","達明","N/A","N/A",""
"=""4588""","玖鼎電力","N/A","N/A",""
"=""4590""","富田-創","N/A","N/A",""
"=""4720""","德淵","0.2100","母公司","ISO 50001"
"=""4722""","國精化","無，無統計相關數據","",""
"=""4736""","泰博","無，無統計相關數據","",""
"=""4737""","華廣","2.0000","母公司",""
"=""4739""","康普","無，本公司主要物料為鹽酸、液鹼等，均為不可再生物料。","","ISO 50001"
"=""4746""","台耀","無，目前規劃建置太陽能發電設施，預計2023年6月後連結使用，預估建置量為560KW。","",""
"=""4755""","三福化","無，無統計相關數據","",""
"=""4763""","材料*-KY","無，無統計相關數據","",""
"=""4764""","雙鍵","無，無統計相關數據","",""
"=""4766""","南寶","無，詳年報說明","","ISO 50001"
"=""4770""","上品","無，無統計相關數據","",""
"=""4771""","望隼","N/A","N/A",""
"=""4807""","日成-KY","無，無統計相關數據","",""
"=""4904""","遠傳","0.1800","遠傳電信股份有限公司及兩家子公司(新世紀資通股份有限公司、和宇寬頻網路股份有限公司)","ISO 50001"
"=""4906""","正文","無，無統計相關數據","",""
"=""4912""","聯德控股-KY","35.0000","重要子公司聯德精密材料(中國)股份有限公司",""
"=""4915""","致伸","14.1000","致伸科技及子公司東莞東聚、致伸重慶、致伸昆山、惠州迪芬尼、東莞迪芬尼及東城迪芬尼","ISO 50001"
"=""4916""","事欣科","無，無統計相關數據","",""
"=""4919""","新唐","0.0000","僅母公司",""
"=""4927""","泰鼎-KY","無，無統計相關數據","",""
"=""4930""","燦星網","無，無統計相關數據","",""
"=""4934""","太極","無，無統計相關數據","",""
"=""4935""","茂林-KY","無，無統計相關數據","",""
"=""4938""","和碩","6.0000","和碩聯合科技(股)公司、名碩電腦(蘇州)、凱碩電腦(蘇州)、昌碩科技(上海)、世碩電子(昆山)、旭碩科技(重慶)、Pegatron MEXICO S.A.DEC.V.、PEGATRON Czech s.r.o.、PT. PEGATRON TECHNOLOGY INDONESIA、Pegatron Japan Inc.、PEGATRON SERVICE SINGAPORE PTE. LTD.、PEGATRON SERVICE KOREA LLC.、PEGATRON TECHNOLOGY SERVICE INC.、PEGATRON SERVICE AUSTRALIA PTY. LTD.","ISO 50001"
"=""4942""","嘉彰","無，目前無使用再生能源","",""
"=""4943""","康控-KY","無，無統計相關數據","",""
"=""4949""","有成精密","N/A","N/A",""
"=""4952""","凌通","0.0000","母公司",""
"=""4956""","光鋐","無，無統計相關數據","",""
"=""4958""","臻鼎-KY","0.2000","大陸園區自建太陽能發電量","ISO 50001"
"=""4960""","誠美材","1.2450","僅母公司",""
"=""4961""","天鈺","無，尚未規劃使用再生能源","",""
"=""4967""","十銓","無，無統計相關數據","",""
"=""4968""","立積","無，無統計相關數據","",""
"=""4976""","佳凌","無，詳年報說明","",""
"=""4977""","眾達-KY","無，無統計相關數據","",""
"=""4989""","榮科","無，無統計相關數據","","ISO 50001"
"=""4994""","傳奇","無，無統計相關數據","",""
"=""4999""","鑫禾","無，無統計相關數據","",""
"=""5007""","三星","無，無統計相關數據","","ISO 50001"
"=""5203""","訊連","無，無統計相關數據","",""
"=""5215""","科嘉-KY","無，詳年報說明","",""
"=""5222""","全訊","無，無統計相關數據","",""
"=""5225""","東科-KY","無，無統計相關數據","",""
"=""5234""","達興材料","無，無統計相關數據","",""
"=""5243""","乙盛-KY","無，無統計相關數據","",""
"=""5244""","弘凱","無，無統計相關數據","",""
"=""5258""","虹堡","無，無統計相關數據","",""
"=""5269""","祥碩","0.0000","範圍: 110/1/1~12/31, 祥碩總公司辦公室",""
"=""5283""","禾聯碩","無，尚在評估規畫中","",""
"=""5284""","jpp-KY","16.2201","泰國經寶精密工業股份有限公司","M.0117                                                                                                                                                                                                  "
"=""5285""","界霖","無，無統計相關數據","",""
"=""5288""","豐祥-KY","無，製程中直接進行回收再利用，故無特別統計。","",""
"=""5292""","華懋","N/A","N/A",""
"=""5306""","桂盟","0.0000","母公司",""
"=""5388""","中磊","無，無統計相關數據","",""
"=""5434""","崇越","無，規劃中","",""
"=""5469""","瀚宇博","無，無使用再生能源","",""
"=""5471""","松翰","無，無使用","",""
"=""5484""","慧友","無，本公司並未使用再生能源","",""
"=""5515""","建國","無，無統計相關數據","",""
"=""5519""","隆大","無，無統計相關數據","",""
"=""5521""","工信","無，無統計相關數據","",""
"=""5522""","遠雄","無，無統計相關數據","",""
"=""5525""","順天","無，無統計相關數據","",""
"=""5531""","鄉林","無，無統計相關數據","",""
"=""5533""","皇鼎","無，無統計相關數據","",""
"=""5534""","長虹","無，無統計相關數據","",""
"=""5538""","東明-KY","無，公司為控股公司","",""
"=""5546""","永固-KY","無，無統計相關數據","",""
"=""5607""","遠雄港","無，無統計相關數據","",""
"=""5608""","四維航","0.0000","本公司於申報年度未使用再生能源，故不適用",""
"=""5706""","鳳凰","無，無統計相關數據","",""
"=""5871""","中租-KY","無，無統計相關數據","","ISO 50001"
"=""5876""","上海商銀","0.0000","僅母公司","ISO 50001"
"=""5880""","合庫金","0.0500","合庫金控及各子公司，合計333處據點。","ISO 50001"
"=""5906""","台南-KY","無，無統計相關數據","",""
"=""5907""","大洋-KY","無，無統計相關數據","",""
"=""6005""","群益證","無，無統計相關數據","",""
"=""6024""","群益期","無，無使用再生能源","",""
"=""6108""","競國","無，無使用再生能源","",""
"=""6112""","邁達特","無，無統計相關數據","",""
"=""6115""","鎰勝","無，無統計相關數據","",""
"=""6116""","彩晶","無，母公司的南科廠設置太陽能皆屬外售電力，因此為零","","ISO 50001"
"=""6117""","迎廣","無，無統計相關數據","","ISO 50001"
"=""6120""","達運","無，無統計相關數據","",""
"=""6128""","上福","無，目前太陽能發電無廠內自用","",""
"=""6133""","金橋","無，無統計相關數據","",""
"=""6136""","富爾特","無，無統計相關數據","",""
"=""6139""","亞翔","無，無統計相關數據","",""
"=""6141""","柏承","無，無統計相關數據","",""
"=""6142""","友勁","無，無統計相關數據","",""
"=""6152""","百一","無，NA","",""
"=""6153""","嘉聯益","無，無統計相關數據","",""
"=""6155""","鈞寶","無，無統計相關數據","",""
"=""6164""","華興","無，無統計相關數據","",""
"=""6165""","浪凡","無，無統計相關數據","",""
"=""6166""","凌華","無，無統計相關數據","",""
"=""6168""","宏齊","無，無統計相關數據","",""
"=""6176""","瑞儀","3.0000","台灣與中國大陸製造廠區",""
"=""6177""","達麗","無，無統計相關數據","",""
"=""6183""","關貿","無，總公司位於南港軟體園區，各進駐戶無法獨立設置","",""
"=""6184""","大豐電","無，無統計相關數據","",""
"=""6189""","豐藝","無，無統計相關數據","",""
"=""6191""","精成科","無，無統計相關數據","",""
"=""6192""","巨路","無，無統計相關數據","",""
"=""6196""","帆宣","22.6000","母公司-南科廠區",""
"=""6197""","佳必琪","無，無統計相關數據","",""
"=""6201""","亞弘電","無，無統計相關數據","",""
"=""6202""","盛群","無，無統計相關數據","",""
"=""6205""","詮欣","0.0000","母公司",""
"=""6206""","飛捷","無，無統計相關數據","",""
"=""6209""","今國光","無，無統計相關數據","",""
"=""6213""","聯茂","無，無統計相關數據","","ISO 50001"
"=""6214""","精誠","1.3000","僅母公司","ISO 50001"
"=""6215""","和椿","0.0000","台灣全部公司",""
"=""6216""","居易","無，無統計相關數據","",""
"=""6224""","聚鼎","無，無統計相關數據","",""
"=""6225""","天瀚","無，無統計相關數據","",""
"=""6226""","光鼎","無，詳年報說明","",""
"=""6230""","尼得科超眾","無，無統計相關數據","",""
"=""6235""","華孚","無，無統計相關數據","",""
"=""6239""","力成","0.0000","1. 2022年H2已規劃建置太陽能光電系統。 2. 2025年底前購買10%再生能源電力及憑證。","ISO 50001"
"=""6243""","迅杰","無，無統計相關數據","",""
"=""6257""","矽格","0.0000","矽格-北興 中興 湖口廠區",""
"=""6269""","台郡","無，台郡科技規劃於2022年評估再生能源建置之可行性，短期目標先以建置儲能設備、購買再生能源(風力、太陽能)等，作為暫時解決電力空缺問題；中期目標評估購買再生能源、儲能與自建電廠或其他再生能源發電之技術成本比較，並尋找其他可替代之方案，嘗試找出最符合成本效益之方式進行後續建置規劃；長期目標以自建電廠或其他替代方案為方向，評估所需要之土地面積、硬體設備、環境需求等，以求達到再生能源自發自用，再進一步評估轉供販售之可行性，最終達成再生能源使用最大化，並符合RE100全球再生能源倡議之目標--2050年再生能源使用率達100%。","",""
"=""6271""","同欣電","0.0255","母公司",""
"=""6272""","驊陞","N/A","N/A",""
"=""6277""","宏正","無，無統計相關數據","",""
"=""6278""","台表科","無，無統計相關數據","",""
"=""6281""","全國電","無，無統計相關數據","",""
"=""6282""","康舒","0.0000","2021年康舒科技股份有限公司永續報告書","ISO 50001"
"=""6283""","淳安","無，無統計相關數據","",""
"=""6285""","啟碁","0.0000","WNC全據點","ISO 50001"
"=""6405""","悅城","無，無使用再生能源","",""
"=""6409""","旭隼","80.0000","1.旭隼科技主要業務為不斷電系統、太陽能產品、儲能系統、變頻器、電動車充電樁等產品 2.旭隼科技產品壽命結束後，再使用或者再生利用率均超過80%，可回收利用率均超過70%，符合歐盟WEEE指令的最新要求。 3.請參閱本公司ESG報告及TCFD報告","ISO14607; 採用ISAE3000及ISAE3410進行確信                                                                                                                                                                "
"=""6412""","群電","3.4100","使用太陽能發電與購買綠電憑證","ISO 50001"
"=""6414""","樺漢","無，無統計相關數據","",""
"=""6415""","矽力*-KY","0.0000","母公司包含杭州子公司(重要子公司)",""
"=""6416""","瑞祺電通","無，無統計相關數據","",""
"=""6426""","統新","無，無統計相關數據","",""
"=""6431""","光麗-KY","無，無統計相關數據","",""
"=""6438""","迅得","無，無統計相關數據","",""
"=""6442""","光聖","無，無統計相關數據","",""
"=""6443""","元晶","0.0000","廠區用電來源為台電，廠區太陽能光電售於台電無列入",""
"=""6446""","藥華藥","11.4440","僅台灣製造廠區",""
"=""6449""","鈺邦","無，無統計相關數據","",""
"=""6451""","訊芯-KY","2.2700","2021.1~2021.12訊芯電子科技(中山)有限公司及訊芸電子科技(中山)有限公司之廣東省中山市廠區","ISO 50001"
"=""6456""","GIS-KY","0.0000","所有廠區及子公司，不包含於2021年初期營運之業泓台灣公司","ISO 50001"
"=""6464""","台數科","無，無統計相關數據","",""
"=""6472""","保瑞","無，無統計相關數據","",""
