報告年度:2021,議題:廢棄物管理,,,,,,,
公司代號,公司名稱,有害廢棄物(公噸(t))-有害廢棄物(公噸(t)),非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t)),資料範圍-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證-取得驗證
2208,台船,496.74,3724.96,4221.7,台船高雄廠,4221.7,"營業額15,875,982仟元                                                                                                                                                                                    ",
2211,長榮鋼,0,9191.65,9191.65,僅母公司,0.79,百萬營業額                                                                                                                                                                                              ,
2227,裕日車,0,0,65.4,母公司,0.18,人均生活廢棄物產出量(公噸/年-人)                                                                                                                                                                        ,ISO 14001
2228,劍麟,9.4,152.99,162.39,2021全年度,0.46,人                                                                                                                                                                                                      ,ISO 14001
2231,為升,5.47,53.16,58.63,為升電裝工業(股)公司2021/01~2022/05,無，無統計相關數據,,ISO 14001
2233,宇隆,38.67,254,292.67,110/1/1-110/12/31,無，無統計相關數據,,
2236,百達-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2239,英利-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2241,艾姆勒,87.6,323.16,410.76,母公司,0.0002,產品,
2243,宏旭-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2247,汎德永業,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2248,華勝-KY,,,,,,,N/A
2250,IKKA-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2254,巨鎧精密-創,,,,,,,N/A
2258,鴻華先進-創,,,,,,,N/A
2301,光寶科,2392,3679,6071,"包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光林智能科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED",0.126,百萬營收                                                                                                                                                                                                ,ISO 14001
2302,麗正,40.71,1.903,42.613,母子公司,42.613,產品,ISO 14001
2303,聯電,25091,18963,44054,僅母公司(含新加坡分公司),0.181,wafer-m2                                                                                                                                                                                                ,ISO 14001
2305,全友,0,2.4,2.4,母公司,無，無統計相關數據,,
2308,台達電,4018.67,46042.24,50060.91,母公司及子公司之生產廠區,5,產值(單位：百萬美金)                                                                                                                                                                                    ,ISO 14001
2312,金寶,0,84,84,母公司,0.016,營業額,
2313,華通,0,0,13327,110年度,0.99,產品,
2314,台揚,5.8,51.9,57.7,母公司,0.087,員工人數                                                                                                                                                                                                ,ISO 14001
2316,楠梓電,2781.65,1189.52,3971.17,僅母公司,0.0016,產品,
2317,鴻海,453443,548328,1001771,依2021年永續報告書邊界,0.167,百萬新台幣營業額                                                                                                                                                                                        ,UL2799                                                                                                                                                                                                  
2321,東訊,0,0,5.55,110年生活垃圾+一般事業廢棄物,46,110年每人合計產生46KG廢棄物                                                                                                                                                                             ,
2323,中環,39.08,177.56,216.64,110/01/01~110/12/31,0.0567,百萬元營業額                                                                                                                                                                                            ,
2324,仁寶,1482.9,6046.5,7529.4,母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置及Compalead Eletr&#244;nica do Brasil Ind&#250;stria e Com&#233;rcio,0.01,營業額;單位為新台幣百萬元                                                                                                                                                                               ,UL 2799 (昆山2廠已取得UL 2799白金級認證，重慶(CQA)、南京廠、昆山1廠、昆山3廠持續執行符合UL 2799白金級管理標準。)                                                                                        
2327,國巨*,2125,3090.16,5215.16,母公司,0.13,百萬營業額                                                                                                                                                                                              ,ISO 14001
2328,廣宇,0,11.264,11.264,母公司,0.0009,百萬營業額                                                                                                                                                                                              ,
2329,華泰,145,2813.07,2958.07,2021.01.01-2021.12.31,0,營業額,ISO 14001
2330,台積電,339623,335080,674703,台灣廠區及子公司,0.99,單位晶圓委外廢棄物處理量（公斤／十二吋晶圓當量－光罩數）                                                                                                                                                ,UL 2799                                                                                                                                                                                                 
2331,精英,0,100.863,100.863,精英電腦股份有限公司企業總部，總部為辦公大樓，無生產製造場所，故廢棄物來源為一班生活廢棄物，無有害事業廢棄物。,0.1325,"100.863公噸/761人；精英總部大樓2021年人均生活廢棄物產生量為0.1325公噸/人.年；精英總部大樓總垃圾量100.863公噸, 資源回收量23.983公噸                                                                      ",
2332,友訊,0,0,12.189,僅母公司大樓,0.02,員工人數                                                                                                                                                                                                ,
2337,旺宏,7169,4259,11428,僅母公司,0.2226,年度總營收(百萬元)                                                                                                                                                                                      ,
2338,光罩,3.8,68.4,72.2,僅母公司,0.0011,產品,
2340,台亞,0,0,974.82,創新廠及力行廠,0.193,佰萬元營業額                                                                                                                                                                                            ,ISO 14001
2342,茂矽,298,197,495,僅母公司,0.044,產品,
2344,華邦電,3509,4218,7727,母公司,無，詳年報說明,,ISO 14001
2345,智邦,4.4,1106.1,1110.5,僅母公司,0.0225,百萬元營業額                                                                                                                                                                                            ,
2347,聯強,0,140,140,聯強台灣與合併財務報表之子公司通達智能運籌,0.13,員工人數                                                                                                                                                                                                ,
2348,海悅,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2349,錸德,0,0,143.13,僅母公司,無，無統計相關數據,,
2351,順德,1065.01,562.319,1627.329,母公司,無，無統計相關數據,,ISO 14001
2352,佳世達,627.06,3003.31,3630.37,佳世達台灣/蘇州/越南廠區,0.75,營業額,ISO 14001
2353,宏碁,0,0,1795.84,包含合併財務報表之母子公司,0.01,百萬營業額                                                                                                                                                                                              ,
2354,鴻準,3204.57,3547.55,6752.12,鴻準集團主要廠區,0,營業額,ISO9001；ISO14001                                                                                                                                                                                       
2355,敬鵬,0,0,52336.43,母公司+ 子公司 敬鵬(常熟)電子有限公司,0.0137,公噸/ M2                                                                                                                                                                                                ,ISO 14001
2356,英業達,723.17,25043.44,25766.61,"英業達股份有限公司Inventec Corporation (士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(ITO))、 英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、 英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、 上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、 Inventec (Czech) S.R.O. (ICZ)、 IEC Technologies, S . de R. L. de C. V. (IMX)",5843.12,千億營業額                                                                                                                                                                                              ,ISO 14001
2357,華碩,0,0,330.493,華碩HQ,330.493,營業額,ISO 14001
2359,所羅門,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2360,致茂,16.66,606.1,622.76,僅母公司,無，無統計相關數據,,ISO 14001
2362,藍天,0,250,250,母公司,無，無統計相關數據,,
2363,矽統,0,0,88.81,廢棄物申報三聯單,無，無統計相關數據,,
2364,倫飛,0,15.6,15.6,僅本公司高雄工廠資料,無，無統計相關數據,,
2365,昆盈,0.0008,0.0208,0.0216,"危廢：廢有機溶劑、廢膠空瓶、活性炭 固廢：生活垃圾、廢紙皮",0.0216,營業額,ISO 14001
2367,燿華,6782,2468,9250,僅母公司,0.003,產量                                                                                                                                                                                                    ,
2368,金像電,0,0,67852,母子公司,2.55,百萬元營業額                                                                                                                                                                                            ,ISO 14001
2369,菱生,76.28,994.22,1070.5,110年1月~12月,0.19,產品,ISO 14001
2371,大同,7.47,2937.31,2944.78,母公司,無，18.20公噸/億元,,ISO 14001
2373,震旦行,0,37.59,37.59,僅母公司,0,營業額,
2374,佳能,0.06,48,48.06,110年度,0.0134,營業額,ISO 14001
2375,凱美,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2376,技嘉,233.4116,2244.589,2478.0006,"技嘉科技營運總部、 桃園南平廠、中國東莞廠和寧波廠。",0.0203,百萬營業額                                                                                                                                                                                              ,ISO 14064-1：2018類別4營運廢棄物                                                                                                                                                                        
2377,微星,0,0,562.746,母公司,0.002,營業額,ISO 14001
2379,瑞昱,8.8,29.1,37.9,僅包含瑞昱新竹營運總部,27.58,營業額,
2380,虹光,16.61,60.89,77.5,母公司,0.0011,產品,ISO 14001
2382,廣達,2015.6051,56866.8094,58882.4145,資料邊界： 廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB,無，無統計相關數據,,ISO 14001
2383,台光電,1824.626,6769.889,8594.515,母公司,無，無統計相關數據,,ISO 14001
2385,群光,0,0,3986.071,群光電子(含海外各廠區，不含子公司),3986.071,營業額,ISO 14001
2387,精元,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2388,威盛,0,0,36.95,威盛電子台北總公司,無，今年度ESG專案進行相關策略及目標標的之訂定。,,
2390,云辰,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2392,正崴,93.6498,160.1216,253.7714,合併財務報表之母子公司,無，無統計相關數據,,
2393,億光,177.52,330.34,507.86,億光電子台灣地區,無，無統計相關數據,,
2395,研華,4.75,1877.69,1882.44,研華台灣、研華昆山廠區、研華日本,33.08,營業額百萬                                                                                                                                                                                              ,AA1000                                                                                                                                                                                                  
2397,友通,0.459,25.7525,26.2115,2021年汐止工廠不可回收再利用廢棄物總量,無，無統計相關數據,,
2399,映泰,無，無生產製造無有害或事業廢棄物。,無，無生產製造無有害或事業廢棄物。,無，無生產製造無有害或事業廢棄物。,,無，一般生活廢棄物法令無規範需統計。,,
2401,凌陽,0,0,91.07,母公司及廠內承租戶,0.264,人-年 (91.07噸/345人-年)                                                                                                                                                                                ,ISO 14001
2402,毅嘉,76.31,79.22,155.53,僅母公司,無，無統計相關數據,,ISO 14001
2404,漢唐,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2405,輔信,0,0,0.058,母公司,無，無統計相關數據,,
2406,國碩,1.14,285.64,286.78,國碩二廠和國碩新豐廠,0.0003,"835,000萬元                                                                                                                                                                                             ",
2408,南亞科,17473,7113,24586,母公司,0.0219,千顆晶粒                                                                                                                                                                                                ,ISO 14001
2409,友達,18099.85,64554.67,82654.52,友達全球營運據點,0.0012,產品(米平方)                                                                                                                                                                                            ,ISO9001及 ISO14001                                                                                                                                                                                      
2412,中華電,0,0,8869.93,中華電信母公司,0.0421,百萬營業額                                                                                                                                                                                              ,本公司於2021年導入BS 8001循環經濟指引，委託經環保機關認許的公民營廢棄物處理機構處理，並成為全台首家取得BS 8001循環經濟查核之電信業者。                                                                  
2413,環科,5,17,22,母公司,無，無統計相關數據,,ISO 14001
2414,精技,0,0,3.5,僅母公司之文件(紙張)銷毀量,0.0167,億營業額                                                                                                                                                                                                ,
2415,錩新,2004,57.7,2061.7,110年度,無，無統計相關數據,,
2417,圓剛,0,0,12.01,資料涵蓋範圍為總公司,0.0025,營業額,
2419,仲琦,163.298,442.402,605.7,總部+海外據點(越南),1.75,營業額,ISO9001/ISO14001                                                                                                                                                                                        
2420,新巨,0.01,0.07,0.08,母公司,0,百萬營業額                                                                                                                                                                                              ,
2421,建準,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2423,固緯,0.04,0.06,0.1,母公司,無，無統計相關數據,,
2424,隴華,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2425,承啟,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2426,鼎元,364.02,174.57,538.59,母公司,0.182,百萬營業額                                                                                                                                                                                              ,
2427,三商電,0,50.31,50.31,桃園倉庫,0.071,百萬營業額                                                                                                                                                                                              ,
2428,興勤,20.05,30.15,50.2,母公司金屬廢棄物產生量,11.47,產品,
2429,銘旺科,0,98.465,98.465,母公司+子公司(嵩達),0.102,百萬營收                                                                                                                                                                                                ,
2430,燦坤,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2431,聯昌,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2433,互盛電,0,0,0,僅母公司,0,營業額,
2434,統懋,0.55,13.33,13.88,母公司,0.1408,百萬營業額                                                                                                                                                                                              ,
2436,偉詮電,0,0,2.899,新竹廠區,0.0008,營業額單位為佰萬元                                                                                                                                                                                      ,ISO 9001
2438,翔耀,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2439,美律,22.6718,617.5813,640.2531,母公司與部分合併財務報表之子公司,0.0177,營業額單位為百萬元                                                                                                                                                                                      ,ISO 14001
2440,太空梭,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2441,超豐,360.2991,1487.224,1847.5231,超豐電子股份有限公司營運範圍,無，無統計相關數據,,
2442,新美齊,0,0,268,110年新美齊新建工程建案,無，無統計相關數據,,
2444,兆勁,1.5,10,11.5,僅本公司,0.0065,百萬營業額                                                                                                                                                                                              ,ISO 14001
2449,京元電子,364.17,2604.92,2969.09,母子公司,8652,營業額,ISO 14001
2450,神腦,0,0,20.8,母公司新店總公司共11處辦公室,0.06,單位：噸/人                                                                                                                                                                                             ,按ISO 14064-1:2018進行溫室氣體盤查，並通過SGS-Taiwan查證                                                                                                                                                
2451,創見,0,0,232.102,僅母公司,0.0162,百萬營業額                                                                                                                                                                                              ,
2453,凌群,0,0,32.16,母公司,0.0058,百萬營業額                                                                                                                                                                                              ,
2454,聯發科,0,0,184.23,僅母公司,0.0168,母公司員工人數                                                                                                                                                                                          ,
2455,全新,203.32,38.75,242.07,平鎮廠、平鎮二廠,242.07,產品,
2457,飛宏,354.1,1199.33,1553.43,合併財務報表之母子公司,0.59,人                                                                                                                                                                                                      ,ISO 14001
2458,義隆,0,0,58.3116,義隆電子、義隆香港、義晶、義碩、義傳,0.053,年-人                                                                                                                                                                                                   ,AA1000                                                                                                                                                                                                  
2459,敦吉,0,0,5.36,母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓,無，未計算,,
2460,建通,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2461,光群雷,0,0,85.06,僅母公司,0.06,百萬營業額                                                                                                                                                                                              ,
2462,良得電,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2464,盟立,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2465,麗臺,0.024,0.024,0.048,工廠,無，無統計相關數據,,
2466,冠西電,0,0,47.23,母公司宜蘭廠,0.0001,營業額,
2467,志聖,0,109,109,僅母公司,無，無統計相關數據,,
2468,華經,0,0,16.9,包含合併財務報表之母子公司,無，無統計相關數據,,
2471,資通,0,0,0.036,主要來源為辦公室廢紙。,無，無統計相關數據,,
2472,立隆電,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2474,可成,47.23,10976.88,11024.11,僅母公司台南廠區各產品製程產生的廢棄物,0.0019,產品,ISO 14001
2476,鉅祥,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2477,美隆電,1.015,15.94,16.955,110/01/01~110/12/31,0.005,營業額,ISO 14001
2478,大毅,1958.387,336.1335,2294.5205,母公司,0,營業額,ISO 14001
2480,敦陽科,0,3.16,3.16,新竹總公司,3.16,營業額,
2481,強茂,68.42,326.68,395.1,岡山廠,0.0454,營業額,ISO 14001
2482,連宇,0,0.852,0.852,母公司,無，無統計相關數據,,ISO 14001
2483,百容,0.2,43,43.2,僅母公司,無，無統計相關數據,,
2484,希華,98.47,210.16,308.63,母公司,0.11,百萬營業額                                                                                                                                                                                              ,
2485,兆赫,37342,75119.7,112461.7,僅母公司,0,營業額,ISO 9001 、ISO 14001                                                                                                                                                                                    
2486,一詮,320.8254,184.1819,505.0073,母公司,0.0002,千元營業額                                                                                                                                                                                              ,ISO 14001
2488,漢平,0.93,10.7695,11.6995,2021年委託公民營處理許可機構清除處理數量與回收業者處理之數量。,0.0047,有害0.93公噸 + 10.7695公噸 = 11.6995公噸                                                                                                                                                                ,
2489,瑞軒,43.73,4137.6,4181.33,"1.範疇涵蓋母公司(含總公司/越南廠)及子公司(蘇州樂軒科技有限公司) 2.110年瑞軒廢棄物總重量為4181.32公噸,包含非有害廢棄物4137.60公噸及有害廢棄物43.73公噸.廢棄物處理方式,有害廢棄物採焚化及物理處理,非有害廢棄物則以委託合格廠廠處理為主,焚化及回收處理次之.",0.188,營業額,ISO 14001
2491,吉祥全,0,23,23,母子公司,無，無統計相關數據,,
2492,華新科,5201.06,7776.82,12977.88,華新科技及子公司(東莞華科電子有限公司 / 蘇州華科電子有限公司 / 廣州匯僑電子有限公司),0.01,產品,ISO 14001
2493,揚博,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2495,普安,0.25,15.53,15.78,僅母公司,無，無統計相關數據,,
2496,卓越,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2497,怡利電,0,0,42.8,有害+非有害,無，無統計相關數據,,ISO 14001
2498,宏達電,8.186,500.207,508.393,範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇,86.9,廢棄物回收率                                                                                                                                                                                            ,AA1000                                                                                                                                                                                                  
2501,國建,0,0,5351,僅母公司,535,工地數量                                                                                                                                                                                                ,
2504,國產,0,0,19129,母公司各廠,無，無統計相關數據,,
2505,國揚,無，請參考報告書廢棄物處理一節p.44,無，請參考報告書廢棄物處理一節p.44,無，請參考報告書廢棄物處理一節p.44,,無，請參考報告書廢棄物處理一節p.44,,
2506,太設,無，無統計相關數據，因資本額未達規定。,無，無統計相關數據，因資本額未達規定。,無，無統計相關數據，因資本額未達規定。,,無，無統計相關數據，因資本額未達規定。,,
2509,全坤建,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2511,太子,0,0,1382.73,"其中1356.26噸為營建廢棄物占總量98.0%，26.48噸為一般廢棄物占總量 1.91%。",無，無統計相關數據,,
2514,龍邦,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2515,中工,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,ISO 14001
2516,新建,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2520,冠德,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2524,京城,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2527,宏璟,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2528,皇普,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2530,華建,0,0,398.89,母公司,無，無統計相關數據,,
2534,宏盛,0,258,258,在建工案(新店斯馨、汐止智興、北投石牌),無，無統計相關數據,,
2535,達欣工,0,0,14.56,母公司總部,0.001,營業額( /百萬 )                                                                                                                                                                                         ,
2536,宏普,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2537,聯上發,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2538,基泰,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2539,櫻花建,0,0,4262.62,母公司,0.0095,總樓地板面積㎡                                                                                                                                                                                          ,
2540,愛山林,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2542,興富發,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2543,皇昌,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2545,皇翔,無，尚未啟動,無，尚未啟動,無，尚未啟動,,無，尚未啟動,,
2546,根基,0,0,26241.77,根基2021年施工中工地,無，無統計相關數據,,
2547,日勝生,0,0,5371.115,日勝生/日鼎水務/萬達通,0.0941,日勝生: 噸/人                                                                                                                                                                                           ,ISO 14001
2548,華固,0,0,2.3016,僅母公司辦公室,0.0069,母公司樓地板面積(坪)                                                                                                                                                                                    ,
2597,潤弘,0,120,120,冬山廠冷卻用水,無，無統計相關數據,,
2601,益航,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,179769.62,海運廢棄物總量                                                                                                                                                                                          ,
2603,長榮,0,0,231.7,海上船舶及陸上營運,無，N/A,,
2605,新興,0,0,1.05,統計船隊產出之廢棄物，包含塑膠類(一般廢棄物)、食物廢棄物(廚房廢油)及有害廢棄物(汙油水/ Sludge)。,無，無統計相關數據,,
2606,裕民,0,0,0.38,"船上食物廢棄物、紙、玻璃、金屬、 塑膠及食用油",無，無統計相關數據,,DNV VeriSustain 中度保證等級                                                                                                                                                                            
2607,榮運,無，詳年報說明,無，詳年報說明,無，詳年報說明,,無，無,,
2608,嘉里大榮,0,0,1618.8,嘉里大榮物流組織全部(母公司),0.15,營業額,
2609,陽明,0,0,311.655,七堵總公司、台灣營業部、基隆分公司(含基隆陽明貨櫃場)。,無，無統計相關數據,,ISO14064                                                                                                                                                                                                
2610,華航,0,0,1570,一般生活，資源回收，廚餘/廢料，事業廢棄物。,0.1441,廢棄物總重量/總員工數                                                                                                                                                                                   ,ISO 14001
2611,志信,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2612,中航,0,0,128,"合併公司楊梅,台中,高雄場區之般廢棄物",0.036,佰萬營業額                                                                                                                                                                                              ,
2613,中櫃,0,0,685.23,本公司,無，無統計相關數據,,ISO 14001
2614,東森,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2615,萬海,0,0,732.99,台中高雄專用碼頭+台北辦公室,0.62,噸/人，分母為台灣員工總人數                                                                                                                                                                             ,ISO 14001
2616,山隆,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2617,台航,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2618,長榮航,0,0,191.665,僅母公司,0.0007,每人每日廢棄物產出量(以24小時計算)                                                                                                                                                                      ,ISO 14001
2630,亞航,0,0,116.27,本公司廠區(松山、台中、台南(含歸仁)、屏東)所產生之廢棄物量。,0.0299,百萬營業額                                                                                                                                                                                              ,
2633,台灣高鐵,0,0,5947.35,車站及基地,無，詳年報說明,,
2634,漢翔,456.48,1660.16,2116.64,僅母公司,0.09,百萬營業額                                                                                                                                                                                              ,ISO 14001
2636,台驊控股,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2637,慧洋-KY,無，統計單位為立方公尺：1057立方公尺,無，統計單位為立方公尺：1057立方公尺,無，統計單位為立方公尺：1057立方公尺,,0.0002,廢棄物量/船隊總噸位數                                                                                                                                                                                   ,
2642,宅配通,0,703,703,台灣宅配通股份有限公司,無，無統計相關數據,,
2646,星宇航空,,,,,,,N/A
2701,萬企,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2702,華園,0,0,54,僅為母公司,43665,千元營業額                                                                                                                                                                                              ,
2704,國賓,0,198.8972,198.8972,"2021/1/1~2021/12/31以國賓大飯店為主體，包 含台北、新竹、高雄三館",0.0001,千元營業額                                                                                                                                                                                              ,
2705,六福,0,0,688.7237,母公司之主要營運地，包含總公司及南港分公司,0.0006,營業額-千元                                                                                                                                                                                             ,
2706,第一店,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2707,晶華,0,0,1228.75,台北晶華,0.5249,百萬營業額                                                                                                                                                                                              ,
2712,遠雄來,0,0,81122,母公司,0.0002,營業額,
2722,夏都,0,137.3,137.3,僅為母公司,無，無統計相關數據,,
2723,美食-KY,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2727,王品,0,0,13296,含王品、王莆(子公司)、群品(子公司),4,一門店                                                                                                                                                                                                  ,                                                                                                                                                                                                        
2731,雄獅,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2739,寒舍,0,0,2033.215,母公司,0.0009,仟元營業額                                                                                                                                                                                              ,                                                                                                                                                                                                        
2748,雲品,0,0,297.335,合併財務報表母子公司,0.2049,營業額,
2753,八方雲集,0,3709.8,3709.8,母公司淡水廠、西螺廠、高雄廠,0.92,百萬營業額                                                                                                                                                                                              ,
2762,世界健身-KY,,,,,,,N/A
2801,彰銀,0,0,118.63,總行(臺北大樓),無，無統計相關數據,,
2812,台中銀,0,0,211.0653,總行民權及民族大樓、南台中分行及太平員訓中心,無，無統計相關數據,,
2816,旺旺保,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2820,華票,0,0,0.082,總公司與5家分公司,0.0005,廢棄辦公傢俱                                                                                                                                                                                            ,
2832,台產,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,
2834,臺企銀,0,0,15.03,總行大樓110年10-12月,0.021,總行大樓702人                                                                                                                                                                                           ,ISO 14001
2836,高雄銀,無，無統計相關數據,無，無統計相關數據,無，無統計相關數據,,無，無統計相關數據,,ISO 14001
2838,聯邦銀,0,173.7,173.7,全行各單位,無，無統計相關數據,,
2845,遠東銀,0,0,239.56,母公司國內據點,0.093,人                                                                                                                                                                                                      ,
2849,安泰銀,0,31.92,31.92,110年度資訊設備及廢紙銷毀,無，無統計相關數據,,
2850,新產,0,0,44.88,總公司,0.1,服務,
2851,中再保,0,0,3.96,母公司,無，無統計相關數據,,
2852,第一保,0,0,72.421,全公司,無，無統計相關數據,,
2855,統一證,0,0,75.14,總部大樓,0.1149,人均                                                                                                                                                                                                    ,
2867,三商壽,0,0,9.62,信義總公司,無，無統計相關數據,,
2880,華南金,0,0,268.6,國內各子公司營運總部,無，資料完整度不足,,
2881,富邦金,0,0,912,富邦金控、富邦人壽、台北富邦銀行、富邦產物及富邦證券。,0.0255,人 (員工)                                                                                                                                                                                               ,ISO14001、ISO14064                                                                                                                                                                                      
2882,國泰金,0,0,1246.29,包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募)之國內據點,26.84,總員工數                                                                                                                                                                                                ,ISO14064-1                                                                                                                                                                                              
2883,凱基金,0,0,488.73,包含合併報表之母子公司，員工涵蓋率99.27%,無，無統計相關數據,,
2884,玉山金,0,697.8,697.8,100%持有合併財務報表之母子公司，其中95%國內據點有實際盤查，另外5%海外據點為推估值,0.012,營收百萬元                                                                                                                                                                                              ,ISO 14001、ISO 14064                                                                                                                                                                                    
2885,元大金,0,0,661.18,公司或包含合併財務報表之母子公司之台灣營運範疇,0.06,人均產生廢棄物                                                                                                                                                                                          ,ISO 14001
2886,兆豐金,0,125.756,125.756,包括集團五棟自有大樓（兆金、兆吉、兆證、兆產及衡陽等大樓）廢棄物。,0.0149,國內員工人數                                                                                                                                                                                            ,
2887,台新新光金,0,0,804.81,以台新銀行三棟自有大樓廢棄物量推估至全金控,0.0723,員工人數                                                                                                                                                                                                ,GRI準則-核心選項與AA1000AS v3第二類型中度保證等級查證                                                                                                                                                   
