報告年度:2021,議題:水資源管理,,,,,
公司代號,公司名稱,用水量(公噸(t))-用水量(公噸(t)),資料範圍-資料範圍,用水密集度-用水密集度,用水密集度-單位,取得驗證-取得驗證
1101,台泥,2996430,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),0.4821,產品,
1102,亞泥,2462000,亞泥個體公司,0.668,產品,
1103,嘉泥,122,包含企業團所有台灣營運據點（用水量含總部嘉新大樓承租戶）及日本沖繩飯店；目前統計尚不含大陸地區。,0.0555,"營業額 2,197,183 (仟元)                                                                                                                                                                                 ",
1104,環泥,19100,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場之自來水用量,0.005,產值(新台幣千元)                                                                                                                                                                                        ,
1108,幸福,972782,幸福水泥(股)公司東澳廠,1.572,產品,
1109,信大,224407.041,僅信大母公司南聖湖工廠,無，無統計相關數據,,
1110,東泥,17600,工廠,0.0253,產品,
1201,味全,1906416,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠) 2.台中廠、斗六廠為地下水1,307,550公噸佔68.6%，總公司、中央研究所、營業所、高雄廠為自來水598,866公噸佔31.4%。",12.82,產品,
1203,味王,325390,自來水+地下水,146.457,營業額,
1210,大成,無，無統計相關數據,,無，無統計相關數據,,
1213,大飲,98.587,僅母公司,無，NA,,NA                                                                                                                                                                                                      
1215,卜蜂,922914,南投肉食品加工廠、台中飼料廠、高雄飼料廠,無，無統計相關數據,,
1216,統一,4232747,僅母公司,992.97,營業收入千萬元                                                                                                                                                                                          ,
1217,愛之味,416493,母公司自來水用量,58.7,產品,
1218,泰山,616697,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,71.543,營業額,
1219,福壽,396858,母公司、子公司,0.0268,營業額,
1220,台榮,790354,本公司雲林廠及高雄飼料廠,29966.1534,營業額(億元)                                                                                                                                                                                            ,
1225,福懋油,58085,涵蓋範圍:僅母公司,無，無統計相關數據,,
1227,佳格,427914,佳格母公司,0.342,萬元營業額                                                                                                                                                                                              ,
1229,聯華,51.77,"母公司-聯華實業投資控股(股)公司以及 子公司-聯華製粉食品(股)公司、聯華置產(股)公司",0.0082,營業額;單位為新台幣佰萬元                                                                                                                                                                               ,
1231,聯華食,595.357,臺灣地區的總公司及各工廠之所有營運相關之活動,0.0626,百萬營業額                                                                                                                                                                                              ,
1232,大統益,236050,僅母公司,0.237,黃豆總加工量                                                                                                                                                                                            ,
1233,天仁,87230,本公司天仁茶業股份有限公司直營單位,78.9026,分母以營業額為百萬元之計算                                                                                                                                                                              ,
1234,黑松,809000,中壢廠,4.12,產品,
1235,興泰,3310,依110年台灣自來水公司使用度數資訊,0.0806,營業額,
1236,宏亞,47513,母公司,0,營業額,
1256,鮮活果汁-KY,175016,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,48.586,營業額,
1301,台塑,24602210,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.73,17679.46,耗水量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.73                                                                                                                                       ,ISO 14046                                                                                                                                                                                               
1303,南亞,20830240,母公司,0.0958,單位:公噸/110年個體營業額(千元)。                                                                                                                                                                       ,ISO 14046                                                                                                                                                                                               
1304,台聚,998098,台聚高雄廠,4.002,產品,ISO 46001                                                                                                                                                                                               
1305,華夏,2964600,華夏頭份廠、華聚林園廠、台氯林園廠,2.62,產品,
1307,三芳,165861,母公司,219.39,百萬營業額                                                                                                                                                                                              ,
1308,亞聚,508888,亞聚林園廠,3.74,產品,
1309,台達化,1110246,前鎮廠、林園廠、頭份廠、中山廠,1.95,產品,
1310,台苯,1427585,110年高雄廠原水用量。,3.77,產品,
1312,國喬,2469000,國喬石油化學股份有限公司高雄廠,135.93,營業額,
1313,聯成,142250,聯成林園廠,無，無統計相關數據,,
1314,中石化,8856000,僅母公司,0.0003,"用水量:8,856,000公噸，營業收入:35,163,380仟元                                                                                                                                                           ",
1315,達新,4590,母公司,無，無統計相關數據,,
1316,上曜,769,僅母公司,無，無統計相關數據,,
1319,東陽,701176,母公司,51.06,百萬營業額                                                                                                                                                                                              ,
1321,大洋,96.84,母公司,0.6834,產品,
1323,永裕,146951,"台灣永裕 71740公噸 上海永裕 71926公噸 威瑪精密化學 3285公噸",0.0376,台灣永裕 (71740)/1907428千元=0.0376                                                                                                                                                                     ,
1324,地球,39128.33,母公司(幼一二廠),0,營業額,
