"報告年度:2023","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料範圍-資料範圍","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""1414""","東和","41.0523","麻豆工廠","0.0724","公噸/百萬元營業額","N/A"
"=""1416""","廣豐","N/A","N/A","N/A","N/A","N/A"
"=""1417""","嘉裕","N/A","N/A","N/A","N/A","N/A"
"=""1418""","東華","1,258.0000","新竹廠區","61.1200","公噸/百萬元營業額","N/A"
"=""1419""","新紡","63,799.2000","大溪廠及大園廠","20.1820","公噸/百萬元營業額","N/A"
"=""1423""","利華","N/A","N/A","0.0000","公噸/百萬元營業額","N/A"
"=""1432""","大魯閣","172,671.0000","尚未盤點，將於2024年開始盤點，並於2025年揭露","N/A","N/A","N/A"
"=""1434""","福懋","4,108,000.0000","台灣廠區","186.6300","公噸/百萬元營業額","ISO 46001"
"=""1435""","中福","206.0200","全公司","N/A","N/A","N/A"
"=""1436""","華友聯","0.1930","僅母公司","N/A","N/A","N/A"
"=""1437""","勤益控","N/A","N/A","N/A","N/A","N/A"
"=""1438""","三地開發","N/A","N/A","N/A","N/A","N/A"
"=""1439""","雋揚","1,006.2606","母公司","N/A","N/A","N/A"
"=""1440""","南紡","678,210.0000","本公司個體","70.0000","公噸/百萬元營業額","ISO14001"
"=""1441""","大東","N/A","N/A","N/A","N/A","N/A"
"=""1442""","名軒","231.1240","母公司","N/A","N/A","N/A"
"=""1443""","立益物流","N/A","N/A","N/A","N/A","N/A"
"=""1444""","力麗","389,473.7000","化纖總廠、假撚總廠","1.5446","公噸/產品","N/A"
"=""1445""","大宇","N/A","N/A","N/A","N/A","N/A"
"=""1446""","宏和","15,432.0000","母公司","120.5625","公噸/百萬元營業額","N/A"
"=""1447""","力鵬","4,541,830.0000","楊梅廠區、彰化尼龍總廠、彰化紡織廠","39.9712","公噸/產品","N/A"
"=""1449""","佳和","1,742,978.0000","原水","0.3850","公噸/產品","N/A"
"=""1451""","年興","2,186,971.0000","台灣後龍廠區+越南成衣廠區+墨西哥紡織廠+賴索托成衣廠+賴索托紡織廠","343.9274","公噸/百萬元營業額","N/A"
"=""1452""","宏益","36,815.0000","包含合併財務報表之母子公司","1.9957","公噸/產品","N/A"
"=""1453""","大將","N/A","N/A","N/A","N/A","N/A"
"=""1454""","台富","N/A","N/A","N/A","N/A","N/A"
"=""1455""","集盛","512,364.0000","一至五廠區","3.3500","公噸/產品","N/A"
"=""1456""","怡華","1,835,745.0000","台南官田廠","N/A","N/A","1.經濟部發布之用水回收率查驗作業指引 2.用水計畫審核管理辦法 3.耗水費徵收管理辦法"
"=""1457""","宜進","3,611.0000","「宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司) 台北公司","3.8333","公噸/百萬元營業額","N/A"
"=""1459""","聯發","5,825.0000","工廠","9.1000","公噸/百萬元營業額","N/A"
"=""1460""","宏遠","1,835,252.0000","母公司","183.4804","公噸/產品","N/A"
"=""1463""","強盛","402,000.0000","母公司","N/A","N/A","N/A"
"=""1464""","得力","1,707.8100","僅母公司","0.0800","公噸/產品","N/A"
"=""1465""","偉全","N/A","N/A","N/A","N/A","N/A"
"=""1466""","聚隆","185,535.0000","涵蓋聚隆纖維股份有限公司「埔鹽廠」、「芳苑廠」、「斗六廠」，地理位置範圍分別為「彰化縣埔鹽鄉永樂村番金路 94 號」、「彰化縣芳苑鄉後寮村工區路 45 號」、「雲林縣斗六市斗工十路 150 號」 ","94.3917","公噸/百萬元營業額","N/A"
"=""1467""","南緯","40,590.0000","台灣總部、越南產區","27.3000","公噸/百萬元營業額","N/A"
"=""1468""","昶和","600.0730","百萬元營業額","22.0000","公噸/產品","N/A"
"=""1470""","大統新創","537,382.0000","合併財務報表之母子公司之桃園廠區","158.0000","公噸/產品","N/A"
"=""1471""","首利","N/A","N/A","N/A","N/A","N/A"
"=""1472""","三洋實業","9,720.0000","包含集團總部及全國承攬的在建案工地","55.5400","年度人均","N/A"
"=""1473""","台南","16,987.0000","臺南企業總部","0.2610","公噸/百萬元營業額","N/A"
"=""1474""","弘裕","15,059.0000","弘裕企業公司(伸港廠、全興廠、和美廠)","9.8533","公噸/產品","N/A"
"=""1475""","業旺","N/A","N/A","N/A","N/A","N/A"
"=""1476""","儒鴻","2,431,033.0000","包含合併財務報表之母子公司","78.9540","公噸/百萬元營業額","ISO 46001"
"=""1477""","聚陽","676,633.0000","聚陽股份有限公司(總公司)、 Leader Garments Corp.、 Moha Garments Co., Ltd.、 Triple Garment(Vietnam) Co., Ltd.、 Makalot Garments(Vietnam) Co., Ltd.、 Makalot Garments(Cambodia) Co., Ltd.、 PT. Glory Industrial Semarang、  PT. Starlight Garment Semarang、 Leader Garment(Vietnam) Co., Ltd.、 Jiaxing Ruiyang Garment Co.,  Ltd.、 Jiaxing Rising Garment Co., Ltd.、 Jiaxing Suntex Garment Co., Ltd. ","20.8500","公噸/百萬元營業額","ISO 14046(驗證範圍-聚陽台北總公司) 、ISAE3000(下述資料邊界範圍)"
"=""1503""","士電","204.7900","揭露範疇以本公司四大事業群(三廠區)為主，不包含台北總部及各地分公司。","0.0080","百萬公升/百萬元營業額","N/A"
"=""1504""","東元","86,940.0000","台灣地區、大陸/越南地區、美國地區、義大利地區 ","1.5000","公噸/百萬元營業額","N/A"
"=""1506""","正道","13,295.0000","僅統計母公司(正道工業仁德廠區)用水量","14.1738","公噸/百萬元營業額","N/A"
"=""1512""","瑞利","N/A","N/A","N/A","N/A","N/A"
"=""1513""","中興電","17,151,000.0000","112年度","774.4908","公噸/百萬元營業額","N/A"
"=""1514""","亞力","24,729.0000","僅母公司，其中含總公司、新莊廠、楊梅廠","2.7214","公噸/百萬元營業額","N/A"
"=""1515""","力山","6,877.0000","母公司","1.0252","公噸/百萬元營業額","N/A"
"=""1516""","川飛","N/A","N/A","N/A","N/A","N/A"
"=""1517""","利奇","4,759.3029","利奇機械工業股份有限公司 總公司：彰化市石牌里石牌路一段112號 南崗廠：南投縣南投市南崗工業區工業南五路8號","3.4902","公噸/百萬元營業額","N/A"
"=""1519""","華城","58,583.0000","包含合併財務報表之母子公司","64.8040","公噸/人","N/A"
"=""1521""","大億","49,832.0000","總公司：台南市南區新信路11號 金茂廠：台南市南區新樂路39號1-3樓","10.8000","公噸/百萬元營業額","N/A"
"=""1522""","堤維西","97,012.0000","水費單","7.6604","公噸/百萬元營業額","N/A"
"=""1524""","耿鼎","72,434.0000","母公司","0.0374","公噸/產品","N/A"
"=""1525""","江申","16,010.0000","母公司","10.0188","公噸/百萬元營業額","N/A"
"=""1526""","日馳","12,021.0000","日馳企業股份有限公司","12.0794","公噸/百萬元營業額","N/A"
"=""1527""","鑽全","N/A","N/A","N/A","N/A","N/A"
"=""1528""","恩德","N/A","N/A","N/A","N/A","N/A"
"=""1529""","樂事綠能","3,312.0000","楊梅工廠","4.4021","公噸/百萬元營業額","N/A"
"=""1530""","亞崴","N/A","N/A","N/A","N/A","N/A"
