"報告年度:2023","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料範圍-資料範圍","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""2211""","長榮鋼","50,474.0000","僅母公司(長榮鋼鐵)","6.1610","公噸/百萬元營業額","N/A"
"=""2227""","裕日車","3,412,500.0000","本公司2023年用水量","130.5700","公噸/百萬元營業額","N/A"
"=""2228""","劍麟","28,394.0000","僅工廠用水度數","15.8730","公噸/百萬元營業額","N/A"
"=""2231""","為升","19,296.0000","僅母公司","4.3900","公噸/百萬元營業額","N/A"
"=""2233""","宇隆","14,290.1000","母公司","9.0500","公噸/百萬元營業額","N/A"
"=""2236""","百達-KY","N/A","N/A","N/A","N/A","N/A"
"=""2239""","英利-KY","476.0000","本公司和臺灣子公司","N/A","N/A","N/A"
"=""2241""","艾姆勒","64,675.0000","母公司","0.0407","公噸/產品","N/A"
"=""2243""","宏旭-KY","N/A","N/A","N/A","N/A","N/A"
"=""2247""","汎德永業","81,291.3900","合併財務報表全據點","1.5990","公噸/百萬元營業額","N/A"
"=""2250""","IKKA-KY","N/A","N/A","N/A","N/A","N/A"
"=""2254""","巨鎧精密-創","N/A","N/A","N/A","N/A","N/A"
"=""2258""","鴻華先進-創","10,485.0000","台灣總公司（寶高園區）、新北裕隆汽車城、桃園觀音實驗室、彰化整車實驗室","10.1198","公噸/百萬元營業額","確信準則3000號非屬歷史性財務資訊查核或核閱之確信案件"
"=""2301""","光寶科","2,066,626.0000","光寶科技中和廠、光寶科技新莊辦公室、光寶科技內湖大樓、光寶科技高雄營運中心、光寶科技(常州)有限公司、光寶光電(常州)有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、惠州市力信電子有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、建興光電科技(北海)有限公司、光寶電子(廣州)有限公司、敦揚（廣州）汽車電子有限公司、光寶智能汽車(廣州)有限公司、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON AUTOMOTIVE ELECTRONICS MEXICO, S.A. DE C.V.、LITE-ON VIETNAM CO., LTD.","15.0700","公噸/百萬元營業額","N/A"
"=""2302""","麗正","N/A","N/A","96.6932","公噸/產品","N/A"
"=""2303""","聯電","17,258,137.0000","母公司(含新加坡分公司) ","93.0800","公噸/wafer-m2","ISO 14001、ISO 14046"
"=""2305""","全友","4,042.0000","母公司","44.2856","公噸/百萬元營業額","N/A"
"=""2308""","台達電","4,293,600.0000","全球據點 ","10.4600","公噸/百萬元營業額","ISO14001"
"=""2312""","金寶","1,387,641.1413","合併財務報表之母子公司","8.6859","公噸/百萬元營業額","N/A"
"=""2313""","華通","10,389,700.0000","蘆竹廠、大園廠及惠州電腦、惠州精密、重慶廠、蘇州廠","174.8754","公噸/百萬元營業額","N/A"
"=""2314""","台揚","41,216.0000","台揚新竹廠","12.2893","公噸/百萬元營業額","N/A"
"=""2316""","楠梓電","1,129,302.0000","僅母公司","1.0900","公噸/產品","N/A"
"=""2317""","鴻海","85,234,800.4700","合併財務報表之母子公司","13.8300","公噸/百萬元營業額","N/A"
"=""2321""","東訊","20,697.0000","台灣自來水帳單資料","N/A","N/A","N/A"
"=""2323""","中環","309,000.0000","僅母公司","530.0000","公噸/員工數","N/A"
"=""2324""","仁寶","2,068,110.0000","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京），重慶翊寶智慧電子裝置 、Compal Wise Electronic (Vietnam)、 Compalead Eletrônica do Brasil Indústria e Comércio Ltda、Compal Electronica DA Amazonia Ltda","2.1800","公噸/百萬元營業額","N/A"
"=""2327""","國巨","1,082.9870","母公司","0.0367","公噸/百萬元營業額","N/A"
"=""2328""","廣宇","2,128.6495","母公司","0.1840","公噸/百萬元營業額","N/A"
"=""2329""","華泰","1,437,900.0000","母公司","86.1511","公噸/百萬元營業額","ISO 46001"
"=""2330""","台積電","101,001,617.0000","台灣廠區及部分子公司。 用水量：天然水。 總取水量、總耗水量：天然水+再生水。","176.4318","天然水用量公升/十二吋晶圓當量-光罩數","International Water Stewardship Standard V2.0"
"=""2331""","精英","961,200.0000","精英電腦臺灣總部、興英數位科技(深圳)有限公司、精英科技(泰國)股份有限公司及精強科技股份有限公司","48.6887","公噸/百萬元營業額","N/A"
"=""2332""","友訊","11,341.0000","公司總部大樓","22.5467","員工人數","N/A"
"=""2337""","旺宏","2,684,080.0000","旺宏總部、晶圓二廠、晶圓五廠、測試廠 ","97.1648","公噸/百萬元營業額","經濟部發布之用水回收率查驗作業指引，用水計畫審核管理辦法及耗水費徵收辦法政策之規範"
"=""2338""","光罩","196,427.0000","202301~202312","9.8389","公噸/產品","N/A"
"=""2340""","台亞","1,655,282.0000","2023年度","84,220.0000","公噸/百萬元營業額","ISO 46001"
"=""2342""","茂矽","630,224.0000","僅母公司","78.9900","以每單位產品m²計算","N/A"
"=""2344""","華邦電","4,356,250.0000","母公司","116.0000","公噸/百萬元營業額","ISO 46001"
"=""2345""","智邦","62,718.0000","母公司","0.7457","公噸/百萬元營業額","N/A"
"=""2347""","聯強","19,697.0000","涵蓋聯強國際集團及子公司嘉榮行銷股份有限公司，部分子公司通達運籌股份有限公司","18.0375","人均用水密集度 (公噸/人)","N/A"
"=""2348""","海悅","N/A","N/A","N/A","N/A","N/A"
"=""2349""","錸德","106,137.9843","僅母公司","0.0421","公噸/百萬元營業額","N/A"
"=""2351""","順德","1,404.3950","母公司","0.1670","公噸/百萬元營業額","N/A"
"=""2352""","佳世達","416,628.5000","台灣、蘇州、越南","142.1003","公噸/百萬美金產值","N/A"
"=""2353""","宏碁","141,795.9500","包含合併財務報表之母子公司","0.5876","公噸/百萬元營業額","N/A"
"=""2354""","鴻準","942,530.0000","大陸主要營運據點(瀋陽、煙臺、太原、晉城、昆山、佛山、南寧)","12.6514","公噸/百萬元營業額","AWS水資源管理標準認證"
"=""2355""","敬鵬","3,459,953.4839","2023/01/01~2023/12/31","0.0521","公噸/百萬產值","N/A"
"=""2356""","英業達","974,000.0000","個體公司：英業達股份有限公司，含士林總部(IET)、桃科廠(TAO)、電腦廠(ITO)。 合併報表子公司：英業達(重慶)有限公司(ICC)、英業達科技有限公司(IPT)、上海順詮科技有限公司(SQT)、Inventec (Czech) S.R.O(ICZ)、IEC Technologies, S. de R.L. De C.V.(IMX)。  ","1.2241","公噸/百萬元資料範圍營業額","N/A"
"=""2357""","華碩","197,123.0000","華碩全台辦公室","24.7000","公噸/員工人數","ISO 46001"
"=""2359""","所羅門","17,817.0000","母公司+子公司(富相電子)","4.2221","公噸/百萬元營業額","N/A"
"=""2360""","致茂","85,756.8000","致茂電子總部、華亞廠、致茂電子新竹分公司、致茂電子高雄分公司","0.0046","公噸/百萬元營業額","N/A"
"=""2362""","藍天","N/A","N/A","N/A","N/A","N/A"
"=""2363""","矽統","N/A","N/A","N/A","N/A","N/A"
"=""2364""","倫飛","6,855.0000","總公司、高雄廠、昆山倫騰、美國DURABOOK","0.0063","公噸/百萬元營業額","N/A"
"=""2365""","昆盈","23,552.0000","台北總公司及東莞廠","N/A","N/A","N/A"
"=""2367""","燿華","2,062,073.0000","燿華電子股份有限公司-全廠區","148.3300","公噸/百萬元營業額","N/A"
"=""2368""","金像電","6,932.9294","包含台灣母公司以及大陸三個子公司","0.2306","公噸/百萬元營業額","N/A"
"=""2369""","菱生","917,136.0000","菱生T1-T6廠","194.0700","公噸/百萬元營業額","N/A"
"=""2371""","大同","522,653.0000","總公司、大園廠、桃園電線電纜廠、電表中心、桃園壹廠、三峽廠。","27.5913","公噸/百萬元營業額","ISO 14001"
"=""2373""","震旦行","35,701.0000","僅母公司","10.9244","公噸/百萬元營業額","N/A"
"=""2374""","佳能","6,355.0000","佳能企業股份有限公司","11.9500","無","N/A"
"=""2375""","凱美","389,979.5300","子公司","138.7333","公噸/百萬元營業額","N/A"
"=""2376""","技嘉","249,770.0000","技嘉科技營運總部、桃園南平廠、中國東莞及寧波廠","1.8262","公噸/百萬元營業額","N/A"
"=""2377""","微星","661,288.0000","微星科技股份有限公司中和廠(微星台北)、微星科技股份有限公司桃園廠(微星桃園)、恩斯邁電子(深圳)有限公司(恩斯邁電子)及微盟電子(昆山)有限公司(微盟電子)","3.6100","百萬公升/百萬元營收","N/A"
"=""2379""","瑞昱","70,119.6648","瑞昱新竹一廠、二廠、三廠、台北辦公室、南科辦公室總用(耗)水量","13.4612","噸／人年","N/A"
"=""2380""","虹光","10,697.0000","僅母公司","290.0000","取水量/員工人數","N/A"
"=""2382""","廣達","2,827,820.0000","廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB 	","N/A","N/A","N/A"
"=""2383""","台光電","676,069.0000","合併報表之母子公司(不含美國子公司)","0.0164","公噸/仟元營業額","N/A"
"=""2385""","群光","249,548.4746","母公司(台北總部)、合併財務報表之子公司(東莞清溪廠、東莞茂瑞廠、蘇州吳江廠、重慶江津廠、泰國廠)","2.5381","公噸/百萬元營業額","N/A"
"=""2387""","精元","N/A","N/A","N/A","N/A","N/A"
"=""2388""","威盛","21,900.0000","威盛電子台北總公司","1.7327","公噸/百萬元營業額","N/A"
"=""2390""","云辰","N/A","N/A","N/A","N/A","N/A"
"=""2392""","正崴","2,918.0000","正崴主要生產廠區","N/A","N/A","N/A"
"=""2393""","億光","695,629.0000","苗栗苑裡、苗栗銅鑼、蘇州吳江、廣東中山","48.2905","公噸/百萬元營業額","N/A"
"=""2395""","研華","115,639.0000","2023年度","33.0964","人","N/A"
"=""2397""","友通","22,453.3500","汐止總部、桃園工廠、新店研發辦公室","5.6000","公噸/百萬元營業額","N/A"
"=""2399""","映泰","5,843.2000","母公司","0.0025","公噸/百萬元營業額","ISO 14001"
"=""2401""","凌陽","28,260.0000","112/01/01~112/12/31","5.1084","公噸/百萬元營業額","N/A"
"=""2402""","毅嘉","122,743.0000","母公司","21.2468","公噸/百萬元營業額","N/A"
"=""2404""","漢唐","12,158.0000","台灣總部大樓及工程處","0.5084","公噸/百萬元營業額","N/A"
"=""2405""","輔信","5.5600","母公司","N/A","N/A","N/A"
"=""2406""","國碩","50,209.0000","國碩二廠及國碩新豐廠","55.6278","公噸/百萬元營業額","N/A"
"=""2408""","南亞科","3,384,722.0000","母公司","3.3800","公噸/千顆晶粒","ISO 14001"
"=""2409""","友達","18,410,000.0000","製程總用水量","0.3300","公噸/產品","ISO 46001"
"=""2412""","中華電","2,168,135.0000","數據涵蓋範疇為100%營運據點","9.7000","公噸/百萬元營業額","N/A"
"=""2413""","環科","25,619.0000","母公司","5.5648","公噸/百萬元營業額","N/A"
"=""2414""","精技","5,036.0000","僅母公司","0.2459","公噸/百萬元營業額","N/A"
"=""2415""","錩新","N/A","N/A","N/A","N/A","N/A"
"=""2417""","圓剛","N/A","N/A","0.0040","辦公室使用面積坪數","N/A"
"=""2419""","仲琦","30,084.0000","母公司及越南、蘇州子公司","3.1992","公噸/百萬元營業額","N/A"
"=""2420""","新巨","32,655.0000","母公司及各生產基地","15.3600","公噸/百萬元營業額","N/A"
"=""2421""","建準","299,535.0000","建準電機工業股份有限公司(高雄總部及工廠、台北辦事處) 昆山廣興電子有限公司 北海建準電子有限公司 北海立準電子有限公司 Sunon Electronics Philippines Corp.  Sunon Inc.  Sunon SAS  Sunon Electronics India Private Limited ","23.1934","公噸/百萬元營業額","N/A"
"=""2423""","固緯","12.3100","本公司設置於工業區內非生態保育之相關區域，取用水均來自自來水公司，自來水公司供應2023年取水量為12.31百萬公升，取水量用途主要用於生活用水，本年度並無發生因本公司營運取水而受顯著影響的水源。","N/A","N/A","N/A"
"=""2424""","隴華","N/A","N/A","N/A","N/A","N/A"
"=""2425""","承啟","N/A","N/A","N/A","N/A","N/A"
"=""2426""","鼎元","734,551.0000","僅母公司","366.5607","公噸/百萬元營業額","N/A"
"=""2427""","三商電","3,034.0000","總公司及桃園倉庫","9.1386","公噸/員工人數","N/A"
"=""2428""","興勤","350,276.0000","本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司","32.0877","公噸CO₂e/百萬pcs產品","N/A"
"=""2429""","銘旺科","22,541.0000","母公司","N/A","N/A","N/A"
"=""2430""","燦坤","N/A","N/A","N/A","N/A","N/A"
"=""2431""","聯昌","N/A","N/A","N/A","N/A","N/A"
"=""2432""","倚天酷碁-創","486.2204","僅申報公司 ","0.2331","公噸/百萬元營業額","N/A"
"=""2433""","互盛電","3,944.0000","僅母公司","2.7600","公噸/百萬元營業額","N/A"
"=""2434""","統懋","4,648.0000","母公司","151.4204","公噸/百萬元營業額","N/A"
"=""2436""","偉詮電","8,469.5037","偉詮電子股份有限公司","2.9351","公噸/百萬元營業額","N/A"
"=""2438""","翔耀","N/A","N/A","N/A","N/A","N/A"
"=""2439""","美律","3,665,700.0000","台灣總部、美律深圳、美律越南、美律泰國、美律新加坡、美律香港、歐仕達、美律美國、美律北美、美律馬來西亞","17.0500","用水量(度)÷全年合計工時","由台灣SGS於報告書稽核時特別就水資源做集團數據的查核"
"=""2440""","太空梭","N/A","N/A","N/A","N/A","N/A"
"=""2441""","超豐","1,045,388.0000","母公司","77.0651","公噸/百萬元營業額","N/A"
"=""2442""","新美齊","11,585.0000","112年新美齊新建工程建案","N/A","N/A","N/A"
"=""2444""","兆勁","N/A","N/A","N/A","公噸/百萬元營業額","N/A"
"=""2449""","京元電子","3,425.9300","全集團","0.1037","百萬公升/百萬元","ISO 46001"
"=""2450""","神腦","31,743.0000","神腦全據點(含辦公室、特約門市、維修門市及倉儲中心)","0.0011","佰萬元/百萬公升","N/A"
"=""2451""","創見","29,150.0000","僅母公司","2.7772","公噸/百萬元營業額","N/A"
"=""2453""","凌群","10,817.0000","母公司","1.7689","公噸/百萬元營業額","N/A"
"=""2454""","聯發科","507,000.0000","全台灣營運據點","41.4860","公噸/全台灣營運據點員工數","N/A"
"=""2455""","全新","77,374.0000","平鎮廠、平鎮二廠","14.4756","公噸/產品","N/A"
"=""2457""","飛宏","200,920.0000","飛宏科技(股)公司(PHT)/馳諾瓦科技(股)公司(ZTM)/飛宏(東莞)電子有限公司(PHC)/飛宏(東莞)電子有限公司鐵松廠區(PHCJ)/越南飛宏有限公司(PHV)","16.2920","公噸/百萬元營業額","N/A"
"=""2458""","義隆","18,405.0000","義隆電子(新竹)、義晶、義碩","29.9200","每年每人","AA1000"
"=""2459""","敦吉","4,026.0000","母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓","N/A","N/A","N/A"
"=""2460""","建通","6,408.0000","112年度","N/A","N/A","N/A"
"=""2461""","光群雷","11,606.0000","僅母公司","8.2063","公噸/百萬元營業額","N/A"
"=""2462""","良得電","N/A","N/A","N/A","N/A","N/A"
"=""2464""","盟立","N/A","N/A","N/A","N/A","N/A"
"=""2465""","麗臺","N/A","N/A","N/A","N/A","N/A"
"=""2466""","冠西電","9,959.9480","母公司總公司、母公司宜蘭廠","26.4621","公噸/百萬元營業額","N/A"
"=""2467""","志聖","13,491.0000","母公司","3.7206","公噸/百萬元營業額","N/A"
"=""2468""","華經","1,714.0000","統計之資料範圍以台灣營運據點，包含本公司及各地分公司及子公司","N/A","N/A","N/A"
"=""2471""","資通","8,044.0000","包含合併財務報表之母子公司","N/A","N/A","N/A"
"=""2472""","立隆電","286.0000","立隆電子、立隆(蘇州)、立隆(惠州)、立隆(蘇州)科技","N/A","N/A","N/A"
"=""2474""","可成","1,202,314.0000","僅母公司台南廠區之自來水錶取水與回收水量加總","258.1083","公噸/百萬元營業額","ISO 14001"
"=""2476""","鉅祥","17,881.3968","鉅祥公司「新屋廠」桃園市新屋區九洲路1號、「新屋廠廠外宿舍」桃園市新屋區校前路143巷35,37號及鉅祥公司「八德廠」桃園市八德區榮興路73巷32號","9.2038","公噸/百萬元營業額","N/A"
"=""2477""","美隆電","2,940.0000","112/01/01-112/12/31 ","1.3700","公噸/百萬元營業額","N/A"
"=""2478""","大毅","298.4300","母公司","39.4300","公噸/百萬元營業額","N/A"
"=""2480""","敦陽科","1,433.0000","新竹總公司及牛埔倉庫","0.8135","公噸/百萬元營業額","N/A"
"=""2481""","強茂","323,484.0000","岡山廠","41.0000","公噸/百萬元營業額","N/A"
"=""2482""","連宇","6,119.0000","僅母公司","N/A","N/A","N/A"
"=""2483""","百容","45,646.0000","僅母公司","38.0000","公噸/百萬元營業額","N/A"
"=""2484""","希華","67,939.0000","母公司","30.9940","公噸/百萬元營業額","N/A"
"=""2485""","兆赫","37,434.0000","僅母公司","6.4353","公噸/百萬元營業額","N/A"
"=""2486""","一詮","108,624.0000","母公司2023/01/01~2023/12/31","41.8029","公噸/百萬元營業額","N/A"
"=""2488""","漢平","7,610.0000","漢平電子台灣總部","0.0030","取水量(百萬公升)/營業收入(佰萬元)","N/A"
"=""2489""","瑞軒","104,180.0000","母公司與部分合併報表子公司","0.0062","公噸/百萬元營業額","N/A"
"=""2491""","吉祥全","N/A","N/A","N/A","N/A","N/A"
"=""2492""","華新科","1,732.2258","母公司及主要生產基地之子公司(東莞華科/蘇州華科/廣州匯僑)","0.0570","公噸/百萬元營業額","N/A"
"=""2493""","揚博","16.9360","母公司孫公司","N/A","N/A","N/A"
"=""2495""","普安","12,200.0000","母公司","N/A","N/A","N/A"
"=""2496""","卓越","N/A","N/A","N/A","N/A","N/A"
"=""2497""","怡利電","25,379.0000","112年度整年用水量","0.0116","千元營業額","N/A"
"=""2498""","宏達電","89,900.0000","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","48.9671","公噸/平均每人/年","AA1000"
"=""2501""","國建","1,831.5247","僅母公司","0.2682","公噸/百萬元營業額","N/A"
"=""2504""","國產","183,439.0000","總公司、汐止廠、台中廠及台南廠","N/A","N/A","N/A"
"=""2505""","國揚","N/A","N/A","N/A","N/A","N/A"
"=""2506""","太設","0.0078","本公司工地使用水量。","0.0050","公噸/元營業額","N/A"
"=""2509""","全坤建","1,259.0000","台北辦公室","5.6339","公噸/百萬元營業額","N/A"
"=""2511""","太子","322,240.0000","母公司","N/A","N/A","N/A"
"=""2514""","龍邦","1,361.0000","母公司","24.8730","公噸/百萬元營業額","N/A"
"=""2515""","中工","218,933.0000","母公司","12.3462","公噸/百萬元營業額","N/A"
"=""2516""","新建","75,375.0000","公司總部及全國各專案工程施工單位均列入統計範圍","N/A","N/A","N/A"
"=""2520""","冠德","1,417,967.9000","自來水公司","N/A","N/A","N/A"
"=""2524""","京城","42.5560","京城建設股份有限公司總部","N/A","N/A","N/A"
"=""2527""","宏璟","96,534.0000","包含合併財報之境內母子公司 ","41.6926","公噸/百萬元營業額","N/A"
"=""2528""","皇普","1,060.0000","本公司","N/A","N/A","N/A"
"=""2530""","華建","2,933.0300","大華建設台北及台中辦公室、華建開發辦公室、工地區域","0.0719","面積(平方公尺)","N/A"
"=""2534""","宏盛","N/A","N/A","N/A","N/A","N/A"
"=""2535""","達欣工","72,034.0000","總部大樓及工地","4.7984","公噸/百萬元營業額","N/A"
"=""2536""","宏普","0.0642","母公司","0.0000","公噸/百萬元營業額","N/A"
"=""2537""","聯上發","N/A","N/A","N/A","N/A","N/A"
"=""2538""","基泰","N/A","N/A","N/A","N/A","N/A"
"=""2539""","櫻花建","16,340.0000","母公司","0.0300","樓地板面積","N/A"
"=""2540""","愛山林","N/A","N/A","N/A","N/A","N/A"
"=""2542""","興富發","2,161.0000","本公司辦公室","0.1632","公噸/百萬元營業額","N/A"
"=""2543""","皇昌","130,005.0000","皇昌營造總部據點及各施工案場","11.5304","公噸/百萬元營業額","N/A"
"=""2545""","皇翔","N/A","N/A","N/A","N/A","N/A"
"=""2546""","根基","84,561.6300","公司總部及全國在建工地自來水用量","5.9165","公噸/百萬元營業額","N/A"
"=""2547""","日勝生","1,793.0000","母公司","1.4200","公噸/百萬元營業額","N/A"
"=""2548""","華固","1,362.0000","總公司7樓辦公區域","20.9500","公噸/公司內業人數","N/A"
"=""2597""","潤弘","157,012.6200","(1) 台北總公司辦公室：台北市中山區八德路二段10樓、12樓(潤弘精密工程事業股份有限公司及潤陽營造股份有限公司) (2) 楊梅預鑄廠：桃園市楊梅區泰圳路1442號 (3)工地","9.1505","m3/百萬營收","N/A"
"=""2601""","益航","905,966.3600","益航及大洋商業集團","164.6912","公噸/百萬元營業額","N/A"
"=""2603""","長榮","383,961.0000","長榮海運母公司暨合併財報子公司所營運之貨櫃船舶以及國內外營業據點","1.3876","公噸/百萬元營業額","N/A"
"=""2605""","新興","N/A","N/A","N/A","N/A","N/A"
"=""2606""","裕民","1.3457","船舶艙底水及排泄汙水","0.0000","千元營業額","DNV VeriSustain 中度保證等級"
"=""2607""","榮運","77,642.0000","長榮國際儲運股份有限公司營運場址","N/A","N/A","N/A"
"=""2608""","嘉里大榮","194,427.6484","母公司全組織","20.4747","公噸/百萬元營業額","N/A"
"=""2609""","陽明","313,683.0000","母公司陸地據點含貨櫃場及營運船舶 ","N/A","N/A","N/A"
"=""2610""","華航","187,250.0000","華航園區(自來水、雨水)、修護廠區(自來水)、台北分公司(自來水)、松山園區(自來水) ","0.7684","公噸/百萬元營業額","ISAE3000"
"=""2611""","志信","N/A","N/A","N/A","N/A","N/A"
"=""2612""","中航","15,212.0000","本公司統計數據涵蓋海運、陸運、倉儲物流及商用車等合併公司","N/A","N/A","N/A"
"=""2613""","中櫃","17,981.0000","基隆站、五堵站、台中站、31W","6.1500","公噸/百萬元營業額","N/A"
"=""2614""","東森","21,350.0000","僅母公司","14.8618","公噸/百萬元營業額","N/A"
"=""2615""","萬海","181,490.0000","母公司及集團船隊（台中辦公室除外）","N/A","N/A","N/A"
"=""2616""","山隆","N/A","N/A","N/A","N/A","N/A"
"=""2617""","台航","4.8500","母公司","N/A","N/A","N/A"
"=""2618""","長榮航","149,241.0000","僅母公司。","0.6300","自來水度數/樓地板面積(m2)","ISO 14001 環境管理系統"
"=""2630""","亞航","44,687.0000","松山廠、台中廠、台南廠(含歸仁場站)、屏東廠、空勤外站(高雄、花蓮、台東機場)、停機線維修(桃園、台中、台南、高雄機場)","9.1879","公噸/百萬元營業額","N/A"
"=""2633""","台灣高鐵","709,144.0000","基地及車站","0.0097","度/旅客","N/A"
"=""2634""","漢翔","1,403,563.0000","母公司","35.9800","公噸/百萬元營業額","N/A"
"=""2636""","台驊投控","N/A","N/A","N/A","N/A","N/A"
"=""2637""","慧洋-KY","1,953.0000","母公司總部辦公大樓","11.7651","公噸/員工人數","N/A"
"=""2642""","宅配通","50,329.0000","台灣母公司","N/A","N/A","N/A"
"=""2645""","長榮航太","249,980.0000","製造廠、維修廠","N/A","N/A","N/A"
"=""2646""","星宇航空","89,330.0000","水資源使用之數據統計範疇涵蓋：台北內湖總部、星宇航空形象門市( 台北)、台中辦事處(2023 年8 月啟用)、桃園國際機場園區內之營運據點( 桃園運籌中心、一航廈辦公室、二航廈辦公室、桃園機場之機坪辦公室和勤務工廠、保稅大樓、維修棚廠、遠雄貨運辦公室) 等營運據點。","0.0050","百萬公升/ 百萬元營業額","N/A"
"=""2701""","萬企","36,400.0000","以萬華企業為主體","122.5600","公噸/百萬元營業額","N/A"
"=""2702""","華園","12,388.0000","華園飯店草衙館","155.6086","公噸/百萬元營業額","N/A"
"=""2704""","國賓","136,277.0000","台北館、新竹館","106.6330","公噸/百萬元營業額","N/A"
"=""2705""","六福","295,768.0000","母公司","133.8275","公噸/百萬元營業額","N/A"
"=""2706""","第一店","24,850.0000","台北市南京東路二段六十三號(第一大飯店)","72.4490","公噸/服務","N/A"
"=""2707""","晶華","469,525.0000","母公司","122.0814","公噸/百萬元營業額","N/A"
"=""2712""","遠雄來","154,500.0000","母公司","235.5183","公噸/百萬元營業額","N/A"
"=""2722""","夏都","180,821.0000","包含合併財務報表之母子公司","236.4059","公噸/百萬元營業額","N/A"
"=""2723""","美食-KY","140,490.0000","台灣營運活動","N/A","N/A","N/A"
"=""2727""","王品","1,819,553.0000","含王品、王莆(子公司)、群品(子公司)、萬鮮(子公司)","105.2982","公噸/百萬元營業額","確信準則3000號"
"=""2731""","雄獅","24,642.0000","同前22個單位","N/A","N/A","N/A"
"=""2739""","寒舍","888,602.0000","母公司","185.1254","公噸/百萬元營業額","N/A"
"=""2748""","雲品","312,568.0000","總管理處、君品酒店、雲品溫泉酒店、頤品大飯店","132.4400","公噸/百萬元營業額","N/A"
"=""2753""","八方雲集","60,113.8200","⺟公司及台灣⼦公司","0.0013","公噸/產品","N/A"
"=""2762""","世界健身-KY","2,697,880.0000","根據台灣水民國112年2月份帳單起記日民國111年11月1日及臺北水民國112年2月份帳單起記日民國111年11月25日至台灣水民國113年1月份帳單訖記日12月20日及臺北水民國113年2月份帳單訖記日12月29日","N/A","N/A","N/A"
"=""2801""","彰銀","154,083.0746","母公司之國內全數營運據點","3.9949","公噸/百萬元營業額","ISO 46001"
"=""2812""","台中銀","54,045.5400","母公司個體之全台營運據點","21.0200","人均使用量","N/A"
"=""2816""","旺旺保","11,349.0000","旺旺友聯搜集了15個營運據點（包含總公司、14家分公司）的能源使用資訊","N/A","公噸/服務","其他"
"=""2820""","華票","2,486.0000","總公司及5家分公司","N/A","N/A","N/A"
"=""2832""","台產","11,901.0000","總分公司","1.7583","公噸/百萬元營業額","環保署飲用水水質標準"
"=""2834""","臺企銀","163.2000","合併財務報表之母子公司","0.0051","公噸/百萬元營業額","N/A"
"=""2836""","高雄銀","21,882.2239","母公司","5.7272","公噸/百萬元營業額","ISO14064-3"
"=""2838""","聯邦銀","72,362.1498","全行各單位","4.7213","公噸/百萬元營業額","N/A"
"=""2845""","遠東銀","65,154.0000","本行所有據點","25.4900","人均","N/A"
"=""2849""","安泰銀","36,642.0000","安泰商業銀行股份有限公司(53個據點)","6.2928","公噸/百萬元營業額","ISAE3410"
"=""2850""","新產","25,195.8404","全台據點","1.2637","公噸/百萬元營業額","N/A"
"=""2851""","中再保","3,222.0000","中央再保險股份有限公司 台北市中山區南京東路二段53號6F、10F、11F、12F、13F","0.1500","公噸/百萬元營業額","N/A"
"=""2852""","第一保","7,600.0000","總公司","8.8785","公噸/組織特定度量(員工人數)","N/A"
"=""2855""","統一證","28,751.0000","證券總、分公司","3.3128","公噸/百萬元營業額","N/A"
"=""2867""","三商壽","13.4051","全省據點","12.3915","用水度數/人力","N/A"
"=""2880""","華南金","275,247.0000","集團各公司所有據點共311處","24.7200","度/人","ISO 46001"
"=""2881""","富邦金","538,278.8658","包含 : 富邦金控、富邦人壽、台北富邦銀行、富邦產險、富邦證券、富邦投信、富邦期貨、富邦投顧、北富銀創投、富邦育樂、富邦運動場館、日盛銀行(2023年併入台北富邦銀行)、日盛證券(2023年併入富邦證券) 、富邦銀行(香港)、富邦華一銀行、富邦私募股權(2023年納入)、富邦財險(廈門)(2023年納入)。","13.2958","公噸/員工人數","N/A"
"=""2882""","國泰金","655,060.0000","包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募、電業)之國內據點","14.6200","公噸/人(公噸/總員工數)","ISO 46001"
"=""2883""","開發金","223,873.0000","國內全數據點(不含凱基人壽國內所有通訊處)","5.6600","公噸/百萬元營業額","AA1000AS v3第二類型中度保證等級"
"=""2884""","玉山金","242,972.0000","100%持有合併財務報表之母子公司","3.6430","公噸/百萬元營業額","ISO 46001"
"=""2885""","元大金","165,288.0300","元大金控暨子公司(國內營運邊界)","629.6000","公升/立方公尺","ISO 46001"
