"報告年度:2023","議題:持股及控制力"
"公司代號","公司名稱","前10大股東持股情況-前10大股東持股情況"
"=""1101""","台泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1101_20240521F17.pdf"
"=""1102""","亞泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1102_20240625F17.pdf"
"=""1103""","嘉泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1103_20240524F17.pdf"
"=""1104""","環泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1104_20240621F17.pdf"
"=""1108""","幸福","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1108_20240618F17.pdf"
"=""1109""","信大","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1109_20240619F17.pdf"
"=""1110""","東泥","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1110_20240621F17.pdf"
"=""1201""","味全","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1201_20240627F17.pdf"
"=""1203""","味王","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1203_20240626F17.pdf"
"=""1210""","大成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1210_20240607F17.pdf"
"=""1213""","大飲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1213_20241016F17.pdf"
"=""1215""","卜蜂","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1215_20240625F17.pdf"
"=""1216""","統一","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1216_20240627F17.pdf"
"=""1217""","愛之味","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1217_20240621F17.pdf"
"=""1218""","泰山","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1218_20240528F17.pdf"
"=""1219""","福壽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1219_20240605F17.pdf"
"=""1220""","台榮","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1220_20240627F17.pdf"
"=""1225""","福懋油","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1225_20240626F17.pdf"
"=""1227""","佳格","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1227_20240619F17.pdf"
"=""1229""","聯華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1229_20240527F17.pdf"
"=""1231""","聯華食","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1231_20240614F17.pdf"
"=""1232""","大統益","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1232_20240613F17.pdf"
"=""1233""","天仁","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1233_20240613F17.pdf"
"=""1234""","黑松","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1234_20240619F17.pdf"
"=""1235""","興泰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1235_20240618F17.pdf"
"=""1236""","宏亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1236_20240524F17.pdf"
"=""1256""","鮮活果汁-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1256_20240606F17.pdf"
"=""1301""","台塑","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1301_20240620F17.pdf"
"=""1303""","南亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1303_20240619F17.pdf"
"=""1304""","台聚","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1304_20240531F17.pdf"
"=""1305""","華夏","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1305_20240528F17.pdf"
"=""1307""","三芳","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1307_20240619F17.pdf"
"=""1308""","亞聚","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1308_20240530F17.pdf"
"=""1309""","台達化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1309_20240531F17.pdf"
"=""1310""","台苯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1310_20240531F17.pdf"
"=""1312""","國喬","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1312_20240607F17.pdf"
"=""1313""","聯成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1313_20240524F17.pdf"
"=""1314""","中石化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1314_20240530F17.pdf"
"=""1315""","達新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1315_20240621F17.pdf"
"=""1316""","上曜","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1316_20240529F17.pdf"
"=""1319""","東陽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1319_20240618F17.pdf"
"=""1321""","大洋","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1321_20240531F17.pdf"
"=""1323""","永裕","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1323_20240527F17.pdf"
"=""1324""","地球","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1324_20240619F17.pdf"
"=""1325""","恆大","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1325_20240621F17.pdf"
"=""1326""","台化","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1326_20240618F17.pdf"
"=""1337""","再生-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1337_20240614F17.pdf"
"=""1338""","廣華-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1338_20240531F17.pdf"
"=""1339""","昭輝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1339_20240530F17.pdf"
"=""1340""","勝悅-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1340_20240624F17.pdf"
"=""1341""","富林-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1341_20240612F17.pdf"
"=""1342""","八貫","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1342_20240523F17.pdf"
"=""1402""","遠東新","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1402_20240627F17.pdf"
"=""1409""","新纖","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1409_20240530F17.pdf"
"=""1410""","南染","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1410_20240619F17.pdf"
"=""1413""","宏洲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1413_20240527F17.pdf"
"=""1414""","東和","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1414_20240618F17.pdf"
"=""1416""","廣豐","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1416_20240530F17.pdf"
"=""1417""","嘉裕","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1417_20240619F17.pdf"
"=""1418""","東華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1418_20240625F17.pdf"
"=""1419""","新紡","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1419_20240528F17.pdf"
"=""1423""","利華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1423_20240621F17.pdf"
"=""1432""","大魯閣","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1432_20240531F17.pdf"
"=""1434""","福懋","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1434_20240621F17.pdf"
"=""1435""","中福","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1435_20240615F17.pdf"
"=""1436""","華友聯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1436_20240619F17.pdf"
"=""1437""","勤益控","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1437_20240607F17.pdf"
"=""1438""","三地開發","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1438_20240626F17.pdf"
"=""1439""","雋揚","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1439_20240627F17.pdf"
"=""1440""","南紡","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1440_20240529F17.pdf"
"=""1441""","大東","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1441_20240527F17.pdf"
"=""1442""","名軒","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1442_20240619F17.pdf"
"=""1443""","立益物流","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1443_20240612F17.pdf"
"=""1444""","力麗","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1444_20240621F17.pdf"
"=""1445""","大宇","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1445_20240530F17.pdf"
"=""1446""","宏和","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1446_20240614F17.doc"
"=""1447""","力鵬","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1447_20240621F17.pdf"
"=""1449""","佳和","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1449_20240625F17.pdf"
"=""1451""","年興","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1451_20240618F17.pdf"
"=""1452""","宏益","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1452_20240614F17.pdf"
"=""1453""","大將","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1453_20240614F17.pdf"
"=""1454""","台富","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1454_20240529F17.pdf"
"=""1455""","集盛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1455_20240606F17.pdf"
"=""1456""","怡華","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1456_20240530F17.pdf"
"=""1457""","宜進","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1457_20240619F17.pdf"
"=""1459""","聯發","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1459_20240626F17.pdf"
"=""1460""","宏遠","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1460_20240614F17.pdf"
"=""1463""","強盛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1463_20240625F17.pdf"
"=""1464""","得力","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1464_20240607F17.pdf"
"=""1465""","偉全","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1465_20240531F17.pdf"
"=""1466""","聚隆","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1466_20240621F17.pdf"
"=""1467""","南緯","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1467_20240614F17.pdf"
"=""1468""","昶和","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1468_20240619F17.pdf"
"=""1470""","大統新創","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1470_20240625F17.pdf"
"=""1471""","首利","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1471_20240619F17.pdf"
"=""1472""","三洋實業","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1472_20240527F17.pdf"
"=""1473""","台南","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1473_20240524F17.pdf"
"=""1474""","弘裕","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1474_20240626F17.pdf"
"=""1475""","業旺","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1475_20240625F17.pdf"
"=""1476""","儒鴻","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1476_20240612F17.pdf"
"=""1477""","聚陽","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1477_20240628F17.pdf"
"=""1503""","士電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1503_20240619F17.pdf"
"=""1504""","東元","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1504_20240524F17.pdf"
"=""1506""","正道","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1506_20240611F17.pdf"
"=""1512""","瑞利","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1512_20240624F17.pdf"
"=""1513""","中興電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1513_20240527F17.pdf"
"=""1514""","亞力","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1514_20240626F17.pdf"
"=""1515""","力山","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1515_20240530F17.pdf"
"=""1516""","川飛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1516_20240607F17.pdf"
"=""1517""","利奇","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1517_20240625F17.pdf"
"=""1519""","華城","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_1519_20240613F17.pdf"
