"報告年度:2023","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""1418""","東華","1","www.tonghwa.com.tw"
"=""1419""","新紡","1","http://www.sktextile.com.tw"
"=""1423""","利華","1","www.reward.com.tw/contact.htm"
"=""1432""","大魯閣","1","https://www.taroko.com.tw/crs-stakeholder-01/"
"=""1434""","福懋","2","http://www.ftc.com.tw"
"=""1435""","中福","1","www.chungfutex.com.tw"
"=""1436""","華友聯","1","https://www.huakai.com.tw/blank-17"
"=""1437""","勤益控","2","http://www.gtm.com.tw/web/stakeholder/stakeholder.jsp"
"=""1438""","三地開發","1","http://www.sandirealestate.com.tw/WebMaster/?section=1"
"=""1439""","雋揚","2","https://www.ascentglobal.com.tw/tw/governance/stakeholder"
"=""1440""","南紡","2","www.tainanspin.com.tw"
"=""1441""","大東","2","investors.tahtong.com.tw/index.htm"
"=""1442""","名軒","1","http://www.advancetek.com.tw/利害關係人專區.pdf"
"=""1443""","立益物流","1","www.lily.com.tw"
"=""1444""","力麗","1","https://www.lealeagroup.com.tw/project/"
"=""1445""","大宇","1","http://www.utc.tw/UNIVERSAL/Service13.aspx"
"=""1446""","宏和","1","www.hongho.com.tw"
"=""1447""","力鵬","1","https://www.lealeagroup.com.tw/project/49/66/"
"=""1449""","佳和","1","www.chgtex.com"
"=""1451""","年興","1","https://www.nhjeans.com/investor-relations/inquiries/"
"=""1452""","宏益","1","https://www.hongyilon.com.tw/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E5%B0%88%E5%8D%80"
"=""1453""","大將","1","http://www.tajiang.com.tw/finance_info.aspx?tag_id=T0022"
"=""1454""","台富","2","http://www.ttfco.com"
"=""1455""","集盛","1","http://www.zigsheng.com/corporate-social-responsibility-zh/sustainable-business-zh/#stakeholders"
"=""1456""","怡華","1","http://www.ihwa.com.tw/stakeholders.html"
"=""1457""","宜進","1","www.yijinn.com.tw/interested-parties"
"=""1459""","聯發","2","http://main.lanfa.com.tw/index.php/2015-12-29-17-51-00"
"=""1460""","宏遠","1","http://www.everest.com.tw/_chinese/08_contact/01_contact.aspx"
"=""1463""","強盛","1","www.csgroup.com.tw"
"=""1464""","得力","2","http://www.delicacy.com.tw/zh-tw/Investor/投資人服務窗口/利害關係人專區"
"=""1465""","偉全","1","http://web.wisher.com.tw/wisher/index.php/stock-info-4"
"=""1466""","聚隆","1","https://www.acelon.com.tw/zh-tw/stakeholder-contact"
"=""1467""","南緯","1","www.texray.com"
"=""1468""","昶和","2","www.chang-ho.com.tw/content/"
"=""1470""","大統新創","2","www.evertex.tw/tw/about/永續發展/利害關係人專區"
"=""1471""","首利","1","www.soly-tech.com"
"=""1472""","三洋實業","1","https://reurl.cc/MjMnXL"
"=""1473""","台南","2","www.eng.tai-nan.com/%E5%89%AF%E6%9C%AC-vision-values?lang=zh"
"=""1474""","弘裕","2","http://www.textile-hy.com.tw/利害關係人.htm"
"=""1475""","業旺","1","http://www.big-sunshine.com.tw"
"=""1476""","儒鴻","7","http://www.eclat.com.tw/zh-tw/investors/"
"=""1477""","聚陽","25","https://www.makalot.com.tw/contact-us"
"=""1503""","士電","1","https://www.seec.com.tw/Content/Qr/List.aspx?SiteID=10&MmmID=707056724650466542"
"=""1504""","東元","15","https://www.teco.com.tw/esg/?gid=1&nid=906"
"=""1506""","正道","1","https://www.rightway.com.tw/index.php?temp=investor&lang=cht"
"=""1512""","瑞利","1","www.juili.com.tw/c/inv_6.htm"
"=""1513""","中興電","2","WWW.CHEM.COM.TW/A_CONTACT.ASPX"
"=""1514""","亞力","1","https://goo.gl/Dc81zK"
"=""1515""","力山","2","https://www.rexon.net/esg-survery.php"
"=""1516""","川飛","1","www.falconpower.tw/stakeholders/"
"=""1517""","利奇","1","http://www.leechi.com.tw/our_5.html"
"=""1519""","華城","1","https://www.fortune.com.tw/contact_stakeholder.aspx"
"=""1521""","大億","1","https://www.tayih-ind.com.tw/investors/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA"
"=""1522""","堤維西","1","https://www.tyc.com.tw/stakeholders"
"=""1524""","耿鼎","1","http://www.gordon.com.tw/Interested_ta.html"
"=""1525""","江申","2","https://www.kian-shen.com/tw/Web/page/63"
"=""1526""","日馳","1","www.sunrace.tw"
"=""1527""","鑽全","2","www.basso.com.tw"
"=""1528""","恩德","1","www.anderson.com.tw"
"=""1529""","樂事綠能","4","http://luxe.com.tw/"
"=""1530""","亞崴","1","www.awea.com/tw/investor/stakeholders.html"
"=""1531""","高林股","1","https://siruba.com/tw/investor-7/"
