"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","驗證標準-取得驗證"
"=""2007""","燁興","0.0000","7,425.0000","7,425.0000","本公司","1.4800","公噸/百萬元營業額","N/A"
"=""2008""","高興昌","0.0000","496.5700","496.5700","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","0.3400","公噸/百萬元營業額","N/A"
"=""2009""","第一銅","458.1800","364.8300","823.0100","第一伸銅科技股份有限公司臨海廠","0.1082","公噸/產品","N/A"
"=""2010""","春源","0.0000","11,179.0000","11,179.0000","春源鋼鐵母公司在台灣之營運據點","0.0284","公噸/產品","ISO 14001"
"=""2012""","春雨","4,360.0000","2,103.6400","6,463.6400","岡山廠","N/A","N/A","ISO 14001"
"=""2013""","中鋼構","0.0000","3,754.2100","3,754.2100","母公司","0.2520","公噸/百萬元營業額","N/A"
"=""2014""","中鴻","17,240.8800","85,965.2400","103,206.1200","112/1/1~112/12/31(中鴻公司)","2.7330","公噸/百萬元營業額","N/A"
"=""2015""","豐興","31,062.0000","303,258.0000","334,320.0000","僅母公司","9.5843","公噸/百萬元營業額","ISO 14001"
"=""2017""","官田鋼","0.0000","2,019.7200","2,019.7200","官田廠、麻豆廠","0.0254","公噸/產品","N/A"
"=""2020""","美亞","30.8900","7,529.7680","7,560.6580","埔心總廠","1.0800","公噸/百萬元營業額","ISO 14001"
"=""2022""","聚亨","1,236.8600","984.4600","2,221.3200","母公司 (一廠  ; 二廠 ; 三廠)","0.0361","公噸/產品","N/A"
"=""2023""","燁輝","146.7700","72,924.3700","73,071.1400","母公司","2.9600","公噸/百萬元營業額","N/A"
"=""2024""","志聯","614.0000","127.0000","741.0000","公司＋工廠","0.8090","公噸/百萬元營業額","ISO 14001"
"=""2025""","千興","0.0000","804.4500","804.4500","僅母公司","0.0011","公噸/千元營業額","N/A"
"=""2027""","大成鋼","0.0000","746.2400","746.2400","母公司","0.0127","公噸/產品","N/A"
"=""2028""","威致","11,691.3800","144,562.6600","156,254.0400","個別公司","0.2943","公噸/產品","N/A"
"=""2029""","盛餘","173.4076","3,819.1400","3,992.5476","僅母公司","0.0030","公噸/產品","N/A"
"=""2030""","彰源","0.0000","798.0000","798.0000","2023年一廠、二廠、三廠、元山、元富廠、大連廠、員製課、南營部、北營部。","0.0088","公噸/產品","N/A"
"=""2031""","新光鋼","0.0000","168.5232","168.5232","新光鋼鐵股份有限公司(觀音廠、彰濱廠、高雄廠)","0.0124","公噸/百萬元營業額","N/A"
"=""2032""","新鋼","0.0000","37.7000","37.7000","新莊廠、大園廠","N/A","N/A","N/A"
"=""2033""","佳大","0.0000","153.9600","153.9600","母公司","N/A","N/A","N/A"
"=""2034""","允強","337.0200","753.4200","1,090.4400","僅母公司所有廠區","0.0084","公噸/產品","ISO 14001"
"=""2038""","海光","5,209.1400","33,182.7300","38,391.8700","有害廢棄物：集塵灰。非有害廢棄物：氧化碴、還原碴產出。","4.1473","公噸/百萬元營業額","N/A"
"=""2049""","上銀","475.0000","9,594.0000","10,069.0000","全公司2023年1月到12月","0.5700","公噸/百萬元營業額","ISO 14001"
"=""2059""","川湖","30.5800","229.3700","259.9500","母公司及子公司川益科技(股)公司兩個廠區","0.0289","噸 / 千組產品","ISO 14001"
"=""2062""","橋椿","90.1700","1,201.7900","1,291.9600","2023/1/1~12/31","N/A","N/A","N/A"
"=""2069""","運錩","0.0000","26.6100","26.6100","母公司","N/A","N/A","ISO 14001"
"=""2101""","南港","0.0000","2,219.3800","2,219.3800","2023年","0.5682","公噸/百萬元營業額","ISO 14001"
"=""2102""","泰豐","0.0000","50.7800","50.7800","僅母公司","N/A","N/A","N/A"
"=""2103""","台橡","2,802.7900","3,602.5660","6,405.3560","僅包含報告邊界內具製造生產活動的廠區與子公司。有關2 家以貿易業務為主之控股子公司Polybus 及TSRC (Lux.)，及以辦公室事務為主的全球企業總部及TSRC Specialty Materials LLC 辦公室，僅產生生活垃圾，無有害廢棄物。","12.0627","公噸/產品","ISO 14001"
"=""2104""","國際中橡","475.8500","947.5300","1,423.3800","子公司林園先進","0.0175","公噸/產品","ISO 14001"
"=""2105""","正新","0.2400","2,931.2700","2,931.5100","母公司","0.1680","公噸/百萬元營業額","N/A"
"=""2106""","建大","13.9000","2,138.1000","2,152.0000","台灣地區","0.0625","公噸/百萬元營業額","ISO 14001"
"=""2107""","厚生","1.7200","96.7600","98.4800","母公司","0.0724","公噸/百萬元營業額","N/A"
"=""2108""","南帝","15.5500","1,050.9000","1,066.4500","僅母公司","0.0104","公噸/產品","ISO 14001"
"=""2109""","華豐","0.0000","340.7200","340.7200","一般事業廢棄物及廢橡膠總量","0.1625","公噸/百萬元營業額","ISO 14001"
"=""2114""","鑫永銓","0.0000","563.0000","563.0000","母公司","N/A","N/A","N/A"
"=""2115""","六暉-KY","60.0766","1,870.9020","1,930.9786","子公司(廈門廈暉、PT. LUHAI)","N/A","N/A","N/A"
"=""2201""","裕隆","27.3842","3,343.7140","3,371.0982","裕隆汽車母公司個體營運據點(三義廠區)","0.1337","公噸/百萬元營業額","N/A"
"=""2204""","中華","42.0559","10,044.2400","10,086.2959","楊梅廠與新竹廠廢棄物清運量","0.1904","公噸/產品","ISO 14001"
"=""2206""","三陽工業","0.0000","11,068.7100","11,068.7100","新竹廠、新豐廠、零件業務部、宿舍","0.2200","公噸/百萬元營業額","ISO 14001"
"=""2207""","和泰車","N/A","N/A","N/A","N/A","0.0711","公噸/人","N/A"
"=""2208""","台船","656.9500","3,639.3900","4,296.3400","台船公司高雄廠區","0.2198","公噸/百萬元營業額","N/A"
"=""2211""","長榮鋼","0.0000","8,042.3300","8,042.3300","僅母公司(長榮鋼鐵)","0.9817","公噸/百萬元營業額","N/A"
"=""2227""","裕日車","0.0000","4.8200","4.8200","本公司產出之生活廢棄物","0.0002","公噸/百萬元營業額","ISO 14001"
"=""2228""","劍麟","25.5600","175.9200","201.4800","僅母公司(工廠)","0.1126","公噸/百萬元營業額","ISO 14001"
"=""2231""","為升","5,736.0000","18,537.0000","24,273.0000","僅母公司","4.2100","公噸/百萬元營業額","N/A"
"=""2233""","宇隆","40.3400","319.0000","359.3400","母公司","0.2276","公噸/百萬元營業額","N/A"
"=""2236""","百達-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2239""","英利-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2241""","艾姆勒","17.6700","108.2000","125.8700","母公司","0.0001","公噸/產品","N/A"
"=""2243""","宏旭-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2247""","汎德永業","N/A","N/A","546.3500","合併財務報表全據點","0.0107","公噸/百萬元營業額","N/A"
"=""2250""","IKKA-KY","N/A","N/A","N/A","N/A","N/A","N/A","ISO 9001,ISO 14001,IATF16949"
"=""2254""","巨鎧精密-創","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2258""","鴻華先進-創","0.0000","247.0000","247.0000","營運最終產生的事業及辦公室廢棄物","0.2400","公噸/百萬元營業額","N/A"
"=""2301""","光寶科","1,683.0000","3,343.0000","5,026.0000","光寶科技中和廠、光寶科技新莊辦公室、光寶科技內湖大樓、光寶科技高雄營運中心、光寶科技(常州)有限公司、光寶光電(常州)有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、惠州市力信電子有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、建興光電科技(北海)有限公司、光寶電子(廣州)有限公司、敦揚（廣州）汽車電子有限公司、光寶智能汽車(廣州)有限公司、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON AUTOMOTIVE ELECTRONICS MEXICO, S.A. DE C.V.、LITE-ON VIETNAM CO., LTD.","0.1490","公噸/百萬元營業額","ISO 14001"
"=""2302""","麗正","1.9000","19.1910","21.0910","母子公司","0.0840","公噸/產品","ISO 14001"
"=""2303""","聯電","39,496.0000","24,811.0000","64,307.0000","合併財務報表之母子公司","0.2180","公噸/wafer-m2","ISO 14001"
"=""2305""","全友","2.0400","1.1000","3.1400","母公司","0.0300","公噸/百萬元營業額","N/A"
"=""2308""","台達電","4,301.0000","45,003.0000","49,304.0000","全球據點 ","0.1200","公噸/百萬元營業額","ISO14001、UL2799"
"=""2312""","金寶","2,247.8795","9,552.9323","11,800.8118","合併財務報表之母子公司","0.0739","公噸/百萬元營業額","N/A"
"=""2313""","華通","55,121.0000","19,534.0000","74,655.0000","蘆竹廠、大園廠及惠州電腦、惠州精密、重慶廠、蘇州廠","1.2566","公噸/百萬元營業額","ISO 14001"
"=""2314""","台揚","56.1355","36.7563","92.8918","台揚新竹廠","0.0277","公噸/百萬元營業額","N/A"
"=""2316""","楠梓電","1,768.5700","702.0300","2,470.6000","僅母公司","0.0024","公噸/產品","ISO 9001,ISO 14001"
"=""2317""","鴻海","112,074.3275","1,274,804.2450","1,386,878.5725","合併財務報表之母子公司","0.2300","公噸/百萬元營業額","N/A"
"=""2321""","東訊","0.0000","5.2500","5.2500","生活垃圾+一般事業廢棄物","49.0654","公噸/產品","N/A"
"=""2323""","中環","40.2300","53.0000","93.2300","僅母公司","0.0305","公噸/百萬元營業額","N/A"
"=""2324""","仁寶","1,421,661.0000","6,275,228.0000","7,696,889.0000","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京），重慶翊寶智慧電子裝置 、Compal Wise Electronic (Vietnam)、 Compalead Eletrônica do Brasil Indústria e Comércio Ltda、Compal Electronica DA Amazonia Ltda","8.1200","公噸/百萬元營業額","UL2799"
"=""2327""","國巨","1,821.0210","2,411.7755","4,232.7965","母公司","N/A","N/A","N/A"
"=""2328""","廣宇","0.0000","7.6300","7.6300","母公司","0.0080","公噸/百萬元營業額","N/A"
"=""2329""","華泰","137.3000","2,396.3000","2,533.6000","母公司","0.1520","公噸/百萬元營業額","N/A"
"=""2330""","台積電","371,236.0000","285,605.0000","656,841.0000","台灣廠區及部分子公司","1.1700","單位晶圓委外廢棄物處理量（公斤／十二吋晶圓當量－光罩數），資料範圍:台灣廠區","UL2799"
"=""2331""","精英","8,030.9400","2,207.7900","10,238.7300","精英電腦臺灣總部、興英數位科技(深圳)有限公司及精強科技股份有限公司","0.5100","公噸/百萬元營業額","N/A"
"=""2332""","友訊","0.0000","17.7300","17.7300","公司總部大樓","0.0352","員工人數","ISO 14001"
"=""2337""","旺宏","5,544.6500","4,561.3300","10,105.9800","旺宏總部、晶圓二廠、晶圓五廠、測試廠 ","0.3660","公噸/百萬元營業額","N/A"
"=""2338""","光罩","161.4800","123.6000","285.0800","202301~202312","0.0143","公噸/產品","確信準則3000號"
"=""2340""","台亞","263.7573","527.3473","791.1046","廢溶劑, 污泥, 不可燃物, 混合五金廢料, 廢塑膠, 廢木材, 硫酸銨廢液, 廢離子交換樹脂, 廢化學空瓶","0.1992","公噸/百萬元營業額","ISO 14001"
"=""2342""","茂矽","232.0000","212.0000","444.0000","僅母公司","0.0560","以每單位產品m²計算","N/A"
"=""2344""","華邦電","6,387.0000","7,208.0000","13,595.0000","母公司","0.3620","公噸/百萬元營業額","ISO 14001"
"=""2345""","智邦","3.8000","2,225.0000","2,228.8000","母公司","0.0265","公噸/百萬元營業額","ISO 14001"
"=""2347""","聯強","0.0000","194.0000","194.0000","涵蓋聯強國際集團及子公司嘉榮行銷股份有限公司，部分子公司通達運籌股份有限公司","N/A","N/A","N/A"
"=""2348""","海悅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2349""","錸德","12.4260","93.2300","105.6560","僅母公司","N/A","N/A","N/A"
"=""2351""","順德","1,006.5594","609.7104","1,616.2698","母公司","0.1922","公噸/百萬元營業額","N/A"
"=""2352""","佳世達","721.1690","25,979.0210","26,700.1900","台灣、蘇州、越南","9.2706","不可回收廢棄重量(公斤)/百萬美金產值","ISO 14001"
"=""2353""","宏碁","0.0000","1,883.6800","1,883.6800","包含合併財務報表之母子公司","0.0078","公噸/百萬元營業額","N/A"
"=""2354""","鴻準","1,043.4600","4,721.2800","5,764.7400","大陸主要營運據點(瀋陽、煙臺、太原、晉城、昆山、佛山、南寧)","0.0774","公噸/百萬元營業額","ISO 9001,ISO 14001"
"=""2355""","敬鵬","36,098.3050","8,599.7260","44,698.0310","母公司+子公司 敬鵬(常熟)電子有限公司+子公司 敬鵬(泰國)電子","0.0126","M2","ISO 14001"
"=""2356""","英業達","355.1380","28,455.4860","28,810.6240","個體公司：英業達股份有限公司，含士林總部(IET)、桃科廠(TAO)、電腦廠(ITO)。 合併報表子公司：英業達(重慶)有限公司(ICC)、英業達科技有限公司(IPT)、上海順詮科技有限公司(SQT)、Inventec (Czech) S.R.O(ICZ)、IEC Technologies, S. de R.L. De C.V.(IMX)。  ","N/A","N/A","ISO 14001"
"=""2357""","華碩","109.7780","433.7200","543.4900","華碩營運總部","0.0013","公噸/百萬元營業額","ISO 14001"
"=""2359""","所羅門","0.8560","2.4000","3.2560","子公司(富相科技)","N/A","N/A","N/A"
"=""2360""","致茂","22.2500","452.9800","475.2300","致茂電子總部、華亞廠、致茂電子新竹分公司、致茂電子高雄分公司","0.0000","公噸/百萬元營業額","ISO 14001"
"=""2362""","藍天","41.2600","579.7000","620.9600","台北總部、昆山工廠","N/A","N/A","ISO 14001"
"=""2363""","矽統","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2364""","倫飛","0.0000","32.7910","32.7910","總公司、高雄廠、昆山倫騰、美國DURABOOK","0.0303","公噸/百萬元營業額","N/A"
"=""2365""","昆盈","0.2980","29.6475","29.9455","台北總公司及東莞廠","N/A","N/A","ISO 14001"
"=""2367""","燿華","6,232.0000","3,121.0000","9,353.0000","燿華電子股份有限公司-全廠區","0.6700","公噸/百萬元營業額","ISO 14001"
"=""2368""","金像電","44,019.9576","12,442.8462","56,462.8038","包含台灣母公司以及大陸三個子公司","1.8778","公噸/百萬元營業額","ISO 14001"
"=""2369""","菱生","54.9040","812.2230","867.1270","2023年","0.1835","公噸/百萬元營業額","ISO 14001"
"=""2371""","大同","12.2900","3,134.8440","3,147.1340","總公司、大園廠、桃園電線電纜廠、電表中心、桃園壹廠、三峽廠。","0.1661","公噸/百萬元營業額","ISO 14001"
"=""2373""","震旦行","0.0000","308.0800","308.0800","僅母公司","0.0943","公噸/百萬元營業額","N/A"
"=""2374""","佳能","3.9400","26.9000","30.8400","佳能企業股份有限公司","N/A","N/A","ISO 14001"
"=""2375""","凱美","97.7500","0.0000","97.7500","子公司","0.0347","公噸/百萬元營業額","N/A"
"=""2376""","技嘉","327.9069","2,184.3481","2,512.2550","技嘉科技營運總部、桃園南平廠、中國東莞及寧波廠","0.0184","公噸/百萬元營業額","ISO 14001"
"=""2377""","微星","208.2820","8,506.6780","8,714.9600","微星科技股份有限公司中和廠(微星台北)、微星科技股份有限公司桃園廠(微星桃園)、恩斯邁電子(深圳)有限公司(恩斯邁電子)及微盟電子(昆山)有限公司(微盟電子)","0.0476","公噸/百萬元營業額","N/A"
"=""2379""","瑞昱","8.5083","17.1300","25.6383","瑞昱新竹一廠、二廠與三廠","18.0000","公斤/億元","ISO 14001"
"=""2380""","虹光","4.8600","60.9100","65.7700","母公司","N/A","N/A","N/A"
"=""2382""","廣達","1,887.8100","82,528.9100","84,416.7200","廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","N/A","N/A","ISO 14001"
"=""2383""","台光電","8,056.9600","8,533.5700","16,590.5300","合併報表之母子公司(不含美國子公司)","0.4017","公噸/百萬元營業額","ISO 14001"
"=""2385""","群光","92.1647","5,830.8159","5,922.9806","母公司(台北總部)、合併財務報表之子公司(東莞清溪廠、東莞茂瑞廠、蘇州吳江廠、重慶江津廠、泰國廠)","0.0602","公噸/百萬元營業額","N/A"
"=""2387""","精元","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2388""","威盛","N/A","N/A","0.1500","N/A","0.0119","公噸/百萬元營業額","N/A"
"=""2390""","云辰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2392""","正崴","1,506.0000","4,051.0000","5,557.0000","正崴主要生產廠區","N/A","N/A","ISO 9001,ISO 14001,UL2799 ZWP"
"=""2393""","億光","164.1620","2,051.7838","2,215.9458","樹林總部、苗栗苑裡、苗栗銅鑼、蘇州吳江、廣東中山","0.1519","公噸/百萬元營業額","N/A"
"=""2395""","研華","3.7700","162.1070","165.8770","2023年度","105.1688","佰萬工時","ISO 14001"
"=""2397""","友通","6.1190","75.5300","81.6490","汐止總部、桃園工廠、新店研發辦公室","N/A","N/A","N/A"
"=""2399""","映泰","0.4830","0.0000","0.4830","母公司的有害廢棄物","0.0002","公噸/百萬元營業額","ISO 14001"
"=""2401""","凌陽","0.4900","103.5700","104.0600","112/01/01~112/12/31","0.0188","公噸/百萬元營業額","ISO 14001"
"=""2402""","毅嘉","102.3650","127.4370","229.8020","母公司","0.0398","公噸/百萬元營業額","ISO 14001"
"=""2404""","漢唐","0.0000","0.0000","0.0000","台灣總部大樓及工程處","N/A","N/A","N/A"
"=""2405""","輔信","0.0000","5.6800","5.6800","母公司","N/A","N/A","N/A"
"=""2406""","國碩","10.8380","156.6000","167.4380","國碩二廠及國碩新豐廠","0.1802","公噸/百萬元營業額","N/A"
"=""2408""","南亞科","16,522.0000","5,881.0000","22,403.0000","母公司","0.0224","公噸/千顆晶粒","ISO 14001"
"=""2409""","友達","13,805.1200","59,663.7600","73,468.8800","全球營運據點","0.2977","公噸/百萬元營業額","N/A"
"=""2412""","中華電","0.0000","1,875.0000","1,875.0000","數據涵蓋範疇為100%營運據點","0.8500","公噸/百萬元營業額","ISO 14001"
"=""2413""","環科","2.4500","13.3000","15.7500","母公司","0.0034","公噸/百萬元營業額","N/A"
"=""2414""","精技","0.0000","3.9000","3.9000","僅母公司之文件紙張銷毀量","0.0190","公噸/億營業額","N/A"
"=""2415""","錩新","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2417""","圓剛","N/A","N/A","11.5300","N/A","N/A","N/A","N/A"
"=""2419""","仲琦","127.2740","311.8875","439.1615","母公司及越南子公司","0.0467","公噸/百萬元營業額","ISO 14001"
"=""2420""","新巨","1.6900","31.7200","33.4100","全球生產基地","0.0200","公噸/百萬元營業額","ISO 9001,ISO 14001"
"=""2421""","建準","131.1580","2.5100","133.6680","建準電機工業股份有限公司(高雄總部及工廠) 昆山廣興電子有限公司 北海建準電子有限公司 北海立準電子有限公司 Sunon Electronics Philippines Corp. ","0.0104","公噸/百萬元營業額","ISO 9001,ISO 14001"
"=""2423""","固緯","0.7730","23.4370","24.2100","本公司於營運過程所產生的廢棄物，皆依法妥善處理，並在產生廢棄物源頭確實做好回收分類，對於製程廢棄物的處理模式為收集、分類、減量及回收，主要辦法是以回收取代掩埋及焚化，降低環境衝擊，並有效管理以提高資源再利用的價值。2023年度有害事業廢棄物總產量為0.773公噸。公司產出一般事業廢棄物及有害事業廢棄物皆委託符合規定的廠商清除處理，存放廠區廢棄物並符合存放規定定期清理。","N/A","N/A","N/A"
"=""2424""","隴華","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2425""","承啟","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2426""","鼎元","436.4000","191.4000","627.8000","僅母公司","0.3133","公噸/百萬元營業額","ISO 14001"
"=""2427""","三商電","0.0000","37.7830","37.7830","桃園倉庫","0.0416","公噸/百萬元營業額","N/A"
"=""2428""","興勤","457.6100","1,065.6700","1,523.2800","本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司","0.1587","公噸CO₂e/百萬pcs產品","N/A"
"=""2429""","銘旺科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2430""","燦坤","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2431""","聯昌","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2432""","倚天酷碁-創","0.0000","1.3850","1.3850","僅申報公司 ","0.0007","公噸/百萬元營業額","N/A"
"=""2433""","互盛電","N/A","N/A","87.0410","僅母公司","0.0609","公噸/百萬元營業額","N/A"
"=""2434""","統懋","0.0000","11.4900","11.4900","母公司","0.3743","公噸/百萬元營業額","N/A"
"=""2436""","偉詮電","0.9980","16.4391","17.4371","偉詮電子新竹廠區","N/A","N/A","ISO 14001"
"=""2438""","翔耀","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2439""","美律","11.4100","706.0600","717.4700","台灣總部、美律深圳、美律越南、美律泰國、美律新加坡、美律香港、歐仕達、美律美國、美律北美、美律馬來西亞","0.0196","公噸/百萬元營業額","ISO 14001"
"=""2440""","太空梭","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2441""","超豐","310.3336","1,434.7750","1,745.1086","母公司","0.1286","公噸/百萬元營業額","ISO 14001"
"=""2442""","新美齊","N/A","N/A","5,377.0000","112年新美齊新建工程建案","N/A","N/A","N/A"
"=""2444""","兆勁","N/A","N/A","N/A","N/A","N/A","公噸/百萬元營業額","N/A"
"=""2449""","京元電子","328.8716","3,229.6391","3,558.5107","全集團","0.0216","公噸/百萬元營業額","ISO 14001"
"=""2450""","神腦","0.0000","126.8812","126.8812","神腦全據點(含辦公室、特約門市、維修門市及倉儲中心)","0.0043","公噸/百萬元營業額","N/A"
"=""2451""","創見","11.7700","183.4400","195.2100","僅母公司","0.0186","公噸/百萬元營業額","N/A"
"=""2453""","凌群","N/A","N/A","34.1300","母公司","0.0056","公噸/百萬元營業額","N/A"
"=""2454""","聯發科","43.7800","87.8900","131.6700","全台灣營運據點","0.0108","廢棄物公噸/全台灣營運據點員工數","ISO 14001"
"=""2455""","全新","195.4200","35.2900","230.7100","平鎮廠、平鎮二廠","0.0432","公噸/產品","N/A"
"=""2457""","飛宏","222.1400","1,349.4600","1,571.6000","飛宏科技(股)公司(PHT)/馳諾瓦科技(股)公司(ZTM)/飛宏(東莞)電子有限公司(PHC)/飛宏(東莞)電子有限公司鐵松廠區(PHCJ)/越南飛宏有限公司(PHV)","0.1274","公噸/百萬元營業額","ISO 14001"
"=""2458""","義隆","6.9010","47.8920","54.7930","義隆電子(新竹、中和)、義晶、義碩","0.0577","每人每年","ISO 14001,AA1000"
"=""2459""","敦吉","N/A","N/A","2.9900","母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓","N/A","N/A","N/A"
"=""2460""","建通","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2461""","光群雷","0.9800","54.9400","55.9200","僅母公司","0.0395","公噸/百萬元營業額","N/A"
"=""2462""","良得電","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2464""","盟立","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2465""","麗臺","0.0000","0.0240","0.0240","2023全年度","N/A","N/A","N/A"
"=""2466""","冠西電","0.0000","35.4200","35.4200","母公司總公司、母公司宜蘭廠","0.0941","公噸/百萬元營業額","N/A"
"=""2467""","志聖","0.0000","142.5490","142.5490","母公司","0.0393","公噸/百萬元營業額","N/A"
"=""2468""","華經","0.0000","17.2500","17.2500","統計之資料範圍以台灣營運據點，包含本公司及各地分公司及子公司","N/A","N/A","N/A"
"=""2471""","資通","0.0000","0.0330","0.0330","主要來源為辦公室廢紙。","N/A","N/A","N/A"
"=""2472""","立隆電","187.0000","267.0000","454.0000","立隆電子、立隆(蘇州)、立隆(惠州)、立隆(蘇州)科技","N/A","N/A","N/A"
"=""2474""","可成","0.0000","1,136.4000","1,136.4000","僅母公司台南廠區(依廢棄物清運三聯單)","0.2440","公噸/百萬元營業額","ISO 14001"
"=""2476""","鉅祥","0.0000","137.7290","137.7290","鉅祥公司「新屋廠」桃園市新屋區九洲路1號、「新屋廠廠外宿舍」桃園市新屋區校前路143巷35,37號及鉅祥公司「八德廠」桃園市八德區榮興路73巷32號","0.0708","公噸/百萬元營業額","N/A"
"=""2477""","美隆電","0.0000","14.4300","14.4300","112/01/01-112/12/31","0.0067","公噸/百萬元營業額","N/A"
"=""2478""","大毅","2,003.4300","328.4100","2,331.8400","母公司","0.5070","公噸/百萬元營業額","N/A"
"=""2480""","敦陽科","0.0000","1.6100","1.6100","牛埔庫房","0.0221","公噸/百萬元營業額","N/A"
"=""2481""","強茂","55.4700","533.3700","588.8400","岡山廠","0.0746","公噸/百萬元營業額","ISO 14001"
"=""2482""","連宇","0.0000","5.6030","5.6030","僅母公司","N/A","N/A","ISO 14001"
"=""2483""","百容","13.0000","92.0000","105.0000","僅母公司","N/A","N/A","N/A"
"=""2484""","希華","62.7500","60.1698","122.9198","母公司","0.0560","公噸/百萬元營業額","N/A"
"=""2485""","兆赫","33.0120","34.2720","67.2840","僅母公司","0.0116","公噸/百萬元營業額","ISO 9001,ISO 14001"
"=""2486""","一詮","324.3580","68.3890","392.7470","母公司2023/01/01~2023/12/31","0.1511","公噸/百萬元營業額","ISO 14001"
"=""2488""","漢平","1.0300","18.3800","19.4100","漢平電子台灣母公司","N/A","N/A","N/A"
"=""2489""","瑞軒","33.9500","5,471.9800","5,505.9300","母公司與部分合併報表子公司","0.3320","公噸/百萬元營業額","ISO 14001"
"=""2491""","吉祥全","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2492""","華新科","3,453.7436","5,358.7505","8,812.4941","母公司及主要生產基地之子公司(東莞華科/蘇州華科/廣州匯僑)","0.2687","公噸/百萬元營業額","N/A"
"=""2493""","揚博","0.0000","148.2967","148.2967","母公司孫公司","0.0066","公噸/百萬元營業額","N/A"
"=""2495""","普安","0.7770","3.1000","3.8770","母公司","N/A","N/A","N/A"
"=""2496""","卓越","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2497""","怡利電","0.0000","46.6000","46.6000","有害+非有害","N/A","N/A","ISO 14001"
"=""2498""","宏達電","9.9560","368.6300","378.5860","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","0.0860","公噸/百萬元營業額","ISO 14001"
"=""2501""","國建","N/A","N/A","12,252.4000","僅母公司工地","532.7100","工地數量","N/A"
"=""2504""","國產","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2505""","國揚","N/A","N/A","399.8000","112年度營建廢棄物及一般生活垃圾。","N/A","N/A","N/A"
"=""2506""","太設","0.0000","81.2000","81.2000","本公司敦南麗舍工地。","N/A","N/A","N/A"
"=""2509""","全坤建","0.0000","12.5100","12.5100","台北辦公室","0.0560","公噸/百萬元營業額","N/A"
"=""2511""","太子","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2514""","龍邦","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2515""","中工","0.0000","20,564.6600","20,564.6600","母公司","1.1597","公噸/百萬元營業額","N/A"
"=""2516""","新建","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2520""","冠德","0.0000","96,576.7193","96,576.7193","工地及總部","N/A","N/A","N/A"
"=""2524""","京城","0.0000","2.6061","2.6061","京城建設股份有限公司總部","N/A","N/A","N/A"
"=""2527""","宏璟","0.0000","3,367.9300","3,367.9300","包含合併財報之境內母子公司 ","1.4546","公噸/百萬元營業額","N/A"
"=""2528""","皇普","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
