"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""1711""","永光","17,997.0000","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","47,336.0000","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","N/A","N/A","N/A","9.0000"
"=""1712""","興農","12,300.9931","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","22,418.2116","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","39,561.2375","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠","1.8165"
"=""1713""","國化","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.1146"
"=""1714""","和桐","15,741.1397","母公司","母公司(包含:高雄廠區、台北辦公室)","3,652.9437","母公司","母公司(包含:高雄廠區、台北辦公室)","66.4095","母公司","母公司(包含:高雄廠區、台北辦公室)","5.5570"
"=""1717""","長興","81,591.0000","母公司個體(包含母公司個體之生產據點)、大陸子公司、馬來西亞子公司生產廠區。","母公司個體(包含母公司個體之生產據點)、大陸子公司、馬來西亞子公司生產廠區。","157,448.0000","母公司個體(包含母公司個體之生產據點)、大陸子公司、馬來西亞子公司生產廠區。","母公司個體(包含母公司個體之生產據點)、大陸子公司、馬來西亞子公司生產廠區。","1,885,519.0000","母公司個體(包含母公司個體之生產據點)、大陸子公司、馬來西亞子公司生產廠區。","母公司個體(包含母公司個體之生產據點)、大陸子公司、馬來西亞子公司生產廠區。","5.5300"
"=""1718""","中纖","395,245.4066","母公司中國人造纖維股份有限公司高雄總廠(含汽電二廠)","母公司中國人造纖維股份有限公司高雄總廠(含汽電二廠)","15,411.7663","母公司中國人造纖維股份有限公司高雄總廠(含汽電二廠)","母公司中國人造纖維股份有限公司高雄總廠(含汽電二廠)","N/A","N/A","N/A","99.4958"
"=""1720""","生達","1,426.4816","生達一廠+生達二廠","生達一廠+生達二廠","7,072.1525","生達一廠+生達二廠","生達一廠+生達二廠","216.6663","生達一廠+生達二廠","生達一廠+生達二廠","2.8400"
"=""1721""","三晃","8,972.0000","僅母公司","N/A","16,787.0000","僅母公司 ","N/A","N/A","N/A","N/A","1.7000"
"=""1722""","台肥","377,763.0000","台肥母公司之台中廠及苗栗廠","台肥母公司之台中廠","45,625.0000","台肥母公司之台中廠及苗栗廠","台肥母公司之台中廠","N/A","N/A","N/A","28.1981"
"=""1723""","中碳","27,186.0000","母公司","母公司","76,481.0000","母公司","母公司","N/A","N/A","N/A","12.8100"
"=""1725""","元禎","378.8300","母公司","N/A","132.1000","母公司","N/A","N/A","N/A","N/A","0.0681"
"=""1726""","永記","1,921.9300","範圍包含高雄總公司及工廠，以及台北、五股、台中、高雄、麥竂五個營業所。","母公司  ","4,126.5100","範圍包含高雄總公司及工廠，以及台北、五股、台中、高雄、麥竂五個營業所。","母公司","1,598.8000","範圍包含高雄總公司及工廠，以及台北、五股、台中、高雄、麥竂五個營業所。","母公司  ","1.1241"
"=""1727""","中華化","555.8405","固定式燃燒排放源、移動式燃燒排放源、製程排放源、逸散排放源","N/A","9,405.4594","能源間接排放","N/A","N/A","N/A","N/A","0.0578"
"=""1730""","花仙子","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1731""","美吾華","211.7358","台北總公司、台中及高雄服務中心及楊梅工廠及物流中心","N/A","824.4593","台北總公司、台中及高雄服務中心及楊梅工廠及物流中心","N/A","288.9968","台北總公司、台中及高雄服務中心及楊梅工廠及物流中心","N/A","N/A"
"=""1732""","毛寶","156.0932","母公司","N/A","405.6500","母公司","N/A","114.5886","母公司(電力(間接)、柴油、汽油(未燃燒)使用之間接排放、購買(影印紙)使用","N/A","1.2200"
"=""1733""","五鼎","24.9104","僅母公司","N/A","9,642.3860","僅母公司","N/A","N/A","N/A","N/A","5.7664"
"=""1734""","杏輝","1,140.2100","母公司","N/A","8,590.6500","母公司","N/A","N/A","N/A","N/A","N/A"
"=""1735""","日勝化","3,380.2080","僅母公司","N/A","4,991.5290","僅母公司","N/A","N/A","N/A","N/A","5.6642"
"=""1736""","喬山","4,422.0833","2023年度本公司組織邊界設定為集團總部、臺灣廠、龍井廠、雷射切割廠、臺北東大分公司、臺北內湖辦公室、上海朱橋廠、上海興順廠、越南廠共9處據點，本公司溫室氣體組織邊界設定方法採用營運控制法，於組織邊界範圍內所涵蓋之排放源皆100 %為本公司所擁有與控制。","2023年溫室氣體盤查有限確信範疇涵蓋據點為集團總部、臺灣廠、上海朱橋廠、上海興順廠及越南廠。","13,647.5550","2023年度本公司組織邊界設定為集團總部、臺灣廠、龍井廠、雷射切割廠、臺北東大分公司、臺北內湖辦公室、上海朱橋廠、上海興順廠、越南廠共9處據點，本公司溫室氣體組織邊界設定方法採用營運控制法，於組織邊界範圍內所涵蓋之排放源皆100 %為本公司所擁有與控制。","2023年溫室氣體盤查有限確信範疇涵蓋據點為集團總部、臺灣廠、上海朱橋廠、上海興順廠及越南廠。","N/A","N/A","N/A","0.7291"
"=""1737""","臺鹽","24,583.7744","資料邊界僅限通霄精鹽廠 ","資料邊界僅限通霄精鹽廠 ","891.6700","資料邊界僅限通霄精鹽廠 ","資料邊界僅限通霄精鹽廠 ","N/A","N/A","N/A","8.0393"
"=""1752""","南光","3,068.3027","總公司與台北辦公室之範疇一直接溫室氣體排放","N/A","9,967.6957","總公司與台北辦公室之能源間接溫室氣體排放 ","N/A","N/A","N/A","N/A","6.0633"
"=""1760""","寶齡富錦","275.0364","總公司(含龍潭研發中心)+汐止廠+汐科廠+平鎮廠+正峰大園廠","寶齡富錦生技與子公司正峰化學","4,818.9628","總公司(含龍潭研發中心)+汐止廠+汐科廠+平鎮廠+正峰大園廠","寶齡富錦生技與子公司正峰化學","972.8500","總公司(含龍潭研發中心)+汐止廠+汐科廠+平鎮廠+正峰大園廠","寶齡富錦生技與子公司正峰化學","3.2200"
"=""1762""","中化生","5,471.7164","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","11,438.8190","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","14,749.9280","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","「中化合成生技股份有限公司」的生產製程、生產設施及營業活動之溫室氣體排放之責任界限","8.2950"
"=""1773""","勝一","51,199.1676","母公司","N/A","8,471.9218","母公司","N/A","338,318.9263","母公司","N/A","6.6382"
"=""1776""","展宇","836.6279","僅母公司","僅母公司","1,125.8260","僅母公司","僅母公司","356.0129","僅母公司","僅母公司","3.9163"
"=""1783""","和康生","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1786""","科妍","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1789""","神隆","4,292.5430","僅母公司，含南科廠(台南市善化區南科八路一號)及台北辦公室(台北市中山區中山北路二段129號7樓之2)","N/A","17,067.9658","僅母公司，含南科廠(台南市善化區南科八路一號)及台北辦公室(台北市中山區中山北路二段129號7樓之2)","N/A","N/A","N/A","N/A","7.1100"
"=""1795""","美時","3,310.3169","台灣及韓國之生產工廠及辦公室","台灣及韓國之生產工廠及辦公室","12,129.5761","台灣及韓國之生產工廠及辦公室","台灣及韓國之生產工廠及辦公室","N/A","N/A","N/A","0.9104"
"=""1802""","台玻","387,212.5800","母公司","母公司","221,766.8300","母公司","母公司","N/A","N/A","N/A","N/A"
"=""1805""","寶徠","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1806""","冠軍","61,784.6477","苗栗縣造橋鄉豐湖村一鄰乳姑山2號","苗栗縣造橋鄉豐湖村一鄰乳姑山2號","26,632.1880","苗栗縣造橋鄉豐湖村一鄰乳姑山2號","苗栗縣造橋鄉豐湖村一鄰乳姑山2號","N/A","N/A","N/A","29.4600"
"=""1808""","潤隆","6.6000","本公司3輛公務車(其中1輛公務車於112年5月份出售)","N/A","96.2800","本公司台北辦公區域的外購電力(台電購電)","N/A","N/A","N/A","N/A","0.0033"
"=""1809""","中釉","2,522.9737","竹東廠：地址位於新竹縣竹東鎮頭重里中興路四段136號、竹東廠附設宿舍：新竹縣竹東鎮民生路86號、鶯歌廠：桃園市八德區興豐路2345巷86號、苗栗廠及苗栗廠辦公室：苗栗縣通霄鎮通灣里65之18號。","N/A","3,694.1553","竹東廠：地址位於新竹縣竹東鎮頭重里中興路四段136號、竹東廠附設宿舍：新竹縣竹東鎮民生路86號、鶯歌廠：桃園市八德區興豐路2345巷86號、苗栗廠及苗栗廠辦公室：苗栗縣通霄鎮通灣里65之18號。","N/A","2,354.7598","竹東廠：地址位於新竹縣竹東鎮頭重里中興路四段136號、竹東廠附設宿舍：新竹縣竹東鎮民生路86號、鶯歌廠：桃園市八德區興豐路2345巷86號、苗栗廠及苗栗廠辦公室：苗栗縣通霄鎮通灣里65之18號。","N/A","N/A"
"=""1810""","和成","N/A","N/A","N/A","7,309.6700","母公司","N/A","N/A","N/A","N/A","2.3300"
"=""1817""","凱撒衛","215.2000","台灣地區","N/A","208.4000","台灣地區","N/A","N/A","N/A","N/A","0.1690"
"=""1903""","士紙","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1904""","正隆","1,124,541.8928","母公司","母公司","241,600.1558","母公司","母公司","404,481.7242","母公司","母公司","46.9048"
"=""1905""","華紙","740,886.0000","母公司個體中華紙漿臺灣生產據點(觀音廠、久堂廠、花蓮廠、台東廠及營業據點)及海外子公司(廣東鼎豐紙業、肇慶鼎豐林業、貴州元豐林業有限公司)","確信範圍包含母公司個體中華紙漿臺灣生產據點(觀音廠、久堂廠、花蓮廠、台東廠及營業據點)及海外子公司(廣東鼎豐紙業、肇慶鼎豐林業、貴州元豐林業有限公司)","202,505.0000","母公司個體中華紙漿臺灣生產據點(觀音廠、久堂廠、花蓮廠、台東廠及營業據點)及海外子公司(廣東鼎豐紙業、肇慶鼎豐林業、貴州元豐林業有限公司)","確信範圍包含母公司個體中華紙漿臺灣生產據點(觀音廠、久堂廠、花蓮廠、台東廠及營業據點)及海外子公司(廣東鼎豐紙業、肇慶鼎豐林業、貴州元豐林業有限公司)","30,680.0000","台灣地區上下游原物料採購運輸及產品輸出","N/A","45.0189"
"=""1906""","寶隆","0.0000","本公司從事代理銷售業務，無生產及營運據點。","N/A","18.5000","本公司","N/A","N/A","N/A","N/A","N/A"
"=""1907""","永豐餘","1,299,833.0000","永豐餘投控(個體母公司)與旗下林漿紙、工紙紙器、消費品三大事業群之台灣生產據點。","範疇一溫室氣體排放量中，永豐餘投控(個體母公司)的範疇一排放量已100%執行確信完成，投控旗下三大事業群的確信尚在規劃執行中，確信進度將揭露於永續報告書或官網。","267,813.0000","永豐餘投控(個體母公司)與旗下林漿紙、工紙紙器、消費品三大事業群之台灣生產據點。","範疇二溫室氣體排放量中，永豐餘投控(個體母公司)的範疇二排放量已100%執行確信完成，投控旗下三大事業群的確信尚在規劃執行中，確信進度將揭露於永續報告書或官網。","35.0000","永豐餘投控(個體母公司)的採購電力/燃料等商品之排放量。","永豐餘投控(個體母公司)的範疇三排放量已100%執行確信完成，投控旗下三大事業群的盤查和確信尚在評估規劃中。","21.2000"
"=""1909""","榮成","493,591.4638","母公司(含台北總處、南崁廠、龍潭廠、神岡廠、二林廠、雲林廠、路竹廠)","母公司(含台北總處、南崁廠、龍潭廠、神岡廠、二林廠、雲林廠、路竹廠)","39,560.3193","母公司(含台北總處、南崁廠、龍潭廠、神岡廠、二林廠、雲林廠、路竹廠)","母公司(含台北總處、南崁廠、龍潭廠、神岡廠、二林廠、雲林廠、路竹廠)","76,085.2730","母公司(含台北總處、南崁廠、龍潭廠、神岡廠、二林廠、雲林廠、路竹廠)","母公司(含台北總處、南崁廠、龍潭廠、神岡廠、二林廠、雲林廠、路竹廠)","10.0700"
"=""2002""","中鋼","16,809,455.0000","母公司","母公司","1,249,102.0000","母公司","母公司","11,317,609.0000","母公司：僅包含納入查證項目，統計「營運產生的廢棄物處理」、「商務旅行」、「燃料與能源相關活動廢棄物處理」及「上游運送與貨物配送」等四項","母公司：僅包含納入查證項目，統計「營運產生的廢棄物處理」、「商務旅行」、「燃料與能源相關活動廢棄物處理」及「上游運送與貨物配送」等四項","91.6000"
"=""2006""","東和鋼鐵","222,242.0000","母公司","母公司","601,851.0000","母公司","母公司","1,521,825.0000","母公司","母公司","16.7000"
"=""2007""","燁興","16,036.0965","本公司","本公司","20,123.7914","本公司","本公司","N/A","N/A","N/A","7.2100"
"=""2008""","高興昌","2,833.4400","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","3,470.3354","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","2,028.8057","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","個別財報(本公司無子公司) 高雄總公司、屏東分公司、台北分公司","5.7061"
"=""2009""","第一銅","3,110.6873","第一伸銅科技股份有限公司個體，包含總公司、臨海廠、台北分公司、台中營業處。","第一伸銅科技股份有限公司個體","15,238.0279","第一伸銅科技股份有限公司個體，包含總公司、臨海廠、台北分公司、台中營業處。","第一伸銅科技股份有限公司個體","4,059.8418","第一伸銅科技股份有限公司個體，包含總公司、臨海廠、台北分公司、台中營業處。","N/A","6.9341"
"=""2010""","春源","4,077.5433","春源鋼鐵母公司在台灣具百分百控制權營運單位","春源鋼鐵母公司在台灣營運的12個據點","8,594.4947","春源鋼鐵母公司在台灣具百分百控制權營運單位","春源鋼鐵母公司在台灣營運的12個據點","828,369.6963","春源鋼鐵母公司在台灣具百分百控制權營運單位","春源鋼鐵母公司在台灣營運的12個據點","0.7582"
"=""2012""","春雨","13,215.5833","母公司","母公司","15,875.1995","母公司","母公司","90,547.7006","母公司","母公司","8.6017"
"=""2013""","中鋼構","2,323.1800","母公司","母公司(涵蓋本公司所轄之國內廠區)","6,475.3500","母公司","母公司(涵蓋本公司所轄之國內廠區)","234,312.0400","母公司","「商務旅行」、「營運產生的廢棄物處理」、「上游運輸與貨物配送」以及「原物料與能源相關活動」共四項目","0.4670"
"=""2014""","中鴻","146,771.5100","母公司個體(中鴻公司熱軋廠、冷軋廠、鋼管廠及橋頭行政大樓)","母公司個體(中鴻公司熱軋廠、冷軋廠、鋼管廠及橋頭行政大樓)","130,405.2630","母公司個體(中鴻公司熱軋廠、冷軋廠、鋼管廠及橋頭行政大樓)","母公司個體(中鴻公司熱軋廠、冷軋廠、鋼管廠及橋頭行政大樓)","4,171,940.4750","範疇3採中鴻公司進行鑑別，並依所訂「重大間接排 放源鑑別準則」評估各類間接溫室氣體排放之重要性，依所列四大項評估準則，評估結果如屬四大項其中一項，則列為重大間接排放，但排除報告邊界內(中鴻內部)廠區間移撥等使用。包含：類別3(運輸)-3.1上游運輸、類別4(組織使用的產品)-4.1請購商品、類別4(組織使用的產品)-4.3燃料及能源相關、類別4(組織使用的產品)-4.4廢棄物處置。","範疇3採中鴻公司進行鑑別，並依所訂「重大間接排 放源鑑別準則」評估各類間接溫室氣體排放之重要性，依所列四大項評估準則，評估結果如屬四大項其中一項，則列為重大間接排放，但排除報告邊界內(中鴻內部)廠區間移撥等使用。包含：類別3(運輸)-3.1上游運輸、類別4(組織使用的產品)-4.1請購商品、類別4(組織使用的產品)-4.3燃料及能源相關、類別4(組織使用的產品)-4.4廢棄物處置。","7.3399"
"=""2015""","豐興","197,345.9560","僅母公司","僅母公司","499,394.2680","僅母公司","僅母公司","119,771.1420","僅盤查與母公司直接關係項目，燃料和能源有關的活動(外購電力)和廢棄物處理與運輸。","僅確信與母公司直接關係項目，燃料和能源有關的活動(外購電力)和廢棄物處理與運輸。","19.9742"
"=""2017""","官田鋼","2,394.4900","僅母公司","僅母公司","13,414.7490","僅母公司","僅母公司","N/A","N/A","N/A","6.9802"
"=""2020""","美亞","3,666.4064","母公司","母公司","5,601.0257","母公司","母公司","9,999.0000","母公司","母公司","1.3200"
"=""2022""","聚亨","1,288.6203","母公司(一廠、二廠、三廠)","母公司(一廠、二廠、三廠)","9,003.4560","母公司(一廠、二廠、三廠)","母公司(一廠、二廠、三廠)","1,274.2148","母公司(一廠、二廠、三廠)","母公司(一廠、二廠、三廠)","N/A"
"=""2023""","燁輝","64,285.0000","母公司","母公司","88,067.0000","母公司","母公司","N/A","N/A","N/A","6.1800"
"=""2024""","志聯","1,848.0000","志聯公司（總公司＋新屋廠）：桃園市新屋區中興路480號，本公司目前無子公司。","志聯公司（總公司＋新屋廠）：桃園市新屋區中興路480號，本公司目前無子公司。","3,222.0000","志聯公司（總公司＋新屋廠）：桃園市新屋區中興路480號，本公司目前無子公司。","志聯公司（總公司＋新屋廠）：桃園市新屋區中興路480號，本公司目前無子公司。","31,395.0000","志聯公司（總公司＋新屋廠）：桃園市新屋區中興路480號，本公司目前無子公司。","志聯公司（總公司＋新屋廠）：桃園市新屋區中興路480號，本公司目前無子公司。","5.5323"
"=""2025""","千興","3,589.3255","僅母公司","僅母公司","4,305.5064","僅母公司","僅母公司","N/A","N/A","N/A","10.6876"
"=""2027""","大成鋼","1,347.1867","母公司","母公司","9,762.2988","母公司","母公司","N/A","N/A","N/A","1.1639"
"=""2028""","威致","86,682.6000","個別公司","個別公司","162,234.3000","個別公司","個別公司","N/A","N/A","N/A","23.7422"
"=""2029""","盛餘","27,121.5649","僅母公司","僅母公司","47,437.7884","僅母公司","僅母公司","6,857.6102","僅母公司","N/A","6.3569"
"=""2030""","彰源","4,969.5027","母公司個體之各廠區及營運據點","母公司個體之各廠區及營運據點","11,932.7814","母公司個體之各廠區及營運據點","母公司個體之各廠區及營運據點","337,423.5901","母公司個體之各廠區及營運據點","母公司個體之各廠區及營運據點","1.8254"
"=""2031""","新光鋼","4,313.0606","新光鋼鐵股份有限公司(台北總公司、觀音廠、彰濱廠、高雄廠)","新光鋼鐵股份有限公司(台北總公司、觀音廠、彰濱廠、高雄廠)","2,715.8192","新光鋼鐵股份有限公司(台北總公司、觀音廠、彰濱廠、高雄廠)","新光鋼鐵股份有限公司(台北總公司、觀音廠、彰濱廠、高雄廠)","827,455.3307","新光鋼鐵股份有限公司(台北總公司、觀音廠、彰濱廠、高雄廠)","新光鋼鐵股份有限公司(台北總公司、觀音廠、彰濱廠、高雄廠)","0.5173"
"=""2032""","新鋼","358.7777","母公司個體(包含:新莊廠、大園廠、台中營業所、高雄營業所、台南辦事處等)","母公司個體(包含:新莊廠、大園廠、台中營業所、高雄營業所、台南辦事處等)","548.2272","母公司個體(包含:新莊廠、大園廠、台中營業所、高雄營業所、台南辦事處等)","母公司個體(包含:新莊廠、大園廠、台中營業所、高雄營業所、台南辦事處等)","2,138.9970","母公司個體(包含:新莊廠、大園廠、台中營業所、高雄營業所、台南辦事處等)","N/A","0.3170"
"=""2033""","佳大","784.1754","母公司","母公司","2,731.4907","母公司","母公司","698.4493","母公司 ","母公司","7.1846"
"=""2034""","允強","1,885.4219","僅母公司，天然氣、汽柴油、焊接、冷媒逸散及其他生產中直接排放","僅母公司","17,355.5369","僅母公司，外購電力。","僅母公司","8,526.3033","僅母公司，過程(外購電力、自來水、藥劑使用)、運輸、廢水排放、廢棄物處理及其他間接排放。","僅母公司","0.1488"
"=""2038""","海光","58,385.4114","僅母公司","僅母公司","127,002.0465","僅母公司","僅母公司","N/A","N/A","N/A","20.0267"
"=""2049""","上銀","6,219.0261","台北辦公室、營運總部、工二廠、工三廠、精科二廠、精科三廠、工七廠、雲科一廠、雲科二廠、雲科三廠、雲科四廠、雲科五廠、大埔美一廠、大埔美三廠、精科宿舍、大北勢宿舍","N/A","115,638.4641","台北辦公室、營運總部、工二廠、工三廠、精科二廠、精科三廠、工七廠、雲科一廠、雲科二廠、雲科三廠、雲科四廠、雲科五廠、大埔美一廠、大埔美三廠、精科宿舍、大北勢宿舍","N/A","131,125.6894","1.台北辦公室、營運總部、工二廠、工三廠、精科二廠、精科三廠、工七廠、雲科一廠、雲科二廠、雲科三廠、雲科四廠、雲科五廠、大埔美一廠、大埔美三廠、精科宿舍、大北勢宿舍 2.範疇三共15項，查證8項","N/A","6.9000"
"=""2059""","川湖","669.5070","母公司及子公司川益科技(股)公司兩個廠區","N/A","8,595.3087"," 母公司及子公司川益科技(股)公司兩個廠區","N/A","N/A","N/A","N/A","15.2382"
"=""2062""","橋椿","703.3800","中科分公司、烏日倉、鹿港倉、營運總部","N/A","14,191.7800","中科分公司、烏日倉、鹿港倉、營運總部","N/A","N/A","N/A","N/A","2.2297"
"=""2069""","運錩","83.4251","母公司","母公司","1,095.2816","母公司","母公司","181,808.5475","母公司","母公司","0.1324"
"=""2101""","南港","12,672.2950","南港輪胎股份有限公司新豐廠(新竹縣新豐鄉新興路399號)","南港輪胎股份有限公司新豐廠(新竹縣新豐鄉新興路399號)","26,301.1528","南港輪胎股份有限公司新豐廠(新竹縣新豐鄉新興路399號)","南港輪胎股份有限公司新豐廠(新竹縣新豐鄉新興路399號)","N/A","N/A","N/A","9.9776"
"=""2102""","泰豐","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2103""","台橡","139,249.7796","採營運控制法，涵蓋範圍包含母公司及8家實質營運子公司(含貿易子公司)","依ISO14064-1規範確信2023年度母公司及實質營運子公司(申華、南通實業、台橡宇部、上海實業、TSRC(Vietnam)、TSM、Polybus、TSRC(LUX))範疇一資訊","374,918.7031","採營運控制法，涵蓋範圍包含母公司及8家實質營運子公司(含貿易子公司)","依ISO14064-1規範確信2023年度母公司及實質營運子公司(申華、南通實業、台橡宇部、上海實業、TSRC(Vietnam)、TSM、Polybus、TSRC(LUX))範疇二資訊","1,332,772.0531","採營運控制法，涵蓋範圍包含母公司及實質營運子公司(含營運及貿易子公司)","2023年度其他間接(範疇三)溫室氣體資訊，包含母公司及實質營運子公司，依ISO14064-1規範，確信類別3-上游運輸和配送產生之排放(主要原物料)、類別4-採購產品產生之排放(主要原物料)、使用的能資源相關活動之排放(類別1及類別2以外)、營運過程產生廢棄物清運與處置之排放","16.3608"
"=""2104""","國際中橡","204,790.9563","國際中橡及子公司林園先進","國際中橡及子公司林園先進","26,196.1006","國際中橡及子公司林園先進","國際中橡及子公司林園先進","58.6425","國際中橡","國際中橡","60.1216"
"=""2105""","正新","42,670.5037","母公司","母公司","79,131.4331","母公司","母公司","306,173.6380","母公司","N/A","6.9812"
"=""2106""","建大","17,824.7800","台灣地區(雲林廠、斗六廠、研發總部、台北辦公室、總公司/員林廠)","雲林廠，其餘區域安排中","21,576.7700","台灣地區(雲林廠、斗六廠、研發總部、台北辦公室、總公司/員林廠)","雲林廠，其餘區域安排中","N/A","N/A","N/A","1.1400"
"=""2107""","厚生","604.8180","母公司","N/A","3,141.3330","母公司","N/A","N/A","N/A","N/A","2.7545"
"=""2108""","南帝","1,387.5875","僅母公司","僅母公司","20,302.5002","僅母公司","僅母公司","92,490.1659","僅母公司","僅母公司","2.4600"
"=""2109""","華豐","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2114""","鑫永銓","2,268.8400","母公司","N/A","5,112.8300","母公司","N/A","N/A","N/A","N/A","N/A"
"=""2115""","六暉-KY","2,587.0828","包含合併財務報表之母子公司","N/A","20,602.2547","包含合併財務報表之母子公司","N/A","54,511.9028","包含合併財務報表之母子公司","N/A","29.9723"
"=""2201""","裕隆","6,054.7888","裕隆汽車母公司個體營運據點(三義廠區)","裕隆汽車母公司個體營運據點(三義廠區)","4,930.9186","裕隆汽車母公司個體營運據點(三義廠區)","裕隆汽車母公司個體營運據點(三義廠區)","3,223.7693","裕隆汽車母公司個體營運據點(三義廠區)","裕隆汽車母公司個體營運據點(三義廠區)","0.4356"
"=""2204""","中華","8,552.8945","組織邊界(楊梅廠、新竹廠、幼獅廠倉庫)","組織邊界(楊梅廠、新竹廠、幼獅廠倉庫)","12,190.7061","組織邊界(楊梅廠、新竹廠、幼獅廠倉庫)","組織邊界(楊梅廠、新竹廠、幼獅廠倉庫)","2,553,457.1000","組織邊界(楊梅廠、新竹廠、幼獅廠倉庫)外之上下游活動(景綸大樓8F用電、台北辦公室11樓用電)","組織邊界(楊梅廠、新竹廠、幼獅廠倉庫)外之上下游活動(景綸大樓8F用電、台北辦公室11樓用電)","0.5387"
"=""2206""","三陽工業","11,872.5100","新竹廠、新豐廠、零件業務部、宿舍","新竹廠、新豐廠、零件業務部、宿舍","28,764.8500","新竹廠、新豐廠、零件業務部、宿舍","新竹廠、新豐廠、零件業務部、宿舍","8,349.9300","新竹廠、新豐廠、零件業務部、宿舍","新竹廠、新豐廠、零件業務部、宿舍","0.9900"
"=""2207""","和泰車","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2208""","台船","12,772.2745","台船公司高雄廠區、基隆廠區","台船公司高雄廠區、基隆廠區","27,684.1018","台船公司高雄廠區、基隆廠區","台船公司高雄廠區、基隆廠區","N/A","N/A","N/A","1.7718"
"=""2211""","長榮鋼","3,874.3844","僅母公司(長榮鋼鐵)","僅母公司(長榮鋼鐵)","7,726.1365","僅母公司(長榮鋼鐵)","僅母公司(長榮鋼鐵)","245,474.9649","僅母公司(長榮鋼鐵)-上、下游的運輸與配送、購買商品排放、燃料和能資源相關活動","僅母公司(長榮鋼鐵)-上、下游的運輸與配送、購買商品排放、燃料和能資源相關活動","1.4160"
"=""2227""","裕日車","318.0000","本公司三義廠區範圍及台北INFINITI事業部","N/A","685.7000","本公司三義廠區範圍及台北INFINITI事業部","N/A","N/A","N/A","N/A","0.0420"
"=""2228""","劍麟","176.2577","僅母公司","N/A","4,502.4695","僅母公司","N/A","4,826.6182","僅母公司","N/A","2.6155"
"=""2231""","為升","36.7651","僅母公司","N/A","3,266.0773","僅母公司","N/A","N/A","N/A","N/A","0.7500"
"=""2233""","宇隆","171.9806","母公司","母公司","2,523.8522","母公司","母公司","1,060.8352","僅母公司","N/A","1.7073"
"=""2236""","百達-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""2239""","英利-KY","22.8798","本公司和臺灣子公司","N/A","62.2314","本公司和臺灣子公司","N/A","N/A","N/A","N/A","N/A"
"=""2241""","艾姆勒","218.9200","母公司","N/A","4,073.7200","母公司","N/A","N/A","N/A","N/A","5.0576"
