"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""1227""","佳格","12,435.2359","佳格食品集團台北總公司及6處營業所、佳格食品股份有限公司大園廠(含宿舍)、佳格食品股份有限公司中壢廠及佳乳食品股份有限公司湖口廠","佳格食品集團台北總公司及6處營業所、佳格食品股份有限公司大園廠(含宿舍)、佳格食品股份有限公司中壢廠及佳乳食品股份有限公司湖口廠","15,588.6567","佳格食品集團台北總公司及6處營業所、佳格食品股份有限公司大園廠(含宿舍)、佳格食品股份有限公司中壢廠及佳乳食品股份有限公司湖口廠","佳格食品集團台北總公司及6處營業所、佳格食品股份有限公司大園廠(含宿舍)、佳格食品股份有限公司中壢廠及佳乳食品股份有限公司湖口廠","95,523.4371","佳格食品集團台北總公司及6處營業所、佳格食品股份有限公司大園廠(含宿舍)、佳格食品股份有限公司中壢廠及佳乳食品股份有限公司湖口廠","佳格食品集團台北總公司及6處營業所、佳格食品股份有限公司大園廠(含宿舍)、佳格食品股份有限公司中壢廠及佳乳食品股份有限公司湖口廠","1.7507"
"=""1229""","聯華","1,675.7200","母公司-聯華投控、子公司-聯華置產、聯華製粉、聯華實業、華成投資、聯瑞投資、駱駝鈴、歐奇餐飲、神通資科、新達電腦、肇源、神通光通信、神資電腦、和利投資","母公司-聯華投控、子公司-聯華置產、聯華製粉、聯華實業、華成投資、聯瑞投資、駱駝鈴、歐奇餐飲","18,066.0541","母公司-聯華投控、子公司-聯華置產、聯華製粉、聯華實業、華成投資、聯瑞投資、駱駝鈴、歐奇餐飲、神通資科、新達電腦、肇源、神通光通信、神資電腦、和利投資","母公司-聯華投控、子公司-聯華置產、聯華製粉、聯華實業、華成投資、聯瑞投資、駱駝鈴、歐奇餐飲","3,223.5749","母公司-聯華投控、子公司-聯華置產、聯華製粉 含 用水、廢棄物和商務差旅","母公司-聯華投控、子公司-聯華置產、聯華製粉 含 用水、廢棄物和商務差旅","1.2237"
"=""1231""","聯華食","8,055.7200","本公司在臺灣的各工廠為主","N/A","15,541.2600","本公司在臺灣的各工廠為主","N/A","N/A","N/A","N/A","2.1700"
"=""1232""","大統益","12,072.1393","僅母公司","僅母公司","97,318.6852","僅母公司","僅母公司","N/A","N/A","N/A","5.9170"
"=""1233""","天仁","1,217.5274","母公司【盤查邊界以天仁茶業總公司、香山製茶總廠、台北發貨中心、台灣直營據點(包含百貨賣場門市)與業務中心，共計108處】","N/A","3,612.5402","母公司【盤查邊界以天仁茶業總公司、香山製茶總廠、台北發貨中心、台灣直營據點(包含百貨賣場門市)與業務中心，共計108處】","N/A","N/A","N/A","N/A","2.3095"
"=""1234""","黑松","9,555.8489","母公司(含台北總公司、中壢廠、斗六廠)","母公司(含台北總公司、中壢廠、斗六廠)","14,736.9689","母公司(含台北總公司、中壢廠、斗六廠)","母公司(含台北總公司、中壢廠、斗六廠)","6,588.3778","母公司(含台北總公司、中壢廠、斗六廠)","母公司(含台北總公司、中壢廠、斗六廠)","2.6457"
"=""1235""","興泰","866.9747","依108年製成排放量檢測結果換算112年母子公司排放量","N/A","255.9150","依112年台灣電力公司記錄排放量資訊之母子公司排放量","N/A","N/A","N/A","N/A","14.8297"
"=""1236""","宏亞","2,451.0000","母子公司","N/A","7,810.0000","母子公司","N/A","N/A","N/A","N/A","4.8400"
"=""1256""","鮮活果汁-KY","2,418.4747","本溫室氣體盤查以鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司之工廠，並將位於上海青浦等外租倉庫納入組織邊界範疇。","N/A","15,745.0206","本溫室氣體盤查以鮮活控股股份有限公司旗下主要營運所在地之蘇州鮮活飲品股份有限公司之工廠，並將位於上海青浦等外租倉庫納入組織邊界範疇。","N/A","N/A","N/A","N/A","4.6638"
"=""1301""","台塑","3,542,116.0000","母公司2023年經第三方查證數據，請參閱本公司2023年永續報告書P.91","母公司","4,463,433.0000","母公司2023年經第三方查證數據，請參閱本公司2023年永續報告書P.91","母公司","11,845,359.0000","母公司2023年經第三方查證數據，請參閱本公司2023年永續報告書P.91","母公司","53.2422"
"=""1303""","南亞","1,410,260.0000","僅母公司","僅母公司","2,398,374.0000","僅母公司","僅母公司","11,608,872.0000","僅母公司","僅母公司","31.4700"
"=""1304""","台聚","21,074.0900","個體公司","個體公司","121,600.9700","個體公司","個體公司","493,680.0500","個體公司(購買之商品及勞務、燃料和能源相關活動、營運中產生之廢棄物、員工通勤、商務旅行)","個體公司(購買之商品及勞務、燃料和能源相關活動、營運中產生之廢棄物、員工通勤、商務旅行)","12.4600"
"=""1305""","華夏","151,301.4400","合併財務報表母子公司","合併財務報表母子公司","168,305.0000","合併財務報表母子公司","合併財務報表母子公司","319,606.4400","合併財務報表母子公司(購買之商品及勞務、上游運輸及配送、商務旅行、員工通勤、營運中產生之廢棄物、下游運輸及配送)","合併財務報表母子公司(購買之商品及勞務、上游運輸及配送、商務旅行、員工通勤、營運中產生之廢棄物、下游運輸及配送)","23.3200"
"=""1307""","三芳","2,930.6000","僅母公司範疇一2,930.6 ","母公司","15,924.4000","僅母公司範疇二15,924.4","母公司","N/A","N/A","N/A","29.5200"
"=""1308""","亞聚","9,920.0000","合併財務報表母子公司","N/A","98,816.0000","合併財務報表母子公司","N/A","223,065.0000","個體公司 (購買之商品及勞務、燃料和能源相關活動、上游運輸及配送)","N/A","16.1900"
"=""1309""","台達化","15,747.9900","合併財務報表母子公司","N/A","60,473.7600","合併財務報表母子公司","N/A","82,200.2900","合併財務報表母子公司(購買之商品及勞務、燃料和能源相關活動、上游運輸及配送、營運中產生之廢棄物、商務旅行、員工通勤、下游運輸及配送)","N/A","5.0100"
"=""1310""","台苯","174,823.1376","台苯高雄廠","高雄市林園區工業一路7號","25,923.7536","台苯高雄廠","高雄市林園區工業一路7號","532,749.2169","台苯高雄廠","N/A","21.0400"
"=""1312""","國喬","412,173.0000","僅母公司","僅母公司","20,396.0000","僅母公司","僅母公司","N/A","N/A","N/A","32.2620"
"=""1313""","聯成","39,048.3763","母公司","母公司","15,640.2853","母公司","母公司","N/A","N/A","N/A","9.8880"
"=""1314""","中石化","712,338.0000","母公司個體(台北總公司及生產廠區)","母公司個體(台北總公司及生產廠區)","180,691.0000","母公司個體(台北總公司及生產廠區)","母公司個體(台北總公司及生產廠區)","1,426,722.0000","母公司個體(台北總公司及生產廠區)","母公司個體(台北總公司及生產廠區)","33.8100"
"=""1315""","達新","3,187.4700","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","2,909.9900","已完成合併財務報表之母子公司  ","已完成合併財務報表之母子公司","997.6400","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","3.9000"
"=""1316""","上曜","6.6390","包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室、建案接待中心、建案未售房屋及工務所","N/A","97.8530","包含本公司及營造業子公司上裕營造和永輝室內裝修辦公室、建案接待中心、建案未售房屋及工務所","N/A","N/A","N/A","N/A","N/A"
"=""1319""","東陽","11,642.8100","台灣營運地區（台南總部、桃園觀音廠、台北辦事處）","N/A","53,156.8600","台灣營運地區（台南總部、桃園觀音廠、台北辦事處）","N/A","N/A","N/A","N/A","3.5594"
"=""1321""","大洋","3,159.0000","母公司","N/A","43,344.0000","母公司","N/A","13,823.0000","母公司","N/A","0.4394"
"=""1323""","永裕","309.0600","合併財務報表之母公司","N/A","11,284.2500","合併財務報表之母公司","N/A","N/A","N/A","N/A","6.8790"
"=""1324""","地球","3,780.1076","母公司","N/A","1,948.2052","母公司","N/A","N/A","N/A","N/A","6.2196"
"=""1325""","恆大","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
