報告年度:2024,議題:能源管理,,,
2881,富邦金,16.37%,富邦金控、富邦人壽、台北富邦銀行、富邦產險、富邦證券、富邦銀行（香港）、富邦證券投資信託、富邦華一銀行、富邦期貨、富邦育樂、富邦運動場館、北富銀創投、富邦證券投資顧問、富邦私募股權、富邦財產保險（廈門）、富邦綜合保險代理人、富邦金控創業投資、富邦資產管理、富邦現代生命保險、富邦基金管理（香港）。,ISO 50001
2882,國泰金,26.12%,包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募、電業)之國內據點，以及部份海外分支機構數據,ISO 50001
2883,凱基金,19.90%,凱基金控及其子公司全球所有營運據點（ 除清算中的凱基銀行海外據點－中華開發國際租賃）,"ISO 50001,ISAE3410"
2884,玉山金,56.52%,包含母公司個體之全台營運據點,ISO 50001
2885,元大金,13.64%,全集團,ISO 50001
2886,兆豐金,20.34%,全臺營運據點 ,ISO 50001
2887,台新金,22.08%,已完成合併財務報表之母子公司,ISO 50001
2889,國票金,9.05%,"2024年度盤查邊界包括國票金融控股公司、國票創業投資股份有限公司、國票證券投資顧問股份有限公司、國票證創業投資股份有限公司、國票期貨股份有限公司、國票綜合證券股份有限公司、國際票券金融股份有限公司、國票金租賃股份有限公司、國旺國際融資租賃有限公司、IBF Financial Holding (BVI) Co., Ltd.等共計49據點。因樂天網銀不在國票金控合併財報內，為符合金管會要求，故將樂天網銀移出組織邊界外",ISO 50001
2890,永豐金,19.00%,包含合併財務報表之母子公司,AA1000 ASv3第二類型高度保證等級
2891,中信金,6.99%,中國信託金融園區及臺中金融大樓。,ISO 50001
2892,第一金,14.25%,包含合併財務報表之母子公司,ISO 50001
2897,王道銀行,18.50%,包含母公司個體之全球營運據點,ISO 50001
2901,欣欣,N/A,N/A,N/A
2903,遠百,0.10%,全台分公司,ISO 50001
2904,匯僑,N/A,N/A,N/A
2905,三商,0.00%,母公司,N/A
2906,高林,N/A,N/A,委託正大聯合會計師事務所依據中華民國確信準則公報第3000號對本報告特定項 目進行有限確信，確信報告請參閱本報告書附錄之會計師有限確信報告。
2908,特力,N/A,N/A,N/A
2910,統領,N/A,N/A,N/A
2911,麗嬰房,N/A,N/A,N/A
2912,統一超,0.00%,母公司,ISO 50001
2913,農林,N/A,N/A,N/A
2915,潤泰全,N/A,N/A,N/A
2923,鼎固-KY,N/A,N/A,N/A
2929,淘帝-KY,N/A,N/A,N/A
2939,永邑-KY,N/A,N/A,N/A
2945,三商家購,0.11%,母公司 (總部、物流、美廉社及心樸市集門市)及子公司各處門市(特美事及寵物好事)，共計865個據點,N/A
3002,歐格,N/A,N/A,N/A
3003,健和興,N/A,N/A,N/A
3004,豐達科,1.11%,母公司各廠區,N/A
3005,神基,0.00%,資料範圍涵蓋神基控股暨合併財務報表之八家重要子公司，覆蓋率達合併營收約90%。為了更有效的提升能源管理績效，本公司自2020年至今，已有五家子公司成功導入ISO50001能源管理系統，並通過外部驗證，包含神基科技汐止五廠、神訊昆山、漢達昆山、蘇州漢揚、吉達克常熟暨其分公司吉達克昆山。,ISO 50001
3006,晶豪科,N/A,N/A,N/A
3008,大立光,N/A,N/A,N/A
3010,華立,N/A,N/A,N/A
3011,今皓,0.00%,本公司以下營運據點：今皓光電(崑山)有限公司,N/A
3013,晟銘電,73.00%,包含合併財務報表之母子公司,N/A
3014,聯陽,0.00%,母公司,N/A
3015,全漢,6.00%,時間為2024年1⽉1⽇~12⽉31⽇；廠區包含全漢企業股份有限公司總部、桃⼆廠區與桃三廠、全漢企業股份有限公司⾼雄分公司、輝⼒廠、仲漢電⼦(深圳)有限公司、深圳市眾漢科技有限公司福永廠、無錫全漢科技有限公司、東莞普特、善元科技,ISO 50001
3016,嘉晶,0.00%,已完成合併財務報表之母子公司,N/A
3017,奇鋐,4.50%,包含合併報表所有公司，除富世達為上市公司單獨出具相關報告。,N/A
3018,隆銘綠能,N/A,N/A,N/A
3019,亞光,N/A,N/A,N/A
3021,鴻名,N/A,N/A,N/A
3022,威強電,N/A,N/A,N/A
3023,信邦,10.50%,本公司、100%持股子公司,ISO 50001
3024,憶聲,N/A,N/A,N/A
3025,星通,N/A,N/A,N/A
3026,禾伸堂,0.81%,母公司,N/A
3027,盛達,N/A,N/A,N/A
3028,增你強,N/A,N/A,N/A
3029,零壹,N/A,N/A,N/A
3030,德律,N/A,N/A,N/A
3031,佰鴻,0.00%,已完成合併財務報表之母子公司,ISO 14064-1
3032,偉訓,N/A,N/A,N/A
3033,威健,N/A,N/A,N/A
3034,聯詠,14.89%,母公司,ISO 50001
3035,智原,7.50%,僅⺟公司(新⽵營運據點、台北及台南辦公室)為統計邊界,AA1000 (中度保證)
3036,文曄,4.99%,個體公司及合併報表台灣子公司,N/A
3037,欣興,N/A,N/A,ISO 50001
3038,全台,N/A,N/A,N/A
3040,遠見,N/A,N/A,N/A
3041,揚智,N/A,N/A,N/A
3042,晶技,6.93%,平鎮廠,ISO 50001
3043,科風,N/A,N/A,N/A
3044,健鼎,3.96%,包含合併財務報表之母子公司,ISO 50001
3045,台灣大,10.20%,含合併財務報表之母子公司共29家,ISO 50001
3046,建碁,69.00%,含合併財務報表之母子公司 ,N/A
3047,訊舟,N/A,N/A,N/A
3048,益登,N/A,N/A,N/A
3049,精金,N/A,N/A,ISO 50001
3050,鈺德,N/A,N/A,N/A
3051,力特,N/A,N/A,N/A
3052,夆典,0.00%,範圍為企業總部(新北市新民街)辦公處所。,企業總部(新北市新民街)溫室氣體盤查範疇一、範疇二確信項目中包含能源項目的使用量(溫室氣體排放)。
3054,立萬利,N/A,N/A,N/A
3055,蔚華科,N/A,N/A,N/A
3056,富華新,N/A,N/A,N/A
3057,喬鼎,N/A,N/A,N/A
3058,立德,8.98%,集團主要營運據點,N/A
3059,華晶科,N/A,N/A,N/A
3060,銘異,N/A,N/A,N/A
3062,建漢,0.00%,母公司,N/A
3090,日電貿,N/A,N/A,N/A
3092,鴻碩,N/A,N/A,ISO 50001
3094,聯傑,N/A,N/A,N/A
3130,一零四,N/A,N/A,N/A
3138,耀登,8.90%,母公司,N/A
3149,正達,N/A,N/A,N/A
3150,鈺寶-創,N/A,N/A,N/A
3164,景岳,N/A,N/A,N/A
3167,大量,N/A,N/A,N/A
3168,眾福科,N/A,N/A,N/A
3189,景碩,0.92%,石磊廠、清華廠、新豐廠、幼獅廠,N/A
3209,全科,0.00%,本公司台灣總部、台灣的各點辦公室及物流倉儲。,N/A
3229,晟鈦,N/A,N/A,N/A
3231,緯創,70.02%,包含合併財務報表之母子公司,ISO 50001
3257,虹冠電,N/A,N/A,N/A
3266,昇陽,N/A,N/A,N/A
3296,勝德,N/A,N/A,ISO 50001
3305,昇貿,N/A,N/A,N/A
3308,聯德,N/A,N/A,N/A
3311,閎暉,N/A,N/A,N/A
3312,弘憶股,N/A,N/A,N/A
3321,同泰,N/A,N/A,N/A
3338,泰碩,N/A,N/A,ISO 50001
3346,麗清,22.60%,母公司 (中和廠辦及觀音廠 2024.1.1~2024.12.31),再生能源電能收購作業要點
3356,奇偶,N/A,N/A,N/A
3376,新日興,N/A,N/A,N/A
3380,明泰,N/A,N/A,ISO 50001
3406,玉晶光,N/A,N/A,N/A
3413,京鼎,N/A,N/A,N/A
3416,融程電,0.06%,僅母公司,N/A
3419,譁裕,N/A,N/A,N/A
3432,台端,N/A,N/A,N/A
3437,榮創,N/A,N/A,N/A
3443,創意,39.00%,合併財務報表之母子公司,N/A
3447,展達,20.84%,合併財務報表之子公司(蘇州工廠、泰國工廠),N/A
3450,聯鈞,0.00%,N/A,N/A
3481,群創,4.69%,母公司及部分子公司,ISO 50001
3494,誠研,N/A,N/A,N/A
3501,維熹,N/A,N/A,N/A
3504,揚明光,N/A,N/A,N/A
3515,華擎,N/A,N/A,N/A
3518,柏騰,N/A,N/A,N/A
3528,安馳,N/A,N/A,N/A
3530,晶相光,N/A,N/A,N/A
3532,台勝科,0.00%,母公司,N/A
3533,嘉澤,8.26%,本公司廣州廠、中山廠、蘇州廠,ISO 50001
3535,晶彩科,N/A,N/A,N/A
3543,州巧,0.09%,"組織邊界為本公司總部暨工廠包括新竹廠,台南廠,蘇州廠,廈門廠",ISO 50001
3545,敦泰,N/A,N/A,N/A
3550,聯穎,N/A,N/A,N/A
3557,嘉威,0.00%,母公司及大陸子公司,N/A
3563,牧德,N/A,N/A,N/A
3576,聯合再生,N/A,N/A,N/A
3583,辛耘,N/A,N/A,ISO 50001
3588,通嘉,N/A,N/A,N/A
3591,艾笛森,8.43%,母公司及全球生產基地,N/A
3592,瑞鼎,2.60%,母公司,N/A
3593,力銘,N/A,N/A,N/A
3596,智易,40.00%,"1.智易科技股份有限公司 2.智同科技股份有限公司 3.仁寶網路資訊(昆山)有限公司 4.Arcadyan Technology (Vietnam) Co., Ltd. 5.上海廣智技術發展有限公司",N/A
3605,宏致,4.36%,【母公司】宏致電子股份有限公司、【合併財務報表之(部分)子公司】廣迎新工業股份有限公司、龍翰科技股份有限公司、志展實業股份有限公司、香港商創世紀有限公司台灣分公司、昆山宏致電子有限公司、蘇州市加利斯精密金屬工藝製品有限公司、蘇州龍翰電子有限公司、東莞宏致電子有限公司、東莞奇翰電子有限公司、東莞廣迎五金塑膠製品有限公司、菲律賓龍翰股份有限公司、宏致精密責任有限公司,N/A
3607,谷崧,N/A,N/A,N/A
3617,碩天,0.27%,"母公司、中國及菲律賓部份子公司(東莞市碩擎能源科技有限公司、碩擎能源科技（深圳）有限公司、碩天電源（深圳）有限公司、碩達電子（深圳）有限公司、廣升電子（深圳）有限公司、寧遠縣碩寧電子有限公司、Cyber Power Systems Manufacturing, Inc.與 Phisonic Technology Corporation)",N/A
3622,洋華,N/A,N/A,N/A
3645,達邁,1.24%,母公司,ISO 50001
3652,精聯,N/A,N/A,N/A
3653,健策,N/A,N/A,N/A
3661,世芯-KY,2.05%,台北及新竹營運據點,ISO 14064-1:2018 
3665,貿聯-KY,15.08%,統計範圍涵蓋集團35個生產據點:昆山貿聯廠、昆山翔光廠、常州廠、常州BCNC廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、台灣台南廠、新加坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、加州廠、密西根廠、德州廠、墨西哥廠、加拿大廠、塞爾維亞廠、斯洛伐克廠、德國廠、法國廠、捷克廠、義大利廠、印尼巴淡廠。,ISO 50001
3669,圓展,N/A,N/A,N/A
3673,TPK-KY,10.73%,包含合併財務報表之母子公司,ISO 50001
3679,新至陞,19.48%,範疇邊界為實質營運地區為台北廠、昆山廠及越南廠,N/A
3686,達能,N/A,N/A,N/A
3694,海華,3.00%,紘華(上海),N/A
3701,大眾控,3.25%,台灣地區: 包含大眾投控(母公司)、大眾電腦、眾晶科技、3CEMS Corp.（Cayman）、攸泰科技、睿剛電訊、廣仁電科 中國大陸地區: 包含廣上科技、才眾電腦 僅才眾電腦 通過ISO 50001驗證,ISO 50001
3702,大聯大,0.08%,合併財務報表之母子公司,N/A
3703,欣陸,3.63%,母公司及主要營運子公司,"ISO 50001,驗證範圍:鳳山水資源中心、安平水資源中心、臨海水資源中心"
3704,合勤控,N/A,N/A,N/A
3705,永信,N/A,N/A,N/A
3706,神達,17.77%,神達控股股份有限公司 (母公司)，神達電腦股份有限公司，神雲科技股份有限公司，神達數位股份有限公司，昆達電腦科技（昆山）有限公司，璽達信息科技(昆山)有限公司，佛山市順德區順達電腦廠有限公司，MiTAC Information Systems Corp.,AA1000
3708,上緯投控,6.50%,已完成合併財務報表之母子公司,N/A
3711,日月光投控,19.20%,日月光半導體製造股份有限公司高雄廠、中壢廠、無錫廠、上海材料廠、上海月芯半導體、日本廠、韓國廠、新加坡廠、馬來西亞廠、ISE Labs、矽品精密工業股份有限公司大豐廠、中山廠、中科廠、二林廠、中工廠、新竹廠、彰化廠、蘇州廠、環電股份有限公司南投廠、張江廠、昆山廠、金橋廠、惠州廠、蘇州廠、墨西哥廠、越南廠。,已取證廠區: 日月光半導體製造股份有限公司高雄廠、中壢廠、上海月芯半導體、矽品精密工業股份有限公司大豐廠、中山廠、中科廠、二林廠、中工廠、新竹廠、彰化廠、蘇州廠、環電股份有限公司南投廠、張江廠、昆山廠、金橋廠、惠州廠、蘇州廠、墨西哥廠、越南廠。
3712,永崴投控,7.30%,永崴含子公司:勁永國際股份有限公司、崴強科技股份有限公司、光燿科技股份有限公司及富崴廠、耀崴廠、富康廠、富彰廠、中旋實業有限公司。,N/A
3714,富采,2.57%,包含：富采、晶元光電、隆達電子、晶成半導體、晶品光電(常州)、晶宇光電(廈門)、江蘇璨揚光電、達亮電子(滁州),ISO 50001
3715,定穎投控,18.79%,包含合併財務報表之母子公司,ISO 50001
3716,中化控股,N/A,N/A,N/A
4104,佳醫,N/A,N/A,N/A
4106,雃博,N/A,N/A,N/A
4108,懷特,N/A,N/A,N/A
4119,旭富,N/A,N/A,N/A
4133,亞諾法,N/A,N/A,N/A
4137,麗豐-KY,N/A,N/A,N/A
4142,國光生,N/A,N/A,N/A
4148,全宇生技-KY,N/A,N/A,N/A
4155,訊映,N/A,N/A,N/A
4164,承業醫,N/A,N/A,N/A
4190,佐登-KY,70.00%,佐登妮絲嘉義生技園區,N/A
4306,炎洲,N/A,彰化薄膜二廠,ISO 50001
4414,如興,N/A,N/A,N/A
4426,利勤,N/A,N/A,ISO 50001
4438,廣越,33.79%,10個營業據點 台灣地區(台灣內湖總部、台北尚弘、台北金漢)和中國廠區（嘉興廠、沭陽廠）與越南廠區（古芝廠、前江廠、隆安廠、越南金漢廠、越南金鴻廠）,N/A
4439,冠星-KY,65.43%,TOP SPORTS TEXTILE LTD.,EMeRet
4440,宜新實業,3.00%,彰化廠,N/A
4526,東台,N/A,N/A,ISO 50001
4532,瑞智,N/A,N/A,ISO 50001
4536,拓凱,N/A,N/A,N/A
4540,全球傳動,0.29%,全球傳動樹林廠,N/A
4545,銘鈺,N/A,N/A,N/A
4551,智伸科,N/A,N/A,N/A
4552,力達-KY,N/A,N/A,N/A
4555,氣立,N/A,N/A,N/A
4557,永新-KY,2.99%,廈門永裕、福州新信、台灣分公司,N/A
4560,強信-KY,N/A,N/A,ISO 50001
4562,穎漢,N/A,N/A,N/A
4564,元翎,N/A,N/A,N/A
4566,時碩工業,5.00%,母公司及包含子公司時碩科技股份有限公司、時碩科技(無錫)有限公司、時碩科技(西安)有限公司。,N/A
4569,六方科-KY,0.00%,"本公司及主要營運據點之子公司Global-Thaixon Precision Industry Co., Ltd.及Thaixon Tech Co., Ltd.。",ISO 50001
4571,鈞興-KY,0.00%,合併財務報表之母子公司,N/A
4572,駐龍,N/A,N/A,N/A
4576,大銀微系統,N/A,N/A,ISO 50001
4581,光隆精密-KY,N/A,N/A,N/A
4583,台灣精銳,N/A,N/A,N/A
4588,玖鼎電力,N/A,N/A,N/A
4720,德淵,0.00%,桃園廠,ISO 50001
4722,國精化,N/A,N/A,N/A
4736,泰博,N/A,N/A,N/A
4737,華廣,N/A,N/A,N/A
4739,康普,2.80%,"康普,天弘,恆誼",N/A
4746,台耀,0.73%,母公司,N/A
4755,三福化,N/A,N/A,ISO 50001
4763,材料-KY,0.18%,合併財務報表之子公司(濟南大自然新材料有限公司及阿斯泰克(山東)環保纖維有限公司),ISO 50001
4764,雙鍵,0.00%,母公司,N/A
4766,南寶,1.60%,母公司及部分子公司(佛山南寶、佛山高盛高新、東莞南寶、東莞佳勤、福清南寶、昆山南寶、越南南寶、越南大登及越南寧平、越南NNV、印尼南寶及泰國南寶)。,N/A
4770,上品,N/A,N/A,N/A
4771,望隼,N/A,N/A,N/A
4807,日成-KY,30.00%,"Regal Jewelry Manufacture Co., Ltd.","ISO 50001,Thailand Greenhouse Gas Management Organization     "
4904,遠傳,2.51%,已完成合併財務報表之母子公司,ISO 50001
4906,正文,2.10%,正文科技台灣總部及越南正文廠,ISO 50001
4912,聯德控股-KY,10.88%,1.聯德控股股份有限公司 2.聯德精密材料(中國)股份有限公司 3.聯德電子科技(常熟)有限公司 4.昆山聯德滑軌科技有限公司),ISO 50001
4915,致伸,53.22%,母公司與主要生產基地,ISO 50001
4916,事欣科,N/A,N/A,N/A
4919,新唐,1.36%,母公司,ISO 50001
4927,泰鼎-KY,3.08%,合併財務報告子公司,N/A
4930,燦星網,N/A,N/A,N/A
4934,太極,2.32%,母公司及越南子公司,N/A
4935,茂林-KY,0.00%,母公司及台灣廠區,N/A
4938,和碩,55.70%,ISO 50001驗證範疇：PEGATRON Czech s.r.o.、和碩聯合科技股份有限公司桃園廠、名碩電腦(蘇州)有限公司、旭碩科技(重慶)有限公司、PEGATRON VIETNAM COMPANY LIMITED  再生能源使用率計算範疇：和碩全集團 ,ISO 50001
4942,嘉彰,N/A,N/A,N/A
4943,康控-KY,N/A,N/A,N/A
4949,有成精密,N/A,N/A,ISO 50001
4952,凌通,N/A,N/A,N/A
4956,光鋐,N/A,N/A,N/A
4958,臻鼎-KY,50.00%,包含合併財務報表之母子公司,ISO 50001
4960,誠美材,2.32%,母公司,ISO 50001
4961,天鈺,0.00%,合併財務報夠之母子公司,N/A
4967,十銓,N/A,N/A,N/A
4968,立積,0.61%,母公司,N/A
4976,佳凌,N/A,N/A,N/A
4977,眾達-KY,N/A,N/A,N/A
4989,榮科,1.22%,請確認,"ISO 50001,請確認"
4994,傳奇,N/A,N/A,N/A
4999,鑫禾,N/A,N/A,N/A
5007,三星,1.21%,母公司,ISO 50001
5203,訊連,N/A,N/A,N/A
5215,科嘉-KY,N/A,N/A,N/A
5222,全訊,N/A,N/A,N/A
5225,東科-KY,4.05%,東聲惠州及越南EAVN,ISO 50001
5234,達興材料,0.90%,包含合併財務報表之母子公司,N/A
5243,乙盛-KY,26.43%,昆山乙盛機械工業有限公司,N/A
5244,弘凱,N/A,N/A,N/A
5258,虹堡,N/A,N/A,N/A
5269,祥碩,N/A,N/A,N/A
5283,禾聯碩,N/A,N/A,N/A
5284,jpp-KY,0.23%,Jinpao Soi 11 + 12 廠區,N/A
5285,界霖,N/A,N/A,N/A
5288,豐祥-KY,0.00%,主要營運孫公司台灣豐祥及越南VPIC1,ISO 50001
5292,華懋,N/A,N/A,N/A
5306,桂盟,42.61%,桂盟國際股份有限公司、桂盟企業股份有限公司、科恩斯工業股份有限公司、桂盟鏈條(深圳)有限公司、超匯桂盟傳動(天津)有限公司、超匯桂盟傳動(蘇州)有限公司、深圳市科恩斯汽車零配件有限公司、桂盟鏈條(越南)責任有限公司,N/A
5388,中磊,11.30%,母公司（台北總部、竹南製造中心）以及蘇州、菲律賓製造中心,ISO 50001
5434,崇越,4.70%,母公司,N/A
5469,瀚宇博,N/A,N/A,ISO 50001
5471,松翰,N/A,N/A,N/A
5484,慧友,N/A,N/A,N/A
5515,建國,N/A,N/A,N/A
5519,隆大,N/A,N/A,N/A
5521,工信,N/A,N/A,N/A
5522,遠雄,N/A,N/A,N/A
5525,順天,N/A,N/A,N/A
5531,鄉林,N/A,N/A,N/A
5533,皇鼎,N/A,N/A,N/A
5534,長虹,N/A,N/A,N/A
5538,東明-KY,13.00%,開曼東明、岡山東穎、Tongwin、浙江東明及浙江東和,ISO 50001
5546,永固-KY,N/A,N/A,N/A
5607,遠雄港,N/A,N/A,N/A
5608,四維航,N/A,N/A,N/A
5706,鳳凰,N/A,N/A,N/A
5871,中租-KY,10.21%,台灣地區,ISO 50001
5876,上海商銀,8.81%,本行在臺灣地區之營業據點、海外分行及海外辦事處,ISO 50001
5880,合庫金,19.94%,"配合政府2050淨零排放，推動能源轉型政策，合庫銀行17處據點已完成設置太陽能板發電系統，實際總發電量達484,618度，減少的碳排放量約229.71公噸CO2e，相當於0.59座大安森林公園的年吸碳量，另4處據點太陽能板發電系統建置中，累積共21處據點建置太陽能板發電系統，預估年發電量約達86.13萬度。 全集團採購2,446.47萬度再生能源，2024 年綠電已轉供計793.41萬度，且已取得7,965張再生能源憑證，可減少碳排放量約3,760.74公噸CO2e，相當於9.73座大安森林公園的年吸碳量，未來持續響應國家淨零排放政策，逐步提高再生能源使用比重。",ISO 50001
5906,台南-KY,N/A,N/A,N/A
5907,大洋-KY,N/A,N/A,N/A
6005,群益證,N/A,N/A,ISO 50001
6024,群益期,N/A,N/A,N/A
6108,競國,N/A,N/A,N/A
6112,邁達特,1.79%,邁達特及子公司啟迪、逐鹿、聚上雲,N/A
6115,鎰勝,N/A,N/A,N/A
6116,彩晶,2.46%,母公司,ISO 50001
6117,迎廣,N/A,N/A,ISO 50001
6120,達運,8.03%,已完成合併財務報表之母子公司,ISO 50001
6128,上福,N/A,N/A,N/A
6133,金橋,N/A,N/A,N/A
6136,富爾特,N/A,N/A,N/A
6139,亞翔,N/A,N/A,N/A
6141,柏承,N/A,N/A,N/A
6142,友勁,N/A,N/A,N/A
6152,百一,33.00%,僅子公司,N/A
6153,嘉聯益,0.00%,母公司樹林廠,N/A
6155,鈞寶,N/A,N/A,N/A
6164,華興,N/A,N/A,N/A
6165,浪凡,N/A,N/A,N/A
6166,凌華,4.25%,僅母公司 ,N/A
6168,宏齊,0.00%,母公司,N/A
6176,瑞儀,3.20%,台灣廠區、吳江廠區、南京廠區及廣州廠區,ISO 50001
6177,達麗,N/A,N/A,N/A
6183,關貿,N/A,N/A,N/A
6184,大豐電,0.00%,大豐有線電視股份有限公司，未包含合併財務報表中之子公司,N/A
6189,豐藝,N/A,N/A,N/A
6191,精成科,N/A,N/A,N/A
6192,巨路,N/A,N/A,N/A
6196,帆宣,0.00%,母公司,ISO 50001
6197,佳必琪,N/A,N/A,N/A
6201,亞弘電,N/A,N/A,N/A
6202,盛群,N/A,N/A,N/A
6205,詮欣,N/A,N/A,N/A
6206,飛捷,N/A,N/A,N/A
6209,今國光,N/A,N/A,N/A
6213,聯茂,N/A,N/A,ISO 50001
6214,精誠,4.56%,僅母公司總部大樓,ISO 50001
6215,和椿,N/A,N/A,N/A
6216,居易,N/A,N/A,N/A
6224,聚鼎,N/A,N/A,N/A
6225,天瀚,N/A,N/A,N/A
6226,光鼎,N/A,N/A,N/A
6230,尼得科超眾,N/A,N/A,N/A
6235,華孚,3.36%,華孚科技股份有限公司、 昆山華復精密金屬有限公司、 華孚精密科技(馬鞍山)有限公司、 華譽精密科技(含山)有限公司。,N/A
6239,力成,3.30%,僅台灣區域力成科技,ISO 50001
6243,迅杰,N/A,N/A,N/A
6257,矽格,2.86%,本公司以下營運據點：矽格股份有限公司(湖口廠)、矽格股份有限公司(北興廠)、矽格股份有限公司(中興廠),N/A
6269,台郡,N/A,N/A,ISO 50001
6271,同欣電,0.15%,已完成合併財務報表之母子公司,N/A
6277,宏正,N/A,N/A,N/A
6278,台表科,N/A,N/A,N/A
6281,全國電,N/A,N/A,N/A
6282,康舒,21.68%,康舒科技+滬華五金之各營運據點,ISO 50001
6283,淳安,N/A,N/A,N/A
6285,啟碁,21.06%,2024 年能源使用計算範圍為啓碁總部、台北辦公室、力行廠、南科廠、啟佳、啟新、啟基永昌（ 昆山）、啟基永昌（ 南京）、越南廠、美國與英國子公司；德國以及日本子公司採居家辦公形式，因此未計入；墨西哥廠區因數據未涵蓋完整一年也未計入。,ISO 50001
6405,悅城,N/A,N/A,N/A
6409,旭隼,0.21%,"(一)旭隼科技集團為不斷電系統(Uninterruptible Power System；UPS)、電源轉換器(Inverter)、太陽能逆變器(Photovoltaic Inverter；PV Inverter) 、儲能系統(Energy Storage System)及電動車充電器(EV Charger)等電子產品之DMS(Design & Manufacturing Service；設計生產製造服務)廠商。主要業務為替世界各國品牌客戶進行設計製造，產品銷售以外銷為主，近三年度之外銷金額佔營收比重均超過九成以上。 (二)旭隼科技集團之自身營運的碳排放（範疇1、2） ，亦採用直接電力在最終能源消耗總額中的份額進行管理。自身營運耗用之能源(範疇1及範疇2)，絕大部分都為公司營運所需之外購電力(＞99％)，且均為所在地區之市政供電。 (三)旭隼集團使用的能源，絕大部分是外購電力（市政供電），全球有統一的轉換係數；生質燃料僅使用車用汽油以及柴油；依集團總公司所在地司法管轄區（臺灣）所公布「溫室氣體排放係數管理表(6.0.4版本2019年6月) 」之高位熱值，計算轉換係數: 1cal＝4.184J；1Wh＝3,600J 燃料： 1L（公升）車用汽油＝7800 Kcal/L@4.184J/cal＝32,635.2KJ/109＝0.0326352GJ/L 1KL（公秉）車用汽油＝0.0326352GJ/L@1000＝32.6352 GJ/KL 1L（公升）柴油＝8400 Kcal/L@4.184J/cal＝35,145.6KJ/109＝0.0351456GJ/L 1KL（公秉）柴油＝0.0351456GJ/L@1000＝35.1456GJ/KL 電力： 1KWh（度）＝3,600J@1000/109＝0.0036 GJ/ kWh 1MWh（兆瓦）＝0.0036 GJ/ kWh @1000＝3.6 GJ/ MWh (四)涵蓋範圍包含合併財務報表之母子公司  ",ISAE3000
6412,群電,55.56%,台北總公司、東莞廠、蘇州廠、重慶廠、泰國廠,ISO 50001
6414,樺漢,0.00%,新北市中和區建康路10號3~6F,ISO 50001
6415,矽力*-KY,N/A,N/A,N/A
6416,瑞祺電通,N/A,N/A,N/A
6426,統新,N/A,N/A,N/A
6431,光麗-KY,N/A,N/A,N/A
6438,迅得,0.00%,母公司,N/A
6442,光聖,0.00%,母公司,N/A
6443,元晶,N/A,N/A,N/A
6446,藥華藥,N/A,N/A,N/A
6449,鈺邦,N/A,N/A,N/A
6451,訊芯-KY,3.95%,"""中國廣東省中山市火炬開發區建業東路9號"" ",ISO 50001
6456,GIS-KY,87.64%,已完成合併報表之母子公司,ISO 50001
6464,台數科,0.22%,已完成合併財務報表之母子公司,N/A
6472,保瑞,N/A,N/A,N/A
6477,安集,N/A,N/A,N/A
6491,晶碩,N/A,N/A,N/A
6504,南六,N/A,N/A,N/A
6505,台塑化,0.00%,母公司,N/A
6515,穎崴,N/A,N/A,N/A
6525,捷敏-KY,1.21%,合併財務報表之母子公司,N/A
6526,達發,0.00%,已完成母公司,N/A
6531,愛普*,N/A,N/A,N/A
6533,晶心科,N/A,N/A,N/A
6534,正瀚-創,11.43%,已完成合併財務報表之母子公司,N/A
6541,泰福-KY,N/A,N/A,N/A
6550,北極星藥業-KY,N/A,N/A,N/A
6552,易華電,N/A,N/A,N/A
6558,興能高,N/A,N/A,N/A
6573,虹揚-KY,N/A,N/A,青山永續聯合會計師事務所
6579,研揚,N/A,N/A,N/A
6581,鋼聯,0.68%,-,ISO 50001
6582,申豐,N/A,N/A,N/A
6585,鼎基,N/A,N/A,N/A
6589,台康生技,N/A,N/A,N/A
6591,動力-KY,N/A,N/A,N/A
6592,和潤企業,N/A,N/A,N/A
6598,ABC-KY,N/A,N/A,N/A
6605,帝寶,N/A,N/A,N/A
6606,建德工業,N/A,N/A,N/A
6625,必應,N/A,N/A,N/A
6641,基士德-KY,26.30%,"包含母公司及其他：(1)川源(中國)機械有限公司及其5個分公司 (2)川源環境科技(揚州)有限公司 (3)基士德環科股份有限公司 (4)基士德科技股份有限公司台灣分公司 (5)Chuan Yuan Hydraulic Engineering Co., Ltd.)",N/A
6645,金萬林-創,N/A,N/A,N/A
6655,科定,N/A,N/A,N/A
6657,華安,0.00%,華安醫學股份有限公司,N/A
6658,聯策,N/A,N/A,N/A
6666,羅麗芬-KY,N/A,N/A,ISO 50001
6668,中揚光,N/A,N/A,N/A
6669,緯穎,66.77%,包含合併財務報表之母子(孫)公司,ISO 50001
6670,復盛應用,0.45%,母公司,N/A
6671,三能-KY,N/A,N/A,N/A
6672,騰輝電子-KY,0.86%,合併報表之子公司生產型廠區,N/A
6674,鋐寶科技,N/A,N/A,N/A
6689,伊雲谷,5.22%,伊雲谷母公司(全台營運據點包含三重、菜寮、士林、台中、高雄辦公室),N/A
6691,洋基工程,N/A,N/A,N/A
6695,芯鼎,N/A,N/A,N/A
6698,旭暉應材,4.99%,母公司,N/A
