報告年度:2024,議題:能源管理,,,
公司代號,公司名稱,使用率(再生能源/總能源)-使用率(再生能源/總能源),資料邊界-資料邊界,驗證標準-取得驗證
1101,台泥,2.05%,台灣與中國大陸水泥事業，包含台泥水泥廠、製品廠及轄下發貨站、粉磨站、辦公室，以及子公司萬青水泥、鳳勝實業、Hong Kong Cement、礦業公司、環保科技公司100%營運據點,ISO 50001
1102,亞泥,0.11%,母公司,ISO 50001
1103,嘉泥,N/A,N/A,ISO 50001
1104,環泥,0.30%,合併財務報表之母子公司,N/A
1108,幸福,N/A,N/A,N/A
1109,信大,N/A,N/A,N/A
1110,東泥,N/A,N/A,N/A
1201,味全,0.00%,僅母公司,ISO 50001
1203,味王,N/A,N/A,N/A
1210,大成,0.00%,大成長城母公司與台灣子公司,N/A
1213,大飲,N/A,N/A,N/A
1215,卜蜂,0.12%,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N/A
1216,統一,0.00%,永康總廠、新市總廠(含冰品廠、冷調食品廠)、台中總廠、楊梅總廠(含瑞芳礦泉水廠)及中壢總廠 (含麻豆麵包廠)、TMR、物流倉庫、台北分公司、高雄辦公室、內湖辦公室、五股辦公室、湖口園區(含冰塊廠)等廠區,ISO 50001
1217,愛之味,N/A,N/A,N/A
1218,泰山,55.18%,泰山食品廠，油脂廠，以北斗牧場,N/A
1219,福壽,N/A,N/A,ISO 50001
1220,台榮,N/A,N/A,N/A
1225,福懋油,0.00%,母公司,N/A
1227,佳格,N/A,N/A,N/A
1229,聯華,N/A,N/A,ISO 50001
1231,聯華食,0.60%,總公司、各辦事處及各廠區，共計12處,ISO 50001
1232,大統益,0.35%,僅母公司,N/A
1233,天仁,N/A,N/A,N/A
1234,黑松,1.48%,母公司(含台北總公司、中壢廠、斗六廠),ISO 50001
1235,興泰,N/A,N/A,N/A
1236,宏亞,4.00%,全體公司,N/A
1256,鮮活果汁-KY,N/A,N/A,N/A
1301,台塑,0.03%,僅母公司。,ISO 50001
1303,南亞,0.32%,南亞母公司+台灣子公司,ISO 50001
1304,台聚,N/A,N/A,ISO 50001
1305,華夏,0.01%,華夏頭份總廠、台氯林園廠、華聚林園廠,ISO 50001
1307,三芳,2.50%,合併財務報表之母子公司,N/A
