"報告年度:2024","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""1452""","宏益","1","https://www.hongyilon.com.tw/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E5%B0%88%E5%8D%80"
"=""1453""","大將","1","http://www.tajiang.com.tw/finance_info.aspx?tag_id=T0022"
"=""1454""","台富","4","http://www.ttfco.com"
"=""1455""","集盛","2","http://www.zigsheng.com/corporate-social-responsibility-zh/sustainable-business-zh/#stakeholders"
"=""1456""","怡華","1","http://www.ihwa.com.tw/stakeholders.html"
"=""1457""","宜進","1","www.yijinn.com.tw/interested-parties"
"=""1459""","聯發","2","http://main.lanfa.com.tw/index.php/2019-11-12-17-45-00"
"=""1460""","宏遠","1","https://esg.everest.com.tw/tw"
"=""1463""","強盛新","1","www.csgroup.com.tw"
"=""1464""","得力","2","http://www.delicacy.com.tw/zh-tw/Investor/投資人服務窗口/利害關係人專區"
"=""1465""","偉全","1","https://sites.google.com/view/wisher-ch/利害關係人"
"=""1466""","聚隆","1","https://www.acelon.com.tw/zh-tw/stakeholder-contact"
"=""1467""","南緯","1","www.texray.com"
"=""1468""","昶和","2","www.chang-ho.com.tw/content/"
"=""1470""","大統新創","2","www.evertex.tw/tw/about/永續發展/利害關係人專區"
"=""1471""","首利","1","www.soly-tech.com/stakeholders.htm"
"=""1472""","三洋實業","1","https://reurl.cc/MjMnXL"
"=""1473""","台南","2","https://www.tai-nan.com/stakeholder-survey.php"
"=""1474""","弘裕","2","http://www.textile-hy.com.tw/利害關係人.htm"
"=""1475""","業旺","1","http://www.big-sunshine.com.tw"
"=""1476""","儒鴻","6","http://www.eclat.com.tw/zh-tw/investors/"
"=""1477""","聚陽","30","https://www.makalot.com.tw/contact-us"
"=""1503""","士電","1","https://www.seec.com.tw/Content/Messagess/contents.aspx?SiteID=10&MmmID=1307577075012432241"
"=""1504""","東元","13","https://www.teco.com.tw/esg/?gid=1&nid=919"
"=""1506""","正道","1","https://www.rightway.com.tw/index.php?temp=investor&lang=cht"
"=""1512""","瑞利","1","http://www.juili.com.tw/c/inv_6.htm"
"=""1513""","中興電","2","WWW.CHEM.COM.TW/A_CONTACT.ASPX"
"=""1514""","亞力","1","https://goo.gl/Dc81zK"
"=""1515""","力山","2","https://www.rexon.net/esg-survery.php"
"=""1516""","川飛","1","www.falconpower.tw/stakeholders/"
"=""1517""","利奇","1","https://www.leechi.com.tw/investor/category/40"
"=""1519""","華城","1","https://www.fortune.com.tw/tw/contact_stakeholder.aspx"
"=""1521""","大億","1","https://www.tayih-ind.com.tw/investors/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA"
"=""1522""","堤維西","1","https://www.tyc.com.tw/stakeholders"
"=""1524""","耿鼎","1","http://www.gordon.com.tw/respons.html"
"=""1525""","江申","2","https://www.kian-shen.com/tw/Web/page/63"
"=""1526""","日馳","1","www.sunrace.tw"
"=""1527""","鑽全","2","www.basso.com.tw"
"=""1528""","恩德","1","www.anderson.com.tw"
"=""1529""","樂事綠能","4","http://luxe.com.tw/"
"=""1530""","亞崴","1","www.awea.com/tw/investor/stakeholders.html"
"=""1531""","高林股","1","https://siruba.com/tw/investor-7/"
"=""1532""","勤美","3","http://www.cmp.com.tw/cht/investor/stakeholder"
"=""1533""","車王電","1","http://www.more.com.tw/Csr/Page/c1606ebc-6ffc-4789-952f-c442c995cc48"
"=""1535""","中宇","2","https://www.ecotek.com.tw/?prog=cec_apply"
"=""1536""","和大","2","www.hota.com.tw"
"=""1537""","廣隆","3","https://www.klb.com.tw/investor/stakeholder/stakeholder/"
"=""1538""","正峰","1","http://www.jennfeng.com/index.asp?lang=1"
"=""1539""","巨庭","2","www.geetech.com.tw"
"=""1540""","喬福","1","http://www.johnford.com.tw/tw/relationship"
"=""1541""","錩泰","1","http://www.toty.com.tw/chinese/stakeholder/ip.html"
"=""1558""","伸興","2","www.zenghsing.com.tw/csr/stakeholder/?lang=zh-hant"
"=""1560""","中砂","7","https://www.kinik.com.tw/zh-tw/Stakeholders/Stakeholders.html?def=0"
"=""1563""","巧新","12","https://www.superalloy.tw/sustainability/interested-parties/"
"=""1568""","倉佑","2","https://www.tsangyow.com.tw/page7_1.php?vv=eyJwZyI6MSwicGdjIjoxfQ=="
"=""1582""","信錦","3","https://www.syncmold.com.tw/item_interested_person_2018.html"
"=""1583""","程泰","1","http://www.goodwaycnc.com/exhtml_goodway/goodway_tw/publication/stakeholders/index.htm"
"=""1587""","吉茂","1","https://www.cryomaxcooling.com/cht/coporate-social-responsibility.htm"
"=""1589""","永冠-KY","1","http://www.ygget.com/content/tw/508.aspx"
"=""1590""","亞德客-KY","22","https://as-tw.airtac.com/about4.aspx?c_kind=11&c_kind2=405"
"=""1597""","直得","1","http://www.chieftek.com/"
"=""1598""","岱宇","2","https://www.dyaco.com/en/investors"
"=""1603""","華電","1","www.cwco.com.tw"
"=""1604""","聲寶","1","http://www.sampo.com.tw/aboutlist.aspx?q=15"
"=""1605""","華新","4","https://www.walsin.com"
"=""1608""","華榮","2","https://www.hegroup.com.tw/index.php?option=module&lang=cht&task=pageinfo&id=142&index=5"
"=""1609""","大亞","4","www.taya.com.tw"
