報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
1477,聚陽,420,1.08%,,0,0,0
1503,士電,0,0.00%,,0,0,0
1504,東元,24,2.57%,不當動作4件、被夾/捲/割傷6件、撞/砸傷6件、跌倒/墜落4件、感電1件、缺氧1件、其他2件,1,0,0.00%
1506,正道,8,2.13%,,0,0,0
1512,瑞利,1,0.85%,,0,0,0
1513,中興電,8,0.28%,,0,0,0
1514,亞力,0,0.00%,,0,0,0
1515,力山,8,1.04%,,0,0,0
1516,川飛,0,0.00%,,0,0,0
1517,利奇,0,0.00%,,0,0,0
1519,華城,10,4.55%,,0,0,0
1521,大億,0,0.00%,,0,0,0
1522,堤維西,9,0.51%,,0,0,0
1524,耿鼎,5,1.05%,,0,0,0
1525,江申,4,1.25%,,0,0,0
1526,日馳,0,0.00%,,0,0,0
1527,鑽全,5,0.73%,職業災害類型主要可分為三大類：一為交通事故，指員工於執行職務或通勤途中發生的車輛意外；二為職業傷害，常見類型包括割傷、切傷、跌傷、撞傷、夾傷與燙傷等，主要因機具操作不慎或現場環境因素所導致；三為職業病類型，目前已識別之情形為過勞，係由長時間高壓工作所引發之身心健康問題。,0,0,0
1528,恩德,0,0.00%,,0,0,0
1529,樂事綠能,2,2.22%,生產現場意外,0,0,0
1530,亞崴,0,0.00%,,0,0,0
1531,高林股,0,0.00%,,0,0,0
1532,勤美,0,0.00%,,0,0,0
1533,車王電,0,0.00%,車王電子台灣母公司2024 年非員工工作者沒有發生職業傷害。2024年度員工工作者均無發生嚴重職業災害事件及執行職務發生之交通事故。車王電子未來會保持高標準的安全管理，持續往零災害工時之目標推進。,0,0,0
1535,中宇,1,0.09%,,0,0,0
1536,和大,6,6.60%,,0,0,0
1537,廣隆,0,0.00%,,0,0,0
1538,正峰,0,0.00%,,0,0,0
1539,巨庭,0,0.00%,,0,0,0
1540,喬福,0,0.00%,N/A,0,0,0
1541,錩泰,1,0.00%,,0,0,0
1558,伸興,5,0.21%,被切、割、擦傷、跌倒,0,0,0
1560,中砂,7,0.41%,跌倒、切割、物體倒塌,0,0,0
