報告年度:2024,議題:職業安全衛生,,,,,,
公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,職業災害-類別,火災-件數,火災-死傷人數,火災-比率(死傷人數/員工總人數)
2506,太設,0,0.00%,,0,0,0
2509,全坤建,0,0.00%,N/A,0,0,0
2511,太子,0,0.00%,,0,0,0
2514,龍邦,0,0.00%,,0,0,0
2515,中工,16,0.75%,跌倒7人、切割/捲夾2人、物體飛落1人、衝撞1人、噴濺1人、車禍4人,3,0,0.00%
2516,新建,7,0.74%,,0,0,0
2520,冠德,0,0.00%,,0,0,0
2524,京城,0,0.00%,N/A,0,0,0
2527,宏璟,0,0.00%,,0,0,0
2528,皇普,0,0.00%,,0,0,0
2530,華建,0,0.00%,,0,0,0
2534,宏盛,0,0.00%,,0,0,0
2535,達欣工,1,0.16%,跌倒,0,0,0
2536,宏普,0,0.00%,,0,0,0
2537,聯上發,0,0.00%,,0,0,0
2538,基泰,0,0.00%,,0,0,0
2539,櫻花建,5,2.84%,,0,0,0
2540,愛山林,0,0.00%,,0,0,0
2542,興富發,0,0.00%,,0,0,0
2543,皇昌,3,1.97%,,0,0,0
2545,皇翔,0,0.00%,,0,0,0
2546,根基,2,0.18%,,0,0,0
2547,日勝生,4,0.24%,,0,0,0
2548,華固,0,0.00%,,0,0,0
2597,潤弘,0,0.00%,,0,0,0
2601,益航,0,0.00%,,0,0,0
2603,長榮,9,1.43%,,0,0,0
2605,新興,0,0.00%,,0,0,0
2606,裕民,0,0.00%,,0,0,0
2607,榮運,9,0.87%,,0,0,0
2608,嘉里大榮,97,11.58%,因產業特性，勞動場所意外事故中，主要為公路交通事故。,0,0,0
2609,陽明,7,1.30%,,1,0,0.00%
2610,華航,46,0.46%,,0,0,0
2611,志信,0,0.00%,,0,0,0
2612,中航,0,0.00%,,0,0,0
2613,中櫃,17,7.26%,職業傷害：因工作環境因素致立即性傷害、疾病、失能、死亡。 職業疾病：與工作內容有關因子促發疾病發生致傷害、疾病、失能、死亡。 通勤職災：通勤時發生意外事故致傷害、疾病、失能、死亡。,0,0,0
2614,東森,0,0.00%,,0,0,0
2615,萬海,17,0.56%,,0,0,0
2616,山隆,1,0.00%,墜落、滾落,0,0,0
2617,台航,0,0.00%,,0,0,0
2618,長榮航,152,1.47%,交通事故、跌倒、物體飛落、衝撞、墜落滾落、被夾被捲、與高低溫接觸、被撞、被切割擦傷、物體倒塌崩塌、不當動作、其他。,0,0,0
2630,亞航,7,0.63%,,0,0,0
2633,台灣高鐵,6,0.07%,職業傷害(上述職業災害數據之統計係達到「暫時性失能」(公傷假時數達8小時/日)之標準。),0,0,0
2634,漢翔,19,1.12%,,1,0,0.00%
2636,台驊控股,0,0.00%,,0,0,0
2637,慧洋-KY,0,0.00%,,0,0,0
2642,宅配通,54,2.63%,,0,0,0
2645,長榮航太,30,0.87%,,0,0,0
2646,星宇航空,18,2.31%,,0,0,0
2701,萬企,0,0.00%,,0,0,0
2702,華園,0,0.00%,,0,0,0.00%
2704,國賓,6,1.20%,工傷,0,0,0
2705,六福,61,0.42%,踩踏、上下班公路交通事故、物體飛落、其他、被切、割、擦傷、跌倒、上下班其他交通事故、與高溫、低溫之接觸、不當動作、被撞,2,0,0.00%
2706,第一店,0,0.00%,NA,0,0,0
2707,晶華,36,2.06%,,0,0,0
2712,遠雄來,1,0.32%,,0,0,0
2722,夏都,9,2.31%,1.被切、割、擦傷  2.上下班公路交通事故,0,0,0
2723,美食-KY,110,0.98%,,0,0,0
2727,王品,174,1.61%,,3,0,0.00%
2731,雄獅,0,0.00%,,0,0,0
2739,寒舍,68,3.90%,,0,0,0.00%
2748,雲品,21,1.59%,發生之職業傷害主要類別包括燒燙傷、切割傷及跌倒等。,0,0,0
2753,八方雲集,16,6.40%,,0,0,0
2762,世界健身-KY,65,0.16%,,0,0,0
2801,彰銀,4,0.06%,交通事故、作業原因而致傷害,0,0,0
2812,台中銀,0,0.00%,,0,0,0
2816,旺旺保,0,0.00%,,0,0,0
2820,華票,0,0.00%,,0,0,0
2832,台產,2,0.22%,,0,0,0
2834,臺企銀,12,0.22%,,0,0,0
2836,高雄銀,9,0.77%,公傷,0,0,0
2838,聯邦銀,26,0.65%,上下班事故或公出事故,0,0,0
2845,遠東銀,0,0.00%,,0,0,0
2849,安泰銀,14,0.88%,通勤職災及職業傷害,0,0,0
2850,新產,3,0.20%,,0,0,0.00%
2851,中再保,3,1.80%,,0,0,0
2852,第一保,4,0.47%,,0,0,0
2855,統一證,1,0.00%,,0,0,0
2867,三商壽,24,3.74%,通勤期間的交通意外類型,0,0,0
2880,華南金,52,0.45%,職災類型多為出差或通勤時間之交通事故。,0,0,0
2881,富邦金,73,0.38%,上下班、因公出差發生之交通意外,0,0,0
2882,國泰金,123,0.27%,跌倒、不當動作、交通事故、被撞、物體飛落等,0,0,0
2883,凱基金,0,0.00%,,0,0,0
2884,玉山金,22,0.24%,2024年非通勤之職災類型包含失足跌倒、不當動作及碰撞傷害等，同仁均屬輕傷無大礙。,0,0,0
2885,元大金,8,0.06%,於執勤公務或公差途中發生,0,0,0
2886,兆豐金,73,0.75%,,0,0,0
2887,台新金,0,0.00%,,0,0,0
2889,國票金,0,0.00%,上下班途中及上班場域發生之意外。,0,0,0
2890,永豐金,200,1.85%,,0,0,0
2891,中信金,75,0.31%,包含上下班途中交通事故、執行職務時受傷等。,0,0,0
2892,第一金,16,0.16%,,0,0,0
2897,王道銀行,10,0.81%,本行2024年發生之職業災害皆為正職員工通勤事故。,0,0,0
2901,欣欣,0,0.00%,,0,0,0
2903,遠百,0,0.00%,無職災,0,0,0
2904,匯僑,3,4.62%,,0,0,0
2905,三商,19,1.05%,,0,0,0
2906,高林,1,0.48%,,0,0,0
2908,特力,2,0.54%,,0,0,0
2910,統領,0,0.00%,,0,0,0
2911,麗嬰房,4,0.63%,,0,0,0
2912,統一超,33,0.36%,,0,0,0
2913,農林,4,2.05%,,0,0,0
2915,潤泰全,4,0.78%,,0,0,0
2923,鼎固-KY,0,0.00%,,0,0,0
2929,淘帝-KY,0,0.00%,N/A,0,0,0
2939,永邑-KY,0,0.00%,,0,0,0
2945,三商家購,17,2.10%,,0,0,0
3002,歐格,0,0.00%,,0,0,0
3003,健和興,1,0.70%,,0,0,0
3004,豐達科,7,1.38%,捲夾傷、切割傷、交通、滑跌倒,0,0,0
3005,神基,11,0.12%,"職業傷害事件共11件，包含2件辦公室輕微事故(絆倒, 手部割傷)，9件設備操作相關事故(砸傷, 夾傷, 打滑跌倒, 物體擊傷等)",0,0,0
3006,晶豪科,0,0.00%,無,0,0,0
3008,大立光,26,0.32%,,0,0,0
3010,華立,0,0.00%,截至2024年本公司並無發生職業災害或職業病之情事。,0,0,0
3011,今皓,0,0.00%,無職災發生,0,0,0
3013,晟銘電,50,1.74%,主要以壓傷 、砸伤為主,0,0,0
3014,聯陽,0,0.00%,無發生職災,0,0,0.00%
3015,全漢,0,0.00%,,0,0,0
3016,嘉晶,0,0.00%,2024年皆未發生因作業場所活動導致之職業災害。,0,0,0
3017,奇鋐,47,0.21%,運行機台作業過程中所致壓傷、夾傷和摔傷、砸傷等,1,0,0.00%
3018,隆銘綠能,0,0.00%,,0,0,0
3019,亞光,0,0.00%,N/A,0,0,0
3021,鴻名,0,0.00%,,0,0,0
3022,威強電,0,0.00%,無。,0,0,0
3023,信邦,4,1.68%,主要職業災害類別：工廠發生的跌倒、物體飛落、被夾/被捲,0,0,0
3024,憶聲,0,0.00%,,0,0,0
3025,星通,0,0.00%,,0,0,0
3026,禾伸堂,7,0.70%,被切、割、擦傷；感電；被捲被夾；跌倒；與有害物等之接觸。,0,0,0
3027,盛達,0,0.00%,,0,0,0
3028,增你強,6,0.80%,通勤職災,0,0,0
3029,零壹,0,0.00%,,0,0,0
3030,德律,7,1.14%,被捲被夾、交通事故,0,0,0
3031,佰鴻,1,0.01%,通勤職災 受傷,0,0,0
3032,偉訓,0,0.00%,,0,0,0
3033,威健,3,0.62%,第一件為踩空扭傷左腳，後兩件為均為左手壓割傷。,0,0,0
3034,聯詠,1,0.03%,跌倒,0,0,0
3035,智原,0,0.00%,N/A,0,0,0
3036,文曄,0,0.00%,無,0,0,0
3037,欣興,12,0.07%,行走不慎，跌倒居多,1,0,0.00%
3038,全台,5,0.60%,,1,0,0.00%
3040,遠見,0,0.00%,,0,0,0
3041,揚智,0,0.00%,,0,0,0
3042,晶技,2,0.21%,跌倒,0,0,0
3043,科風,0,0.00%,,0,0,0
3044,健鼎,0,0.00%,N/A,0,0,0
3045,台灣大,1,0.02%,不當動作,0,0,0
3046,建碁,0,0.00%,,0,0,0
3047,訊舟,0,0.00%,無,0,0,0
3048,益登,0,0.00%,N/A,0,0,0
3049,精金,0,0.00%,主要類別為非上下班,0,0,0
3050,鈺德,0,0.00%,,0,0,0
3051,力特,1,0.16%,樓梯墜落傷害1件,0,0,0
3052,夆典,0,0.00%,2024年員工及非員工工作者皆無發生職業傷害及職業病之案例。,0,0,0
3054,立萬利,0,0.00%,N/A,0,0,0
3055,蔚華科,0,0.00%,,0,0,0
3056,富華新,0,0.00%,,0,0,0
3057,喬鼎,0,0.00%,,0,0,0
3058,立德,0,0.00%,N/A,0,0,0
3059,華晶科,0,0.00%,,0,0,0
3060,銘異,0,0.00%,,0,0,0
3062,建漢,1,0.49%,報告期間工時台灣廠區發生1起輕微之非人為職業傷害事件，事件為員工下班時於停車場，遭流浪犬咬傷。本公司已即時通報並協助同仁就醫，透過加強巡邏與驅離措施，以降低流浪犬出入廠區之頻率。 ,0,0,0
3090,日電貿,0,0.00%,N/A,0,0,0
3092,鴻碩,0,0.00%,,0,0,0
3094,聯傑,0,0.00%,,0,0,0
3130,一零四,6,0.64%,上下班交通事故,0,0,0
3138,耀登,0,0.00%,,0,0,0
3149,正達,2,0.52%,化學品灼傷：因作業不慎導致化學液體噴濺至人員腳部，造成皮膚灼傷 撕裂傷：執行研磨作業時，磨輪破裂碎片飛擊中人員臉部，導致撕裂傷 ,0,0,0
3150,鈺寶-創,0,0.00%,,0,0,0
3164,景岳,0,0.00%,,0,0,0
3167,大量,2,1.00%,,0,0,0
3168,眾福科,0,0.00%,未發生職業災害,0,0,0
3189,景碩,18,0.27%,有害物接觸/跌倒/夾傷/切割傷/物品掉落,0,0,0
3209,全科,0,0.00%,無,0,0,0
3229,晟鈦,0,0.00%,,0,0,0
3231,緯創,32,0.06%,機械傷害,2,0,0.00%
3257,虹冠電,0,0.00%,,0,0,0
3266,昇陽,0,0.00%,,0,0,0
3296,勝德,0,0.00%,,0,0,0
3305,昇貿,0,0.00%,N/A,0,0,0
3308,聯德,0,0.00%,N/A,0,0,0
3311,閎暉,0,0.00%,,0,0,0
3312,弘憶股,0,0.00%,,0,0,0
3321,同泰,6,4.57%,N/A,0,0,0
3338,泰碩,0,0.00%,熱傷害、噪音、粉塵、工藝廢氣,0,0,0
3346,麗清,7,4.04%,"夾,捲,壓傷 跌倒,滑倒 燙傷 ",0,0,0
3356,奇偶,7,4.63%,通勤交通事故、作業疏失所導致的職災事故,0,0,0
3376,新日興,17,0.48%,,0,0,0
3380,明泰,0,0.00%,無,0,0,0
3406,玉晶光,13,1.46%,,0,0,0
3413,京鼎,23,2.81%,燒燙傷、摔傷跌倒、機械傷害,0,0,0
3416,融程電,1,0.23%,切割傷,0,0,0
3419,譁裕,0,0.00%,,0,0,0
3432,台端,0,0.00%,無,0,0,0
3437,榮創,1,0.00%,夾傷,0,0,0
3443,創意,0,0.00%,,0,0,0
3447,展達,0,0.00%,,0,0,0
3450,聯鈞,7,1.10%,廠外交通事故,0,0,0
3481,群創,12,0.04%,公司前五大職災及占所有災害類別占比：1.被壓，占6.9%；2.被切、割、擦傷，占5.2%；3.衝撞，占5.2%；4.被夾、被捲、被撞，占3.4%；5.跌倒、滑倒，占3.4%,2,0,0.00%
3494,誠研,0,0.00%,,0,0,0
3501,維熹,0,0.00%,,0,0,0
3504,揚明光,5,0.35%,職業災害類別分為：割/刺/壓傷、撞傷及職業病三大類。,1,0,0.00%
3515,華擎,0,0.00%,,0,0,0
3518,柏騰,0,0.00%,,0,0,0
3528,安馳,0,0.00%,,0,0,0
3530,晶相光,0,0.00%,,0,0,0
3532,台勝科,0,0.00%,無,0,0,0
3533,嘉澤,5,0.05%,,0,0,0
3535,晶彩科,0,0.00%,無,0,0,0
3543,州巧,7,11.07%,,0,0,0
3545,敦泰,0,0.00%,無職災,0,0,0
3550,聯穎,0,0.00%,,0,0,0
3557,嘉威,23,0.19%,,0,0,0
3563,牧德,2,0.06%,交通事故,0,0,0
3576,聯合再生,3,0.00%,,0,0,0
3583,辛耘,1,0.75%,,0,0,0
3588,通嘉,0,0.00%,,0,0,0
3591,艾笛森,0,0.00%,,0,0,0
3592,瑞鼎,2,0.22%,,0,0,0
3593,力銘,0,0.00%,,0,0,0
3596,智易,0,0.00%,N/A,0,0,0
3605,宏致,8,0.14%,被夾、被捲,0,0,0
3607,谷崧,0,0.00%,,0,0,0
3617,碩天,0,0.00%,,0,0,0
3622,洋華,0,0.00%,,0,0,0
3645,達邁,0,0.00%,,0,0,0
3652,精聯,5,1.00%,工作場域執勤受傷4件、外勤受傷1件,0,0,0
3653,健策,8,0.44%,,0,0,0
3661,世芯-KY,2,1.49%,上下班交通事故,0,0,0
3665,貿聯-KY,70,41.00%,,0,0,0
3669,圓展,1,0.18%,,0,0,0
3673,TPK-KY,19,0.00%,交通事故、機械傷害,0,0,0
3679,新至陞,6,0.19%,職業災害類別為：壓傷、砸傷(33%)、交通事故(33%)，被夾、被捲(17%)、被刺、割、擦傷(17%),0,0,0
3686,達能,0,0.00%,,0,0,0
3694,海華,0,0.00%,,0,0,0
3701,大眾控,1,0.02%,員工雨天不慎滑倒及搬運其不慎挫傷，發生事故災害下依規定送醫診療，員工已康復，並無重大職業傷害,0,0,0
3702,大聯大,0,0.00%,無，大聯大控股之產業類別屬低職業安全衛生風險產業，2024年無職業災害事件發生。,0,0,0
3703,欣陸,1,0.04%,,0,0,0
3704,合勤控,7,0.18%,可記錄職業傷害,0,0,0
3705,永信,14,0.84%,,0,0,0
3706,神達,16,1.11%,撞傷、跌倒、割傷、感電,0,0,0
3708,上緯投控,2,3.05%,,0,0,0
3711,日月光投控,0,0.00%,物理性、化學性與人因工程性職業災害,0,0,0
3712,永崴投控,2,0.08%,機械傷害/扭傷,0,0,0
3714,富采,19,0.25%,,1,0,0.00%
3715,定穎投控,0,0.00%,無,0,0,0
3716,中化控股,4,1.62%,1.上下班途中交通事故3人。 2.工作受傷1人。,0,0,0
4104,佳醫,0,0.00%,,0,0,0
4106,雃博,10,3.80%,,0,0,0
4108,懷特,0,0.00%,,0,0,0
4119,旭富,0,0.00%,,0,0,0
4133,亞諾法,0,0.00%,本公司113年度無任何職業災害之情事發生。,0,0,0
4137,麗豐-KY,0,0.00%,,0,0,0
4142,國光生,3,2.82%,跌倒/割傷/跌落,0,0,0
4148,全宇生技-KY,2,0.50%,,0,0,0
4155,訊映,0,0.00%,N/A,0,0,0
4164,承業醫,10,2.47%,,0,0,0
4190,佐登-KY,4,0.00%,,0,0,0
4306,炎洲,14,1.14%,,0,0,0
4414,如興,0,0.00%,,0,0,0
4426,利勤,26,4.49%,交通事故,0,0,0
4438,廣越,0,0.00%,,0,0,0
4439,冠星-KY,38,1.91%,,0,0,0
4440,宜新實業,0,0.00%,N/A,0,0,0
4526,東台,2,1.58%,1. 切、割、擦傷 2. 壓、夾傷 3.交通事故,0,0,0
4532,瑞智,2,3.21%,跌倒、凍傷,1,0,0.00%
4536,拓凱,2,0.71%,1.被夾：同仁在進行模具拆除作業時，因燈光視線不良，不慎遭工具夾傷，造成左手指撕裂傷。 2.壓傷：同仁倉儲作業時，不慎遭電動拖板車壓傷，因未穿著安全鞋，造成左腳腳指瘀青。,0,0,0
4540,全球傳動,7,0.89%,切割傷、捲夾,0,0,0
4545,銘鈺,3,0.59%,,0,0,0
4551,智伸科,0,0.00%,,0,0,0
4552,力達-KY,0,0.00%,,0,0,0
4555,氣立,0,0.00%,割傷、壓傷、滑倒,0,0,0
4557,永新-KY,0,0.00%,,0,0,0
4560,強信-KY,0,0.00%,,0,0,0
4562,穎漢,1,0.36%,,0,0,0
4564,元翎,0,0.00%,,0,0,0
4566,時碩工業,5,1.25%,設備/場地傷害、操作不當傷害,0,0,0
4569,六方科-KY,15,1.37%,主要係意外傷害，例如操作設備造成的撕裂傷、夾傷或擠壓傷。,0,0,0
4571,鈞興-KY,3,0.33%,,0,0,0
4572,駐龍,9,2.77%,,0,0,0
4576,大銀微系統,4,0.73%,,0,0,0
4581,光隆精密-KY,0,0.00%,,0,0,0
4583,台灣精銳,1,0.14%,,0,0,0
4588,玖鼎電力,1,0.85%,被夾、被捲,0,0,0
4720,德淵,1,0.47%,職業傷害,0,0,0
4722,國精化,0,0.00%,,0,0,0
4736,泰博,0,0.00%,"項次  危害類別 01.	切割捲夾 02.	化學品危害 03.	墜落 04.	火災 05.	物體倒塌 06.	觸電 07.	物體飛落 08.	通路 09.	火災爆炸 10.	跌倒 11.	其他",0,0,0
4737,華廣,6,0.53%,,0,0,0
4739,康普,9,10.96%,,0,0,0
4746,台耀,20,17.53%,夾傷、燙傷、刮傷、噴濺、化學品灼傷,1,0,0.00%
4755,三福化,0,0.00%,113年無職業災害事件,0,0,0
4763,材料-KY,11,1.71%,,0,0,0
4764,雙鍵,1,0.50%,,1,0,0.00%
4766,南寶,7,0.21%,1.與高溫、低溫之接觸 2.物體倒塌、崩塌 3.被撞 4.跌倒,0,0,0
4770,上品,3,3.07%,,0,0,0
4771,望隼,8,1.45%,,0,0,0
4807,日成-KY,0,0.00%,,0,0,0
4904,遠傳,2,0.04%,跌倒、踩空(各一人),9,0,0.00%
4906,正文,1,0.54%,割傷,0,0,0
4912,聯德控股-KY,6,0.01%,交通事故、機械傷害,0,0,0
4915,致伸,22,0.23%,22件職業傷害案件的類型包括：墜落滾落、跌倒、衝撞、被撞、被夾/捲、被切/割/擦傷、與有害物質之接觸及不當動作等，詳細佔比及管理措施說明，請參考致伸科技2024年永續報告書第142頁,0,0,0
4916,事欣科,0,0.00%,,0,0,0
4919,新唐,1,0.06%,化學品噴濺,0,0,0
4927,泰鼎-KY,42,0.51%,主要類型為設備的不當操作及化學品噴濺。,0,0,0
4930,燦星網,4,0.11%,,0,0,0
4934,太極,0,0.00%,,0,0,0
4935,茂林-KY,2,0.16%,,0,0,0
4938,和碩,1,0.00%,物品飛落,0,0,0
4942,嘉彰,0,0.00%,,0,0,0
4943,康控-KY,0,0.00%,,0,0,0
4949,有成精密,9,2.22%,,0,0,0
4952,凌通,0,0.00%,,0,0,0
4956,光鋐,0,0.00%,,0,0,0
4958,臻鼎-KY,33,0.07%,機械傷害/化學品灼傷,0,0,0
4960,誠美材,3,0.27%,,0,0,0
4961,天鈺,0,0.00%,無,0,0,0
4967,十銓,0,0.00%,,0,0,0
4968,立積,1,0.34%,一般 (跌倒),0,0,0
4976,佳凌,1,0.16%,交通意外,0,0,0
4977,眾達-KY,0,0.00%,,0,0,0
4989,榮科,1,0.05%,,0,0,0
4994,傳奇,0,0.00%,,0,0,0
4999,鑫禾,0,0.00%,,0,0,0
5007,三星,6,0.41%,,0,0,0
5203,訊連,0,0.00%,,0,0,0
5215,科嘉-KY,5,0.17%,,0,0,0
5222,全訊,0,0.00%,,0,0,0
5225,東科-KY,3,0.10%,,0,0,0
5234,達興材料,1,0.24%,,0,0,0
5243,乙盛-KY,10,1.21%,,0,0,0
5244,弘凱,1,3.00%,,0,0,0
5258,虹堡,0,0.00%,,0,0,0
5269,祥碩,0,0.00%,祥碩全權委託供應商製造，除少數員工需執行測試所需之焊接及ESD 靜電測試工作外，主要的職業傷害類型為辦公室內常見的跌倒、夾傷、撞傷等，不容易發生嚴重職業傷害的事故。,0,0,0
5283,禾聯碩,14,1.87%,,0,0,0
5284,jpp-KY,25,1.73%,工業傷害,0,0,0
5285,界霖,1,0.35%,被切、割、擦傷,0,0,0
5288,豐祥-KY,7,0.16%,,1,0,0.00%
5292,華懋,0,0.00%,,0,0,0
5306,桂盟,1,0.48%,,0,0,0
5388,中磊,10,0.74%,跌倒/被刺、割、擦傷,0,0,0
5434,崇越,0,0.00%,無發生,0,0,0
5469,瀚宇博,4,2.60%,割傷、壓、砸傷,0,0,0
5471,松翰,0,0.00%,,0,0,0
5484,慧友,0,0.00%,,0,0,0
5515,建國,3,0.76%,,0,0,0
5519,隆大,0,0.00%,,0,0,0
5521,工信,1,0.12%,,0,0,0
5522,遠雄,0,0.00%,,0,0,0
5525,順天,0,0.00%,,0,0,0
5531,鄉林,0,0.00%,N/A,0,0,0
5533,皇鼎,0,0.00%,,0,0,0
5534,長虹,0,0.00%,N/A,0,0,0
5538,東明-KY,9,0.72%,,0,0,0
5546,永固-KY,0,0.00%,,0,0,0
5607,遠雄港,5,0.77%,,0,0,0
5608,四維航,0,0.00%,,0,0,0
5706,鳳凰,0,0.00%,,0,0,0
5871,中租-KY,6,0.31%,交通事故 4 件、跌倒 2 件,0,0,0
5876,上海商銀,0,0.00%,,0,0,0
5880,合庫金,40,0.30%,全年共發生29件職業災害，逾8成為通勤職災，其餘多為辦公室意外引致傷害。,0,0,0
5906,台南-KY,0,0.00%,,0,0,0
5907,大洋-KY,0,0.00%,,0,0,0
6005,群益證,2,0.10%,,0,0,0
6024,群益期,0,0.00%,,0,0,0
6108,競國,3,0.80%,,0,0,0
6112,邁達特,3,0.04%,,0,0,0
6115,鎰勝,0,0.00%,,0,0,0
6116,彩晶,24,0.82%,,0,0,0
6117,迎廣,6,0.78%,跌倒、物體飛落、割傷、碰撞,0,0,0
6120,達運,13,0.23%,夾/割傷,1,0,0.00%
6128,上福,0,0.00%,無,0,0,0
6133,金橋,6,0.68%,主要原因為員工作夾捲傷、上班途中車禍。,0,0,0
6136,富爾特,0,0.00%,,0,0,0
6139,亞翔,2,0.03%,01 墜落、滾落 、08 被切、割、擦傷,0,0,0
6141,柏承,2,0.00%,,1,0,0.00%
6142,友勁,2,0.48%,切傷1件、撞傷1件,0,0,0
6152,百一,0,0.00%,N/A,0,0,0
6153,嘉聯益,12,3.74%,夾傷、割傷、跌倒、衝撞、不當動作,0,0,0
6155,鈞寶,0,0.00%,,0,0,0
6164,華興,0,0.00%,,0,0,0
6165,浪凡,0,0.00%,N/A,0,0,0
6166,凌華,3,1.41%,夾傷、砸傷、燙傷,0,0,0
6168,宏齊,1,0.18%,撞擊,0,0,0
6176,瑞儀,15,0.12%,瑞儀光電訂有「職業災害事故調查與處理程序」，藉由完整的調查程序以使事故調查更有效率，並確認事實和情況、鑑定原因和決定改善行動，藉以降低事故再發生之機率。2024年全集團職業傷害統計共15件，共15人。若依類型區分，物體倒塌/崩塌1件、切/割/擦傷 3 件、夾/捲3件、跌倒5件、撞擊3件，無死亡職業災害案件。另外， 2020年至2024年無發生承攬商職業災害案件。,0,0,0
6177,達麗,0,0.00%,物體倒塌、崩塌、跌倒、墜落/滾落,1,0,0.00%
6183,關貿,0,0.00%,,0,0,0
6184,大豐電,0,0.00%,,0,0,0
6189,豐藝,0,0.00%,N/A,0,0,0
6191,精成科,31,0.45%,一般職災,0,0,0
6192,巨路,3,0.58%,N/A,0,0,0
6196,帆宣,0,0.00%,無,0,0,0
6197,佳必琪,1,0.36%,捲夾 ,0,0,0
6201,亞弘電,1,0.23%,墜落,0,0,0
6202,盛群,0,0.00%,不適用,0,0,0
6205,詮欣,0,0.00%,,0,0,0
6206,飛捷,0,0.00%,,0,0,0
6209,今國光,3,0.40%,,0,0,0
6213,聯茂,12,0.01%,員工作業不慎食指壓傷、食指夾傷、撞傷、摔傷骨折、脚踝扭傷及員工上下班交通事故。,0,0,0
6214,精誠,0,0.00%,,0,0,0.00%
6215,和椿,3,1.80%,,0,0,0
6216,居易,0,0.00%,,0,0,0
6224,聚鼎,0,0.00%,,1,0,0.00%
6225,天瀚,0,0.00%,,0,0,0
6226,光鼎,0,0.00%,,0,0,0
6230,尼得科超眾,2,0.56%,上下班公路交通事故,0,0,0
6235,華孚,0,0.00%,,0,0,0
6239,力成,20,0.17%,物體飛落：3件 跌倒：7件 衝撞：1件 被撞：3件 與有害物等之接觸：1件 被切/割/擦傷：1件 物體倒塌/崩塌：2件 非上下班公路交通事故：1件 其他：1件,0,0,0
6243,迅杰,0,0.00%,,0,0,0
6257,矽格,8,0.34%,被切、割、擦傷：2件；跌倒：1件；被撞：1件；衝撞：1件；被夾、被捲：1件；與高溫、低溫之接觸：1件；無法歸類：1件,0,0,0
6269,台郡,1,0.04%,跌倒,0,0,0
6271,同欣電,12,0.35%,割傷、夾傷、不當動作、跌傷、撞傷,0,0,0
6277,宏正,14,2.00%,,0,0,0
6278,台表科,0,0.00%,,0,0,0
6281,全國電,19,1.15%,,0,0,0
6282,康舒,22,1.87%,無重大死亡事件，主因為廠區滑倒、設備捲夾等，其員工均已完成健康評估順利復工。,0,0,0
6283,淳安,0,0.00%,,0,0,0.00%
6285,啟碁,8,0.37%,物理性危害,0,0,0
6405,悅城,2,0.02%,,0,0,0
6409,旭隼,0,0.00%,,0,0,0
6412,群電,19,0.21%,壓傷、砸傷、被刺、割傷、切傷、夾傷、跌倒,0,0,0
6414,樺漢,0,0.00%,,0,0,0
6415,矽力*-KY,0,0.00%,,0,0,0
6416,瑞祺電通,0,0.00%,,0,0,0
6426,統新,4,1.80%,N/A,0,0,0
6431,光麗-KY,0,0.00%,,0,0,0
6438,迅得,0,0.00%,因公司生產流程屬低度風險、公司未有相關流程(未導入ISO45001)，公司僅提供「安全衛生工作守則」予員工進行自我風險辨識與評估,0,0,0
6442,光聖,1,0.24%,,0,0,0
6443,元晶,32,2.13%,上下班交通公傷、撞傷、壓傷等,0,0,0
6446,藥華藥,0,0.00%,本公司依勞動部職業安全衛生法規，將職業災害分類為:1.因工作環境因素致勞工立即性傷害造成的職業工傷、2.與作內容有關因子促發疾病的勞工疾病或失能等職業疾病、3.員工通勤時發生意外事故致勞工傷害或失能等通勤職災。,0,0,0
6449,鈺邦,0,0.00%,,0,0,0
6451,訊芯-KY,0,0.00%,,0,0,0
6456,GIS-KY,17,0.19%,台灣廠2件（割傷1人、跌倒1人）；成都廠11件（砸傷3人、扭傷1人、跌倒7人）；龍華廠4件（割傷1人、壓傷1人、被撞2人）,0,0,0
6464,台數科,0,0.00%,,0,0,0
6472,保瑞,4,2.01%,,0,0,0
6477,安集,5,4.38%,職業災害有2種類型： 1.職業傷害:因工作環境因素致勞工立即性傷害，4位 2.通勤職災:通勤時發生意外事故致勞工傷害，1位,0,0,0
6491,晶碩,28,1.60%,,0,0,0
6504,南六,1,0.38%,,0,0,0
6505,台塑化,5,0.10%,,1,0,0.00%
6515,穎崴,1,0.10%,被切、割、擦傷,0,0,0
6525,捷敏-KY,21,1.06%,,0,0,0
6526,達發,0,0.00%,,0,0,0
6531,愛普*,0,0.00%,未有職災情事發生,0,0,0
6533,晶心科,0,0.00%,,0,0,0
6534,正瀚-創,1,0.71%,輕傷害1件,0,0,0
6541,泰福-KY,1,0.71%,,0,0,0
6550,北極星藥業-KY,0,0.00%,,0,0,0
6552,易華電,7,1.20%,,0,0,0
6558,興能高,0,0.00%,,0,0,0
6573,虹揚-KY,3,0.83%,職業災害事故,0,0,0
6579,研揚,5,0.47%,職業傷害：因工作環境因素致勞工立即性傷害、疾病、失能、死亡。 職業疾病：與工作內容有關因子促發疾病發生致勞工傷害、疾病、失能、死亡。 通勤職災：通勤時發生意外事故致勞工傷害、疾病、失能、死亡。,0,0,0
6581,鋼聯,3,2.75%,,0,0,0
6582,申豐,0,0.00%,,0,0,0
6585,鼎基,3,0.47%,切割傷、被夾、物體飛落,0,0,0
