"報告年度:2024","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","直接(範疇一)溫室氣體排放量-確信意見","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-確信意見","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-活動類別","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-確信意見","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量基準年及其數據、減量目標","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量策略及具體行動計畫","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量目標達成情形"
"=""2032""","新鋼","334.4672","已完成母公司","已完成母公司","有限確信","553.1112","已完成母公司","已完成母公司","有限確信","62,342.1269","購買之商品及勞務,上游運輸及配送,商務旅行,下游運輸及配送","已完成母公司","N/A","","0.2990","1. 本公司為規劃溫室氣體減量策略並符合上市公司永續發展路徑圖以不晚於民國113 年為基準年之規定，故訂定113 年為基準年並揭露114年度減量目標、策略及具體行動計畫。113 年範疇一及範疇二之排放量分別為334.4672 噸CO2e 及553.1112 噸CO2e。 2. 期望藉由以下具體行動計畫落實自114~116 年三年間每年減量1%之目標，並逐步達成2030 年減量6%目標。","藉由每年度自行盤查掌握公司所有營運據點之碳排來源，並針對多項溫室氣體減量計畫展開並評估可行性。本公司為不銹鋼裁剪業，溫室氣體排放以範疇二用電略高，因此具體行動計畫將聚焦於此。其中包含更換節能設備(例如：省電效率一、二級之變頻空調、冰箱及除濕機)、更換現有燈具為無極燈或LED 燈、評估現有空壓機更新為螺旋式空壓機等。另因應未來範疇三之溫室氣體減量策略，也持續與上游供應商保持密切互動，關注不銹鋼原料生產之源頭減量趨勢與動態、評估採用低碳燃料或能源等運輸方式；另外也持續掌握再生能源或碳權市場之發展情勢以確保減量符合進程以達減碳目標並提升營運效率。","達成情形將於次一年度年報進行揭露。"
"=""2033""","佳大","755.2514","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","有限確信","2,718.2059","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","有限確信","759.2480","與燃料及能源相關活動（未納入範疇1或範疇2）","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","有限確信","7.3275","為規劃溫室氣體減量策略，本公司於113年以務報告為邊界完成盤查，故基準年為113年，其範疇一及範疇二排放量分別755.2514噸CO2e及2,718.2059噸CO2e，希望透過下列具體行動進一步落實114年度較基準年減量2%，並自基準年起每年至少減量2%以達成119年減量10%之目標。","將碳管理融入營運策略之中，包含規劃導入節能減碳相關機制(規劃太陽能發電裝置擴大、高效率設備投資規劃、製程優化改善)，尋求減碳突破點。配合溫室氣體相關法規及國際碳定價趨勢(雖然目前對公司影響甚微)，透過節能減碳相關機制的運作，及早因應我國「氣候變遷因應法」將徵收的碳費、本公司將滾動式調整相關政策與方案，發展製程改善及節能減碳之設備投資規劃。此外，亦透過電腦化平台系統化整合全集團的排放資訊，掌握碳管理所需資訊，並可針對多項溫室氣體減量計畫展開全方面監管，包含提高能源效率、購買節能機台、擴大建置太陽能發電系統，確保減量符合進程，以積極態度降低碳排放衝擊並提升營運競爭優勢。 ","不適用(113年度為基準年)"
"=""2034""","允強","2,372.2057","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","20,414.3212","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","146,545.8996","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,員工通勤","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","1.5691","母公司 1.基準年：2020年 2.各廠區溫室氣體範疇一總排放量為1,530.73公噸CO2e，範疇二總排放量為21,050.71公噸CO2e，範疇三總排放量為10,179.98公噸CO2e；範疇三盤查類別主要包含：原料之開採、製造及加工過程（外購電力、自來水、藥劑使用及運輸）等其他間接排放。 短期目標(2025年)： 1.每年節電>1% 2.太陽能發電設置容量達台灣所有廠區總契約容量37.5% 3.通過 ISO14067產品碳足跡至少１類產品查證 4.建置智能監控系統掌握全公司75%用電度數資訊 5.符合法規對氣候行動與溫室氣體排放之揭露 中長期目標(2030年)： 1.每年節電>1% 2.太陽能發電設置容量達台灣所有廠區總契約容量75% 3.優化智能監控系統掌握全公司90%用電度數資訊 4.定期進行氣候風險與機會辨識，並擬定因應策略與行動方案  子公司 1.基準年：2024年 2.各廠區溫室氣體範疇一總排放量為551.88公噸CO2e，範疇二總排放量為2,137.24公噸CO2e，範疇三總排放量為138,144.22公噸CO2e；範疇三盤查類別主要包含：原料之開採、製造及加工過程（外購電力、自來水、藥劑使用及運輸）等其他間接排放。 短期目標(2025年)： 1.強化供應鏈管理，要求供應商提供原材料的排放數據，選擇排放量較低的材料使用 2.為減少依賴化石燃料，公司正在逐步淘汰傳統車輛，轉向電動或混合動力車型 3.照明系統節能改善(如更換LED燈具及加裝自動啟閉感應器) 4.導入先進酸洗生產系統，優化酸洗製程及廢酸回收，提升生產效率及減少能耗 中長期目標(2030年)： 1.優化智能監控系統掌握全公司用電度數資訊 2.持續提升生產效率，引入高效節能技術和重新設計流程 3.全面推動焊接技術轉型，由傳統TIG焊接改為光纖雷射焊接，提升生產效率及減少能耗","母公司： 積極推動太陽能發電系統建置如下： 1.第一期已於2022年5月完成太陽能發電裝置容量5,511.72kWp 2.第二期再建置裝置容量約6,127kWp，預估第二期發電量約達820 萬度 3.推動廢棄物資源化方案，持續提高再利用比例，進而降低廢棄物處理的溫室氣體排放 4.提升碳盤查的準確度，並導入 ISO 14067產品碳足跡查證  子公司： 1.購買再生能源憑證(I-REC)：2023年至2024年期間，公司用電量顯著上升，主要原因是產能的擴展。雖然用電量增加，公司仍在積極尋找可持續的解決方案，力求在擴大生產的同時最大限度地減少對氣候變遷的影響，本公司從2023年起持續購買再生能源憑證(I-REC)，幫助我們進一步利用綠色能源減少環境負擔 2.焊接技術的轉型：本公司已成功完成將17台機器的焊接技術由傳統TIG焊接改為光纖雷射焊接，降低近50%耗電量，可明顯減少用電的溫室氣體排放","母公司： 1.全公司節電率達1.97%，2024年全公司總節電度數727,584.7度，年減少359.43公噸CO2e排放 2.太陽能發電設置容量佔台灣所有廠區總契約容量76.51%，2024年度太陽能發電總發電數12,817仟度，約減少6,331公噸CO2e排放 3.2023年及2024年完成四廠區3大類產品碳足跡盤查及第三方查證，提升碳盤查準確度 4.近三年(2022年~2024年)廢塑膠回收量達118.97公噸，推估減少約40.5公噸CO2e排放 5.2024年廢棄物處理總量相較2023年下降7.59%  子公司： 2024年為合併財務報告子公司基準年，各廠區溫室氣體範疇一總排放量為551.88公噸CO2e，範疇二總排放量為2,137.24公噸CO2e，範疇三總排放量為138,144.22公噸CO2e，將持續追蹤各年度減量目標達成情形"
"=""2038""","海光","58,077.1947","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","125,510.6149","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","N/A","","N/A","N/A","","18.8799","配合自主減量規定，基準年訂為民國107年至111年之平均排放量，小港廠為156,475.373 kg/CO2e，減量目標為至2030年需減下5.1%，排放量為148,560.596 kg/CO2e；嘉興廠基準年為 59,521.595 kg/CO2e，減量目標為至2030年需減下3.2%，排放量為 57,617.762kg/CO2e。","根據自主減量計畫減量擬定各項設備、製程減量計畫。","目前已達自主減量目標，2024年排放量(小港+嘉興)為175,703.256kg/CO2e，低於目標量206,178.358 kg/CO2e。"
"=""2049""","上銀","10,899.6222","已完成母公司","已完成母公司","合理保證等級","112,134.6824","已完成母公司","已完成母公司","合理保證等級","163,404.4740","購買之商品及勞務,資本財,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,上游租賃資產,下游運輸及配送,已銷售產品之加工,已銷售產品之使用,已銷售產品生命週期結束之處理,下游租賃資產,投資","已完成母公司","已完成母公司","合理保證等級","15.7073","上銀科技於2023年簽署科學基礎減量目標倡議(SBTi)，範疇一、二以2021年為基準年至2030年絕對減量42%，範疇三以2022年為基準年至2030年絕對減量25%，至2050年絕對減量90%，剩餘10%以碳權抵換。","1. 上銀科技擬定「提高能源效率、創新低碳產品、循環經濟減廢、導入再生能源」四大核心策略,全面展開減碳行動。 2. 推動空壓系統、空調系統、製程改善、防制設備、待機改善及照明設備等各項主題的節能專案，2024 年共計 27 件；2025年預計推行29件節能專案，並規畫外購綠電及建置太陽能發電，提高能源管理效率，逐步減少範疇一、二排放量。 3. 上銀科技範疇三的主要排放類別為 C1 採購商品及服務  及 C11 售出產品使用，未來將持續致力於低碳產品研發、供應鏈議合方向進行減量。","1. 2024年共推行27件節能方案，共減量3,736公噸CO2e。未來持續推動ISO50001能源管理系統及製程碳排放減量措施。 2. 範疇一、二以2021年為基準年減量24.1%，範疇三以2022年為基準年減量11.8%，皆達成年度應減量目標。"
"=""2059""","川湖","1,277.8716","母公司及子公司川益科技(股)公司兩個廠區","母公司及子公司川益科技(股)公司兩個廠區","合理保證等級","10,546.4920","母公司及子公司川益科技(股)公司兩個廠區","母公司及子公司川益科技(股)公司兩個廠區","合理保證等級","64,128.0327","上游運輸及配送,商務旅行,員工通勤,下游運輸及配送"," 母公司及子公司川益科技(股)公司兩個廠區"," 母公司及子公司川益科技(股)公司兩個廠區","有限保證等級","1.1216","","",""
"=""2062""","橋椿","862.2173","已完成母公司","已完成母公司","合理保證等級","13,374.0660","已完成母公司","已完成母公司","合理保證等級","N/A","","N/A","N/A","","2.1209","本公司實收資本額未達新臺幣五十億元，依金融監督管理委員會發布之「上市櫃公司永續發展路徑圖」時程規劃執行。 ","本公司實收資本額未達新臺幣五十億元，依金融監督管理委員會發布之「上市櫃公司永續發展路徑圖」時程規劃執行。 ","本公司實收資本額未達新臺幣五十億元，依金融監督管理委員會發布之「上市櫃公司永續發展路徑圖」時程規劃執行。 "
"=""2069""","運錩","3,822.0217","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","26,641.7671","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","615,090.9292","購買之商品及勞務,上游運輸及配送,營運中產生之廢棄物","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","母公司:類別1-2合理保證,類別3-6有限保證; 合併子公司:合理保證","2.8431","1. 本公司已通過「ISO 14001」環境管理系統驗證並定期取得認證。 2. 設定減碳目標以2023年為基準年，在2030年減碳30%，2040年減碳50%，2050年達淨零碳排。 3. 廠內固定式起重機小車馬達陸續加裝變頻器，以達節能與減少煞車來令片更換頻率。 4. 公務用汽車陸續汰換電動汽車。 5. 增加自有綠電使用。 6. 不定期發布節能減碳相關議題向同仁宣導。 7. 加強持續推動節約用水，珍惜水資源。 8. 優先採購節能標章產品，逐年提高綠色採購的占比。","1. 自111年起，每年依據國際標準 ISO 14064-1 進行組織型溫室氣體盤查，並自112年起盤查結果均執行第三方驗證以確保數據品質。 2. 113年將二期大貨車汰舊換新為六期大貨車。 3. 113年大發廠之F棟廠房、停車棚、辦公樓屋頂完成 490.96KW 太陽光電設施，建置成本約新台幣2,020萬元，2024 年起已發電 451,503度（約當減少 223公噸 CO2e碳放）。 本廠太陽能總建置數1,923.16KW，年發電約203萬度，約當減少1,004公噸CO2e碳排放。 4. 114年度預計委託能員管理公司全面性檢視能源現況，並做具策略之節能規劃、持續性的改善能源績效。","未來將持續追蹤檢視以達成上述目標。"
"=""2101""","南港","14,937.6100","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","75,402.0200","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","N/A","","N/A","N/A","","1.2743","","",""
"=""2102""","泰豐","1,711.7754","已完成母公司","N/A","","1,303.0934","已完成母公司","N/A","","N/A","","N/A","N/A","","N/A","","",""
"=""2103""","台橡","151,362.2649","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","360,420.4468","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","1,331,675.3752","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","13.6469","台橡以110年作為溫室氣體減量基準年，其溫室氣體(範疇一與範疇二)排放總量為560,685.08公噸二氧化碳當量。公司訂定減碳目標，於114年較基準年減少10%，於119年較基準年減少22.5%，並持續繼續減碳。","台橡制定《環境政策》，並以逐年降低溫室氣體排放量為減碳策略，透過提升綠色製程技術、積極增加再生能源使用比例、投資節能減碳設備等。 減量行動計畫分別如下:                                                                                    1.範疇一:自109年起，全面停用燃煤鍋爐，降低燃煤所產生的溫室氣體排放，同時調整各廠區鍋爐燃料結構，以天然氣取代燃油，目前全集團已全面停用燃料油。自111年起，進一步推動蒸汽用量減量計畫，降低鍋爐燃料消耗，未來持續透過蒸汽管理優化，減少範疇一排放。                                                                                 2. 範疇二: 透過節能措施與能源效率提升，減少外購電力，並積極提高再生能源使用比例，降低溫室氣體排放量。                                3.範疇三: 台橡鼓勵供應商伴進行減碳行動，並持續研發具永續特性、能降低環境衝擊的產品，降低產品生命週期碳排量。","113年台橡範疇一與範疇二的溫室氣體排放量較基準年(110年)減少9.44%，超越原訂於113年達成7.5%減量的目標，顯示台橡在推動永續發展與氣候行動上的積極作為與減碳成果。"
"=""2104""","國際中橡","978,666.0000","已完成合併財務報表之母子公司","已完成母公司,高雄林園先進廠、中國馬鞍山廠、印度CCET廠","合理保證等級","56,645.0000","已完成合併財務報表之母子公司","已完成母公司,高雄林園先進廠、中國馬鞍山廠、印度CCET廠","合理保證等級","680,149.0000","購買之商品及勞務,上游運輸及配送,營運中產生之廢棄物,商務旅行,下游運輸及配送","已完成合併財務報表之母子公司","已完成母公司,印度CCET廠、高雄林園先進廠","Agreed-Upon Procedures","57.3000","面對全球氣候變遷，國際中橡持續強化氣候調適韌性，並積極推動溫室氣體減排工作。公司每年進行溫室氣體盤查，根據盤查結果制定管理政策，進而擬定減量目標與對應措施。為此，我們訂定了全集團2030年的長期減碳目標：相較於基準年2018年，總排放量降低21%。此外，溫室氣體排放密集度預計於2025年較2018年下降3%，至2030年則減少16%。","(1) 定期進行製程設備效能提升的評估與設定設備汰舊換新的目標，並透過提升生產效率而減少原油使用量，並規劃使用天然氣替代燃料油。 (2)利用產線上於熱鍋爐回收製程尾氣轉化成蒸氣進行發電，以減少外購電力需求提升操作良率及產率、降低次品廢料產出，提升資源使用率。 (3) 持續規劃尾氣爐的製程改善，期許降低未來對於高碳排燃料的依賴性。 (4) 藉由導入太陽能發電系統，有效提升再生能源發電量，降低溫室氣體排放，並持續規劃增加再生能源發電比重，以實現能源轉型與永續發展目標。 (5) 為有效達成溫室氣體減排目標，公司成立碳排管理小組，成員包含技術部、安環中心與各營運廠區人員，並設立跨廠區的線上e化碳排監控系統可隨時查看碳排情況。 (6) 廢輪胎裂解油及回收碳黑導入原料製程。 (7) 新低碳製程研究開發。","2024年全集團碳排量較2018 年基準年減少19.7%"
"=""2105""","正新","72,988.9590","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","942,031.5810","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","294,140.7776","購買之商品及勞務,上游運輸及配送,營運中產生之廢棄物,員工通勤","已完成母公司","已完成母公司","有限保證等級","10.5460","依照2023年成立節能減碳委員會，設定2019年為溫室氣體減量基準年，減量目標為2030年較基準年降低22%排放量。","減量行動面項將分成三大面向: A設備汰舊換新、B 設備改善(能源洩漏等)、C 製程改善","經由已實施之2024年節能方案直接量測彙整，可減少溫室氣體排放量，台灣與子公司分別可減少4,595.55噸與34,338.66噸CO2e排放，共減少38,934.21噸CO2e排放。"
"=""2106""","建大","17,878.1100","已完成母公司","雲林廠 ","合理保證等級","20,738.5000","已完成母公司","雲林廠 ","合理保證等級","N/A","","N/A","N/A","","1.1291","溫室氣體減量基準年設為2022年密集度，數據為1.321(公噸CO2e/百萬元營業額)，設定減碳目標 「每年減少3%，至2030年減少25%」","詳見2024年永續報告書3.2能源與溫室氣體排放管理章節","溫室氣體減量目標達成率111%，詳見2024年永續報告書3.2能源與溫室氣體排放管理章節 "
"=""2107""","厚生","2,415.5993","已完成母公司","N/A","","2,967.9412","已完成母公司","N/A","","626.6200","上游運輸及配送,營運中產生之廢棄物","已完成母公司","N/A","","4.0530","訂立 2022 年為基準年。未來厚生將依循法規，規劃取得 ISO 14064-1：2018 溫室氣體盤查聲明書。","1.能源替代與設備升級  推動鍋爐燃料由重油改為液化石油氣（LPG）、木質顆粒生質燃料等，降低碳排放。 辦公室與廠房全面汰換為高效率LED照明、變頻空調與感應式燈具。  2.推動電子化與減少紙耗  倉儲作業導入PDA與倉儲管理系統（WMS），實現流程數位化，減少紙張與列印需求。 帳單全面電子化，持續減少辦公資源消耗。  3.發展循環經濟材料  以環保碳黑、生物基橡膠、回收寶特瓶紗線等替代傳統原料，降低產品全生命週期的碳排。 推動回收橡膠顆粒於隔音建材、地墊等產品應用。  4.流程優化與節能管理  持續推動設備點檢與維護，提升能源使用效率。 加強用電監控，落實節能行為及教育訓練。  5.推動碳盤查與溫室氣體盤查  定期盤查公司碳排放來源，訂定年度減量目標，並依據盤查結果調整減碳措施。","本年度密集度較前一年度增加約26%"
"=""2108""","南帝","1,360.2444","已完成母公司","已完成母公司","有限確信","23,821.2766","已完成母公司","已完成母公司","有限確信","151,590.8458","上游運輸及配送,營運中產生之廢棄物,下游運輸及配送","已完成母公司","已完成母公司","有限確信","2.2200","以2021年為基準=39315.1448公噸CO2(範疇一+範疇二)，至2025年減量5%，至2030年減量10%。","減量策略以節電為主，並配合生產管控以減少廠內大用電設備之運作或對老舊耗電設備進行汰換等作為。","至2024年計算已減量36%，已達成。"
"=""2109""","華豐","N/A","N/A","N/A","","N/A","N/A","N/A","","N/A","","N/A","N/A","","N/A","","",""
"=""2114""","鑫永銓","3,108.7000","已完成母公司","N/A","","4,272.1700","已完成母公司","N/A","","N/A","","N/A","N/A","","N/A","企業溫室氣體排放量減量目標 持續推動排放減量，目標為主要溫室氣體排放來源之電力使用每年用電密度減少1%，致力達成低污染、低能耗之環境友善政策。","(一)企業對於因應氣候變遷或溫室氣體管理之策略 本公司持續關注能源與環境議題，在能源與環境政策上持續推動除 ISO 14000及ISO 50001已取得認證外，已於111年啟動ISO 14064組織型溫室氣體盤查。 並擬定能源與環境政策如下:  1.建立能源管理體系，建立監督、量測、分析、對策，持續改善管理之機制。  2.持續關注與掌握國內外能源政策與溫室氣體減排之法規發展趨勢。  3.實施全員環保與能源教育，落實重視能資源觀念。   4.遵循能源與環保法令與規章。   5.設定與執行能源與環境目標與標的，以落實能源與環境政策。   6.持續節約能源並改善環境污染，減少廢棄物的產生。   7.評估使用低碳能源與低污染性原物料、設備與製程，力行節約能源與回收減廢，降低碳密度。   8.向本公司之客戶與供應商發表能源與環境政策，向社會全面推展能源與環保理念。  9.持續關注與掌握國內外能源政策與溫室氣體減排之法規發展趨勢。 在推動本公司永續發展理念及能源環境政策時   ，同時將環境保護及節能減碳的議題，含括整個 供應鏈及團隊對於社會責任的承擔與貢獻，並持續對供應商做教育    訓練的工作。  (二)企業溫室氣體排放量減量之預算與計畫 本公司能源管理團隊未來預計針對下列範疇持續提出溫室氣體排放減量計畫 :  1.照明設備節能燈管。  2.空壓機系統降低壓縮空氣用量。  3.鍋爐廢熱回收。 4.空調系統節能。  5.改用低碳原材料。  6.改用節能設備與電器用品。  7.製程參數的節能管理。  8.培養員工節能減碳的理念並應用於實際作業。  9.裝設太陽能發電系統。  10.鍋爐重油改天然氣。  (三)企業產品或服務帶給客戶或消費者之減碳效果 本公司生產之輸送帶相關產品雖非終端產品，但透過支持溫室氣體排放減量計畫，除善盡自身地球公民責任之外，亦支持客戶低碳產品之發展，形成低碳產業鏈。  ",""
"=""2115""","六暉-KY","2,592.3602","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","17,059.8871","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","合理保證等級","74,893.6231","購買之商品及勞務,上游運輸及配送,營運中產生之廢棄物","已完成合併財務報表之母子公司","已完成合併財務報表之母子公司","有限保證等級","30.2417","113年為基準年，資料邊界為已完成合併財務報表之母子公司，113年溫室氣體總排放量共計為94,545.8704公噸CO2e，節能減碳目標為每年減量3%。","縮短工藝流程、採購綠色產品及原物料回收再利用、設備汰換、太陽能光電系統工程規劃實施等，透過執行前述措施與行動，逐步減少溫室氣體排放。","本公司以113年為基準年，預計自114年度揭露達成情況。"
"=""2201""","裕隆","33,357.0131","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","34,941.9034","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","82,215.7717","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,下游運輸及配送,下游租賃資產","已完成合併財務報表之母子公司","已完成母公司","有限保證等級","0.7962","每年線性低減溫室氣體減量4.2%/年，推動太陽能裝置佈建、運具電氣化、資源循環零廢棄、製程改善與設備效能提昇、溫室氣體盤查教育訓練。","每年線性低減溫室氣體減量4.2%/年，推動太陽能裝置佈建、運具電氣化、資源循環零廢棄、製程改善與設備效能提昇、溫室氣體盤查教育訓練。","每年線性低減溫室氣體減量4.2%/年，推動太陽能裝置佈建、運具電氣化、資源循環零廢棄、製程改善與設備效能提昇、溫室氣體盤查教育訓練。"
"=""2204""","中華","8,089.2170","已完成母公司","已完成母公司","合理保證等級","11,638.1330","已完成母公司","已完成母公司","合理保證等級","2,150,748.7400","購買之商品及勞務,資本財,與燃料及能源相關活動（未納入範疇1或範疇2）,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,下游運輸及配送,已銷售產品之使用,已銷售產品生命週期結束之處理,下游租賃資產,投資","已完成母公司","已完成母公司","有限保證等級","55.3086","(一)企業對於因應氣候變遷或溫室氣體管理之策略   中華汽車長期關注氣候變遷議題，及因應極端氣候對於企業營運的衝擊，除導入各項環境管理專案之外，更依據氣候相關財務揭露建議（TCFD）鑑別出潛藏在風險中的機會，並積極進行機制建立與強化作業，以「治理」、「策略」、「風險管理」、「指標和目標」TCFD四大面向，擬定氣候變遷風險與機會管理策略及行動方案，除期盼降低氣候風險的衝擊，也為企業找尋新的面貌與商機。 1治理： (1)由風險管理委員會統籌蒐整各部門鑑別之氣候變遷風險，並透過永續發展(ESG)委員會定期會議追蹤管理調適計畫之實施情況。 (2)董事會為氣候變遷管理監督角色，永續發展(ESG)委員會成員為氣候議題負責人，共同協助中華汽車針對氣候議題提出回應與解決方案，目標建構在氣候風險威脅下的企業韌性。 2.策略： (1)透過TCFD架構，定期鑑別短、中、長期氣候風險與機會，與氣候相關風險與機會對組織的營運、策略和財務規劃之衝擊，並且評估未來市場的發展潛力。 (2)依TCFD建議及內部評估方法學，針對轉型、實體等風險對營運之衝擊依照不同的氣候情境路徑進行財務衝擊情境分析。 3.風險管理： (1)針對鑑別出的風險，請相關部門探討氣候變遷的風險對於公司財務之影響，極力商討各風險因應之對策並且與年度管理方針連結。 (2)以衝擊程度與發生率評估氣候變遷帶來之相關風險嚴重性，並參考情境分析之結果，並設定相關因應方案。 4.指標與目標： (1)針對用水量、能源使用量、溫室氣體排放量、廢棄物產出量等，建立評估管理指標，並積極發展新能源車事業。 (2)中華汽車響應臺灣政府「2050淨零碳排」政策，中華汽車在內部制定「環境永續政策」與「淨零宣言」，承諾依「臺灣2050淨零碳排路徑」之架構，設定短、中、長期減碳目標、2050年達成生產全過程碳中和，更以2050淨零碳排為目標，充份落實在「節能減碳、能源轉型、積極發展及低碳運具」等四大方向上。 (二)企業溫室氣體排放量減量目標   1.中華汽車為台灣汽車業首家通過SBTi承諾企業率先簽署承諾科學基礎減碳目標，規劃路徑全球氣候控制升溫1.5℃內。CMC已於2023年12月簽署通過SBT科學減碳目標，減碳路徑與目標將依據SBT規範規劃與執行，以「控制升溫在1.5°C」的情境設立減量目標(涵蓋5~10 年內)，年需以4.2%線性減少，預計於2025年7月提交SBT目標審查。 2.中華汽車2050年 短、中、長期之淨零目標與路徑，以2018年為基礎設定減碳目標：2030年低減30%、2040年低減50%、2050年達成碳中和之目標。","針對範疇一、二方面： 1.持續推動廠內節能活動，2024年共投入節能相關投資逾2,022萬元，低減生產成本435萬/年。 2.廠區逐步建置太陽能光電，2022年投入2,940萬元，建置536.5 KW，2024年投入7,200萬元，建置1,343.16 KW，共建置1,879.66KW，2024年總發電量819,543度電，2024年總減碳效益為388.463噸CO2e(註：經濟部能源署114年4月14日公布113年度電力排碳係數為0.474公斤CO2e/度，以此更新並計算減碳噸數。)中華汽車將持續檢討可建容量區域，並預計2030年再生能源占25%、2040年再生能源占55%， 2050年達成生產全過程碳中和。 (註)上述數據經第三方查證後資訊請參閱本公司永續報告書或官網。   3.天然氣使用效能提升、替代能源(如氫能)採用、碳捕捉封存技術導入。 4.改善製程減少VOCs排放。 5.冷媒充填精算、採用新環保冷媒。 6.廢棄物持續減量。 7.公務車採用電車、堆高機電動化。 針對範疇三方面： 1.提升電動車及混動車型的比例。 2.推動車輛排放減碳技術策略。 3.燃油及混動車型耗能提升。 4.純電動車型耗能提升。","因應國際日趨嚴格的環保政策，部分國際車廠已將全電動化宣示為未來的產品計畫。我國政府已公佈多項公布法規加速電動車事業發展，新能源車輛已是未來趨勢，掌握新能源車發展商機是中華汽車最重要的事業計畫之一。對應中華汽車未來開發三大策略，訂定新能源車事業發展計劃。  我國能源政策逐步加嚴：國家發展委員會「2050淨零碳排路徑及策略」、未來「氣候變遷因應法」制定，以及臺灣政府力推2050淨零碳排。能源局訂定 2022 年起車輛平均油耗標準(CAFE) 達每公升 20.9 公里之嚴格標準。環境部發布國內第六期汽油汽車廢氣排放標準。  1.三大新能源車事業發展計畫 (1)多元品牌電動車 • 擴展新能源車品牌，導入MG HS-PHEV與MG4純電車款，擴展MG品牌油電車型產品線，提高品牌市占率與影響力。 • 強化本地市場供應鏈，確保車輛與電池管理系統符合台灣市場需求。 • 提升電動車充電與續航能力，提高產品競爭力。 (2)自主研發 • 開發輕型與中型電動商用車(E300/ET35)，並測試快充充電模式，提升使用彈性。 • 針對E300進行動力系統與續航能力優化，並推動3.5噸級新能源貨車ET35開發。 (3)技術及零件開發改良 • 依據CAFE法規標準，提升動力系統效率，降低油耗並優化新能源車型的能耗管理。 • 進行電池管理系統 (BMS) 與快充技術升級，提高電池充放電效率與壽命。 • 透過零件輕量化與智能車聯網技術，提升整車效能與駕駛體驗。技術及零件開發改良 2.新能源汽車-降低油耗出行自如 中華汽車持續推動新能源車發展，透過技術改良提升能源效率，並加速混合動力與純電動車款的開發，以因應全球低碳運輸政策。2025年，公司計畫量產電動中型商用車ET35，進一步擴展新能源產品線。此外，2025 電動輕型商用車E300將升級電池與續航性能，以滿足城市物流需求。  在混合動力車款方面，中華汽車積極開發PHEV （插電式混合動力車），強化動力總成技術，提高燃油經濟性並降低碳排放。繼2023年推出ECLIPSE CROSS PHEV後，2025年將持續優化混動技術，應用於後續新型乘用/商用車，提供更高效的動力輸出與節能表現。此外，我們積極研發3.5噸級新能源貨車ET35，於2024年底完成法規測試，預計於2025年8月上市，為擴展電動貨車市場佈局。 "
