"報告年度:2024","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體排放量-數據(公噸CO₂e)","直接(範疇一)溫室氣體排放量-資料邊界","直接(範疇一)溫室氣體排放量-確信範圍","直接(範疇一)溫室氣體排放量-確信意見","能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體排放量-資料邊界","能源間接(範疇二)溫室氣體排放量-確信範圍","能源間接(範疇二)溫室氣體排放量-確信意見","其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體排放量-活動類別","其他間接(範疇三)溫室氣體排放量-資料邊界","其他間接(範疇三)溫室氣體排放量-確信範圍","其他間接(範疇三)溫室氣體排放量-確信意見","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量基準年及其數據、減量目標","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量策略及具體行動計畫","溫室氣體減量目標、策略及具體行動計畫-溫室氣體減量目標達成情形"
"=""1213""","大飲","N/A","N/A","N/A","","N/A","N/A","N/A","","N/A","","N/A","N/A","","N/A","","",""
"=""1215""","卜蜂","27,623.2300","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","N/A","","41,125.1000","南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠","N/A","","N/A","","N/A","N/A","","4.0120","","",""
"=""1216""","統一","996,809.1979","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","2,130,298.7554","已完成合併財務報表之母子公司","已完成母公司","合理保證等級","1,481,601.1068","購買之商品及勞務,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,下游運輸及配送,下游租賃資產,投資","已完成母公司","已完成母公司","有限保證等級","3.3201","本公司短期目標: 每年降低溫室氣體排放(範疇1及2)密集度1.5%。(母公司基準年:2021年) 本公司中長期目標:2030年對比2005年溫室氣體排放(範疇1及2)降低38%。 集團含合併子公司目標：每年降低溫室氣體排放(範疇1及2)密集度1.0%。(集團基準年:2024年)","本公司溫室氣體管理策略、方法、目標請詳2024年報第64頁","本公司2024年溫室氣體(範疇1及2)排放密集度較2023年度下降 4.5%，目標達成。"
"=""1217""","愛之味","1,693.3526","已完成母公司","N/A","","5,441.8816","已完成母公司","N/A","","1,784.4304","員工通勤","已完成母公司","N/A","","1.7000","2023年","以2023年為基準年，為瞭解溫室氣體排放情形，進行公司內溫室氣體排放量之盤查是碳管理的基礎工作，溫室氣體盤查不但可掌握明確的排放量，也能發掘減量空間與機會。於2024年進行全公司碳排放量盤查，便於後續針對較大排放量之來源進行合理可行改善計畫擬定。","依2023年溫室氣體盤查結果，已規劃多項設備汰舊換新方案，提高效能，減少碳排量。"
"=""1218""","泰山","6,429.8985","已完成母公司","N/A","","5,765.9902","已完成母公司","N/A","","36,915.3776","與燃料及能源相關活動（未納入範疇1或範疇2）","已完成母公司","N/A","","1.3438","泰山原於2020年啟動碳盤查，盤查範圍是涵蓋了水產飼料廠，並於2022 年6 月取得ISO 14064-1查證聲明書，認可2020 年及2021 年之碳管理結果。依ISO 14064-1標準採取的溫室氣體盤查分類原則及報告方法，本公司選擇2020年度首次實施盤查作為基準年。然而因水產飼料廠於2024年停止營運，並且在今年度的盤查範圍新增了北斗畜牧廠，按照ISO 14064-1 的標準，將基準年將變更為2024年。 泰山企業以「溫室氣體排放密集度」作為溫室氣體管理指標： 短期目標：原先設定的以2026年降低排放密集度的目標修訂改變以2024年為基準年，以母公司(範疇1+2)為範疇排放密集度於2024年下降3%。以2024年為基準年，中長期目標為2030年降低排放密集度下降5%。","溫室氣體的排放範疇1：主要是將高耗能的鍋爐用油轉換成天然氣鍋爐使用，並編列預算淘汰高耗能的設備。 溫室氣體排放範疇二：對能源消耗上特別注重，先行以能源健檢開始，並且將配合政府政策評估ESCO的合作模式，此外，能源管理系統開始進行規劃。除了現在能耗的基礎管理跟宣達外，也規劃2026年開始導入EMS、ISO50001，降低範疇二的碳排放量，同時著重在能源管理系統上。","目前於2024年開始將重油鍋爐改為天然氣鍋爐，溫室氣體排放量則因為從重油改為天然後鍋爐後而獲得改善。其中，可預期的的減少量估算將減少減碳量約556噸CO2e/年，減幅16.7%。"
"=""1219""","福壽","7,892.1675","母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠)","母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠)","合理保證等級","12,609.1602","母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠)","母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠)","合理保證等級","4,611.0538","與燃料及能源相關活動（未納入範疇1或範疇2）","母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠)","母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠)","有限保證等級","1.7500","以2019年溫室氣體排放密度2.36公噸CO2e/百萬元為基準，設定短期目標2025年(下降至1.89)、2030年(下降至1.65)；中長期目標2040年排放密度下降至1.5、2050年目標下降至1.3，於每年檢視達成情況並適時調整目標。","1.更新生產設備、購置高效率馬達(IE3)更換老舊耗能馬達、更新節能LED照明燈具、汰換柴油堆高機為電動堆高機、購置高效率空氣壓縮機等項目，2024年約減少369.3公噸CO2e。 2.陸續更新設備，導入ISO 50001能源管理系統，提升能源使用效率。 3.2024年太陽能發電系統總發電量4,069仟度，將持續提升太陽能發電量。 4.2024年已完成母公司四個主要生產廠(沙鹿廠、台中港廠、鹿港廠及高雄廠)ISO 14064-1溫室氣體盤查及查證，預計2026年完成母子公司溫室氣體盤查及查證。 ","1.2024年短期目標達成情況：2024年溫室氣體排放密度1.75公噸CO2e/百萬元，達成2025年目標108%、達成2030年目標94%。 2.2024年中長期目標達成情況：達成2040年目標86%、達成2050年目標74%。 "
"=""1220""","台榮","27,520.0000","本公司雲林廠","本公司雲林廠","有限確信","14,024.0000","本公司雲林廠","本公司雲林廠","有限確信","N/A","","N/A","N/A","","0.1542","台榮產業目前尚未編列專項預算以支持溫室氣體減量，但已將減碳目標納入日常營運及設備管理規劃中。公司將專注於現有製程與能源使用效率的優化，透過設備更新、減少能源浪費與強化生產流程管理來達成年度減量目標。未來將依照盤查結果評估所需資源並進行調整，確保減碳措施的實施能有效推動目標達成，並持續關注政府補助資源與外部合作機會以支援相關計畫。","台榮產業依據自我盤查結果，參考國際減碳趨勢及政府減碳政策，訂定溫室氣體排放中長期減量目標。以111年為基準年，設定每年減量不低於1%，並於119年前累積減量達10%以上。公司將透過持續優化製程、提升能源使用效率、導入節能設備及評估採用再生能源等作法，以降低直接與間接排放，並持續擴大至子公司層級的盤查與減量作為，以實質行動支持永續發展及氣候韌性經營。","作為供應鏈中的上游供應商，台榮產業致力於提供高品質的玉米加工產品（如果糖與澱粉），並透過優化製程、減少能源消耗與提升資源利用效率，間接幫助下游客戶降低其產品或服務的碳足跡。我們的減碳措施可幫助客戶在其生產過程中降低能源成本與排放量，進而提升整體供應鏈的環保績效。未來，公司將繼續與客戶合作，提供更多可持續發展的解決方案，並推動整體供應鏈減碳進程，實現環保與營運效益的雙贏。"
"=""1225""","福懋油","2,866.4670","已完成母公司","已完成母公司","合理保證等級","2,621.2590","已完成母公司","已完成母公司","合理保證等級","5,467.5351","購買之商品及勞務,上游運輸及配送,營運中產生之廢棄物,商務旅行,員工通勤,下游運輸及配送","已完成母公司","已完成母公司","有限保證等級","0.8297","","",""
"=""1227""","佳格","12,397.7508","佳格食品集團 母公司：佳格食品股份有限公司台北總公司及6處營業所、大園廠(含宿舍)及中壢廠 子公司：佳乳食品股份有限公司湖口廠","佳格食品集團 母公司：佳格食品股份有限公司台北總公司及6處營業所、大園廠(含宿舍)及中壢廠 子公司：佳乳食品股份有限公司湖口廠","有限確信","15,228.0121","佳格食品集團 母公司：佳格食品股份有限公司台北總公司及6處營業所、大園廠(含宿舍)及中壢廠 子公司：佳乳食品股份有限公司湖口廠","佳格食品集團 母公司：佳格食品股份有限公司台北總公司及6處營業所、大園廠(含宿舍)及中壢廠 子公司：佳乳食品股份有限公司湖口廠","有限確信","192,327.1656","購買之商品及勞務,營運中產生之廢棄物,員工通勤,下游運輸及配送","佳格食品集團 母公司：佳格食品股份有限公司台北總公司及6處營業所、大園廠(含宿舍)及中壢廠 子公司：佳乳食品股份有限公司湖口廠","佳格食品集團 母公司：佳格食品股份有限公司台北總公司及6處營業所、大園廠(含宿舍)及中壢廠 子公司：佳乳食品股份有限公司湖口廠","有限確信","13.6185","1. 2023為基準年 2. 基準年總溫室氣體排放量(噸)=123,547.3297 3.1 2026 年碳排強度下降 3%（噸/百萬元營收） 3.2 2028 年碳排強度下降 5%（噸/百萬元營收） 3.3 2030 年碳排強度下降 10%（噸/百萬元營收）","1.大園廠: 1.1汰換 4F 保健品生產線用之冰水主機 1.2汰換研發大樓冰水主機 1.3品保大樓3F公共區域空調汰換 1.4精煉油脂生產線空污防治設備操作參數優化 2.中壢廠: 2.1 100HP定頻空壓機汰換專案 3.湖口廠: 3.1前製程冷卻水塔風扇7.5HP*2改變頻 3.2冰水泵浦增設變頻 3.3產品噴墨前除水所使用的空壓使用量合理化 3.4製程設備均質機潤滑水回收再利用","共計年度減排 263.21公噸 CO2e及節省532.81仟度用電。"
"=""1229""","聯華","1,952.0062","已完成合併財務報表之母子公司","已完成母公司,其他國內子公司","合理保證等級","19,828.0784","已完成合併財務報表之母子公司","已完成母公司,其他國內子公司","合理保證等級","7,056.6954","購買之商品及勞務,與燃料及能源相關活動（未納入範疇1或範疇2）,營運中產生之廢棄物,商務旅行,下游運輸及配送","已完成母公司,子公司：聯華置產（股）、聯華製粉（股)","已完成母公司,子公司：聯華置產（股）、聯華製粉（股）","有限保證等級","0.0017","聯華今年已正式盤點全合併子公司（共32家）之溫室氣體排放量（2024年度數據），故擬將2024年設定為基準年，年度溫室氣體排放量為21,780公噸CO₂e（範疇一+範疇二）。短期之減碳目標設定2027年前減碳10%，每年減碳量約726公噸CO₂e。","將持續節能政策，辦公大樓減少冰水主機運轉時間、夏季間歇關閉外氣空調箱，以節省空調耗能。廠區（聯華製粉）更換變頻空壓機、電動堆高機等，同時開發太陽能發電裝置，透過再生能源的建置，達到溫室氣體減量目標。","相較前一年度（2023年），母公司及主要子公司（聯華控股、聯華置產、聯華製粉）溫室氣體排放略增加 3.4% ，主要原因為製粉工廠之產量增加5%，故製程產生的碳排放亦同步增加，未來將持續管理排放議題，控制其升高比例不超過產量擴充之幅度。"
