"報告年度:2024","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料邊界-資料邊界","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","產品生產過程所製造之有害廢棄物回收百分比-產品生產過程所製造之有害廢棄物回收百分比","有害廢棄物之百分比-有害廢棄物之百分比","驗證標準-取得驗證"
"=""1313""","聯成","423.3200","3,390.0200","3,813.3400","林園廠、臨海廠","0.0332","公噸/產品","0.0000%","","N/A"
"=""1314""","中石化","27,410.0000","18,833.3050","46,243.3050","主要生產廠及台北總公司","1.5706","公噸/百萬元營業額","0.0000%","0.5927%","ISO 14001"
"=""1315""","達新","0.0200","71.4700","71.4900","母子公司","N/A","N/A","","","N/A"
"=""1316""","上曜","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1319""","東陽","197.0000","2,771.0000","2,968.0000","台灣營運地區（台南總部、桃園觀音廠、台北辦事處）","0.1497","公噸/百萬元營業額","","","ISO 9001,ISO 14001"
"=""1321""","大洋","23.4400","639.5900","663.0300","母公司","0.0050","公噸/產品","0.0000%","","N/A"
"=""1323""","永裕","3.2900","30.0800","33.3700","已完成母公司","0.0222","公噸/百萬元營業額","","","N/A"
"=""1324""","地球","167.6600","44.2300","211.8900","總公司（含台中營業所及高雄營業所)、幼獅一廠及幼獅二廠","0.2665","公噸/百萬元營業額","","","N/A"
"=""1325""","恆大","0.0000","32.0420","32.0420","全公司","N/A","N/A","","","N/A"
"=""1326""","台化","23.0000","2,510.0000","2,533.0000","2024年母公司及台醋公司之台灣廠區","N/A","N/A","100.0000%","","N/A"
"=""1337""","再生-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A"
"=""1338""","廣華-KY","260.8670","1,022.9700","1,283.8370","東莞廣澤汽車飾件有限公司","1.8300","公噸/百萬元營業額","100.0000%","20.3200%","N/A"
"=""1339""","昭輝","89.7100","1.0800","90.7900","僅母公司","0.0594","公噸/百萬元營業額","100.0000%","9.4660%","N/A"
"=""1340""","勝悅-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""1341""","富林-KY","644.3470","6,546.3570","7,190.7040","越南子公司","2.5782","公噸/百萬元營業額","","","N/A"
"=""1342""","八貫","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1402""","遠東新","2,458.0000","100,776.0000","103,234.0000","本公司生產事業主要據點","0.0152","公噸/產品","","","ISO 9001,ISO 14001"
"=""1409""","新纖","1.1254","10,178.7300","10,179.8554","新光合成纖維股份有限公司","N/A","N/A","","","N/A"
"=""1410""","南染","10.0000","10.0000","20.0000","全廠區","0.0781","公噸/百萬元營業額","","","N/A"
"=""1413""","宏洲","125.5500","22.6000","148.1500","宏洲纖維工業股份有限公司桃園廠","0.0642","公噸/百萬元營業額","100.0000%","84.7400%","N/A"
"=""1414""","東和","0.0000","517.7900","517.7900","麻豆工廠","0.9884","公噸/百萬元營業額","","","ISO 9001"
"=""1416""","廣豐","0.0000","33.3769","33.3769","廣豐實業宗公司與各子公司","0.1001","公噸/百萬元營業額","","","N/A"
"=""1417""","嘉裕","0.0000","149.0260","149.0260","台北總公司及桃園中壢廠，不包含營業門市。","0.3364","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1418""","東華","0.0000","4.2200","4.2200","廢棄物清運量","0.4100","公噸/百萬元營業額","","","N/A"
"=""1419""","新紡","0.0000","201.4050","201.4050","大溪廠及大園廠","0.0505","公噸/百萬元營業額","","","ISO 14001"
"=""1423""","利華","N/A","N/A","N/A","N/A","0.0331","公噸/百萬元營業額","","","N/A"
"=""1432""","大魯閣","0.0000","608.9244","608.9244","大魯閣實業本體","0.5332","公噸/百萬元營業額","","","N/A"
"=""1434""","福懋","948.6200","3,992.0300","4,940.6500","母公司","0.2300","公噸/百萬元營業額","","","N/A"
"=""1435""","中福","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1436""","華友聯","N/A","N/A","212,523.0000","已完成合併財報之母子公司","N/A","N/A","","","N/A"
"=""1437""","勤益控","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1438""","三地開發","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1439""","雋揚","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1440""","南紡","1.6800","534.9500","536.6300","僅母公司","0.0694","公噸/百萬元營業額","0.0000%","0.3131%","ISO 14001,確信準則3000號「非屬歷史性財務資訊查核或核閱之確信案件」"
"=""1441""","大東","0.0000","0.7724","0.7724","大東紡織股份有限公司-母公司","0.0017","公噸/百萬元營業額","","","N/A"
"=""1442""","名軒","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1443""","立益物流","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1444""","力麗","0.0000","1,541.5000","1,541.5000","彰化廠區","N/A","N/A","","","N/A"
"=""1445""","大宇","0.0000","102.0000","102.0000","數據揭露範疇包含蘆竹廠及彰濱廠","0.1031","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1446""","宏和","0.0000","3.8000","3.8000","母公司","0.0010","公噸/百萬元營業額","","","N/A"
"=""1447""","力鵬","9,890.3040","32.8100","9,923.1140","楊梅廠區、彰化尼龍總廠、彰化紡織廠 ","N/A","N/A","","","N/A"
"=""1449""","佳和","0.0000","846.1000","846.1000","佳和官田廠(事業廢棄物委託共同處理管制遞送三聯單)","N/A","N/A","0.0000%","0.0000%","N/A"
"=""1451""","年興","6,942.4340","5,620.1270","12,562.5610","紡織事業處(台灣後龍廠+墨西哥紡織廠+賴索托紡織廠)+成衣事業處(越南寧平廠+賴索托成衣廠)","1.9566","公噸/百萬元營業額","","","N/A"
"=""1452""","宏益","0.0000","74.7700","74.7700","已完成母公司","0.0031","公噸/產品","","","N/A"
"=""1453""","大將","0.0000","1.2500","1.2500","本公司營運據點","0.0625","公噸/服務","","","N/A"
"=""1454""","台富","0.0000","186.4500","186.4500","母公司","11.4880","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1455""","集盛","0.0000","1,666.2900","1,666.2900","一至五廠區","0.0093","公噸/產品","0.0000%","0.0000%","N/A"
"=""1456""","怡華","0.0000","814.6900","814.6900","台南官田廠","N/A","N/A","","0.0000%","N/A"
"=""1457""","宜進","0.0000","2.7840","2.7840","「宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司) 台北公司","0.0031","公噸/百萬元營業額","N/A","N/A","N/A"
"=""1459""","聯發","0.0000","30.6400","30.6400","工廠","0.0640","公噸/百萬元營業額","","","N/A"
"=""1460""","宏遠","35.4900","10,187.5492","10,223.0392","母公司","0.9324","公噸/產品","0.0000%","0.3472%","ISO 14001"
"=""1463""","強盛新","873.0000","0.0000","873.0000","母公司","N/A","N/A","","","N/A"
"=""1464""","得力","N/A","N/A","N/A","N/A","N/A","N/A","","","ISO 14001"
"=""1465""","偉全","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1466""","聚隆","0.0000","242.4400","242.4400","母公司","0.1019","公噸/百萬元營業額","","","N/A"
"=""1467""","南緯","0.0870","167.2000","167.2870","越南產區","N/A","N/A","","","ISO 14001"
"=""1468""","昶和","0.0000","124.5000","124.5000","本公司以下營運據點：昶和纖維(紹興)有限公司、昶和纖維興業股份有限公司_南崁","0.1155","公噸/百萬元營業額","","0.0000%","N/A"
"=""1470""","大統新創","0.0000","984.0000","984.0000","母公司桃園廠","0.2700","公噸/產品","","","N/A"
"=""1471""","首利","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1472""","三洋實業","0.0000","3,305.0123","3,305.0123","三洋實業及子公司總部據點及各施工案場","14.1514","公噸/百萬元營業額","","","N/A"
"=""1473""","台南","669.7200","1,210.1000","1,879.8200","臺南企業股份有限公司(總公司)","N/A","N/A","","","N/A"
"=""1474""","弘裕","0.0000","646.2000","646.2000","弘裕企業公司(伸港廠、全興廠、和美廠)","0.3088","公噸/百萬元營業額","","","N/A"
"=""1475""","業旺","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1476""","儒鴻","269.9010","14,347.0150","14,616.9160","包含合併財務報表之母子公司","0.3968","公噸/百萬元營業額","35.0000%","1.8465%","ISO 14001"
"=""1477""","聚陽","12.5700","9,543.4600","9,556.0300","包含合併財務報表之母子公司","0.5200","公斤/每標打","","","ISAE3000"
"=""1503""","士電","5.1000","901.6000","906.7000","以本公司四大事業群(三廠區)為主，不包含台北總部及各地分公司。","0.0317","公噸/百萬元營業額","","","N/A"
"=""1504""","東元","291.4800","1,041.6700","1,333.1500","台灣地區、大陸/越南地區、美國地區、義大利地區 ","0.0241","公噸/百萬元營業額","","","ISO 14001"
"=""1506""","正道","25.1900","858.4000","883.5900","正道工業(股)公司台灣仁德廠區及馬來西亞廠區","0.8524","公噸/百萬元營業額","","","N/A"
"=""1512""","瑞利","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1513""","中興電","0.0018","1,295.0920","1,295.0938","113年度(不含R類)","0.0506","公噸/百萬元營業額","","","ISO 14001"
"=""1514""","亞力","0.0000","552.2348","552.2348","本公司以下營運據點：亞力電機股份有限公司新莊廠、亞力電機股份有限公司楊梅廠、亞力電機股份有限公司總公司","0.0658","公噸/百萬元營業額","","0.0000%","ISO 9001,ISO 14001"
"=""1515""","力山","0.0000","34.7360","34.7360","母公司+子公司力山科技","0.0057","公噸/百萬元營業額","","","ISO 14001"
"=""1516""","川飛","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1517""","利奇","0.0000","20.8487","20.8487","母公司","0.0161","公噸/百萬元營業額","","","N/A"
"=""1519""","華城","0.0000","261.4590","261.4590","包含合併財務報表之母子公司","N/A","N/A","0.0000%","0.0000%","ISO 14001"
"=""1521""","大億","21.8800","624.1400","646.0200","總公司：台南市南區新信路11號 安工廠：台南市南區新樂路39號1-3樓","0.1747","公噸/百萬元營業額","0.0000%","3.3900%","N/A"
"=""1522""","堤維西","0.0000","739.3000","739.3000","堤維西安平廠及科工1~3廠","N/A","N/A","","","ISO 14001"
"=""1524""","耿鼎","0.0000","241.8200","241.8200","母公司","0.0152","公噸/產品","","","N/A"
"=""1525""","江申","0.0000","163.7900","163.7900","母公司","0.1123","公噸/百萬元營業額","","","ISO 14001"
"=""1526""","日馳","0.5700","50.7350","51.3050","日馳企業股份有限公司","0.1046","公噸/百萬元營業額","","","ISO 14001"
"=""1527""","鑽全","N/A","N/A","N/A","N/A","N/A","N/A","0.0000%","0.0000%","N/A"
"=""1528""","恩德","0.0000","53.1400","53.1400","後龍廠、梧棲廠","0.0506","公噸/百萬元營業額","","","N/A"
"=""1529""","樂事綠能","0.0000","20.5300","20.5300","楊梅工廠、台南工廠","0.0295","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1530""","亞崴","5.1900","109.9600","115.1500","已完成母公司","0.0891","公噸/百萬元營業額","","","N/A"
"=""1531""","高林股","46.2250","302.7850","349.0100","桃園廠與高銀廠","N/A","N/A","","","N/A"
"=""1532""","勤美","317.0000","85,909.0000","86,226.0000","勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH)","10.3100","公噸/百萬元營業額","0.0250%","0.3700%","N/A"
"=""1533""","車王電","0.9000","80.8600","81.7600","台灣母公司","0.2171","公噸/百萬元營業額","100.0000%","1.1000%","ISO 14001"
"=""1535""","中宇","0.0000","11.7300","11.7300","包含合併財務報表之母子公司","0.0108","公噸/千萬元營業額","","","ISO14064-1"
"=""1536""","和大","N/A","N/A","N/A","N/A","N/A","N/A","","","ISO 14001"
"=""1537""","廣隆","2,401.7700","1,262.2600","3,664.0300","包含合併財務報表之母子公司","N/A","N/A","","","N/A"
"=""1538""","正峰","0.0000","6.7000","6.7000","申報清運","N/A","N/A","","","N/A"
"=""1539""","巨庭","0.0000","214.7200","214.7200","巨庭的廢棄物經由製造部依其價值分為「有價廢棄物」與「無價廢棄物」兩種，兩種廢棄物各別貯存，根據累積量或存放期限決定適當的處置時機。所有廢棄物均依循政府法規及環保要求，進行妥善管理與處置。目前，PE膜、緩衝包材、泡殼及氣泡塑膠等包裝材料，若因協力廠商未回收而留存於巨庭，最終將委託廢棄物清運廠商運送至焚化爐進行焚燒處理。此外，巨庭未使用或產出有害廢棄物，且營運過程符合環境安全標準，以降低對生態的影響。","0.1603","公噸/百萬元營業額","","","N/A"
"=""1540""","喬福","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A"
"=""1541""","錩泰","0.0000","556.0000","556.0000","包含合併財務報表之母子公司","0.1861","公噸/百萬元營業額","","","N/A"
"=""1558""","伸興","42.4710","614.4687","656.9397","合併財務報表之母子公司(不含宇隆)","0.0003","公噸/產品","100.0000%","6.5000%","ESG報告書AA1000"
"=""1560""","中砂","38.9900","1,565.5300","1,604.5200","母公司五個製造工廠													","0.2700","公噸/百萬元營業額","53.1600%","2.4300%","N/A"
"=""1563""","巧新","126.4200","6,860.5100","6,986.9300","僅母公司","0.9300","公噸/百萬元營業額","","","ISO 14001"
"=""1568""","倉佑","4.8200","538.2800","543.1000","母公司各工廠                                                                                     			","0.5140","公噸/百萬元營業額","0.0000%","0.8900%","ISO 9001,ISO 14001"
"=""1582""","信錦","0.0000","3.3030","3.3030","母公司","N/A","N/A","","","N/A"
"=""1583""","程泰","0.0000","336.3585","336.3585","已完成母公司","0.2078","公噸/百萬元營業額","0.0000%","0.0000%","N/A"
"=""1587""","吉茂","0.0000","39.5120","39.5120","母公司","0.0247","公噸/百萬元營業額","","","N/A"
"=""1589""","永冠-KY","453.5100","28,748.6500","29,202.1600","合併財務報表之母子公司。","4.0546","公噸/百萬元營業額","","","ISO 9001,ISO 14001"
"=""1590""","亞德客-KY","5,371.0000","15,451.0000","20,822.0000","考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2024 年合併營業收入達96%，亦達2024年度生產產值100%。","0.6800","公噸/百萬元營業額","","","N/A"
"=""1597""","直得","0.0000","146.5649","146.5649","母公司","0.1806","公噸/百萬元營業額","0.0000%","0.0000%","ISO 14001"
"=""1598""","岱宇","0.0000","67.6900","67.6900","彰化本廠、二廠、五廠、台中","0.0093","公噸/百萬元營業額","N/A","N/A","N/A"
"=""1603""","華電","0.2700","354.5900","354.8600","新莊廠、新屋廠","0.0782","公噸/百萬元營業額","","","N/A"
"=""1604""","聲寶","0.0000","5.0000","5.0000","聲寶及德寶股份有限公司","N/A","N/A","","","ISO 14001"
"=""1605""","華新","83,401.8900","143,140.0400","226,541.9300","華新麗華股份有限公司個體公司及子公司( 包括上海華新、江陰合金、煙台華新、常熟華新、華新精密)","0.2053","公噸/產品","77.9200%","27.4700%","ISO 14001"
"=""1608""","華榮","29.4500","473.7100","503.1600","高楠廠生產工廠","0.0613","公噸/百萬元營業額","","","N/A"
"=""1609""","大亞","132.1200","2,294.4211","2,426.5411","大亞公司(個體)","0.0565","公噸/產品","0.0000%","5.4400%","N/A"
"=""1611""","中電","0.0000","4.5500","N/A","工廠","N/A","N/A","","","N/A"
"=""1612""","宏泰","0.0000","170.0000","170.0000","僅母公司","2.5836","公噸/百萬元營業額","0.0000%","0.0000%","ISO 9001"
"=""1614""","三洋電","0.0000","1,635.9100","1,635.9100","台灣三洋電機股份有限公司及三洋全能股份有限公司","0.2875","公噸/百萬元營業額","N/A","N/A","N/A"
"=""1615""","大山","0.0000","529.0000","529.0000","1.斗六總廠 2.斗六虎溪廠 3.桃園營業處 4.高雄聯絡處","0.0380","公噸/產品","","","N/A"
"=""1616""","億泰","0.0000","578.4870","578.4870","桃園市中壢區中正路二段363巷32號","0.1276","公噸/百萬元營業額","0.0000%","0.0000%","ISO 14001"
"=""1617""","榮星","137.6130","18.0700","155.6830","有害:廢溶劑+廢空桶.非有害:廢油+一般垃圾+廢觸媒","0.0985","公噸/百萬元營業額","","","N/A"
"=""1618""","合機","31.0800","730.9800","762.0600","以公司個體工廠廠區為邊界範圍，包含桃園二 、三、五廠 、新廠、品保實驗室，惟桃園六廠因小部分租賃予其他企業組織且未生產製造，故排除盤查範圍","0.1631","公噸/百萬元營業額","0.0000%","4.0784%","N/A"
"=""1626""","艾美特-KY","155.4900","543.0100","698.5000","主要營運據點艾美特電器（深圳）有限公司、艾美特電器（九江）有限公司","N/A","N/A","","","N/A"
"=""1702""","南僑","48.0000","18,223.0000","18,271.0000","涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業","0.7696","公噸/百萬元營業額","0.1190%","0.2627%","N/A"
"=""1707""","葡萄王","5.5400","3,034.9400","3,040.4800","葡萄王生技股份有限公司、葡眾企業股份有限公司、溢昭股份有限公司、上海葡萄王企業有限公司","0.2700","公噸/百萬元營業額","","","ISO 14001"
"=""1708""","東鹼","0.0000","1,024.9900","1,024.9900","東南實業股份有限公司蘇澳總廠","0.0019","公噸/產品","0.0000%","0.0000%","N/A"
"=""1709""","和益","0.0200","560.2800","560.3000","母公司和益及子公司聯超、和協","0.0500","公噸/百萬元營業額","0.0000%","0.0000%","ISO 9001、ISO 14001、確信準則3000號"
"=""1710""","東聯","8.9600","693.2940","702.2540","東聯化學股份有限公司高雄林園廠","N/A","N/A","0.0000%","0.0128%","ISO 14001"
"=""1711""","永光","1,482.2000","6,940.4336","8,422.6000","桃園地區四個廠區、新竹全通科技、大陸地區的蘇州永光，已取得ISO 14001認證之生產型廠區及子公司","1.0683","公噸/百萬元營業額","13.5257%","17.5969%","ISO 14001"
"=""1712""","興農","0.0000","2,791.8900","2,791.8900","母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠","0.1500","公噸/百萬元營業額","0.0000%","","ISO 14001"
"=""1713""","國化","0.0000","32.2300","32.2300","屏南廠","N/A","N/A","0.0000%","","N/A"
"=""1714""","和桐","0.0000","63.0800","63.0800","高雄廠","0.0017","公噸/產品","0.0000%","0.0000%","N/A"
"=""1717""","長興","47,307.5080","7,212.6215","54,520.1297","資料為依法規定義申報之廢棄物量，未包含GRI定義之再使用準備及回收數量。","0.0890","公噸/產品","60.7021%","86.7707%","ISO 14001"
"=""1718""","中纖","0.1200","14,833.6500","14,833.7700","中國人造纖維股份有限公司高雄總廠(含汽電二廠)","2.6111","公噸/百萬元營業額","0.0000%","0.0100%","N/A"
"=""1720""","生達","3.9200","300.1800","304.1000","生達一廠+生達二廠","0.0943","公噸/百萬元營業額","","","N/A"
"=""1721""","三晃","72.2900","2,687.0700","2,759.3600","僅母公司","0.1828","公噸/產品","0.0000%","2.5459%","確信準則3000號"
"=""1722""","台肥","763.0300","562.7500","1,325.7800","台肥母公司之台中廠、苗栗廠","0.1117","公噸/百萬元營業額","100.0000%","","N/A"
"=""1723""","中碳","42.8200","246.5800","289.4000","母公司","0.0386","公噸/百萬元營業額","100.0000%","","N/A"
"=""1725""","元禎","0.0000","20.5020","20.5020","母公司","0.0030","公噸/百萬元營業額","0.0000%","","N/A"
"=""1726""","永記","459.7700","1,435.4400","1,895.2100","20240101~20241231","0.0224","公噸/產品","0.0000%","24.2596%","ISO 14001"
"=""1727""","中華化","166.2420","1,281.1280","1,444.4080","一廠","0.0103","公噸/產品","0.1049%","11.5094%","N/A"
"=""1730""","花仙子","15.2100","365.3100","380.5200","台灣花仙子、蘇州太倉廠","0.1667","公噸/百萬元營業額","87.3110%","0.0400%","N/A"
"=""1731""","美吾華","0.0000","43.9700","43.9700","台北總公司、中南部辦公室及楊梅廠與外倉","N/A","N/A","","","N/A"
"=""1732""","毛寶","0.0000","563.9000","563.9000","母公司","1.0100","公噸/百萬元營業額","0.0000%","","N/A"
"=""1733""","五鼎","1.6870","181.6400","183.3270","僅計算國內各廠區","0.2200","公噸/千片試片","N/A","0.9200%","N/A"
"=""1734""","杏輝","43.0000","189.4200","232.4200","母公司","0.0810","公噸/百萬元營業額","","","ISO 14001"
"=""1735""","日勝化","145.7000","844.5000","990.2000","僅母公司","0.5855","公噸/百萬元營業額","94.4406%","14.7142%","N/A"
