報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
2006,東和鋼鐵,"1,261","1,108","1,104",-2.82%,"1,041",-2.98%,11.32%,,,
2007,燁興,876,625,682,9.12%,657,11.73%,5.00%,,,
2008,高興昌,688,564,581,5.64%,507,5.63%,8.33%,,,
2009,第一銅,798,661,672,22.63%,658,25.57%,3.85%,,,
2010,春源,862,691,761,6.14%,654,4.98%,1.74%,,,
2012,春雨,758,647,648,-2.41%,569,5.76%,41.67%,,,
2013,中鋼構,"2,040","1,788","1,754",4.47%,"1,578",5.06%,3.70%,113年度新進員工計10人。25歲~未滿35歲者有4人；35歲~未滿45歲者有6人。,113年度自請離職員工計8人。25歲~未滿35歲者有3人；35歲~未滿45歲者有3人；45歲~未滿55歲者有2人,本司近三年招募近55位新進員工，其中年齡達45歲以上者計7人，進用比率達13%為中高齡者。高齡(65歲以上)員工至今尚未進用，惟本司薪酬未曾因年齡差異而有所不同，另在員工聘僱與職位晉升上，公司沒有年齡的限制，只要能力和資格符合職位要求，均有平等的機會。
2014,中鴻,"1,108",847,829,-0.12%,794,-0.25%,4.46%,,,
2015,豐興,"1,262","1,069","1,037",2.17%,954,2.80%,22.22%,,,
2017,官田鋼,670,545,567,12.06%,496,12.73%,37.50%,,,
2020,美亞,"1,028",706,812,-0.85%,694,0.00%,6.40%,,,
2022,聚亨,776,658,606,6.50%,567,8.62%,14.04%,,,
2023,燁輝,"1,122",854,873,0.81%,852,1.19%,3.50%,2024年新進員工年齡以30歲(含)以下人員占比最高，共94人，占全體員工的6.2%。其次為31至49歲區間，共81人，占比5.4%；50歲(含)以上者則有6人，占比0.4%。,2024年自請離職人員年齡分布以31至49歲區間為主，共36人，占全體員工的2.4%。30歲(含)以下則有24人，占比1.6%；50歲(含)以上離職人數僅4人，占比0.3%。,在業務人員的招募方面，本公司注重多元性並迎合高齡化趨勢，鼓勵退休同仁回任，為屆齡退休之同仁多提供一項退休後的生涯選擇，於2024年度新續聘2位。
2024,志聯,707,564,571,10.02%,528,9.77%,16.67%,,,
2025,千興,707,576,581,2.29%,570,3.83%,40.00%,30歲以下-4人 30歲-50歲-17人 50歲以上-4人,30歲以下-0人 30歲-50歲-11人 50歲以上-4人,無
2027,大成鋼,866,749,737,53.54%,639,39.52%,25.10%,,,
2028,威致,985,725,807,2.93%,768,4.21%,23.53%,,,
2029,盛餘,"1,281","1,054","1,116",-2.11%,"1,034",-1.52%,9.38%,,,
2030,彰源,855,729,687,4.89%,608,4.65%,0.04%,年齡：未滿30歲佔 42.11%、30~50歲佔 55.26%、50歲以上佔 2.63%，性別：男性佔 81.58%、女性佔 18.42%，學歷：研究所佔 2.63%、大專佔 31.58%、其他佔 65.79%，地區：總公司佔 94.74%、北營所佔 0%、南營所佔 5.26%。,年齡：未滿30歲佔45.45%、30~50歲佔 46.75%、50歲以上佔 7.79%，性別：男性佔 88.31%、女性佔 11.69%，學歷：研究所佔 1.30%、大專佔 36.36%、其他佔 62.34%，地區：總公司佔93.51%、北營所佔 3.90%、南營所佔2.60%。,無。
2031,新光鋼,"1,025",807,779,-3.47%,657,-6.54%,31.48%,30歲(含)以下：28人，占比53% 31-50歲：23人，占比43% 51歲以上：2人，占比4%,30歲(含)以下：15人，占比33% 31-50歲：30人，占比65% 51歲以上：1人，占比2%,重視員工在生涯各階段職能所需之培訓發展，為了培養員工在面對複雜多變的環境問題時，能夠具有前瞻視野與開拓性發展，培育員工跨域多元的專業職能，並訂有「教育訓練管理辦法」以為遵循，整合內外部資源，以培養並提升員工能力，讓員工與公司一同成長。同時也打造一個支持高齡員工的職場環境，像是鼓勵員工第二專長的發展，透過跨領域的課程，從數位技能、產業知識、在職進修課程、ESG系列講座等，讓高齡員工有機會探索新的職能領域。113年度教育訓練總計時數為260小時，人次達72人。另外，自民國111年起開辦「臨場健康服務」，依法聘請特約醫護人員開辦臨場健康檢查服務，提升及照護廠區勞工健康，減緩職業災害風險。本公司在聘任政策並不會考慮年齡重視基礎專業能力，因此未有制定高齡員工晉用政策及培訓計劃。
2032,新鋼,695,548,550,5.77%,526,6.48%,10.00%,未滿30歲4.12%，30歲以上未滿50歲22.94%，50歲以上1.18%,未滿30歲4.71%，30歲以上未滿50歲22.94%，50歲以上3.53%,依勞動法規辦理。
2033,佳大,748,579,549,5.17%,538,8.47%,0.97%,,,
2034,允強,894,720,684,13.06%,638,14.13%,21.00%,＜30 歲 22%；30-49歲 4%； ≧50歲 1%,＜30 歲 17%；30-49歲 13%； ≧50歲 26%,無
2038,海光,809,694,667,7.23%,604,5.23%,0.80%,,,
2049,上銀,890,743,841,5.39%,792,4.21%,14.60%,29歲以下：73.5% 30~50歲：26.3% 50歲以上：0.2%,29歲以下：51.2% 30~50歲：46.2% 51歲以上：2.6%,
2059,川湖,"1,172","1,040","1,014",51.57%,729,46.39%,19.75%,,,
2062,橋椿,711,591,558,1.09%,501,5.03%,48.06%,,,
2069,運錩,771,619,617,15.98%,550,16.28%,49.20%,,,
2101,南港,965,843,813,11.83%,719,12.52%,13.46%,(1)18-29歲，共103位(35.0%) (2)30-49歲，共176位(59.9%) (3)50歲以上，共15位(5.1%) 新進員工數合計294位。,(1)18-29歲，共364位(42.9%) (2)30-49歲，共440位(51.9%) (3)50歲以上，共43位(5.1%) 離職員工數合計848位,
2102,泰豐,952,763,673,-5.34%,675,2.74%,0.00%,,,
2103,台橡,"1,565","1,223","1,184",2.25%,"1,061",1.82%,26.42%,113年共有160位新進員工加入台橡，全集團新進員工的年齡分布如下：30歲以下79人（占49.38%）、30至50歲73人（占45.62%）、50歲以上8人（占5%）。,113年共有149位員工離開台橡，全集團離職員工的年齡分布如下：30歲以下41人（占27.52%）、30至50歲64人（占42.95%）、50歲以上44人（占29.53%）。,公司對於屆臨退休的員工依其工作職責及專業貢獻度，及依個人延長職涯之意願與身心健康情形整體考量後，進行妥適安排。
2104,國際中橡,"1,602","1,342","1,053",-1.59%,909,-2.78%,15.33%,根據2024年資料顯示，集團的新進員工年齡與性別分佈如下： 在30歲以下的年齡段，共有135名新進員工，占總人數的10.06%。 在31至50歲的年齡段，共有130名新進員工，占總人數的9.69%。 在51歲以上的年齡段，共有9名新進員工，占總人數的0.67%。 整體來看，集團新進員工主要集中於30歲以下與31至50歲兩個年齡層， 51歲以上的新進員工人數則相對較少。 ,根據2024年資料顯示，離職員工的年齡與性別分佈如下： 在30歲以下年齡層，離職員工共有100人，占全體員工總數的7.45%。 在31至50歲年齡層，離職員工共有154人，占全體員工總數的11.48%。 在51歲以上年齡層，離職員工為31人，占全體員工總數的2.31%。 整體而言，離職情形以31至50歲的員工為主，其次為30歲以下族群，而51歲以上的離職比例則明顯較低。 ,國際中橡充分運用資深人員的技能與經驗，回聘退休資深員工作為公司顧問。2024年大中華地區林園先進廠回聘已退休資深員工4位、馬鞍山廠1位，印度地區則回聘2位，任約聘專業人員，借重資深員工們近30年實務經驗，協助培育新進、現職人員及建立生產製程知識庫，整合並推動各廠改善專案，打造人才梯隊。
2105,正新,860,736,734,4.41%,696,4.82%,2.54%,29歲以下：59.44%、30-50歲：40.16%、51歲以上：0.40%,29歲以下：21.41%、30-50歲：69.11%、51歲以上：9.48%,公司視員工為人才，具有豐富經驗的同仁是公司寶貴的資產，正新之一般員工中含有「退休再聘」者，即符合勞基法退休條件申請退休而被再聘回任之員工，藉由資深同仁的實務經驗傳承，帶動內部傳承的風氣，以避免大量流失具經驗人手，並提升中高齡勞動力。在積極推廣退休人員轉聘為專門技師與顧問的政策之下，讓正新內部知識管理持續循環轉動。2024年底退休再聘人數合計達145人。
2106,建大,820,710,623,6.50%,587,8.10%,14.22%,,,
2107,厚生,952,842,657,-0.90%,603,-0.33%,13.04%,,,
2108,南帝,"1,279","1,108","1,090",-2.24%,"1,009",-4.63%,,,,
2109,華豐,760,655,611,7.19%,548,10.04%,5.00%,,,
2114,鑫永銓,869,748,578,-0.34%,554,0.00%,30.00%,,,
2115,六暉-KY,N/A,N/A,N/A,,N/A,,29.80%,,,
2201,裕隆,"1,090",892,910,1.34%,853,0.71%,7.06%,,,
2204,中華,"1,175","1,018","1,044",-13.50%,967,-10.05%,15.70%,30歲以下：119人 30~50歲：84人 51歲以上：25人,30歲以下：106人 30~50歲：134人 51歲以上：39人,
2206,三陽工業,"1,291","1,096","1,149",-2.38%,"1,085",-3.30%,10.07%,＜30歲：12.16% ； 30~50歲：4.84% ；  >50歲：0.43%   (新進人數/2024年底員工總人數),＜30歲：6.25 % ； 30~50歲：4.52 % ； >50歲：2.12%    (離職人數/2024年底員工總人數),
2207,和泰車,"3,459","3,031","2,677",1.79%,"2,103",5.63%,26.05%,未滿30歲：34位；30歲(含)到49歲：12位；50歲(含)以上：1位。,未滿30歲：9位；30歲(含)到49歲：11位；50歲(含)以上：2位。,在晉用政策方面，公司建立明確且完善的制度、不設年齡限制，提供所有同仁公平且一致性的標準與具競爭力的薪資；在培訓計畫方面，公司每年訂定年度教育訓練計畫，針對各級人員職能、專業能力、職場力等開設課程，讓不分年齡層的同仁皆可獲得良好的發展機會，也支持高齡同仁在職涯中持續學習與成長。
2208,台船,"1,146",978,957,0.10%,900,-0.77%,12.07%,,,
2211,長榮鋼,"1,228","1,035","1,051",-3.22%,"1,021",-2.20%,20.69%,男性：30歲以下88人／30~50歲47人／50歲以上 1人 女性：30歲以下 7人／30~50歲  9人／50歲以上  0人,男性：30歲以下28人／30~50歲41人／50歲以上12人 女性：30歲以下 2人／30~50歲  5人／50歲以上   1人,無相關政策及計畫
2227,裕日車,"1,598","1,350","1,213",0.66%,"1,164",1.93%,16.00%,,,
2228,劍麟,887,719,680,6.08%,572,5.93%,17.78%,,,
2231,為升,855,741,664,3.27%,567,3.28%,23.33%,,,
2233,宇隆,"1,000",867,770,22.03%,626,19.92%,41.37%,,,
2236,百達-KY,N/A,N/A,N/A,,N/A,,0.00%,,,
2239,英利-KY,N/A,N/A,N/A,,N/A,,32.58%,,,
2241,艾姆勒,954,788,757,2.44%,687,1.78%,18.00%,<30 歲：33.33% >=30~<=50：55.56% >50：11.11%,<30 歲：18.9% >=30~<=50：76.83% >50：4.27%,無
2243,宏旭-KY,N/A,N/A,N/A,,N/A,,4.44%,,,
2247,汎德永業,"1,318","1,115","1,213",8.59%,916,7.89%,36.65%,,,
2248,華勝-KY,N/A,N/A,N/A,,N/A,,52.61%,,,
2250,IKKA-KY,N/A,N/A,N/A,,N/A,,33.00%,,,
2254,巨鎧精密-創,764,627,524,12.21%,484,13.62%,26.67%,2024年新進員工總數為101人，小於30歲共23人占比22.77%，30至50歲共68人占比67.33%，超過50歲共10人占比9.90%,2024年離職員工總數為91人，小於30歲共28人占比30.77%，30至50歲共54人占比59.34%，超過50歲共9人占比9.89%,本公司支持政府推動高齡勞動者持續投入職場，2024年與一位退休員工協商後重新聘用，成為公司傳承與創新的典範。且50歲以上群體比例由12.69%上升至17.76%，代表公司對經驗豐富員工的重視，為業務穩定性和知識傳承提供了保障。針對新進人員、管理、專業、安全等訓練類別，舉辦內訓與外訓，進行多層次的培訓，訓練總時數內訓為27670小時、外訓為193小時。
2258,鴻華先進-創,"1,562","1,399","1,364",5.41%,"1,148",6.00%,0.40%,,,
2301,光寶科,"1,332","1,152","1,489",5.30%,"1,246",10.27%,26.73%,,,
2302,麗正,806,681,663,-9.55%,534,-4.13%,10.64%,,,
2303,聯電,"2,265","2,046","1,800",-2.76%,"1,611",2.16%,23.50%,聯電集團新進員工年齡於2024 年30 歲以下占69.5%、30-50 歲占29.4%、50 歲以上占1.1% ,聯電集團離職員工年齡於2024 年30 歲以下占36.3%、30-50 歲占59.7%、50 歲以上占4.0% ,
2305,全友,"1,154",983,840,4.09%,802,1.52%,18.75%,,,
2308,台達電,"1,958","1,717","1,827",5.36%,"1,543",5.25%,32.20%,,,
2312,金寶,"2,091","1,690","1,680",14.36%,"1,396",12.94%,32.74%,2024年度共新進146人，30歲以下29人，31-50歲99人，50歲以上18人,2024年度共離職247人，30歲以下24人，31-50歲156人，50歲以上67人,金寶電子創辦已超過50年，公司內部年齡在50歲以上的員工佔24%，除專業經理人之外，公司對全體員工一視同仁，未對特殊族群訂有不同的晉用政策及培訓計畫，人員晉用不限年齡，均以其個人工作成果、專業知識與技能、創新能力、及團隊合作精神等為評核標準，另公司每年設計訓練需求問卷，作為隔年辦理培訓規劃之參考，期望能提供多元化課程及資源，協助在職員工實現自我價值，並確保全體員工在安全友善的環境中充分發揮其經驗。 在專業經理人部份，本公司專業經理人年齡均已超過50歲以上，並另訂有晉用政策及培訓計畫，配合本公司接班計畫，培育專業經理人輪調關係企業及本公司各項重要職位，並擔任本公司董事使其熟悉董事會運作。⾼階經理人須參與集團舉辦1年2次之教育訓練及參與4次決策會議，另外也透過輪調、外派等方式歷練培養具潛力之專業人才，藉以發掘全方位人才，有計畫、有目標地強化未來經營團隊。目前總經理及集團執行長即由集團內高階經理人轉調升任。
2313,華通,"1,100",916,979,7.35%,883,8.48%,4.50%,,,
2314,台揚,999,836,908,6.82%,815,28.35%,36.45%,,,
2316,楠梓電,641,502,551,11.31%,508,12.89%,36.00%,,,
2317,鴻海,"2,930","2,496","2,670",6.08%,"1,937",9.31%,33.35%,,,
2321,東訊,918,753,754,-3.46%,659,2.33%,11.90%,,,
2323,中環,795,661,628,0.80%,581,6.80%,28.00%,29歲以下新進人員佔9%，30~39歲新進人員佔46%，40~49歲新進人員佔36%，50歲以上新進人員佔9%,29歲以下離職人員佔8%，30~39歲離職人員佔17%，40~49歲離職人員佔46%，50歲以上離職人員佔29%,
2324,仁寶,"1,680","1,451","1,467",4.64%,"1,348",7.41%,30.04%,"因應產業轉型與數位發展，仁寶持續優化組織與人力結構。2024年全球新進員工人數為 17,943 人，以 30 歲以下族群為主力，顯示對年輕技術人才的高度吸引力。越南與中國為主要來源地，30歲以下新進率分別超過130%與100%，有效補足第一線製造與技術職能。隨著轉型推進，2024年新進率為61%，內部職缺遞補率達51.7%，顯示組織內部流動與人才培育機制逐步發揮成效。在台灣地區，除年輕族群外，31歲以上新進人數亦具規模，展現公司對具經驗專才的積極延攬。美國、墨西哥等地區新進人力規模雖小，但呈現年齡結構多元的特色。仁寶將持續打造跨世代共融職場，透過精準招募與內部培育策略，強化團隊韌性，提升整體人力永續競爭力。",面對產業轉型，仁寶持續優化人力配置與職涯支持。2024年全球離職率為 45.87%，自願離職率為 28.57%，整體較2023年略降，顯示組織穩定度持續維持。其中30歲以下離職率為 25.67%，反映職涯探索期特性；31-50歲為 19.53%，相對穩定；50歲以上僅 0.67%，顯示資深員工持續投入。中國與越南離職率分別為 31.56% 與 10.55%，較前一年下降，反映人力結構調整與產線升級效益。台灣離職率為 3.15%，美國與墨西哥地區則維持低幅波動。仁寶將持續透過製程升級、人力調整與職涯支持機制，打造穩健且具韌性的人才發展環境。,
2327,國巨,865,746,773,3.76%,672,6.84%,29.63%,,,
2328,廣宇,"2,111","1,823","1,422",-9.37%,"1,244",-8.06%,14.29%,23-54,39-65,提供完善退休規章辦法，並提供返聘機制；導入導師制度（Mentoring Program），安排高齡員工指導年輕世代；建立知識管理平台，蒐集並轉化關鍵人員的隱性知識。 
2329,華泰,822,655,705,-3.56%,624,-2.80%,42.21%,2024 年新進員工年齡分布以 30 歲以下為主力（50.46%），其次為 30–50 歲（47.50%），50 歲以上( 2.04%)，整體結構展現年輕化與多元共融的趨勢。,2024年離職員工以30–50歲為最高（56.11%），其次為30歲以下（34.81%），50歲以上(9.08%)，整體結構顯示中堅人力流動較明顯，需持續關注，並加強穩定與關懷機制。,-
2330,台積電,"3,633","3,329","3,391",19.32%,"2,645",17.66%,14.60%,,,
2331,精英,"1,478","1,281","1,114",-14.77%,981,-12.41%,33.76%,2024年度新進人員共計47人，其中年齡分布如下：21至30歲5人、31至40歲12人、41至50歲11人、超過50歲19人。,2024年度離職人員共計207人，年齡分布為：21至30歲51人、31至40歲42人、41至50歲62人、超過50歲52人。,1.為利知識、技術與經驗的傳承，晉用經驗豐富的資深員工；如高階經理人屆退得轉任顧問職。 2.新進員工依教育訓練程序書，循序參加新人導引(當日)、新人輔導項目引導(當周)、新人一般與專業訓練(線上，當月)、新人通識課程(實體，滿三個月後)等訓練
2332,友訊,"1,435","1,235","1,184",3.95%,"1,060",1.92%,35.80%,,,
2337,旺宏,"1,579","1,347","1,420",2.75%,"1,199",2.22%,28.65%,,,
2338,光罩,970,804,830,-16.58%,710,-16.37%,25.00%,,,
2340,台亞,988,850,790,-3.66%,700,-1.55%,41.94%,針對新進員工年齡劃分3個區間，分別為：30歲以下、30歲~50歲及50歲以上，其中30歲以下(含)之新進員工佔比最高，已達整體新進員工的53%，佔比最低為50歲以上，僅佔新進員工之5%。,針對離職員工年齡劃分3個區間，分別為：30歲(含)以下、30歲~50歲及50歲(含)以上，其中30歲~50歲之離職員工佔比最高，已達整體離職員工的51%，佔比最低為50歲以上，僅佔離職員工之11%。,
2342,茂矽,"1,084",890,860,6.44%,760,6.29%,25.60%,,,
2344,華邦電,"1,827","1,636","1,726",8.62%,"1,513",9.48%,12.03%,51 years of age or older：3% 31~50 years old：47% Under 30 years of age：50%,51 years of age or older：12% 31~50 years old：53% Under 30 years of age：35%,針對高齡員工合適的職缺，考量其體力負荷提供工時彈性及工作場域彈性。協助高齡者職涯續航，提供經濟支持、健康支持、社會支持，亦為公司留住寶貴的經驗與技術。
2345,智邦,"1,685","1,493","1,542",11.34%,"1,149",17.01%,24.20%,,,
2347,聯強,"1,632","1,413","1,213",1.00%,"1,044",1.36%,43.59%,,,
2348,海悅,"2,435","2,216","1,528",21.75%,"1,271",20.13%,30.77%,2024年新進員工41人佔全體員工比例22.91% 未滿30歲為35人 30~50歲為6人,2024年新進員工36人佔全體員工比例20.11% 未滿30歲為22人 30~50歲為14人,為培養、提升員工專業能力，各部門依據工作需求，給予對應的訓練及學習資源，協助其工作職能及職涯的發展。海悅國際以「在職訓練」為主要的教育訓練，期待透過部門主管及資深員工的分享，將寶貴的經驗傳承。
2349,錸德,746,649,697,4.81%,549,1.48%,2.40%,,,
2351,順德,844,685,706,2.02%,608,2.53%,10.26%,,,
2352,佳世達,"1,727","1,450","1,385",-13.00%,"1,192",-9.70%,24.20%,,,
2353,宏碁,"2,046","1,768","1,753",23.28%,"1,439",21.33%,31.00%,30歲以下39%，30~50歲53%，超過50歲8%,30歲以下38%，30~50歲52%，超過50歲10%,1. 多元共融的晉用政策: Acer致力打造多元共融的職場環境，充分發揮各年齡層人才的經驗與潛力。為因應人口結構變遷與永續發展目標，Acer支持並鼓勵具備工作能力與意願之高齡人才參與職場，並致力消除年齡歧視，實踐公平就業。  2. 適合高齡員工的培訓課程: 公司提供多元的培訓課程與講座，也特別適合高齡員工參與。這些課程不僅協助高齡同仁掌握最新科技趨勢，延續專業貢獻，亦重視身心健康，促進工作與生活的整體平衡。  (1) 訓練目的： -- 掌握科技脈動，持續發揮貢獻度： -- 注重身心健康，提升生活品質  (2)訓練課程或講座:   科技脈動類課程： -- AI素養課程：強化對生成式 AI 的基本認識與應用能力，協助學員了解當前主流的生成式 AI 工具，並掌握如何將這些工具有效導入日常工作情境中。  -- 善用 AI 與數據技能—Excel 數據整理分析與 ChatGPT 應用：培養數據敏感度與分析能力，結合 AI 工具提升工作效率與洞察力，讓經驗加上工具創造更多價值。  -- 掌握 GenAI 創新應用新趨勢： 深入了解生成式 AI 的實際應用案例與未來發展方向，開拓創新視野，保持競爭力與學習熱忱。   身心健康類講座： -- 肌不可失：傳授肌力維持的重要性，結合平衡訓練、核心訓練與有氧運動，強化身體機能，預防衰弱與跌倒風險。 -- 控制血壓不傷心：說明高血壓的成因與危害，並提供實用的飲食、運動與生活習慣建議，有效維護心血管健康。 -- 健康減重： 介紹安全、有效且持久的減重策略，避免激烈節食與不當用藥，建立正確的體重管理觀念與實踐方式。 -- 更新人生第二春 (2025年旗艦講座)：介紹高齡族群應注意的均衡飲食原則、適合的運動方式與用藥安全，打造健康老化生活型態。
2354,鴻準,"2,668","2,237","2,205",-2.69%,"1,588",2.25%,0.00%,,,
2355,敬鵬,870,743,733,4.42%,648,2.53%,31.67%,,,
2356,英業達,"1,373","1,179","1,153",2.13%,973,2.64%,31.78%,,,
2357,華碩,"2,015","1,803","1,837",8.63%,"1,473",7.13%,28.50%,,,
2359,所羅門,"1,126",942,948,5.92%,828,5.75%,0.02%,未滿30歲：130人 30以上未滿50歲：127人 50歲以上：21人,未滿30歲：110人 30以上未滿50歲：145人 50歲以上：43人,
2360,致茂,"1,597","1,389","1,395",20.88%,"1,144",14.29%,14.23%,小於30歲佔57.85%，30至50歲佔40.62%，大於50歲佔1.54%,小於30歲佔27.02%，30至50歲佔65.73%，大於50歲佔7.26%,
2362,藍天,"1,480","1,255","1,209",0.25%,"1,116",1.36%,30.00%,,,無
2363,矽統,"2,262","2,047","1,908",34.94%,"1,574",20.15%,17.86%,,,
2364,倫飛,"1,251","1,076",865,7.86%,691,3.91%,39.68%,未滿30歲新進占總新進員工15.69%，30~50歲新進占總新進員工76.47%，50歲以上新進占總新進員工7.84%,未滿30歲離職占總離職員工11.11%，30~50歲離職占總離職員工75.00%，50歲以上離職占總離職員工13.89%,依據年度教育訓練實施
2365,昆盈,"1,338","1,093","1,044",21.25%,955,24.03%,42.86%,未滿30歲3人，30-50歲4人，50歲以上1人。,未滿30歲3人，30-50歲10人，50歲以上2人。,無
2367,燿華,903,776,719,21.25%,669,22.98%,16.18%,,,
2368,金像電,"1,102",943,885,0.91%,716,4.99%,24.19%,,,
2369,菱生,696,563,590,0.34%,539,1.51%,15.56%,,,
2371,大同,945,815,799,8.12%,714,8.35%,21.07%,30歲以下122人，30歲~50歲131人，50歲以上40人,30歲以下69人，30歲~50歲137人，50歲以上93人,本公司招募及任用作業皆恪遵勞動相關法規，對於所有求職者皆一視同仁，不分種族、階級、語言、思想、宗教、黨派、籍貫、出生地、性別、性傾向、年齡、婚姻、容貌、五官、身心障礙、星座、血型、以往工會會員身分或其他歧視等因素，均須公平且有尊嚴地被對待。本公司所有員工之晉升、調動、考核、奬懲、訓練發展、薪資、福利等制度，均訂有明確規範，給予一視同仁的公平待遇。
2373,震旦行,902,766,771,2.94%,671,3.23%,16.00%,,,
2374,佳能,"1,270","1,089","1,200",4.53%,"1,063",-2.48%,24.84%,2024年度共聘用新進員工148人，其中以「30歲以下」年齡層占比最高，達75人，占整體新進人數的50.6%。其次為「31～49歲」共65人，占44.0%，「50歲以上」則為8人，占5.4%。,2024年度共計離職員工89人，其中以「31～49歲」年齡層占比最高，達55人，占總離職人數的61.8%；其次為「30歲以下」年齡層19人，占21.3%；「50歲以上」則為15人，占比17.9%。,無。
2375,凱美,"1,376","1,171",829,6.69%,782,7.12%,50.00%,2024年度新進人員共8位: 男性3位(31-50歲)，女性5位(4位在31-50歲，1位30歲以下),2024年度離職人員共10位: 男性4位(3位在51歲以上，1位在30-50歲)，女性6位(均在31-50歲),"本公司員工之晉用及培訓一視同仁,不分年齡及性別"
2376,技嘉,"1,776","1,590","1,655",34.33%,"1,020",19.16%,28.99%,,,
2377,微星,"1,676","1,476","1,515",8.60%,"1,286",6.02%,22.70%,新進員工年齡分布佔整體新進員工總數之佔比統計，30歲(含)及以下佔76.05%、31~50歲(含)佔23.84%，51歲(含)以上0.12%。,離職員工年齡分布佔整體離職員工總數之佔比統計，30歲(含)及以下佔76.47%、31~50歲(含)佔23.38%，51歲(含)以上0.16%。,
2379,瑞昱,"5,056","4,751","3,915",24.33%,"3,246",25.18%,11.28%,21至30歲：61.73% 31歲至50歲：36.79% 51歲以上：1.48%,21至30歲：26.28% 31歲至50歲：67.88% 51歲以上：5.84%,我司落實人權政策相關宣示「我們嚴禁對同仁進行無理之勞動約束，決不聘用強逼、擔保（包括抵債）或用契約束縛的勞工、非自願或受剝削之勞工、受奴役或販賣的人力，並確認人力資源運用政策無性別、種族、社經階級、年齡、婚姻與家庭狀況等差別待遇，落實就業、僱用條件、薪酬、福利、訓練、考評與升遷機會之平等及公允，亦嚴格落實禁用未滿 18 歲（含）以下員工之政策。」，針對高齡員工所有晉用皆平等及公允、無任何差別待遇。
2380,虹光,"1,135",939,912,2.13%,805,0.25%,16.00%,,,
2382,廣達,"2,339","2,092","1,688",10.91%,"1,490",15.41%,22.99%,30歲以下:55% 30~50歲:43.8% 50歲以上: 1.1% ,30歲以下:34% 30~50歲: 61% 50歲以上: 5%,
2383,台光電,"1,587","1,410","1,156",8.04%,888,10.31%,12.32%,<30歲      :  47.98% 30~50歲 :  51.51% >50歲      :     0.51%,<30歲      :  45.00% 30~50歲 :  53.90% >50歲      :     1.10%,
2385,群光,"2,966","2,695","2,269",8.10%,"1,990",10.07%,16.23%,2024年群光電子新進員工年齡分布為: 未滿30歲 59.33%；30至50歲 39.45%；超過50歲 1.22%。,2024年群光電子離職員工年齡分布為: 未滿30歲 62.77%；30至50歲 36.16%；超過50歲 1.07%。,為響應政府《中高齡者及高齡者就業促進法》有效提升中高齡者勞動參與，促進高齡者再就業，並鼓勵世代合作與經驗傳承，營造友善中高齡者及高齡者職場氛圍，本公司對屆齡退休人員規劃延長其工作年資，自2021年2月開始開放申請，截至2024年，符合申請資格16人。
2387,精元,"1,220","1,060",768,3.50%,679,1.04%,8.85%,,,
2388,威盛,"2,256","2,002","1,866",10.28%,"1,652",9.04%,28.13%,未滿30--3.45% 30以上 未滿50--3.18% 50以上--1.06%,未滿30--1.86% 30以上 未滿50--2.39% 50以上--1.86%,
2390,云辰,929,757,751,-7.40%,694,-8.68%,16.67%,,,
2392,正崴,"1,626","1,422","1,184",-4.98%,"1,046",-3.68%,31.50%,,,
2393,億光,"1,235","1,076","1,131",22.01%,812,10.48%,35.22%,臺灣區：30 歲以下占 72%、30-50 歲占 27%及 51 歲以上占 1% 中國區：30 歲以下占 59%、30-50 歲占 40%及 51 歲以上占 1%,臺灣區：30 歲以下占 32%、30-50 歲占 63%及 51 歲以上占 5% 中國區：30 歲以下占 60%、30-50 歲占 39%及 51 歲以上占 1%,依政府相關法規和計畫辦理
2395,研華,"1,533","1,302","1,267",2.84%,"1,104",4.25%,21.57%,新進員工中，30歲以下佔39%；31歲-49歲佔55%；50歲以上佔5%，不揭露年齡佔1%。,離職員工中，30歲以下佔26%；31歲-49歲佔65%；50歲以上佔9%。,研華科技秉持「人才為本」理念，致力打造多元、包容且公平的職場環境。員工招募以職務能力與專業表現為主，無年齡限制，確保所有具潛力的人才皆享有平等職涯機會。 培訓計畫說明： 研華依職務需求與績效表現規劃職能與專業培訓，年齡不構成差異。因應AI發展趨勢，導入AI基礎與應用課程，所有同仁都可依個人職涯規劃自主參與，提升數位競爭力。 另推動導師制度，由資深員工協助新進同仁融入職場，並擔任內部講師，分享職涯經驗與技術知識，促進世代間的學習與傳承。
