報告年度:2024,議題:人力發展,,,,,,,,,,
公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數變動百分比(每年7/1起公開),非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開),非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數變動百分比(每年7/1起公開),管理職女性主管占比-管理職女性主管占比,新進員工年齡分布-新進員工年齡分布,離職員工年齡分布-離職員工年齡分布,高齡員工晉用政策及培訓計畫-高齡員工晉用政策及培訓計畫
1229,聯華,"3,450","3,142",802,4.02%,733,4.27%,16.67%,2024年度，30歲以下的新進員工共20位，佔新進率28.17%；30~50歲的新進員工共46位，佔新進率為64.79%；51歲以上新進員工共5位，佔新進率為7.04%。,2024年度，30歲以下的離職員工共15位，佔離職率25%；30~50歲的離職員工共34位，佔離職率為56.67%；51歲以上離職員工共11位，佔離職率為18.33%。,
1231,聯華食,880,735,721,4.95%,630,5.88%,41.24%,,,
1232,大統益,"2,041","1,810","1,630",3.43%,"1,422",2.16%,27.27%,,,
1233,天仁,559,469,642,3.38%,553,4.34%,69.15%,2024年到職員工年齡分布占比為20歲(含)以下30%、21-40歲50%、41-60歲17%、61歲(含)以上3%。,2024年離職員工年齡分布占比20歲(含)以下24%、21-40歲58%、41-60歲14%、61歲(含)以上4%。,我們鼓勵婦女二度就業，本公司在各大量販店內的駐點銷售之人力中，雇用二度就業婦女，我們稱為「促銷大姐」，在賣場內為天仁茶業產品提供介紹，試吃、試飲。因年紀較長，公司依業務需求及考量她們需兼顧家庭，除了領組之外，大都是時薪人員，服務區域固定、可彈性排班，為本公司業務中心重要的營業生力軍。
1234,黑松,997,825,852,1.79%,759,0.40%,21.43%,113年新進員工總數中，30歲以下占51%，30~50歲占46%，50歲以上占4%。,113年離職員工總數中，30歲以下占48%，30~50歲占44%，50歲以上占7%。,
1235,興泰,437,338,356,-17.97%,386,-15.90%,33.33%,,,
1236,宏亞,653,529,532,0.95%,473,2.38%,50.92%,,,
1256,鮮活果汁-KY,N/A,N/A,N/A,,N/A,,46.53%,,,
1301,台塑,"1,342","1,161","1,382",1.32%,"1,262",1.94%,8.00%,,,
1303,南亞,"1,221","1,067","1,229",3.45%,"1,139",3.08%,6.22%,一、29歲以下 女性：47人、男性：171人 二、30~39歲 女性：13人、男性：52人 三、40~49歲 女性：1人、男性：2人  (揭露邊界為南亞母公司+台灣地區子公司),一、29歲以下 女性：70人、男性：276人 二、30~39歲 女性：69人、男性：222人 三、40~49歲 女性：52人、男性：105人 四、50~59歲 女性：46人、男性：186人 五、60歲以上 女性：22人、男性：156人 六、屆齡退休 女性：20人、男性：160人  (揭露邊界為南亞母公司+台灣地區子公司),不適用。
