報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
1515,力山,9,3,100.00%,77.78%,1,11.11%
1516,川飛,8,3,98.18%,100.00%,2,25.00%
1517,利奇,7,3,100.00%,100.00%,3,42.86%
1519,華城,10,4,95.83%,100.00%,1,10.00%
1521,大億,7,3,80.68%,14.29%,1,14.29%
1522,堤維西,9,3,94.44%,100.00%,0,0.00%
1524,耿鼎,9,4,86.67%,66.67%,1,11.11%
1525,江申,10,3,100.00%,100.00%,1,0.10%
1526,日馳,7,4,94.44%,100.00%,2,28.57%
1527,鑽全,11,3,90.91%,72.73%,1,9.09%
1528,恩德,7,3,100.00%,100.00%,1,14.29%
1529,樂事綠能,9,3,83.64%,100.00%,1,11.11%
1530,亞崴,9,4,97.30%,100.00%,1,11.11%
1531,高林股,7,4,90.00%,100.00%,3,42.86%
1532,勤美,9,3,96.30%,100.00%,2,22.22%
1533,車王電,11,4,93.18%,100.00%,1,9.09%
1535,中宇,11,3,95.45%,100.00%,2,18.18%
1536,和大,13,4,90.77%,100.00%,3,23.08%
1537,廣隆,9,3,100.00%,100.00%,0,0.00%
1538,正峰,8,4,98.41%,100.00%,2,25.00%
1539,巨庭,7,3,91.43%,100.00%,3,42.86%
1540,喬福,6,3,95.24%,100.00%,1,14.29%
1541,錩泰,7,4,98.21%,0.00%,3,42.86%
1558,伸興,10,3,98.28%,100.00%,0,0.00%
1560,中砂,9,3,97.00%,100.00%,0,0.00%
1563,巧新,10,4,95.00%,100.00%,2,20.00%
1568,倉佑,9,3,100.00%,100.00%,1,11.00%
1582,信錦,7,4,100.00%,100.00%,1,14.00%
1583,程泰,9,4,94.91%,100.00%,2,22.00%
1587,吉茂,8,4,100.00%,100.00%,1,12.50%
1589,永冠-KY,11,4,100.00%,100.00%,1,9.09%
1590,亞德客-KY,10,4,95.00%,50.00%,2,20.00%
1597,直得,9,4,94.92%,100.00%,4,44.44%
1598,岱宇,7,4,99.00%,100.00%,1,14.28%
1603,華電,5,3,100.00%,100.00%,1,20.00%
1604,聲寶,7,3,95.24%,100.00%,1,14.29%
1605,華新,11,4,94.95%,100.00%,1,0.09%
1608,華榮,7,3,83.33%,100.00%,1,14.29%
1609,大亞,9,4,96.83%,100.00%,2,22.22%
1611,中電,11,3,93.58%,100.00%,0,0.00%
1612,宏泰,7,3,100.00%,100.00%,1,14.29%
1614,三洋電,13,3,91.20%,100.00%,3,23.07%
1615,大山,7,4,80.00%,50.00%,3,43.00%
1616,億泰,7,3,93.75%,100.00%,2,28.57%
1617,榮星,7,3,82.14%,28.57%,1,14.29%
1618,合機,9,3,97.78%,100.00%,2,22.22%
1626,艾美特-KY,10,4,85.00%,100.00%,0,0.00%
1702,南僑,9,3,85.19%,100.00%,2,22.22%
1707,葡萄王,12,4,94.00%,100.00%,5,42.00%
1708,東鹼,10,3,86.67%,100.00%,0,0.00%
1709,和益,19,4,79.69%,47.72%,3,15.78%
1710,東聯,11,3,98.00%,100.00%,1,9.00%
1711,永光,11,3,96.00%,100.00%,1,9.00%
1712,興農,9,3,97.22%,100.00%,1,11.11%
1713,國化,5,3,100.00%,10.80%,3,60.00%
1714,和桐,9,3,92.59%,100.00%,2,22.22%
1717,長興,12,4,96.00%,100.00%,1,8.30%
1718,中纖,9,3,84.12%,33.33%,0,0.00%
1720,生達,9,4,87.18%,100.00%,2,22.22%
1721,三晃,7,3,100.00%,100.00%,2,28.57%
1722,台肥,9,3,91.67%,100.00%,1,11.11%
1723,中碳,9,3,98.00%,100.00%,1,11.00%
1725,元禎,6,2,97.44%,0.00%,1,16.67%
