報告年度:2023,議題:董事會,,,,,,
公司代號,公司名稱,董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席),獨立董事席次(席)-獨立董事席次(席),董事出席董事會出席率-董事出席董事會出席率,董事進修時數符合進修要點比率-董事進修時數符合進修要點比率,女性董事席次及比率-席,女性董事席次及比率-比率
2739,寒舍,10,4,80.70%,100.00%,5,50.00%
2748,雲品,7,3,93.18%,100.00%,3,42.86%
2753,八方雲集,9,4,100.00%,100.00%,4,44.44%
2762,世界健身-KY,9,4,97.26%,100.00%,0,0.00%
2801,彰銀,9,3,100.00%,100.00%,4,44.44%
2812,台中銀,9,4,99.20%,100.00%,1,11.11%
2816,旺旺保,9,3,97.43%,100.00%,2,22.22%
2820,華票,11,3,97.73%,100.00%,2,18.18%
2832,台產,11,3,90.00%,100.00%,4,36.37%
2834,臺企銀,15,5,96.40%,100.00%,2,13.30%
2836,高雄銀,11,3,95.31%,100.00%,2,18.18%
2838,聯邦銀,9,3,94.44%,100.00%,1,11.11%
2845,遠東銀,11,3,83.00%,100.00%,3,27.27%
2849,安泰銀,11,3,95.00%,100.00%,3,27.00%
2850,新產,11,3,92.42%,100.00%,2,18.18%
2851,中再保,9,3,100.00%,100.00%,3,33.33%
2852,第一保,10,3,92.30%,100.00%,1,7.69%
2855,統一證,19,4,95.79%,100.00%,8,42.11%
2867,三商壽,11,4,96.23%,100.00%,1,9.00%
2880,華南金,19,4,91.67%,100.00%,5,27.78%
2881,富邦金,14,5,94.39%,100.00%,1,7.14%
2882,國泰金,13,5,92.31%,100.00%,3,23.08%
2883,開發金,8,3,96.00%,100.00%,0,0.00%
2884,玉山金,12,5,98.61%,100.00%,2,16.17%
2885,元大金,9,4,98.29%,100.00%,1,11.11%
2886,兆豐金,14,5,100.00%,100.00%,7,50.00%
2887,台新金,7,3,95.92%,100.00%,1,14.29%
2889,國票金,9,4,96.79%,100.00%,2,15.38%
2890,永豐金,7,3,100.00%,100.00%,3,42.86%
2891,中信金,7,4,100.00%,100.00%,1,14.29%
2892,第一金,15,5,97.81%,93.33%,8,53.33%
2897,王道銀行,12,4,99.02%,100.00%,4,33.00%
2901,欣欣,9,3,91.67%,22.22%,2,22.22%
2903,遠百,7,3,89.29%,100.00%,3,42.86%
2904,匯僑,7,2,91.42%,100.00%,0,0.00%
2905,三商,10,4,84.88%,100.00%,0,0.00%
2906,高林,11,3,97.53%,100.00%,0,0.00%
2908,特力,7,4,97.02%,100.00%,2,28.57%
2910,統領,10,3,86.67%,0.00%,2,20.00%
2911,麗嬰房,7,3,95.24%,100.00%,0,0.00%
2912,統一超,13,3,100.00%,100.00%,2,15.38%
2913,農林,11,4,81.82%,72.72%,1,9.09%
2915,潤泰全,9,3,85.00%,100.00%,0,0.00%
2923,鼎固-KY,12,4,91.30%,100.00%,3,25.00%
2929,淘帝-KY,1,3,97.62%,25.00%,0,0.00%
2939,凱羿-KY,8,4,93.59%,100.00%,1,12.50%
2945,三商家購,9,3,82.54%,66.67%,0,0.00%
3002,歐格,11,4,100.00%,45.45%,2,18.18%
3003,健和興,7,3,100.00%,100.00%,0,0.00%
3004,豐達科,9,4,96.30%,100.00%,1,11.11%
3005,神基,10,4,90.00%,100.00%,1,10.00%
3006,晶豪科,9,4,97.22%,100.00%,0,0.00%
3008,大立光,9,3,95.56%,33.33%,0,0.00%
3010,華立,8,4,93.64%,100.00%,0,0.00%
3011,今皓,4,2,97.47%,100.00%,0,0.00%
3013,晟銘電,7,3,81.63%,100.00%,2,28.57%
3014,聯陽,7,7,100.00%,100.00%,2,28.57%
3015,全漢,11,4,100.00%,100.00%,1,9.09%
3016,嘉晶,9,3,95.56%,100.00%,1,11.11%
3017,奇鋐,13,4,100.00%,69.23%,1,7.69%
3018,隆銘綠能,7,3,74.13%,0.00%,2,28.57%
3019,亞光,7,3,100.00%,100.00%,1,14.29%
3021,鴻名,9,3,95.56%,100.00%,3,33.33%
3022,威強電,7,3,100.00%,100.00%,1,14.00%
3023,信邦,11,3,91.00%,100.00%,1,9.00%
3024,憶聲,11,3,94.81%,45.45%,3,27.27%
3025,星通,8,4,100.00%,0.00%,2,25.00%
3026,禾伸堂,9,4,96.30%,55.56%,0,0.00%
3027,盛達,9,4,94.00%,100.00%,0,0.00%
3028,增你強,10,4,92.31%,100.00%,1,10.00%
3029,零壹,7,3,96.97%,100.00%,2,28.57%
3030,德律,9,4,98.00%,100.00%,1,11.00%
3031,佰鴻,9,4,97.00%,100.00%,3,33.33%
3032,偉訓,10,4,97.92%,100.00%,3,30.00%
3033,威健,7,3,93.65%,100.00%,1,14.28%
3034,聯詠,8,3,97.50%,100.00%,1,12.50%
3035,智原,9,3,100.00%,100.00%,2,22.22%
3036,文曄,8,4,93.91%,100.00%,3,37.50%
3037,欣興,9,3,98.00%,100.00%,1,11.00%
3038,全台,9,3,100.00%,44.44%,3,33.33%
3040,遠見,7,3,100.00%,100.00%,1,14.30%
3041,揚智,3,2,100.00%,33.00%,1,33.00%
3042,晶技,11,4,100.00%,100.00%,2,18.18%
3043,科風,7,4,88.00%,100.00%,2,29.00%
3044,健鼎,9,3,97.22%,100.00%,1,11.11%
3045,台灣大,9,5,95.24%,100.00%,1,11.11%
3046,建碁,7,4,97.62%,100.00%,1,14.29%
3047,訊舟,11,4,98.70%,100.00%,0,0.00%
3048,益登,9,3,96.58%,100.00%,1,11.11%
3049,精金,8,4,75.00%,100.00%,1,12.50%
3050,鈺德,7,3,97.14%,100.00%,2,28.57%
3051,力特,12,4,86.16%,100.00%,2,16.66%
3052,夆典,8,4,100.00%,100.00%,2,25.00%
3054,立萬利,9,4,97.00%,100.00%,3,33.33%
3055,蔚華科,7,3,94.64%,100.00%,4,57.14%
3056,富華新,8,3,94.64%,100.00%,3,37.50%
3057,喬鼎,7,4,93.94%,100.00%,1,14.29%
3058,立德,9,4,86.54%,100.00%,1,11.11%
3059,華晶科,7,3,100.00%,100.00%,3,43.00%
3060,銘異,7,4,92.86%,28.57%,1,14.29%
3062,建漢,6,4,93.33%,100.00%,1,33.33%
3090,日電貿,11,4,97.62%,100.00%,3,27.27%
3092,鴻碩,7,3,97.14%,100.00%,0,0.00%
3094,聯傑,7,3,100.00%,100.00%,1,14.29%
3130,一零四,7,3,85.71%,100.00%,1,14.29%
3138,耀登,9,4,98.15%,100.00%,1,11.11%
3149,正達,7,4,95.74%,100.00%,0,0.00%
3150,鈺寶-創,9,3,97.14%,100.00%,2,22.22%
3164,景岳,9,4,86.11%,85.00%,0,0.00%
3167,大量,9,3,100.00%,100.00%,0,0.00%
3168,眾福科,9,3,95.08%,100.00%,2,22.22%
3189,景碩,9,3,97.78%,100.00%,0,0.00%
3209,全科,7,3,90.00%,100.00%,0,0.00%
3229,晟鈦,9,3,96.15%,100.00%,1,11.11%
3231,緯創,9,5,94.00%,100.00%,1,11.11%
3257,虹冠電,4,3,100.00%,100.00%,0,0.00%
3266,昇陽,6,3,100.00%,100.00%,0,0.00%
3296,勝德,9,4,97.05%,100.00%,4,44.44%
3305,昇貿,9,4,97.78%,100.00%,1,11.11%
3308,聯德,7,3,100.00%,71.43%,2,28.57%
3311,閎暉,7,3,80.00%,100.00%,1,14.29%
3312,弘憶股,9,4,100.00%,100.00%,1,11.11%
3321,同泰,7,3,95.24%,85.71%,1,14.29%
3338,泰碩,7,4,100.00%,100.00%,1,14.29%
3346,麗清,9,4,100.00%,100.00%,3,33.00%
3356,奇偶,7,3,98.41%,100.00%,2,28.57%
3376,新日興,9,3,98.15%,100.00%,1,11.11%
3380,明泰,8,4,98.00%,100.00%,2,25.00%
3406,玉晶光,9,9,100.00%,22.22%,1,11.11%
3413,京鼎,7,4,96.43%,100.00%,2,28.57%
3416,融程電,9,3,98.15%,100.00%,1,11.11%
3419,譁裕,10,3,98.57%,100.00%,1,10.00%
3432,台端,7,3,100.00%,100.00%,2,28.57%
3437,榮創,7,4,95.24%,100.00%,1,14.29%
3443,創意,9,5,93.00%,100.00%,1,11.00%
3447,展達,7,3,100.00%,100.00%,1,14.29%
3450,聯鈞,7,3,100.00%,100.00%,0,0.00%
3481,群創,9,5,97.22%,100.00%,1,11.11%
3494,誠研,7,3,0.80%,1.00%,1,0.14%
3501,維熹,9,4,100.00%,100.00%,2,22.22%
3504,揚明光,7,3,100.00%,100.00%,2,28.57%
3515,華擎,7,3,100.00%,100.00%,0,0.00%
3518,柏騰,8,3,81.48%,100.00%,0,0.00%
3528,安馳,8,4,97.78%,100.00%,0,0.00%
3530,晶相光,7,4,97.14%,98.00%,2,28.57%
3532,台勝科,10,3,97.00%,100.00%,1,10.00%
3533,嘉澤,7,3,89.80%,100.00%,2,28.57%
3535,晶彩科,9,4,100.00%,100.00%,0,0.00%
3543,州巧,9,4,96.30%,100.00%,0,0.00%
3545,敦泰,8,4,94.64%,100.00%,1,12.50%
3550,聯穎,7,3,100.00%,100.00%,1,14.29%
3557,嘉威,6,2,98.08%,100.00%,1,16.67%
3563,牧德,9,3,97.00%,100.00%,0,0.00%
3576,聯合再生,11,3,93.94%,81.82%,0,0.00%
3583,辛耘,9,3,88.89%,77.78%,2,22.22%
3588,通嘉,7,4,98.00%,100.00%,0,0.00%
3591,艾笛森,9,4,96.83%,100.00%,2,22.00%
3592,瑞鼎,7,3,97.62%,100.00%,1,14.29%
3593,力銘,10,4,90.74%,100.00%,1,11.11%
3596,智易,9,3,86.67%,100.00%,1,11.11%
3605,宏致,7,3,100.00%,100.00%,1,14.28%
3607,谷崧,9,3,100.00%,100.00%,0,0.00%
3617,碩天,7,3,94.64%,100.00%,2,28.57%
3622,洋華,9,3,94.44%,100.00%,3,33.33%
3645,達邁,9,3,97.78%,100.00%,4,44.44%
3652,精聯,11,4,92.00%,100.00%,1,0.09%
3653,健策,11,3,81.82%,27.27%,1,9.09%
3661,世芯-KY,7,3,100.00%,100.00%,0,0.00%
3665,貿聯-KY,7,3,100.00%,100.00%,1,14.28%
3669,圓展,8,4,100.00%,100.00%,0,0.00%
3673,TPK-KY,9,3,98.15%,100.00%,0,0.00%
3679,新至陞,9,3,96.30%,100.00%,2,22.22%
3686,達能,5,3,91.16%,100.00%,2,40.00%
3694,海華,7,3,94.29%,100.00%,1,14.29%
3701,大眾控,8,4,91.30%,100.00%,0,0.00%
3702,大聯大,9,4,96.85%,100.00%,1,11.11%
3703,欣陸,7,3,100.00%,100.00%,3,43.00%
3704,合勤控,8,2,94.12%,100.00%,1,12.50%
3705,永信,9,3,98.41%,100.00%,1,11.11%
3706,神達,10,3,96.00%,100.00%,0,0.00%
3708,上緯投控,8,4,98.00%,100.00%,0,0.00%
3711,日月光投控,13,3,93.59%,100.00%,1,7.69%
3712,永崴投控,8,2,100.00%,100.00%,1,12.50%
3714,富采,9,5,100.00%,100.00%,2,22.22%
3715,定穎投控,7,4,100.00%,100.00%,1,14.29%
4104,佳醫,9,3,95.56%,100.00%,0,0.00%
4106,雃博,9,5,100.00%,100.00%,1,11.00%
4108,懷特,12,4,95.16%,38.46%,2,16.67%
4119,旭富,7,3,95.92%,100.00%,1,14.28%
4133,亞諾法,7,3,88.00%,100.00%,3,43.00%
4137,麗豐-KY,8,4,91.84%,100.00%,4,57.14%
4142,國光生,11,3,85.45%,18.18%,2,18.18%
4148,全宇生技-KY,9,4,100.00%,100.00%,4,44.44%
4155,訊映,3,4,93.00%,100.00%,4,57.00%
4164,承業醫,7,3,100.00%,100.00%,1,0.14%
4190,佐登-KY,10,4,100.00%,100.00%,1,10.00%
4306,炎洲,7,3,100.00%,57.14%,1,14.29%
4414,如興,8,3,97.92%,87.50%,2,25.00%
4426,利勤,6,3,82.00%,100.00%,1,16.00%
4438,廣越,7,3,100.00%,100.00%,0,0.00%
4439,冠星-KY,7,3,94.29%,100.00%,0,0.00%
4440,宜新實業,9,4,100.00%,100.00%,1,11.11%
4526,東台,13,4,98.68%,100.00%,1,7.69%
4532,瑞智,9,3,81.16%,88.89%,1,11.11%
4536,拓凱,10,4,98.33%,100.00%,1,10.00%
4540,全球傳動,7,3,97.14%,100.00%,0,0.00%
4545,銘鈺,7,3,95.24%,100.00%,0,0.00%
4551,智伸科,8,4,92.00%,62.00%,2,25.00%
4552,力達-KY,7,3,93.00%,100.00%,1,14.29%
4555,氣立,7,4,100.00%,100.00%,0,0.00%
4557,永新-KY,9,3,100.00%,100.00%,0,0.00%
4560,強信-KY,7,4,94.29%,100.00%,1,14.29%
4562,穎漢,9,4,100.00%,100.00%,0,0.00%
4564,元翎,9,4,96.30%,100.00%,3,33.33%
4566,時碩工業,7,4,100.00%,100.00%,2,28.57%
4569,六方科-KY,9,3,94.44%,100.00%,1,11.11%
4571,鈞興-KY,7,3,95.00%,100.00%,0,0.00%
4572,駐龍,7,3,97.62%,100.00%,2,28.57%
4576,大銀微系統,9,3,97.78%,100.00%,1,11.00%
4581,光隆精密-KY,8,3,100.00%,100.00%,2,25.00%
4583,台灣精銳,7,3,97.14%,100.00%,1,14.29%
4588,玖鼎電力,10,4,95.58%,100.00%,1,10.00%
4720,德淵,11,4,95.00%,100.00%,1,9.09%
4722,國精化,9,3,98.00%,55.56%,1,11.11%
4736,泰博,7,4,87.50%,85.71%,0,0.00%
4737,華廣,9,4,97.73%,100.00%,3,33.33%
4739,康普,9,4,98.61%,100.00%,2,22.22%
4746,台耀,9,4,100.00%,100.00%,2,22.22%
4755,三福化,9,3,100.00%,100.00%,0,0.00%
4763,材料-KY,8,4,100.00%,100.00%,0,0.00%
4764,雙鍵,7,3,97.62%,85.71%,1,14.29%
4766,南寶,7,3,97.96%,100.00%,1,14.29%
4770,上品,10,4,100.00%,100.00%,1,10.00%
4771,望隼,7,3,94.62%,100.00%,2,0.29%
4807,日成-KY,7,3,100.00%,100.00%,1,14.29%
4904,遠傳,11,3,97.73%,100.00%,1,9.09%
4906,正文,9,3,96.30%,100.00%,1,11.11%
4912,聯德控股-KY,9,5,93.65%,100.00%,0,0.00%
4915,致伸,9,5,98.55%,100.00%,2,22.22%
4916,事欣科,7,3,96.36%,100.00%,2,28.57%
4919,新唐,11,4,100.00%,100.00%,1,9.09%
4927,泰鼎-KY,11,4,98.50%,100.00%,1,9.09%
4930,燦星網,5,3,96.67%,100.00%,1,20.00%
4934,太極,7,3,92.86%,100.00%,2,28.57%
4935,茂林-KY,7,3,95.92%,100.00%,1,14.29%
4938,和碩,12,3,92.59%,100.00%,1,8.33%
4942,嘉彰,9,4,98.40%,100.00%,0,0.00%
4943,康控-KY,7,3,100.00%,100.00%,0,0.00%
4949,有成精密,9,4,97.22%,100.00%,5,55.56%
4952,凌通,7,3,100.00%,100.00%,1,14.29%
4956,光鋐,10,4,92.11%,50.00%,0,0.00%
4958,臻鼎-KY,7,4,100.00%,100.00%,1,14.29%
4960,誠美材,8,3,88.89%,100.00%,1,12.50%
4961,天鈺,6,4,97.40%,100.00%,3,50.00%
4967,十銓,7,3,94.29%,100.00%,2,28.57%
4968,立積,9,4,98.00%,100.00%,1,11.11%
4976,佳凌,9,3,97.78%,95.00%,0,0.00%
4977,眾達-KY,7,3,100.00%,100.00%,0,0.00%
4989,榮科,7,3,98.00%,100.00%,1,0.11%
4994,傳奇,6,4,94.12%,100.00%,1,16.67%
4999,鑫禾,9,4,91.67%,100.00%,1,11.11%
5007,三星,9,3,100.00%,100.00%,1,11.11%
5203,訊連,7,3,95.24%,100.00%,1,14.28%
5215,科嘉-KY,10,4,100.00%,80.00%,0,0.00%
5222,全訊,10,4,96.00%,100.00%,1,10.00%
5225,東科-KY,7,3,100.00%,100.00%,1,14.29%
5234,達興材料,8,4,95.24%,100.00%,0,0.00%
5243,乙盛-KY,7,3,89.29%,100.00%,0,0.00%
5244,弘凱,9,4,95.56%,100.00%,0,0.00%
5258,虹堡,7,3,89.58%,100.00%,0,0.00%
5269,祥碩,7,3,97.96%,100.00%,0,0.00%
5283,禾聯碩,9,3,92.59%,100.00%,0,0.00%
5284,jpp-KY,7,3,100.00%,100.00%,1,14.29%
5285,界霖,7,3,100.00%,100.00%,0,0.00%
5288,豐祥-KY,7,3,95.24%,100.00%,1,14.29%
5292,華懋,7,3,90.48%,100.00%,1,14.29%
5306,桂盟,7,3,100.00%,100.00%,2,28.57%
5388,中磊,8,4,93.33%,100.00%,1,12.50%
5434,崇越,9,3,100.00%,100.00%,2,22.20%
5469,瀚宇博,9,4,90.00%,100.00%,2,22.22%
5471,松翰,9,3,96.00%,44.00%,0,0.00%
5484,慧友,7,3,94.29%,100.00%,1,14.29%
5515,建國,13,3,96.70%,100.00%,0,0.00%
5519,隆大,7,3,100.00%,100.00%,0,0.00%
5521,工信,7,3,100.00%,100.00%,1,14.29%
5522,遠雄,7,3,83.33%,85.71%,1,14.29%
5525,順天,13,3,88.46%,100.00%,1,7.69%
5531,鄉林,7,3,89.29%,83.33%,2,28.57%
5533,皇鼎,9,3,100.00%,77.78%,2,22.22%
5534,長虹,10,4,95.74%,100.00%,2,20.00%
5538,東明-KY,7,4,88.57%,100.00%,0,0.00%
5546,永固-KY,7,3,90.00%,100.00%,2,28.57%
5607,遠雄港,7,3,78.60%,100.00%,1,14.28%
5608,四維航,7,4,100.00%,100.00%,3,42.86%
5706,鳳凰,9,3,100.00%,100.00%,1,11.00%
5871,中租-KY,9,4,98.00%,100.00%,1,11.11%
5876,上海商銀,9,3,97.00%,100.00%,0,0.00%
5880,合庫金,15,5,95.26%,100.00%,3,20.00%
5906,台南-KY,7,3,96.29%,100.00%,2,28.57%
5907,大洋-KY,7,3,86.73%,100.00%,1,14.29%
6005,群益證,11,3,85.22%,100.00%,3,27.27%
6024,群益期,7,3,97.96%,100.00%,2,28.57%
6108,競國,8,4,97.22%,100.00%,5,62.50%
6112,邁達特,5,2,100.00%,100.00%,2,28.57%
6115,鎰勝,9,3,100.00%,100.00%,2,22.00%
6116,彩晶,8,4,100.00%,100.00%,4,50.00%
6117,迎廣,6,2,92.86%,100.00%,3,50.00%
6120,達運,7,3,97.00%,100.00%,1,14.29%
6128,上福,9,3,96.90%,99.00%,2,22.22%
6133,金橋,7,3,96.43%,14.29%,1,14.29%
6136,富爾特,7,3,100.00%,100.00%,1,14.00%
6139,亞翔,8,3,89.06%,18.75%,1,12.50%
6141,柏承,7,3,100.00%,100.00%,0,0.00%
6142,友勁,7,3,97.83%,100.00%,1,14.29%
6152,百一,7,3,100.00%,100.00%,0,0.00%
6153,嘉聯益,7,3,95.16%,100.00%,0,0.00%
6155,鈞寶,11,3,88.64%,100.00%,1,9.09%
6164,華興,11,4,94.00%,100.00%,1,9.09%
6165,浪凡,7,4,89.29%,38.89%,4,57.14%
6166,凌華,9,4,94.44%,100.00%,3,33.33%
6168,宏齊,4,3,97.62%,100.00%,0,0.00%
6176,瑞儀,10,4,87.06%,80.00%,1,10.00%
6177,達麗,7,3,93.86%,100.00%,1,14.29%
6183,關貿,15,3,93.33%,100.00%,2,13.30%
6184,大豐電,9,3,97.22%,11.11%,1,11.11%
6189,豐藝,9,4,98.41%,100.00%,3,33.33%
6191,精成科,9,4,95.56%,100.00%,2,22.22%
6192,巨路,9,4,91.20%,22.20%,2,22.20%
6196,帆宣,10,4,100.00%,100.00%,1,10.00%
6197,佳必琪,9,4,100.00%,77.78%,3,33.33%
6201,亞弘電,7,3,95.24%,100.00%,1,14.29%
6202,盛群,8,2,98.31%,100.00%,1,12.50%
6205,詮欣,9,4,90.00%,100.00%,2,22.00%
6206,飛捷,7,3,95.00%,100.00%,1,14.00%
6209,今國光,10,4,100.00%,50.00%,1,10.00%
6213,聯茂,7,4,100.00%,100.00%,2,28.57%
6214,精誠,13,4,96.00%,100.00%,2,15.38%
6215,和椿,7,3,100.00%,100.00%,0,0.00%
6216,居易,9,3,72.22%,100.00%,1,11.11%
6224,聚鼎,9,4,90.63%,33.33%,1,11.11%
6225,天瀚,7,3,83.33%,100.00%,4,57.14%
6226,光鼎,9,4,100.00%,0.00%,2,22.00%
6230,尼得科超眾,13,4,92.00%,100.00%,0,0.00%
6235,華孚,10,4,97.87%,100.00%,1,10.00%
6239,力成,10,4,97.26%,40.00%,1,10.00%
6243,迅杰,7,3,97.62%,100.00%,0,0.00%
6257,矽格,10,4,96.10%,100.00%,2,20.00%
6269,台郡,11,4,96.10%,36.36%,2,18.18%
6271,同欣電,9,3,91.67%,100.00%,3,33.33%
6277,宏正,10,4,95.71%,100.00%,1,10.00%
6278,台表科,11,4,95.31%,63.64%,4,36.36%
6281,全國電,9,4,92.22%,100.00%,0,0.00%
6282,康舒,11,4,95.45%,100.00%,1,9.09%
6283,淳安,9,3,90.48%,77.78%,2,22.22%
6285,啟碁,9,4,94.44%,100.00%,3,33.33%
6405,悅城,8,4,100.00%,100.00%,1,12.50%
6409,旭隼,8,4,85.00%,100.00%,3,37.50%
6412,群電,7,3,96.43%,100.00%,2,28.57%
6414,樺漢,7,4,100.00%,100.00%,4,57.14%
6415,矽力*-KY,8,3,100.00%,100.00%,1,12.50%
6416,瑞祺電通,7,3,100.00%,100.00%,1,14.29%
6426,統新,7,3,97.60%,100.00%,1,14.30%
6431,光麗-KY,10,3,95.00%,100.00%,1,10.00%
6438,迅得,9,3,98.40%,100.00%,1,11.11%
6442,光聖,7,3,100.00%,87.50%,2,28.57%
6443,元晶,8,3,97.92%,100.00%,2,25.00%
6446,藥華藥,11,3,100.00%,100.00%,2,18.18%
6449,鈺邦,7,3,87.87%,100.00%,0,0.00%
6451,訊芯-KY,7,3,95.92%,85.71%,1,14.29%
6456,GIS-KY,7,3,100.00%,100.00%,2,28.57%
6464,台數科,15,3,68.30%,100.00%,4,27.00%
6472,保瑞,8,4,86.02%,100.00%,1,12.50%
6477,安集,9,3,92.31%,88.89%,2,22.22%
6491,晶碩,9,3,93.33%,100.00%,1,11.11%
6504,南六,8,3,98.00%,100.00%,1,12.50%
6505,台塑化,15,3,87.78%,80.00%,1,6.67%
6515,穎崴,9,4,92.06%,100.00%,0,0.00%
6525,捷敏-KY,9,4,100.00%,100.00%,3,33.33%
6526,達發,7,4,93.10%,100.00%,1,14.29%
6531,愛普*,8,4,98.36%,100.00%,2,25.00%
6533,晶心科,7,3,92.86%,100.00%,0,0.00%
6534,正瀚-創,9,3,93.89%,100.00%,0,0.00%
6541,泰福-KY,9,3,92.96%,100.00%,0,0.00%
6550,北極星藥業-KY,6,2,95.88%,100.00%,0,0.00%
6552,易華電,7,3,85.71%,85.71%,0,0.00%
6558,興能高,9,3,100.00%,100.00%,3,33.33%
6573,虹揚-KY,7,4,96.23%,100.00%,3,42.86%
6579,研揚,11,3,98.48%,100.00%,1,9.09%
6581,鋼聯,11,4,90.91%,100.00%,1,9.09%
6582,申豐,7,3,98.00%,100.00%,1,14.29%
6585,鼎基,8,4,95.00%,100.00%,0,0.00%
6589,台康生技,10,4,95.00%,100.00%,3,30.00%
6591,動力-KY,7,4,100.00%,100.00%,1,14.29%
6592,和潤企業,9,3,96.67%,100.00%,0,0.00%
6598,ABC-KY,7,3,100.00%,100.00%,1,14.29%
6605,帝寶,10,4,98.00%,100.00%,3,30.00%
6606,建德工業,11,3,98.00%,0.00%,1,9.09%
6625,必應,9,4,98.00%,100.00%,2,22.22%
6641,基士德-KY,7,3,97.96%,100.00%,2,28.57%
6645,金萬林-創,9,3,97.50%,100.00%,2,22.22%
6655,科定,8,4,98.33%,100.00%,1,12.50%
6657,華安,7,3,98.46%,100.00%,0,0.00%
6658,聯策,6,3,100.00%,100.00%,0,0.00%
6666,羅麗芬-KY,8,4,96.43%,100.00%,2,25.00%
6668,中揚光,7,3,100.00%,100.00%,1,14.29%
6669,緯穎,9,4,98.60%,100.00%,3,33.33%
6670,復盛應用,7,3,98.00%,100.00%,0,0.00%
6671,三能-KY,9,3,100.00%,100.00%,1,11.11%
6672,騰輝電子-KY,3,3,96.87%,100.00%,0,0.00%
6674,鋐寶科技,7,3,82.14%,100.00%,1,14.29%
6689,伊雲谷,6,2,100.00%,100.00%,1,16.67%
6691,洋基工程,8,4,96.05%,100.00%,1,12.50%
6695,芯鼎,9,3,95.56%,100.00%,0,0.00%
6698,旭暉應材,9,4,98.41%,100.00%,4,44.44%
6706,惠特,9,3,94.00%,100.00%,1,11.00%
6715,嘉基,7,3,90.48%,100.00%,1,14.28%
6719,力智,9,3,94.44%,100.00%,0,0.00%
6742,澤米,7,3,94.55%,100.00%,0,0.00%
6743,安普新,10,4,91.11%,95.00%,1,10.00%
6753,龍德造船,9,3,97.98%,100.00%,1,11.11%
6754,匯僑設計,8,4,100.00%,100.00%,2,25.00%
6756,威鋒電子,7,3,100.00%,100.00%,1,14.29%
6757,台灣虎航-創,13,3,94.44%,100.00%,1,7.69%
6768,志強-KY,7,3,100.00%,100.00%,0,0.00%
6770,力積電,9,5,97.73%,100.00%,0,0.00%
6771,平和環保-創,7,3,100.00%,100.00%,1,14.29%
6776,展碁國際,7,4,100.00%,100.00%,1,14.29%
6781,AES-KY,7,4,92.59%,100.00%,2,28.57%
6782,視陽,8,4,100.00%,100.00%,1,12.50%
6789,采鈺,7,4,100.00%,100.00%,3,43.00%
6790,永豐實,7,3,97.14%,100.00%,2,28.57%
6792,詠業,8,4,100.00%,100.00%,0,0.00%
6794,向榮生技-創,9,3,98.33%,100.00%,4,44.44%
6796,晉弘,8,4,100.00%,100.00%,1,12.50%
6799,來頡,7,3,97.40%,100.00%,0,0.00%
6805,富世達,9,3,100.00%,100.00%,1,11.11%
6806,森崴能源,7,3,96.43%,100.00%,1,14.29%
6807,峰源-KY,9,4,100.00%,100.00%,0,0.00%
6830,汎銓,9,4,100.00%,100.00%,0,0.00%
6834,天二科技,9,3,98.15%,100.00%,1,11.11%
6835,圓裕,8,3,98.27%,100.00%,1,12.50%
6854,錼創科技-KY創,9,4,97.67%,88.89%,0,0.00%
6861,睿生光電,7,3,97.14%,100.00%,0,0.00%
6863,永道-KY,7,3,100.00%,100.00%,0,0.00%
6869,雲豹能源-創,7,4,96.00%,100.00%,2,28.50%
6873,泓德能源-創,7,3,94.29%,100.00%,1,14.29%
6890,來億-KY,9,3,1.00%,1.00%,1,11.11%
6901,鑽石投資,9,3,94.44%,100.00%,1,11.11%
6902,走著瞧-創,7,3,93.65%,85.71%,1,14.29%
6906,現觀科,7,4,93.88%,100.00%,0,0.00%
6914,阜爾運通,7,3,96.30%,0.00%,1,14.29%
6916,華凌,7,4,93.51%,100.00%,1,14.29%
6928,攸泰科技,7,3,83.67%,100.00%,1,14.29%
6931,青松健康,7,3,94.29%,100.00%,1,14.29%
6933,AMAX-KY,9,4,94.44%,100.00%,2,22.22%
6937,天虹,8,4,97.67%,100.00%,2,25.00%
6949,沛爾生醫-創,5,0,93.33%,0.00%,0,0.00%
6951,青新-創,7,3,94.23%,100.00%,0,0.00%
6952,大武山,7,3,94.92%,100.00%,2,28.57%
6957,裕慶-KY,9,4,95.06%,0.00%,1,11.11%
6969,成信實業*-創,5,0,93.80%,0.00%,2,40.00%
8011,台通,8,4,89.47%,100.00%,3,37.50%
8016,矽創,9,4,100.00%,100.00%,1,11.00%
8021,尖點,8,4,99.00%,100.00%,2,25.00%
8028,昇陽半導體,9,3,97.85%,100.00%,1,11.10%
8033,雷虎,8,3,82.81%,100.00%,2,25.00%
8039,台虹,9,3,100.00%,100.00%,0,0.00%
8046,南電,9,3,100.00%,100.00%,0,0.00%
8070,長華*,7,3,98.21%,100.00%,1,14.29%
8072,陞泰,7,4,100.00%,100.00%,2,29.00%
8081,致新,7,3,100.00%,0.00%,2,28.57%
8101,華冠,9,3,83.33%,78.00%,0,0.00%
8103,瀚荃,7,4,95.92%,100.00%,1,14.29%
8104,錸寶,9,3,94.44%,100.00%,3,33.33%
8105,凌巨,7,3,100.00%,100.00%,2,28.57%
8110,華東,9,4,95.56%,100.00%,1,11.11%
8112,至上,8,4,97.92%,100.00%,1,12.50%
