"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""2812""","台中銀","3","3","100.00%","4","98.00%"
"=""2816""","旺旺保","3","3","100.00%","3","100.00%"
"=""2820""","華票","3","3","100.00%","3","100.00%"
"=""2832""","台產","3","3","100.00%","3","100.00%"
"=""2834""","臺企銀","5","5","100.00%","5","100.00%"
"=""2836""","高雄銀","3","3","100.00%","3","93.94%"
"=""2838""","聯邦銀","3","2","100.00%","3","88.89%"
"=""2845""","遠東銀","3","2","100.00%","3","100.00%"
"=""2849""","安泰銀","3","3","100.00%","3","90.00%"
"=""2850""","新產","3","2","91.67%","3","94.44%"
"=""2851""","中再保","3","3","100.00%","3","100.00%"
"=""2852""","第一保","3","2","91.67%","3","100.00%"
"=""2855""","統一證","4","4","100.00%","4","100.00%"
"=""2867""","三商壽","3","3","100.00%","4","100.00%"
"=""2880""","華南金","4","4","97.22%","4","95.83%"
"=""2881""","富邦金","5","5","100.00%","5","100.00%"
"=""2882""","國泰金","3","3","100.00%","5","100.00%"
"=""2883""","開發金","3","3","100.00%","3","100.00%"
"=""2884""","玉山金","5","5","100.00%","5","100.00%"
"=""2885""","元大金","4","4","100.00%","4","100.00%"
"=""2886""","兆豐金","3","3","100.00%","5","100.00%"
"=""2887""","台新金","3","3","100.00%","3","100.00%"
"=""2889""","國票金","5","4","90.48%","4","93.75%"
"=""2890""","永豐金","3","3","100.00%","3","100.00%"
"=""2891""","中信金","3","3","100.00%","4","100.00%"
"=""2892""","第一金","3","3","100.00%","5","100.00%"
"=""2897""","王道銀行","4","4","100.00%","4","100.00%"
"=""2901""","欣欣","3","3","100.00%","3","100.00%"
"=""2903""","遠百","3","2","100.00%","3","83.33%"
"=""2904""","匯僑","3","2","100.00%","3","93.33%"
"=""2905""","三商","3","3","75.00%","4","84.38%"
"=""2906""","高林","3","3","100.00%","3","100.00%"
"=""2908""","特力","4","4","100.00%","4","100.00%"
"=""2910""","統領","3","3","100.00%","3","90.91%"
"=""2911""","麗嬰房","3","3","100.00%","3","100.00%"
"=""2912""","統一超","3","3","100.00%","3","100.00%"
"=""2913""","農林","4","4","93.75%","4","97.22%"
"=""2915""","潤泰全","3","3","100.00%","3","100.00%"
"=""2923""","鼎固-KY","3","3","100.00%","4","100.00%"
"=""2929""","淘帝-KY","3","3","100.00%","3","3.00%"
"=""2939""","凱羿-KY","4","4","100.00%","4","100.00%"
"=""2945""","三商家購","3","3","75.00%","3","80.00%"
"=""3002""","歐格","4","4","100.00%","4","100.00%"
"=""3003""","健和興","3","3","100.00%","3","100.00%"
"=""3004""","豐達科","4","4","100.00%","4","100.00%"
"=""3005""","神基","3","3","100.00%","4","95.00%"
"=""3006""","晶豪科","4","4","100.00%","4","95.83%"
"=""3008""","大立光","3","3","100.00%","3","93.33%"
"=""3010""","華立","3","3","100.00%","4","100.00%"
"=""3011""","今皓","3","2","100.00%","3","100.00%"
"=""3013""","晟銘電","3","3","100.00%","3","100.00%"
"=""3014""","聯陽","4","4","100.00%","4","100.00%"
"=""3015""","全漢","4","4","100.00%","4","100.00%"
"=""3016""","嘉晶","3","3","100.00%","3","100.00%"
"=""3017""","奇鋐","4","4","100.00%","4","100.00%"
"=""3018""","隆銘綠能","3","3","100.00%","3","90.48%"
"=""3019""","亞光","3","3","100.00%","3","100.00%"
"=""3021""","鴻名","3","3","100.00%","5","100.00%"
"=""3022""","威強電","3","3","100.00%","3","100.00%"
"=""3023""","信邦","4","2","100.00%","3","96.00%"
"=""3024""","憶聲","3","3","91.67%","3","86.67%"
"=""3025""","星通","4","4","100.00%","4","100.00%"
"=""3026""","禾伸堂","3","3","100.00%","4","100.00%"
"=""3027""","盛達","4","4","100.00%","4","100.00%"
"=""3028""","增你強","3","3","100.00%","4","92.86%"
"=""3029""","零壹","3","3","100.00%","3","95.24%"
"=""3030""","德律","4","4","100.00%","4","100.00%"
"=""3031""","佰鴻","4","4","100.00%","4","93.75%"
"=""3032""","偉訓","4","4","100.00%","4","100.00%"
"=""3033""","威健","3","2","100.00%","3","95.83%"
"=""3034""","聯詠","3","3","100.00%","3","100.00%"
"=""3035""","智原","3","3","100.00%","3","100.00%"
"=""3036""","文曄","3","3","100.00%","4","100.00%"
"=""3037""","欣興","3","3","100.00%","3","100.00%"
"=""3038""","全台","3","2","100.00%","3","100.00%"
"=""3040""","遠見","3","3","100.00%","3","100.00%"
"=""3041""","揚智","2","2","100.00%","2","100.00%"
"=""3042""","晶技","4","4","100.00%","4","100.00%"
"=""3043""","科風","3","2","67.00%","4","81.00%"
"=""3044""","健鼎","3","3","88.89%","3","91.67%"
"=""3045""","台灣大","5","5","100.00%","5","100.00%"
"=""3046""","建碁","4","4","100.00%","4","100.00%"
"=""3047""","訊舟","3","3","100.00%","4","100.00%"
"=""3048""","益登","3","3","100.00%","3","100.00%"
"=""3049""","精金","4","4","100.00%","4","86.00%"
"=""3050""","鈺德","3","3","100.00%","3","100.00%"
"=""3051""","力特","3","2","100.00%","4","100.00%"
"=""3052""","夆典","4","4","100.00%","4","100.00%"
"=""3054""","立萬利","4","4","100.00%","4","90.91%"
"=""3055""","蔚華科","3","3","100.00%","3","100.00%"
"=""3056""","富華新","3","3","100.00%","3","93.33%"
"=""3057""","喬鼎","4","4","100.00%","4","100.00%"
"=""3058""","立德","3","3","86.67%","4","93.75%"
"=""3059""","華晶科","3","2","100.00%","3","100.00%"
"=""3060""","銘異","4","4","100.00%","4","100.00%"
"=""3062""","建漢","4","4","87.50%","4","87.50%"
"=""3090""","日電貿","4","4","100.00%","4","100.00%"
"=""3092""","鴻碩","3","3","100.00%","3","95.24%"
"=""3094""","聯傑","3","3","100.00%","3","100.00%"
"=""3130""","一零四","3","3","95.24%","3","91.67%"
"=""3138""","耀登","3","3","93.33%","4","95.83%"
"=""3149""","正達","4","4","100.00%","4","100.00%"
"=""3150""","鈺寶-創","3","3","100.00%","3","100.00%"
"=""3164""","景岳","3","3","100.00%","4","92.86%"
"=""3167""","大量","3","3","100.00%","3","100.00%"
"=""3168""","眾福科","3","3","100.00%","3","100.00%"
"=""3189""","景碩","3","3","100.00%","3","100.00%"
"=""3209""","全科","3","3","94.00%","3","100.00%"
"=""3229""","晟鈦","3","3","100.00%","3","100.00%"
"=""3231""","緯創","3","3","89.00%","5","90.00%"
"=""3257""","虹冠電","3","3","100.00%","3","100.00%"
"=""3266""","昇陽","3","3","100.00%","3","100.00%"
"=""3296""","勝德","3","3","100.00%","4","100.00%"
"=""3305""","昇貿","4","4","100.00%","4","100.00%"
"=""3308""","聯德","3","3","100.00%","3","100.00%"
"=""3311""","閎暉","3","3","91.67%","3","91.67%"
"=""3312""","弘憶股","3","3","100.00%","4","100.00%"
"=""3321""","同泰","3","3","77.78%","3","86.67%"
"=""3338""","泰碩","3","3","100.00%","4","100.00%"
"=""3346""","麗清","3","2","100.00%","4","100.00%"
"=""3356""","奇偶","3","3","100.00%","3","100.00%"
"=""3376""","新日興","3","3","100.00%","3","100.00%"
"=""3380""","明泰","4","4","100.00%","4","100.00%"
"=""3406""","玉晶光","3","3","100.00%","3","100.00%"
"=""3413""","京鼎","3","3","100.00%","4","85.00%"
"=""3416""","融程電","3","3","100.00%","3","100.00%"
"=""3419""","譁裕","3","3","100.00%","3","100.00%"
"=""3432""","台端","3","3","100.00%","3","100.00%"
"=""3437""","榮創","3","3","100.00%","4","100.00%"
"=""3443""","創意","5","5","100.00%","5","95.00%"
"=""3447""","展達","3","3","100.00%","3","100.00%"
"=""3450""","聯鈞","3","3","100.00%","3","100.00%"
"=""3481""","群創","3","3","100.00%","5","95.00%"
"=""3494""","誠研","3","2","1.00%","3","0.79%"
"=""3501""","維熹","3","3","100.00%","4","100.00%"
"=""3504""","揚明光","3","3","100.00%","3","100.00%"
"=""3515""","華擎","3","3","100.00%","3","100.00%"
"=""3518""","柏騰","3","3","100.00%","3","86.67%"
"=""3528""","安馳","3","3","100.00%","4","100.00%"
"=""3530""","晶相光","4","4","91.67%","4","92.86%"
"=""3532""","台勝科","3","3","100.00%","3","100.00%"
"=""3533""","嘉澤","3","3","100.00%","3","93.33%"
"=""3535""","晶彩科","4","4","100.00%","4","100.00%"
"=""3543""","州巧","3","3","100.00%","4","93.75%"
"=""3545""","敦泰","3","3","100.00%","4","95.83%"
"=""3550""","聯穎","3","3","100.00%","3","100.00%"
"=""3557""","嘉威","3","2","93.75%","2","92.31%"
"=""3563""","牧德","3","2","100.00%","3","100.00%"
"=""3576""","聯合再生","3","3","100.00%","3","100.00%"
"=""3583""","辛耘","3","3","83.33%","3","91.67%"
"=""3588""","通嘉","4","4","93.75%","4","96.43%"
"=""3591""","艾笛森","4","4","100.00%","4","95.83%"
"=""3592""","瑞鼎","3","3","100.00%","3","100.00%"
"=""3593""","力銘","3","3","100.00%","4","100.00%"
"=""3596""","智易","3","3","100.00%","3","100.00%"
"=""3605""","宏致","3","2","100.00%","3","100.00%"
"=""3607""","谷崧","3","3","100.00%","3","100.00%"
"=""3617""","碩天","3","3","91.67%","3","91.67%"
"=""3622""","洋華","3","3","83.00%","3","80.00%"
"=""3645""","達邁","3","3","100.00%","3","100.00%"
"=""3652""","精聯","4","4","100.00%","4","100.00%"
"=""3653""","健策","3","3","88.89%","3","91.67%"
"=""3661""","世芯-KY","3","3","100.00%","3","100.00%"
"=""3665""","貿聯-KY","3","3","100.00%","3","100.00%"
"=""3669""","圓展","4","4","100.00%","4","100.00%"
"=""3673""","TPK-KY","3","3","100.00%","3","98.15%"
"=""3679""","新至陞","3","3","100.00%","3","94.44%"
"=""3686""","達能","3","3","100.00%","3","93.33%"
"=""3694""","海華","3","3","83.33%","3","83.33%"
"=""3701""","大眾控","3","3","100.00%","4","96.00%"
"=""3702""","大聯大","4","4","95.00%","4","97.92%"
"=""3703""","欣陸","3","3","100.00%","3","100.00%"
"=""3704""","合勤控","3","2","100.00%","2","100.00%"
"=""3705""","永信","3","3","100.00%","3","100.00%"
"=""3706""","神達","3","3","88.90%","3","93.33%"
"=""3708""","上緯投控","4","4","100.00%","4","100.00%"
"=""3711""","日月光投控","3","2","100.00%","3","100.00%"
"=""3712""","永崴投控","3","2","100.00%","2","100.00%"
"=""3714""","富采","3","3","100.00%","5","100.00%"
"=""3715""","定穎投控","4","4","100.00%","4","100.00%"
"=""4104""","佳醫","3","3","100.00%","3","100.00%"
"=""4106""","雃博","3","3","88.89%","5","95.00%"
"=""4108""","懷特","4","4","100.00%","4","100.00%"
"=""4119""","旭富","3","3","100.00%","3","100.00%"
"=""4133""","亞諾法","3","3","91.67%","3","91.67%"
"=""4137""","麗豐-KY","3","3","100.00%","4","100.00%"
"=""4142""","國光生","3","3","100.00%","3","100.00%"
"=""4148""","全宇生技-KY","3","3","100.00%","4","100.00%"
"=""4155""","訊映","4","4","100.00%","4","97.75%"
"=""4164""","承業醫","3","3","100.00%","3","100.00%"
"=""4190""","佐登-KY","4","4","100.00%","4","100.00%"
"=""4306""","炎洲","3","3","100.00%","3","100.00%"
"=""4414""","如興","3","3","100.00%","3","97.10%"
"=""4426""","利勤","3","3","83.00%","3","92.00%"
"=""4438""","廣越","3","3","100.00%","3","100.00%"
"=""4439""","冠星-KY","3","3","100.00%","3","100.00%"
"=""4440""","宜新實業","3","3","100.00%","4","100.00%"
"=""4526""","東台","4","4","100.00%","4","100.00%"
"=""4532""","瑞智","3","3","83.33%","3","93.33%"
"=""4536""","拓凱","4","4","100.00%","4","100.00%"
"=""4540""","全球傳動","3","3","100.00%","3","100.00%"
"=""4545""","銘鈺","3","3","100.00%","3","100.00%"
"=""4551""","智伸科","4","4","100.00%","4","100.00%"
"=""4552""","力達-KY","3","3","99.00%","3","100.00%"
"=""4555""","氣立","4","4","100.00%","4","100.00%"
"=""4557""","永新-KY","3","3","100.00%","3","100.00%"
"=""4560""","強信-KY","4","4","100.00%","4","100.00%"
"=""4562""","穎漢","3","3","100.00%","4","100.00%"
"=""4564""","元翎","4","4","100.00%","4","100.00%"
"=""4566""","時碩工業","4","4","100.00%","4","100.00%"
"=""4569""","六方科-KY","3","3","100.00%","3","100.00%"
"=""4571""","鈞興-KY","3","3","100.00%","3","93.33%"
"=""4572""","駐龍","3","3","100.00%","3","100.00%"
"=""4576""","大銀微系統","3","3","100.00%","3","100.00%"
"=""4581""","光隆精密-KY","3","3","100.00%","3","100.00%"
"=""4583""","台灣精銳","3","3","100.00%","3","100.00%"
"=""4588""","玖鼎電力","4","4","100.00%","4","96.15%"
"=""4720""","德淵","4","4","100.00%","4","100.00%"
"=""4722""","國精化","3","3","100.00%","3","100.00%"
"=""4736""","泰博","3","3","100.00%","4","93.75%"
"=""4737""","華廣","4","4","100.00%","4","100.00%"
"=""4739""","康普","3","3","100.00%","4","100.00%"
"=""4746""","台耀","3","3","100.00%","4","100.00%"
"=""4755""","三福化","3","3","100.00%","3","100.00%"
"=""4763""","材料-KY","3","3","100.00%","4","100.00%"
"=""4764""","雙鍵","3","3","100.00%","3","100.00%"
"=""4766""","南寶","3","3","100.00%","3","100.00%"
"=""4770""","上品","3","3","100.00%","4","100.00%"
"=""4771""","望隼","3","3","100.00%","3","95.24%"
"=""4807""","日成-KY","3","3","100.00%","3","100.00%"
"=""4904""","遠傳","3","2","100.00%","3","100.00%"
"=""4906""","正文","3","3","100.00%","3","100.00%"
"=""4912""","聯德控股-KY","5","5","100.00%","5","96.67%"
"=""4915""","致伸","4","100","100.00%","5","100.00%"
"=""4916""","事欣科","3","3","100.00%","3","100.00%"
"=""4919""","新唐","4","4","100.00%","4","100.00%"
"=""4927""","泰鼎-KY","3","2","100.00%","4","95.80%"
"=""4930""","燦星網","3","3","100.00%","3","100.00%"
"=""4934""","太極","3","3","100.00%","3","100.00%"
"=""4935""","茂林-KY","3","2","100.00%","3","100.00%"
"=""4938""","和碩","3","3","100.00%","3","91.67%"
"=""4942""","嘉彰","3","3","100.00%","4","100.00%"
"=""4943""","康控-KY","3","3","100.00%","3","100.00%"
"=""4949""","有成精密","4","4","100.00%","4","100.00%"
"=""4952""","凌通","3","3","100.00%","3","100.00%"
"=""4956""","光鋐","3","3","100.00%","4","92.86%"
"=""4958""","臻鼎-KY","3","2","100.00%","4","100.00%"
"=""4960""","誠美材","5","3","100.00%","3","100.00%"
"=""4961""","天鈺","3","3","91.70%","4","95.20%"
"=""4967""","十銓","3","3","100.00%","3","100.00%"
"=""4968""","立積","4","4","100.00%","4","100.00%"
"=""4976""","佳凌","3","3","100.00%","3","100.00%"
"=""4977""","眾達-KY","3","3","100.00%","3","100.00%"
"=""4989""","榮科","3","3","100.00%","3","100.00%"
"=""4994""","傳奇","3","3","91.67%","4","95.00%"
"=""4999""","鑫禾","4","4","93.75%","4","90.00%"
"=""5007""","三星","3","2","100.00%","3","100.00%"
"=""5203""","訊連","3","3","88.89%","3","93.33%"
"=""5215""","科嘉-KY","4","4","100.00%","4","100.00%"
"=""5222""","全訊","4","4","100.00%","4","95.00%"
"=""5225""","東科-KY","3","3","100.00%","3","100.00%"
"=""5234""","達興材料","4","4","85.71%","4","92.86%"
"=""5243""","乙盛-KY","3","3","91.67%","3","91.67%"
"=""5244""","弘凱","4","4","100.00%","4","95.00%"
"=""5258""","虹堡","3","3","88.89%","3","87.50%"
"=""5269""","祥碩","3","3","100.00%","3","100.00%"
"=""5283""","禾聯碩","3","3","100.00%","3","100.00%"
"=""5284""","jpp-KY","3","3","100.00%","3","100.00%"
"=""5285""","界霖","3","3","100.00%","3","100.00%"
"=""5288""","豐祥-KY","3","3","100.00%","3","100.00%"
"=""5292""","華懋","3","3","93.33%","3","94.44%"
"=""5306""","桂盟","3","3","100.00%","3","100.00%"
"=""5388""","中磊","4","3","100.00%","4","100.00%"
"=""5434""","崇越","3","3","100.00%","3","100.00%"
"=""5469""","瀚宇博","3","2","91.67%","4","92.86%"
"=""5471""","松翰","3","3","100.00%","3","100.00%"
"=""5484""","慧友","3","3","100.00%","3","91.67%"
"=""5515""","建國","3","3","100.00%","3","100.00%"
"=""5519""","隆大","3","3","100.00%","3","100.00%"
"=""5521""","工信","3","3","100.00%","3","100.00%"
"=""5522""","遠雄","3","3","93.33%","3","94.33%"
"=""5525""","順天","3","3","83.33%","3","100.00%"
"=""5531""","鄉林","3","3","83.33%","3","83.33%"
"=""5533""","皇鼎","3","2","100.00%","3","100.00%"
"=""5534""","長虹","4","4","100.00%","4","100.00%"
"=""5538""","東明-KY","4","4","85.71%","4","94.12%"
"=""5546""","永固-KY","3","3","100.00%","3","100.00%"
"=""5607""","遠雄港","3","3","100.00%","3","100.00%"
"=""5608""","四維航","3","2","100.00%","4","100.00%"
"=""5706""","鳳凰","3","3","3.00%","3","100.00%"
"=""5871""","中租-KY","3","3","100.00%","4","100.00%"
"=""5876""","上海商銀","3","3","100.00%","3","100.00%"
"=""5880""","合庫金","5","5","100.00%","5","100.00%"
"=""5906""","台南-KY","3","3","100.00%","3","100.00%"
"=""5907""","大洋-KY","3","3","100.00%","3","95.24%"
"=""6005""","群益證","3","2","100.00%","3","93.33%"
"=""6024""","群益期","3","3","100.00%","3","100.00%"
"=""6108""","競國","4","4","100.00%","4","100.00%"
"=""6112""","邁達特","3","3","100.00%","3","100.00%"
"=""6115""","鎰勝","3","3","100.00%","3","100.00%"
"=""6116""","彩晶","3","2","100.00%","4","100.00%"
"=""6117""","迎廣","3","2","90.00%","2","83.33%"
"=""6120""","達運","3","3","100.00%","3","100.00%"
"=""6128""","上福","3","2","100.00%","3","100.00%"
"=""6133""","金橋","3","3","100.00%","3","91.67%"
"=""6136""","富爾特","3","3","100.00%","3","100.00%"
"=""6139""","亞翔","3","3","100.00%","3","100.00%"
"=""6141""","柏承","2","2","100.00%","3","100.00%"
"=""6142""","友勁","3","3","100.00%","3","100.00%"
"=""6152""","百一","3","3","100.00%","3","100.00%"
"=""6153""","嘉聯益","3","3","100.00%","3","100.00%"
"=""6155""","鈞寶","3","3","83.33%","3","83.33%"
"=""6164""","華興","3","3","83.00%","4","88.00%"
"=""6165""","浪凡","3","3","100.00%","4","92.86%"
"=""6166""","凌華","4","4","91.67%","4","87.50%"
"=""6168""","宏齊","3","3","100.00%","3","100.00%"
"=""6176""","瑞儀","4","4","100.00%","4","95.00%"
"=""6177""","達麗","3","3","100.00%","3","100.00%"
"=""6183""","關貿","3","2","100.00%","3","100.00%"
"=""6184""","大豐電","3","3","88.89%","3","91.67%"
"=""6189""","豐藝","3","3","100.00%","4","96.43%"
"=""6191""","精成科","3","2","95.83%","4","95.66%"
"=""6192""","巨路","3","3","100.00%","4","100.00%"
"=""6196""","帆宣","3","3","100.00%","4","100.00%"
"=""6197""","佳必琪","3","3","100.00%","4","100.00%"
"=""6201""","亞弘電","3","3","100.00%","3","100.00%"
"=""6202""","盛群","3","2","83.33%","2","93.33%"
"=""6205""","詮欣","4","4","100.00%","4","97.00%"
"=""6206""","飛捷","3","3","100.00%","3","94.44%"
"=""6209""","今國光","3","3","100.00%","4","100.00%"
"=""6213""","聯茂","4","4","100.00%","4","100.00%"
"=""6214""","精誠","3","3","100.00%","4","90.48%"
"=""6215""","和椿","3","3","100.00%","3","100.00%"
"=""6216""","居易","3","3","88.89%","3","77.78%"
"=""6224""","聚鼎","3","3","100.00%","4","100.00%"
"=""6225""","天瀚","3","3","66.67%","3","72.22%"
"=""6226""","光鼎","3","3","100.00%","4","100.00%"
"=""6230""","尼得科超眾","4","4","100.00%","4","100.00%"
"=""6235""","華孚","4","4","100.00%","4","100.00%"
"=""6239""","力成","3","3","100.00%","4","91.67%"
"=""6243""","迅杰","3","3","100.00%","3","100.00%"
"=""6257""","矽格","4","4","100.00%","4","100.00%"
"=""6269""","台郡","3","3","100.00%","4","95.83%"
"=""6271""","同欣電","3","3","100.00%","3","91.67%"
"=""6277""","宏正","5","3","100.00%","4","100.00%"
"=""6278""","台表科","3","3","83.33%","4","94.44%"
"=""6281""","全國電","3","3","100.00%","4","100.00%"
"=""6282""","康舒","4","4","100.00%","4","100.00%"
"=""6283""","淳安","3","3","100.00%","3","93.33%"
"=""6285""","啟碁","4","4","90.00%","4","90.00%"
"=""6405""","悅城","4","4","100.00%","4","100.00%"
"=""6409""","旭隼","3","3","100.00%","4","100.00%"
"=""6412""","群電","3","3","100.00%","3","100.00%"
"=""6414""","樺漢","3","3","100.00%","4","100.00%"
"=""6415""","矽力*-KY","3","3","100.00%","3","100.00%"
"=""6416""","瑞祺電通","3","3","100.00%","3","100.00%"
"=""6426""","統新","3","3","100.00%","3","94.00%"
"=""6431""","光麗-KY","3","3","100.00%","3","100.00%"
"=""6438""","迅得","3","3","91.70%","3","94.40%"
"=""6442""","光聖","4","3","100.00%","3","100.00%"
"=""6443""","元晶","3","3","100.00%","3","100.00%"
"=""6446""","藥華藥","4","3","100.00%","3","100.00%"
"=""6449""","鈺邦","3","3","100.00%","3","100.00%"
"=""6451""","訊芯-KY","3","3","100.00%","3","100.00%"
"=""6456""","GIS-KY","3","3","100.00%","3","100.00%"
"=""6464""","台數科","3","3","100.00%","3","100.00%"
"=""6472""","保瑞","3","3","94.44%","3","91.11%"
"=""6477""","安集","3","3","100.00%","3","100.00%"
"=""6491""","晶碩","3","3","83.00%","3","86.00%"
"=""6504""","南六","3","3","83.33%","3","93.33%"
"=""6505""","台塑化","3","3","100.00%","3","100.00%"
"=""6515""","穎崴","4","4","93.33%","4","95.83%"
"=""6525""","捷敏-KY","4","4","100.00%","4","100.00%"
"=""6526""","達發","4","4","100.00%","4","100.00%"
"=""6531""","愛普*","4","3","100.00%","4","96.43%"
"=""6533""","晶心科","3","3","100.00%","3","100.00%"
"=""6534""","正瀚-創","3","3","100.00%","3","100.00%"
"=""6541""","泰福-KY","3","3","100.00%","3","94.44%"
"=""6550""","北極星藥業-KY","3","2","94.44%","2","93.75%"
"=""6552""","易華電","3","3","100.00%","3","100.00%"
"=""6558""","興能高","3","3","100.00%","3","100.00%"
"=""6573""","虹揚-KY","4","4","100.00%","4","100.00%"
"=""6579""","研揚","3","3","100.00%","3","100.00%"
"=""6581""","鋼聯","4","4","91.67%","4","93.75%"
"=""6582""","申豐","3","3","100.00%","3","100.00%"
"=""6585""","鼎基","4","4","100.00%","4","100.00%"
"=""6589""","台康生技","4","4","93.75%","4","100.00%"
"=""6591""","動力-KY","3","3","100.00%","4","100.00%"
"=""6592""","和潤企業","3","3","100.00%","3","100.00%"
"=""6598""","ABC-KY","3","3","100.00%","3","100.00%"
"=""6605""","帝寶","4","3","100.00%","4","100.00%"
"=""6606""","建德工業","3","3","100.00%","3","100.00%"
"=""6625""","必應","4","4","100.00%","4","100.00%"
"=""6641""","基士德-KY","3","3","100.00%","3","100.00%"
"=""6645""","金萬林-創","3","3","100.00%","3","95.80%"
"=""6655""","科定","4","4","100.00%","4","100.00%"
"=""6657""","華安","3","3","100.00%","3","100.00%"
"=""6658""","聯策","3","3","100.00%","3","100.00%"
"=""6666""","羅麗芬-KY","3","3","100.00%","4","100.00%"
"=""6668""","中揚光","3","3","88.89%","3","94.44%"
"=""6669""","緯穎","3","3","100.00%","4","100.00%"
"=""6670""","復盛應用","3","3","100.00%","3","100.00%"
"=""6671""","三能-KY","3","3","100.00%","3","100.00%"
"=""6672""","騰輝電子-KY","3","3","100.00%","3","3.00%"
"=""6674""","鋐寶科技","3","3","83.33%","3","83.33%"
"=""6689""","伊雲谷","3","2","100.00%","2","100.00%"
"=""6691""","洋基工程","3","3","100.00%","4","100.00%"
"=""6695""","芯鼎","3","3","100.00%","3","100.00%"
"=""6698""","旭暉應材","4","4","91.67%","4","96.43%"
"=""6706""","惠特","3","3","100.00%","3","94.00%"
"=""6715""","嘉基","3","3","100.00%","3","93.33%"
"=""6719""","力智","3","3","100.00%","3","94.44%"
"=""6742""","澤米","3","3","100.00%","3","96.30%"
"=""6743""","安普新","4","4","87.50%","4","91.67%"
"=""6753""","龍德造船","3","3","100.00%","3","100.00%"
"=""6754""","匯僑設計","3","3","100.00%","4","100.00%"
"=""6756""","威鋒電子","3","3","100.00%","3","100.00%"
"=""6757""","台灣虎航-創","3","3","100.00%","3","100.00%"
"=""6768""","志強-KY","3","3","100.00%","3","100.00%"
"=""6770""","力積電","3","3","100.00%","5","100.00%"
"=""6771""","平和環保-創","3","3","100.00%","3","100.00%"
"=""6776""","展碁國際","4","4","100.00%","4","100.00%"
"=""6781""","AES-KY","3","3","83.33%","4","91.66%"
"=""6782""","視陽","3","3","100.00%","4","100.00%"
"=""6789""","采鈺","4","4","100.00%","4","100.00%"
"=""6790""","永豐實","3","3","100.00%","3","100.00%"
"=""6792""","詠業","3","3","100.00%","4","100.00%"
"=""6794""","向榮生技-創","3","3","100.00%","3","94.44%"
"=""6796""","晉弘","4","4","100.00%","4","100.00%"
"=""6799""","來頡","3","3","100.00%","3","100.00%"
"=""6805""","富世達","3","3","100.00%","3","100.00%"
"=""6806""","森崴能源","3","3","100.00%","3","90.48%"
"=""6807""","峰源-KY","4","4","100.00%","4","100.00%"
"=""6830""","汎銓","3","3","100.00%","4","100.00%"
"=""6834""","天二科技","3","3","100.00%","3","100.00%"
"=""6835""","圓裕","3","3","100.00%","3","100.00%"
"=""6854""","錼創科技-KY創","3","3","88.89%","4","94.44%"
"=""6861""","睿生光電","3","3","88.89%","3","93.33%"
"=""6863""","永道-KY","3","3","100.00%","3","100.00%"
"=""6869""","雲豹能源-創","3","3","85.00%","4","97.00%"
"=""6873""","泓德能源-創","3","3","93.33%","3","93.33%"
"=""6890""","來億-KY","3","3","1.00%","3","1.00%"
"=""6901""","鑽石投資","3","3","100.00%","3","100.00%"
"=""6902""","走著瞧-創","3","3","100.00%","3","100.00%"
"=""6906""","現觀科","4","4","94.00%","4","86.00%"
"=""6914""","阜爾運通","3","3","100.00%","3","100.00%"
"=""6916""","華凌","4","4","95.83%","4","90.00%"
"=""6928""","攸泰科技","3","3","100.00%","3","100.00%"
"=""6931""","青松健康","3","3","88.89%","3","91.67%"
"=""6933""","AMAX-KY","4","4","81.25%","4","100.00%"
"=""6937""","天虹","3","3","93.33%","4","96.67%"
"=""6949""","沛爾生醫-創","0","0","0.00%","0","0.00%"
"=""6951""","青新-創","3","3","100.00%","3","100.00%"
"=""6952""","大武山","3","3","100.00%","3","100.00%"
"=""6957""","裕慶-KY","4","4","97.73%","4","97.22%"
"=""6969""","成信實業*-創","0","0","0.00%","0","0.00%"
"=""8011""","台通","3","3","86.67%","4","85.71%"
"=""8016""","矽創","3","3","100.00%","4","100.00%"
"=""8021""","尖點","3","3","100.00%","4","100.00%"
"=""8028""","昇陽半導體","3","3","100.00%","3","100.00%"
"=""8033""","雷虎","3","2","100.00%","3","100.00%"
"=""8039""","台虹","3","3","100.00%","3","100.00%"
"=""8046""","南電","3","3","100.00%","3","100.00%"
"=""8070""","長華*","3","3","100.00%","3","100.00%"
"=""8072""","陞泰","4","4","100.00%","4","100.00%"
"=""8081""","致新","3","3","100.00%","3","100.00%"
"=""8101""","華冠","3","3","100.00%","3","92.00%"
"=""8103""","瀚荃","3","3","100.00%","4","100.00%"
"=""8104""","錸寶","3","3","100.00%","3","100.00%"
"=""8105""","凌巨","3","3","100.00%","3","100.00%"
"=""8110""","華東","3","2","100.00%","4","100.00%"
"=""8112""","至上","3","3","100.00%","4","100.00%"
"=""8114""","振樺電","3","3","100.00%","3","100.00%"
"=""8131""","福懋科","3","2","77.78%","2","75.00%"
"=""8150""","南茂","3","3","94.44%","5","96.67%"
"=""8162""","微矽電子","4","4","100.00%","4","94.74%"
"=""8163""","達方","4","4","100.00%","4","100.00%"
