"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""1515""","力山","4","3","100.00%","3","100.00%"
"=""1516""","川飛","3","2","100.00%","3","100.00%"
"=""1517""","利奇","3","3","100.00%","3","100.00%"
"=""1519""","華城","4","4","100.00%","0","0.00%"
"=""1521""","大億","3","3","100.00%","3","100.00%"
"=""1522""","堤維西","3","2","100.00%","3","86.67%"
"=""1524""","耿鼎","4","4","75.00%","4","75.00%"
"=""1525""","江申","3","3","100.00%","3","100.00%"
"=""1526""","日馳","3","3","100.00%","4","100.00%"
"=""1527""","鑽全","3","3","100.00%","3","100.00%"
"=""1528""","恩德","3","3","100.00%","3","100.00%"
"=""1529""","樂事綠能","3","2","100.00%","3","83.64%"
"=""1530""","亞崴","4","4","100.00%","4","94.12%"
"=""1531""","高林股","4","100","100.00%","4","100.00%"
"=""1532""","勤美","3","3","100.00%","3","100.00%"
"=""1533""","車王電","3","3","100.00%","4","100.00%"
"=""1535""","中宇","3","3","83.33%","3","88.89%"
"=""1536""","和大","4","4","100.00%","4","92.86%"
"=""1537""","廣隆","3","2","100.00%","3","100.00%"
"=""1538""","正峰","4","4","100.00%","4","94.28%"
"=""1539""","巨庭","3","3","100.00%","3","100.00%"
"=""1540""","喬福","3","3","100.00%","3","100.00%"
"=""1541""","錩泰","4","4","100.00%","4","100.00%"
"=""1558""","伸興","3","3","88.89%","3","100.00%"
"=""1560""","中砂","3","3","100.00%","3","100.00%"
"=""1563""","巧新","3","3","100.00%","4","100.00%"
"=""1568""","倉佑","3","3","100.00%","3","100.00%"
"=""1582""","信錦","3","3","100.00%","4","100.00%"
"=""1583""","程泰","4","4","90.00%","4","93.75%"
"=""1587""","吉茂","4","4","100.00%","4","100.00%"
"=""1589""","永冠-KY","4","4","100.00%","4","100.00%"
"=""1590""","亞德客-KY","4","4","100.00%","4","95.83%"
"=""1597""","直得","4","4","100.00%","4","100.00%"
"=""1598""","岱宇","4","4","100.00%","4","97.00%"
"=""1603""","華電","3","3","100.00%","3","100.00%"
"=""1604""","聲寶","3","3","100.00%","3","91.67%"
"=""1605""","華新","4","4","100.00%","4","100.00%"
"=""1608""","華榮","3","3","88.89%","3","100.00%"
"=""1609""","大亞","4","4","100.00%","4","92.86%"
"=""1611""","中電","3","3","100.00%","3","88.89%"
"=""1612""","宏泰","3","3","83.33%","3","100.00%"
"=""1614""","三洋電","3","2","100.00%","3","100.00%"
"=""1615""","大山","3","3","100.00%","4","92.50%"
"=""1616""","億泰","3","3","100.00%","3","91.67%"
"=""1617""","榮星","3","2","100.00%","3","91.67%"
"=""1618""","合機","3","3","100.00%","3","100.00%"
"=""1626""","艾美特-KY","4","4","100.00%","4","100.00%"
"=""1702""","南僑","3","2","100.00%","3","100.00%"
"=""1707""","葡萄王","3","3","100.00%","4","100.00%"
"=""1708""","東鹼","3","2","100.00%","3","100.00%"
"=""1709""","和益","3","3","88.90%","4","70.00%"
"=""1710""","東聯","3","2","83.00%","3","92.00%"
"=""1711""","永光","3","3","100.00%","3","100.00%"
"=""1712""","興農","3","3","88.89%","3","94.44%"
"=""1713""","國化","3","3","100.00%","3","100.00%"
"=""1714""","和桐","3","3","100.00%","3","100.00%"
"=""1717""","長興","4","4","100.00%","4","100.00%"
"=""1718""","中纖","3","3","100.00%","3","100.00%"
"=""1720""","生達","3","3","100.00%","4","100.00%"
"=""1721""","三晃","3","3","100.00%","3","100.00%"
"=""1722""","台肥","3","2","93.34%","3","100.00%"
"=""1723""","中碳","3","3","100.00%","3","94.00%"
"=""1725""","元禎","2","1","83.33%","3","90.00%"
"=""1726""","永記","3","3","100.00%","3","100.00%"
"=""1727""","中華化","4","4","100.00%","4","100.00%"
"=""1730""","花仙子","3","3","93.33%","3","94.44%"
"=""1731""","美吾華","4","4","100.00%","4","92.86%"
"=""1732""","毛寶","3","3","89.00%","4","86.00%"
"=""1733""","五鼎","4","4","100.00%","4","100.00%"
"=""1734""","杏輝","3","2","100.00%","3","100.00%"
"=""1735""","日勝化","3","3","100.00%","3","100.00%"
"=""1736""","喬山","3","2","100.00%","4","100.00%"
"=""1737""","臺鹽","3","2","100.00%","3","100.00%"
"=""1752""","南光","3","3","100.00%","4","100.00%"
"=""1760""","寶齡富錦","3","3","100.00%","3","100.00%"
"=""1762""","中化生","3","3","100.00%","3","100.00%"
"=""1773""","勝一","4","4","100.00%","4","94.44%"
"=""1776""","展宇","3","3","100.00%","3","100.00%"
"=""1783""","和康生","3","3","100.00%","3","94.00%"
"=""1786""","科妍","3","3","100.00%","3","100.00%"
"=""1789""","神隆","5","5","100.00%","5","100.00%"
"=""1795""","美時","3","3","100.00%","3","100.00%"
"=""1802""","台玻","3","2","100.00%","3","91.67%"
"=""1805""","寶徠","3","3","88.89%","3","95.24%"
"=""1806""","冠軍","3","3","100.00%","3","100.00%"
"=""1808""","潤隆","3","2","100.00%","3","94.44%"
"=""1809""","中釉","3","3","100.00%","3","100.00%"
"=""1810""","和成","3","2","83.33%","3","83.33%"
"=""1817""","凱撒衛","4","4","100.00%","4","100.00%"
"=""1903""","士紙","3","3","100.00%","3","83.33%"
"=""1904""","正隆","3","3","100.00%","3","100.00%"
"=""1905""","華紙","3","3","100.00%","3","100.00%"
"=""1906""","寶隆","3","3","100.00%","3","100.00%"
"=""1907""","永豐餘","4","4","100.00%","4","100.00%"
"=""1909""","榮成","3","3","100.00%","3","100.00%"
"=""2002""","中鋼","5","3","100.00%","3","100.00%"
"=""2006""","東和鋼鐵","3","2","100.00%","3","100.00%"
"=""2007""","燁興","3","3","83.33%","3","95.83%"
"=""2008""","高興昌","3","3","100.00%","3","100.00%"
"=""2009""","第一銅","3","3","83.33%","3","91.67%"
"=""2010""","春源","3","3","100.00%","3","100.00%"
"=""2012""","春雨","3","3","100.00%","3","3.00%"
"=""2013""","中鋼構","3","3","100.00%","3","100.00%"
"=""2014""","中鴻","3","3","100.00%","3","100.00%"
"=""2015""","豐興","3","3","91.67%","3","93.33%"
"=""2017""","官田鋼","3","3","100.00%","3","100.00%"
"=""2020""","美亞","3","3","100.00%","3","100.00%"
"=""2022""","聚亨","3","3","83.33%","3","95.24%"
"=""2023""","燁輝","3","3","100.00%","3","100.00%"
"=""2024""","志聯","3","2","100.00%","2","100.00%"
"=""2025""","千興","3","2","100.00%","3","95.00%"
"=""2027""","大成鋼","3","3","100.00%","4","96.50%"
"=""2028""","威致","4","4","100.00%","4","100.00%"
"=""2029""","盛餘","3","2","100.00%","3","100.00%"
"=""2030""","彰源","3","3","100.00%","3","100.00%"
"=""2031""","新光鋼","4","4","100.00%","4","100.00%"
"=""2032""","新鋼","3","3","100.00%","3","100.00%"
"=""2033""","佳大","3","3","100.00%","3","91.67%"
"=""2034""","允強","4","4","100.00%","4","100.00%"
"=""2038""","海光","3","3","100.00%","4","100.00%"
"=""2049""","上銀","3","3","100.00%","3","100.00%"
"=""2059""","川湖","4","4","100.00%","4","100.00%"
"=""2062""","橋椿","3","3","100.00%","4","100.00%"
"=""2069""","運錩","3","3","100.00%","4","100.00%"
"=""2101""","南港","3","3","100.00%","3","93.33%"
"=""2102""","泰豐","3","3","77.78%","3","95.24%"
"=""2103""","台橡","3","3","100.00%","3","100.00%"
"=""2104""","國際中橡","3","3","100.00%","4","92.00%"
"=""2105""","正新","3","2","100.00%","3","100.00%"
"=""2106""","建大","3","2","100.00%","3","94.44%"
"=""2107""","厚生","3","2","92.86%","2","93.33%"
"=""2108""","南帝","4","4","100.00%","4","100.00%"
"=""2109""","華豐","3","3","83.33%","3","95.00%"
"=""2114""","鑫永銓","3","3","100.00%","3","100.00%"
"=""2115""","六暉-KY","3","3","100.00%","3","100.00%"
"=""2201""","裕隆","3","3","100.00%","3","100.00%"
"=""2204""","中華","3","3","100.00%","3","100.00%"
"=""2206""","三陽工業","4","4","100.00%","4","100.00%"
"=""2207""","和泰車","3","3","100.00%","3","100.00%"
"=""2208""","台船","3","3","100.00%","3","100.00%"
"=""2211""","長榮鋼","3","3","100.00%","3","100.00%"
"=""2227""","裕日車","3","3","100.00%","3","100.00%"
"=""2228""","劍麟","3","3","91.67%","3","86.67%"
"=""2231""","為升","4","4","100.00%","4","100.00%"
"=""2233""","宇隆","3","3","100.00%","3","100.00%"
"=""2236""","百達-KY","3","3","100.00%","4","100.00%"
"=""2239""","英利-KY","3","3","100.00%","3","100.00%"
"=""2241""","艾姆勒","3","3","100.00%","3","100.00%"
"=""2243""","宏旭-KY","3","3","100.00%","3","100.00%"
"=""2247""","汎德永業","3","3","100.00%","3","100.00%"
"=""2250""","IKKA-KY","3","3","100.00%","3","100.00%"
"=""2254""","巨鎧精密-創","3","3","93.33%","3","95.24%"
"=""2258""","鴻華先進-創","4","4","100.00%","4","100.00%"
"=""2301""","光寶科","4","4","100.00%","4","100.00%"
"=""2302""","麗正","3","3","83.33%","4","80.00%"
"=""2303""","聯電","5","5","100.00%","5","100.00%"
"=""2305""","全友","3","3","100.00%","3","100.00%"
"=""2308""","台達電","5","5","100.00%","5","96.67%"
"=""2312""","金寶","3","3","88.89%","3","95.24%"
"=""2313""","華通","3","3","91.67%","3","93.33%"
"=""2314""","台揚","3","2","100.00%","3","91.67%"
"=""2316""","楠梓電","3","2","88.89%","3","75.00%"
"=""2317""","鴻海","3","3","100.00%","3","100.00%"
"=""2321""","東訊","3","3","88.89%","3","75.00%"
"=""2323""","中環","3","3","100.00%","3","100.00%"
"=""2324""","仁寶","3","3","83.33%","3","88.89%"
"=""2327""","國巨","3","3","100.00%","3","94.44%"
"=""2328""","廣宇","3","3","100.00%","4","100.00%"
"=""2329""","華泰","3","3","100.00%","3","100.00%"
"=""2330""","台積電","6","6","100.00%","6","97.00%"
"=""2331""","精英","2","1","100.00%","3","94.12%"
"=""2332""","友訊","3","3","100.00%","3","100.00%"
"=""2337""","旺宏","3","3","100.00%","4","100.00%"
"=""2338""","光罩","4","3","100.00%","3","100.00%"
"=""2340""","台亞","3","3","100.00%","3","100.00%"
"=""2342""","茂矽","4","4","93.33%","4","85.71%"
"=""2344""","華邦電","4","4","100.00%","4","87.50%"
"=""2345""","智邦","3","2","100.00%","4","95.00%"
"=""2347""","聯強","3","3","83.33%","3","91.67%"
"=""2348""","海悅","4","4","91.67%","4","97.22%"
"=""2349""","錸德","3","3","87.50%","3","100.00%"
"=""2351""","順德","3","3","100.00%","4","95.00%"
"=""2352""","佳世達","5","5","100.00%","5","100.00%"
"=""2353""","宏碁","3","3","92.86%","4","95.45%"
"=""2354""","鴻準","3","3","100.00%","3","100.00%"
"=""2355""","敬鵬","3","3","91.67%","3","95.24%"
"=""2356""","英業達","3","3","100.00%","3","100.00%"
"=""2357""","華碩","3","3","100.00%","5","100.00%"
"=""2359""","所羅門","4","4","100.00%","4","100.00%"
"=""2360""","致茂","4","4","100.00%","4","100.00%"
"=""2362""","藍天","3","2","100.00%","2","100.00%"
"=""2363""","矽統","3","3","100.00%","3","100.00%"
"=""2364""","倫飛","3","3","100.00%","4","100.00%"
"=""2365""","昆盈","3","3","100.00%","3","100.00%"
"=""2367""","燿華","3","3","100.00%","3","100.00%"
"=""2368""","金像電","3","3","100.00%","4","93.94%"
"=""2369""","菱生","3","3","83.00%","3","93.00%"
"=""2371""","大同","3","3","100.00%","3","100.00%"
"=""2373""","震旦行","3","3","100.00%","3","100.00%"
"=""2374""","佳能","3","3","100.00%","3","100.00%"
"=""2375""","凱美","3","3","100.00%","3","100.00%"
"=""2376""","技嘉","3","3","100.00%","5","100.00%"
"=""2377""","微星","3","3","100.00%","3","100.00%"
"=""2379""","瑞昱","3","3","100.00%","3","83.33%"
"=""2380""","虹光","3","3","100.00%","4","82.14%"
"=""2382""","廣達","3","2","100.00%","3","100.00%"
"=""2383""","台光電","3","3","83.33%","3","94.44%"
"=""2385""","群光","3","3","100.00%","3","100.00%"
"=""2387""","精元","3","3","100.00%","3","100.00%"
"=""2388""","威盛","5","4","80.00%","4","100.00%"
"=""2390""","云辰","3","2","100.00%","3","100.00%"
"=""2392""","正崴","4","4","100.00%","4","100.00%"
"=""2393""","億光","4","4","100.00%","4","100.00%"
"=""2395""","研華","3","3","100.00%","3","100.00%"
"=""2397""","友通","3","3","100.00%","3","100.00%"
"=""2399""","映泰","3","3","91.67%","3","93.33%"
"=""2401""","凌陽","4","4","100.00%","4","96.88%"
"=""2402""","毅嘉","3","3","100.00%","3","100.00%"
"=""2404""","漢唐","3","3","100.00%","3","100.00%"
"=""2405""","輔信","3","3","100.00%","3","100.00%"
"=""2406""","國碩","3","3","100.00%","3","100.00%"
"=""2408""","南亞科","4","4","100.00%","4","100.00%"
"=""2409""","友達","3","3","100.00%","4","100.00%"
"=""2412""","中華電","3","3","95.33%","5","98.00%"
"=""2413""","環科","4","4","100.00%","4","100.00%"
