報告年度:2023,議題:能源管理,,,
公司代號,公司名稱,使用率(再生能源/總能源)-使用率(再生能源/總能源),資料範圍-資料範圍,驗證標準-取得驗證
1531,高林股,35.67%,工廠使用的能源主要包括設備用能、電力使用、公務車及堆高機用能，而總公司主要能耗為電力使用。,N/A
1532,勤美,3.22%,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),ISO 50001
1533,車王電,N/A,N/A,N/A
1535,中宇,N/A,N/A,N/A
1536,和大,6.98%,僅母公司,ISO 50001
1537,廣隆,N/A,N/A,N/A
1538,正峰,N/A,N/A,N/A
1539,巨庭,N/A,N/A,N/A
1540,喬福,N/A,N/A,N/A
1541,錩泰,N/A,N/A,N/A
1558,伸興,N/A,N/A,ISO 50001
1560,中砂,0.60%,母公司,ISO 50001
1563,巧新,0.58%,僅母公司,ISO 50001
1568,倉佑,N/A,N/A,N/A
1582,信錦,N/A,N/A,N/A
1583,程泰,N/A,N/A,ISO 50001
1587,吉茂,N/A,N/A,N/A
1589,永冠-KY,1.66%,合併財務報表之母子公司,ISO 50001
1590,亞德客-KY,3.47%,考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2023 年合併營業收入達96%，亦達2023年度生產產值100%。,N/A
1597,直得,11.18%,樹谷廠,N/A
1598,岱宇,N/A,N/A,N/A
1603,華電,N/A,N/A,N/A
1604,聲寶,N/A,N/A,ISO 50001
1605,華新,1.47%,華新麗華股份有限公司個體公司及子公司( 包括上海華新、煙台華新),ISO 50001
1608,華榮,N/A,N/A,N/A
1609,大亞,0.95%,大亞公司(個體),ISO 50001
1611,中電,N/A,N/A,N/A
1612,宏泰,5.78%,僅母公司,N/A
1614,三洋電,N/A,N/A,N/A
1615,大山,N/A,N/A,N/A
1616,億泰,N/A,N/A,N/A
1617,榮星,N/A,N/A,N/A
1618,合機,N/A,N/A,N/A
1626,艾美特-KY,N/A,主要營運據點艾美特電器（深圳）有限公司、艾美特電器（九江）有限公司,N/A
1702,南僑,2.07%,中國大陸、泰國地區之製造單位 ,ISO 50001
1707,葡萄王,1.47%,台灣區(葡萄王生技+葡眾企業),ISO 50001
1708,東鹼,N/A,N/A,N/A
1709,和益,0.18%,母公司及子公司聯超、和協,"ISO 50001,確信準則3000號"
1710,東聯,0.10%,林園廠,ISO 50001
1711,永光,0.26%,ISO 50001 桃園地區一廠區至三廠區,ISO 50001
1712,興農,0.00%,母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠,N/A
1713,國化,N/A,N/A,N/A
1714,和桐,N/A,N/A,N/A
1717,長興,1.91%,母公司個體(包含母公司個體之生產廠區及營業據點)、大陸子公司生產廠區及營業據點、馬來西亞子公司生產廠區及營業據點。,ISO 50001
1718,中纖,N/A,N/A,ISO 50001
1720,生達,7.39%,生達一廠+生達二廠,N/A
1721,三晃,N/A,N/A,確信準則3000號
1722,台肥,0.00%,台肥母公司之台中廠、苗栗廠、花蓮廠,ISO 50001
1723,中碳,0.00%,母公司,ISO 50001
1725,元禎,N/A,N/A,N/A
1726,永記,N/A,N/A,N/A
1727,中華化,N/A,N/A,N/A
1730,花仙子,13.85%,台灣花仙子(包含台北、台中、高雄辦公室)及蘇州太倉廠,N/A
1731,美吾華,N/A,N/A,N/A
1732,毛寶,N/A,N/A,N/A
1733,五鼎,N/A,N/A,N/A
1734,杏輝,N/A,N/A,N/A
1735,日勝化,N/A,N/A,N/A
1736,喬山,0.00%,集團總部、臺灣廠、上海朱橋廠、上海興順廠及越南廠。,N/A
1737,臺鹽,N/A,N/A,ISO 50001
1752,南光,N/A,N/A,N/A
1760,寶齡富錦,N/A,N/A,N/A
1762,中化生,N/A,N/A,N/A
1773,勝一,N/A,N/A,N/A
1776,展宇,0.64%,僅母公司,N/A
1783,和康生,N/A,N/A,N/A
1786,科妍,N/A,N/A,N/A
1789,神隆,0.01%,僅母公司南科廠(台南市善化區南科八路一號) ,N/A
1795,美時,N/A,N/A,N/A
1802,台玻,N/A,N/A,ISO 50001
1805,寶徠,N/A,N/A,N/A
1806,冠軍,N/A,N/A,ISO 50001
1808,潤隆,N/A,N/A,N/A
1809,中釉,N/A,N/A,N/A
1810,和成,N/A,N/A,ISO 50001
1817,凱撒衛,N/A,N/A,N/A
1903,士紙,N/A,N/A,N/A
1904,正隆,0.06%,母公司,ISO 50001
1905,華紙,51.00%,母公司個體中華紙漿臺灣生產據點(觀音廠、久堂廠、花蓮廠、台東廠及營業據點)及海外子公司(廣東鼎豐紙業、肇慶鼎豐林業、貴州元豐林業有限公司),ISO 50001
1906,寶隆,N/A,N/A,N/A
1907,永豐餘,42.11%,永豐餘林漿紙、工紙紙器、消費品三大事業群之台灣生產據點。可再生能源包含沼氣、木質素黑液、樹皮、廢木材、木片、木屑、SRF、回收紙渣、廢膠片、餘泥，及太陽能等。,ISO 50001
1909,榮成,2.50%,母公司,ISO 50001
2002,中鋼,0.05%,母公司,ISO 50001
2006,東和鋼鐵,1.26%,母公司,ISO 50001
2007,燁興,N/A,N/A,ISO 50001
2008,高興昌,N/A,N/A,N/A
2009,第一銅,0.00%,第一伸銅科技股份有限公司臨海廠,N/A
2010,春源,N/A,N/A,N/A
2012,春雨,N/A,N/A,N/A
2013,中鋼構,N/A,N/A,N/A
2014,中鴻,0.02%,112/1/1~112/12/31(中鴻公司再生能源使用量/中鴻公司總用電量),ISO 50001
2015,豐興,N/A,N/A,N/A
2017,官田鋼,N/A,N/A,N/A
2020,美亞,N/A,N/A,N/A
2022,聚亨,N/A,N/A,N/A
2023,燁輝,N/A,N/A,ISO 50001
2024,志聯,N/A,N/A,ISO 50001
2025,千興,N/A,N/A,N/A
2027,大成鋼,0.00%,母公司,N/A
2028,威致,N/A,N/A,N/A
2029,盛餘,0.76%,僅母公司,ISO 50001
2030,彰源,N/A,N/A,N/A
2031,新光鋼,0.00%,N/A,N/A
2032,新鋼,N/A,N/A,N/A
2033,佳大,N/A,N/A,N/A
2034,允強,N/A,N/A,ISO 50001
2038,海光,N/A,N/A,N/A
2049,上銀,N/A,N/A,ISO 50001
2059,川湖,N/A,N/A,N/A
