"報告年度:2022","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(仟元/人)(每年6/2起公開)-員工福利平均數(仟元/人)(每年6/2起公開)","員工薪資平均數(仟元/人)(每年6/2起公開)-員工薪資平均數(仟元/人)(每年6/2起公開)","非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開)","非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)-非擔任主管職務之全時員工薪資中位數(仟元/人)(每年7/1起公開)","管理職女性主管占比-管理職女性主管占比","職業災害人數及比率-人數","職業災害人數及比率-比率"
"=""1463""","強盛新","667","574","550","520","28.57%","0","0.00%"
"=""1464""","得力","709","613","589","549","30.91%","16","1.85%"
"=""1465""","偉全","696","588","581","492","25.00%","0","0.00%"
"=""1466""","聚隆","722","593","604","551","35.00%","6","1.10%"
"=""1467""","南緯","945","802","708","603","54.00%","2","1.00%"
"=""1468""","昶和","724","593","544","470","20.00%","0","0.00%"
"=""1470""","大統新創","686","588","553","471","34.00%","0","0.00%"
"=""1471""","首利","1127","965","764","756","27.00%","0","0.00%"
"=""1472""","三洋實業","932","756","600","527","25.00%","0","0.00%"
"=""1473""","台南","809","701","558","463","80.76%","1","0.26%"
"=""1474""","弘裕","727","625","598","520","19.48%","14","2.81%"
"=""1475""","業旺","1046","861","545","545","10.00%","0","0.00%"
"=""1476""","儒鴻","1223","1076","1000","880","35.30%","1","0.06%"
"=""1477""","聚陽","2529","2344","1447","1321","54.00%","4","0.50%"
"=""1503""","士電","1217","1074","1049","854","9.00%","0","0.00%"
"=""1504""","東元","1095","944","893","715","22.10%","2","0.04%"
"=""1506""","正道","843","712","550","518","27.85%","3","1.40%"
"=""1512""","瑞利","673","546","548","500","13.33%","0","0.00%"
"=""1513""","中興電","1045","889","870","769","17.37%","2","0.10%"
"=""1514""","亞力","1112","956","898","775","0.00%","0","0.00%"
"=""1515""","力山","583","487","575","481","16.98%","6","0.83%"
"=""1516""","川飛","1235","1064","648","666","0.00%","0","0.00%"
"=""1517""","利奇","571","471","492","444","8.33%","5","0.74%"
"=""1519""","華城","1205","1047","1016","816","13.64%","7","0.90%"
"=""1521""","大億","732","611","633","577","12.20%","0","0.00%"
"=""1522""","堤維西","733","605","614","568","21.00%","12","0.75%"
"=""1524""","耿鼎","757","631","615","528","8.16%","3","0.66%"
"=""1525""","江申","751","629","637","559","13.46%","0","0.00%"
"=""1526""","日馳","903","787","644","500","20.00%","0","0.00%"
"=""1527""","鑽全","732","632","580","494","9.52%","4","1.69%"
"=""1528""","恩德","1079","949","674","602","3.68%","0","0.00%"
"=""1529""","樂事綠能","713","581","546","505","55.56%","0","0.00%"
"=""1530""","亞崴","832","704","634","575","11.18%","1","0.24%"
"=""1531""","高林股","907","773","776","697","19.56%","0","0.00%"
"=""1532""","勤美","918","779","695","563","37.50%","2","0.61%"
"=""1533""","車王電","664","549","568","462","23.88%","0","0.00%"
"=""1535""","中宇","1243","1090","1112","1010","8.30%","0","0.00%"
"=""1536""","和大","786","635","631","603","9.09%","1124","1.16%"
"=""1537""","廣隆","1282","1121","837","670","23.53%","0","0.00%"
"=""1538""","正峰","844","715","455","450","33.33%","0","0.00%"
"=""1539""","巨庭","644","527","511","475","11.00%","0","0.00%"
"=""1540""","喬福","689","566","579","555","0.00%","0","0.00%"
"=""1541""","錩泰","564","472","453","395","24.44%","0","0.00%"
"=""1558""","伸興","1102","923","838","784","45.00%","6","0.26%"
"=""1560""","中砂","1057","890","837","768","6.58%","8","0.46%"
"=""1563""","巧新","","","","","","",""
"=""1568""","倉佑","720","594","600","547","25.00%","2","0.47%"
"=""1582""","信錦","1235","1074","1009","869","16.00%","241","0.00%"
"=""1583""","程泰","898","731","762","707","16.47%","0","0.00%"
"=""1587""","吉茂","826","701","514","498","26.67%","0","0.00%"
"=""1589""","永冠-KY","","","","","17.00%","90","3.93%"
"=""1590""","亞德客-KY","","","","","9.31%","72","0.83%"
"=""1597""","直得","906","769","659","628","31.43%","2","4.00%"
"=""1598""","岱宇","665","559","565","492","30.30%","1","0.00%"
"=""1603""","華電","717","616","564","479","28.09%","8","1.32%"
"=""1604""","聲寶","987","828","825","737","8.82%","0","0.00%"
"=""1605""","華新","1375","1243","1210","991","18.15%","26","0.87%"
"=""1608""","華榮","796","649","704","685","16.39%","0","0.00%"
"=""1609""","大亞","1099","953","813","772","19.60%","5","0.50%"
"=""1611""","中電","767","614","464","464","0.00%","0","0.00%"
"=""1612""","宏泰","1005","862","838","706","18.00%","1","0.30%"
"=""1614""","三洋電","515","410","586","562","1.27%","8","0.73%"
"=""1615""","大山","821","696","670","600","26.53%","2","0.79%"
"=""1616""","億泰","793","664","636","589","14.29%","1","0.47%"
"=""1617""","榮星","809","692","714","658","10.00%","0","0.00%"
"=""1618""","合機","875","739","719","673","23.61%","9","4.21%"
"=""1623""","大東電","","","","","","",""
"=""1626""","艾美特-KY","","","","","28.00%","7","0.25%"
"=""1702""","南僑","2766","2516","1007","734","36.80%","0","0.00%"
"=""1707""","葡萄王","1107","986","864","782","43.24%","3","0.59%"
"=""1708""","東鹼","1546","1365","1297","1052","38.46%","0","0.00%"
"=""1709""","和益","2119","1884","1663","1495","13.00%","0","0.00%"
"=""1710""","東聯","1252","939","1009","928","1.37%","0","0.00%"
"=""1711""","永光","888","741","786","743","15.90%","1","0.05%"
"=""1712""","興農","912","778","775","679","16.89%","2","0.15%"
"=""1713""","國化","1121","986","794","753","23.08%","0","0.00%"
"=""1714""","和桐","1054","893","722","601","42.86%","0","0.00%"
"=""1717""","長興","1221","996","955","816","15.40%","3","0.06%"
"=""1718""","中纖","830","672","664","597","22.06%","3","0.50%"
"=""1720""","生達","896","775","817","703","43.50%","9","1.13%"
"=""1721""","三晃","895","740","753","733","30.38%","5","0.95%"
"=""1722""","台肥","1664","1442","1387","1232","12.04%","3","0.47%"
"=""1723""","中碳","1847","1618","1453","1372","10.26%","0","0.00%"
"=""1725""","元禎","906","720","702","609","12.50%","0","0.00%"
"=""1726""","永記","920","791","775","704","7.00%","10","1.37%"
