報告年度:2022,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1413,宏洲,14591.3131,宏洲纖維工業股份有限公司桃園工廠,依據行政院環保署發布之溫室氣體查驗指引                                                                                                                                                                  ,25703.7759,宏洲纖維工業股份有限公司桃園工廠,依據行政院環保署發布之溫室氣體查驗指引                                                                                                                                                                  ,無，無統計相關數據,,,12.81,百萬元營業額
1414,東和,31.3996,本公司,,14806.4191,本公司,,無，尚在盤查中。,,,65.3648,員工數                                                                                                                                                                                                  
1416,廣豐,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1417,嘉裕,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1418,東華,7.5513,母子公司,,448.3272,母子公司,,無，無統計相關數據,,,無，無統計相關數據,
1419,新紡,2206.748,母公司及生產單位,,17272.5997,母公司及生產單位,,484.3284,母公司及生產單位,,0.0021,產品
1423,利華,546,母公司,,無，無統計相關數據,,,無，無統計相關數據,,,0,營業額
1432,大魯閣,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1434,福懋,192398,台灣廠區,ISO 14064,88692,台灣廠區,ISO 14064,無，2022年度溫室氣體範疇3尚在盤查中,,,10.74,百萬元營業額
1435,中福,無，無生產活動,,,無，無生產活動,,,無，無生產活動,,,無，無生產活動,
1436,華友聯,無，詳年報說明,,,70.511,僅母公司,,無，無統計相關數據,,,無，無統計相關數據,
1437,勤益控,1.77,母公司及部分子公司,,34.94,母公司及部分子公司,,無，無統計相關數據,,,0.0458,百萬元營業額
1438,三地開發,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
