"報告年度:2022","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""1452""","宏益","9","3","1","11.11%","94.44%","100.00%"
"=""1453""","大將","7","3","1","14.29%","91.42%","14.29%"
"=""1454""","台富","9","4","2","22.22%","94.44%","44.44%"
"=""1455""","集盛","10","3","1","10.00%","95.71%","80.00%"
"=""1456""","怡華","11","3","2","18.00%","96.73%","100.00%"
"=""1457""","宜進","9","3","3","33.33%","88.80%","100.00%"
"=""1459""","聯發","9","3","0","0.00%","93.65%","100.00%"
"=""1460""","宏遠","11","3","0","0.00%","84.09%","100.00%"
"=""1463""","強盛新","12","3","2","16.67%","96.30%","58.33%"
"=""1464""","得力","7","3","0","0.00%","100.00%","100.00%"
"=""1465""","偉全","7","3","1","14.29%","95.24%","100.00%"
"=""1466""","聚隆","10","3","2","20.00%","97.00%","90.00%"
"=""1467""","南緯","11","3","1","9.09%","100.00%","9.09%"
"=""1468""","昶和","7","3","1","14.20%","97.14%","100.00%"
"=""1470""","大統新創","11","3","0","0.00%","0.00%","27.30%"
"=""1471""","首利","7","3","2","28.57%","82.86%","42.86%"
"=""1472""","三洋實業","7","4","1","14.29%","95.85%","100.00%"
"=""1473""","台南","11","3","5","45.45%","96.00%","100.00%"
"=""1474""","弘裕","11","3","1","9.09%","87.88%","61.11%"
"=""1475""","業旺","5","3","1","20.00%","100.00%","40.00%"
"=""1476""","儒鴻","12","4","1","8.33%","96.43%","100.00%"
"=""1477""","聚陽","15","3","6","40.00%","98.67%","100.00%"
"=""1503""","士電","15","3","0","0.00%","85.00%","100.00%"
"=""1504""","東元","11","4","2","18.18%","98.99%","100.00%"
"=""1506""","正道","9","3","1","11.11%","96.30%","100.00%"
"=""1512""","瑞利","6","2","0","0.00%","97.77%","100.00%"
"=""1513""","中興電","9","3","1","11.11%","91.11%","94.44%"
"=""1514""","亞力","12","3","2","16.66%","95.00%","16.66%"
"=""1515""","力山","9","4","1","11.11%","93.33%","44.44%"
"=""1516""","川飛","6","2","2","28.57%","100.00%","0.00%"
"=""1517""","利奇","7","3","4","57.00%","100.00%","100.00%"
"=""1519""","華城","9","3","0","0.00%","100.00%","100.00%"
"=""1521""","大億","9","3","1","11.00%","73.33%","22.22%"
"=""1522""","堤維西","9","3","0","0.00%","95.24%","100.00%"
"=""1524""","耿鼎","9","4","1","11.11%","85.42%","22.22%"
"=""1525""","江申","10","3","1","10.00%","98.00%","100.00%"
"=""1526""","日馳","9","4","3","33.33%","100.00%","100.00%"
"=""1527""","鑽全","11","3","1","9.09%","92.73%","27.27%"
"=""1528""","恩德","7","3","1","14.00%","100.00%","100.00%"
"=""1529""","樂事綠能","11","3","1","9.10%","81.80%","45.45%"
"=""1530""","亞崴","7","3","0","0.00%","91.40%","100.00%"
"=""1531""","高林股","7","3","2","28.57%","71.43%","100.00%"
"=""1532""","勤美","9","3","2","22.22%","95.56%","100.00%"
"=""1533""","車王電","11","3","1","9.09%","100.00%","100.00%"
"=""1535""","中宇","11","3","2","18.18%","100.00%","100.00%"
"=""1536""","和大","13","3","3","23.00%","83.08%","100.00%"
"=""1537""","廣隆","9","3","0","0.00%","100.00%","100.00%"
"=""1538""","正峰","7","3","0","0.00%","100.00%","14.28%"
"=""1539""","巨庭","7","3","1","14.28%","100.00%","100.00%"
"=""1540""","喬福","7","3","1","14.29%","100.00%","0.00%"
"=""1541""","錩泰","7","4","3","42.86%","100.00%","14.26%"
"=""1558""","伸興","9","2","0","0.00%","98.63%","100.00%"
"=""1560""","中砂","9","3","0","0.00%","96.00%","100.00%"
"=""1563""","巧新","","","","","",""
"=""1568""","倉佑","9","3","1","11.11%","100.00%","100.00%"
"=""1582""","信錦","7","4","1","14.30%","100.00%","100.00%"
"=""1583""","程泰","9","3","1","11.11%","92.59%","100.00%"
"=""1587""","吉茂","8","4","1","12.50%","98.36%","100.00%"
"=""1589""","永冠-KY","11","4","1","9.09%","100.00%","100.00%"
"=""1590""","亞德客-KY","10","4","2","20.00%","100.00%","45.45%"
"=""1597""","直得","8","3","3","37.50%","96.88%","100.00%"
"=""1598""","岱宇","7","3","1","14.00%","100.00%","100.00%"
"=""1603""","華電","5","3","1","20.00%","100.00%","100.00%"
"=""1604""","聲寶","7","3","0","0.00%","95.14%","100.00%"
"=""1605""","華新","11","4","2","18.18%","92.93%","100.00%"
"=""1608""","華榮","7","3","1","14.29%","85.71%","85.71%"
"=""1609""","大亞","9","4","2","22.00%","100.00%","100.00%"
"=""1611""","中電","11","3","0","0.00%","94.79%","90.91%"
"=""1612""","宏泰","7","3","1","14.29%","97.73%","85.71%"
"=""1614""","三洋電","13","3","3","23.07%","97.44%","7.69%"
"=""1615""","大山","7","4","3","43.00%","80.00%","57.00%"
"=""1616""","億泰","6","2","1","16.67%","100.00%","0.00%"
"=""1617""","榮星","7","3","1","14.00%","92.00%","42.00%"
"=""1618""","合機","9","3","2","22.22%","100.00%","100.00%"
"=""1623""","大東電","","","","","",""
"=""1626""","艾美特-KY","9","3","0","0.00%","89.00%","100.00%"
"=""1702""","南僑","9","3","2","22.22%","72.73%","100.00%"
"=""1707""","葡萄王","12","4","5","42.00%","99.00%","100.00%"
"=""1708""","東鹼","10","3","0","0.00%","97.14%","100.00%"
"=""1709""","和益","19","4","2","10.50%","87.72%","0.00%"
"=""1710""","東聯","11","3","1","9.10%","95.45%","100.00%"
"=""1711""","永光","11","3","1","9.09%","96.36%","100.00%"
"=""1712""","興農","9","3","1","11.11%","100.00%","100.00%"
"=""1713""","國化","2","3","2","40.00%","100.00%","100.00%"
"=""1714""","和桐","9","3","1","11.00%","97.78%","100.00%"
"=""1717""","長興","12","4","1","8.33%","98.53%","100.00%"
"=""1718""","中纖","9","3","0","0.00%","81.00%","44.44%"
"=""1720""","生達","7","3","2","28.57%","94.29%","100.00%"
"=""1721""","三晃","7","3","2","28.57%","90.00%","100.00%"
"=""1722""","台肥","9","3","1","11.11%","100.00%","100.00%"
"=""1723""","中碳","9","3","1","11.11%","90.00%","100.00%"
"=""1725""","元禎","7","3","1","14.00%","93.00%","14.00%"
"=""1726""","永記","7","3","1","14.29%","89.29%","0.00%"
"=""1727""","中華化","10","4","1","10.00%","98.00%","100.00%"
"=""1730""","花仙子","6","3","4","66.67%","100.00%","100.00%"
"=""1731""","美吾華","13","3","4","30.77%","94.23%","46.15%"
"=""1732""","毛寶","7","3","4","57.14%","100.00%","100.00%"
"=""1733""","五鼎","6","4","1","16.70%","98.00%","100.00%"
"=""1734""","杏輝","11","3","1","9.09%","88.00%","100.00%"
"=""1735""","日勝化","9","3","0","0.00%","98.15%","22.22%"
"=""1736""","喬山","11","3","3","27.00%","98.50%","100.00%"
"=""1737""","臺鹽","9","3","2","22.00%","98.00%","100.00%"
"=""1752""","南光","7","3","1","14.28%","100.00%","100.00%"
"=""1760""","寶齡富錦","9","3","1","11.00%","98.70%","100.00%"
"=""1762""","中化生","7","3","2","28.57%","98.41%","100.00%"
"=""1773""","勝一","9","3","2","22.22%","85.19%","100.00%"
"=""1776""","展宇","9","3","1","11.11%","100.00%","100.00%"
"=""1783""","和康生","9","3","3","33.33%","87.80%","100.00%"
"=""1786""","科妍","9","3","1","11.11%","96.30%","88.89%"
"=""1789""","神隆","15","3","3","20.00%","96.67%","100.00%"
"=""1795""","美時","11","3","3","27.27%","87.00%","100.00%"
"=""1802""","台玻","15","3","1","6.67%","96.67%","40.00%"
"=""1805""","寶徠","9","3","1","11.11%","95.91%","100.00%"
"=""1806""","冠軍","7","3","1","14.29%","100.00%","57.14%"
"=""1808""","潤隆","7","3","1","14.29%","88.89%","42.86%"
"=""1809""","中釉","9","3","1","11.11%","100.00%","100.00%"
"=""1810""","和成","7","3","0","0.00%","74.29%","100.00%"
"=""1817""","凱撒衛","8","4","1","12.50%","100.00%","100.00%"
"=""1903""","士紙","6","3","2","33.33%","97.56%","50.00%"
"=""1904""","正隆","9","3","1","11.00%","98.00%","100.00%"
"=""1905""","華紙","7","3","2","28.57%","100.00%","100.00%"
"=""1906""","寶隆","6","3","1","16.67%","94.12%","100.00%"
"=""1907""","永豐餘","9","4","2","22.20%","98.14%","100.00%"
"=""1909""","榮成","9","3","0","0.00%","95.56%","100.00%"
"=""2002""","中鋼","11","3","1","9.09%","96.97%","100.00%"
