"報告年度:2022","議題:董事會"
"公司代號","公司名稱","董事席次(含獨立董事)(席)-董事席次(含獨立董事)(席)","獨立董事席次(席)-獨立董事席次(席)","女性董事席次及比率-席","女性董事席次及比率-比率","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率"
"=""2497""","怡利電","9","3","1","11.00%","98.41%","100.00%"
"=""2498""","宏達電","7","3","1","0.14%","97.14%","71.43%"
"=""2501""","國建","9","3","1","11.00%","98.00%","100.00%"
"=""2504""","國產","12","4","1","8.33%","91.67%","100.00%"
"=""2505""","國揚","9","3","1","11.00%","100.00%","100.00%"
"=""2506""","太設","9","3","1","11.00%","97.53%","100.00%"
"=""2509""","全坤建","6","3","0","0.00%","100.00%","58.33%"
"=""2511""","太子","15","3","2","13.30%","97.00%","100.00%"
"=""2514""","龍邦","7","3","2","28.57%","98.81%","100.00%"
"=""2515""","中工","9","3","0","0.00%","92.00%","100.00%"
"=""2516""","新建","9","3","2","22.22%","86.00%","88.89%"
"=""2520""","冠德","9","3","1","11.11%","90.28%","100.00%"
"=""2524""","京城","7","3","1","14.29%","90.78%","0.00%"
"=""2527""","宏璟","11","3","4","36.36%","96.36%","45.45%"
"=""2528""","皇普","6","3","2","33.33%","97.22%","100.00%"
"=""2530""","華建","7","3","0","0.00%","98.41%","100.00%"
"=""2534""","宏盛","7","3","2","28.57%","97.62%","100.00%"
"=""2535""","達欣工","7","3","0","0.00%","92.86%","100.00%"
"=""2536""","宏普","3","4","2","28.57%","95.24%","100.00%"
"=""2537""","聯上發","7","3","3","42.86%","100.00%","100.00%"
"=""2538""","基泰","11","3","1","9.09%","83.64%","0.00%"
"=""2539""","櫻花建","7","3","3","42.86%","100.00%","100.00%"
"=""2540""","愛山林","7","3","2","0.14%","94.00%","30.00%"
"=""2542""","興富發","7","3","1","14.29%","99.05%","42.86%"
"=""2543""","皇昌","7","3","2","28.57%","96.43%","100.00%"
"=""2545""","皇翔","11","3","4","36.36%","93.94%","18.00%"
"=""2546""","根基","9","3","1","11.11%","90.74%","100.00%"
"=""2547""","日勝生","9","4","0","0.00%","97.20%","100.00%"
"=""2548""","華固","9","3","2","22.22%","97.53%","100.00%"
"=""2597""","潤弘","9","3","1","11.11%","85.19%","100.00%"
"=""2601""","益航","7","3","0","0.00%","87.14%","100.00%"
"=""2603""","長榮","9","3","1","11.11%","100.00%","100.00%"
"=""2605""","新興","7","4","0","0.00%","95.24%","14.29%"
"=""2606""","裕民","11","3","1","9.00%","98.18%","100.00%"
"=""2607""","榮運","8","3","1","12.50%","100.00%","100.00%"
"=""2608""","嘉里大榮","10","4","2","20.00%","93.75%","40.00%"
"=""2609""","陽明","9","1","0","0.00%","94.00%","100.00%"
"=""2610""","華航","13","3","3","23.00%","96.70%","100.00%"
"=""2611""","志信","7","3","0","0.00%","98.21%","100.00%"
"=""2612""","中航","9","3","0","0.00%","96.36%","77.78%"
"=""2613""","中櫃","11","3","1","9.10%","97.50%","100.00%"
"=""2614""","東森","7","3","0","0.00%","97.14%","100.00%"
"=""2615""","萬海","7","3","2","28.57%","88.00%","57.14%"
"=""2616""","山隆","9","3","2","22.22%","95.00%","33.00%"
"=""2617""","台航","8","3","0","0.00%","98.00%","100.00%"
"=""2618""","長榮航","9","3","0","0.00%","98.31%","100.00%"
"=""2630""","亞航","11","4","0","0.00%","97.40%","100.00%"
"=""2633""","台灣高鐵","13","4","2","15.00%","97.00%","100.00%"
"=""2634""","漢翔","11","3","1","9.09%","90.91%","100.00%"
"=""2636""","台驊控股","9","3","0","0.00%","96.96%","100.00%"
"=""2637""","慧洋-KY","9","5","2","22.00%","95.00%","100.00%"
"=""2642""","宅配通","11","3","2","18.00%","98.70%","100.00%"
"=""2645""","長榮航太","9","3","2","22.22%","100.00%","100.00%"
"=""2646""","星宇航空","","","","","",""
"=""2701""","萬企","5","3","1","20.00%","95.00%","100.00%"
"=""2702""","華園","7","3","2","29.00%","91.00%","57.00%"
"=""2704""","國賓","15","3","5","33.33%","73.33%","53.33%"
"=""2705""","六福","7","4","3","42.85%","100.00%","100.00%"
"=""2706""","第一店","5","3","2","40.00%","100.00%","100.00%"
"=""2707""","晶華","9","3","3","33.00%","97.22%","55.56%"
"=""2712""","遠雄來","7","3","1","14.29%","95.23%","100.00%"
"=""2722""","夏都","12","3","5","41.67%","89.66%","100.00%"
"=""2723""","美食-KY","8","4","1","12.50%","98.33%","50.00%"
"=""2727""","王品","6","3","1","16.67%","90.00%","100.00%"
"=""2731""","雄獅","6","3","0","0.00%","97.50%","100.00%"
"=""2739""","寒舍","9","3","4","44.44%","83.00%","100.00%"
"=""2748""","雲品","9","3","5","55.56%","98.10%","100.00%"
"=""2753""","八方雲集","8","4","2","25.00%","96.00%","100.00%"
"=""2762""","世界健身-KY","","","","","",""
"=""2801""","彰銀","9","3","2","22.22%","98.41%","100.00%"
"=""2812""","台中銀","12","4","2","16.67%","100.00%","100.00%"
"=""2816""","旺旺保","9","3","1","11.00%","96.00%","100.00%"
"=""2820""","華票","11","3","2","18.18%","100.00%","100.00%"
"=""2832""","台產","11","3","4","36.36%","95.45%","100.00%"
"=""2834""","臺企銀","15","5","2","13.30%","100.00%","100.00%"
"=""2836""","高雄銀","13","3","0","0.00%","94.00%","100.00%"
"=""2838""","聯邦銀","9","3","2","22.22%","98.41%","100.00%"
"=""2845""","遠東銀","10","2","3","30.00%","94.00%","100.00%"
"=""2849""","安泰銀","11","3","3","27.00%","100.00%","100.00%"
"=""2850""","新產","11","3","1","9.00%","91.00%","100.00%"
"=""2851""","中再保","9","3","2","22.22%","97.22%","100.00%"
"=""2852""","第一保","13","3","1","7.69%","98.90%","100.00%"
"=""2855""","統一證","19","4","8","42.11%","94.74%","100.00%"
"=""2867""","三商壽","10","3","1","10.00%","97.16%","100.00%"
"=""2880""","華南金","19","4","6","31.60%","94.73%","100.00%"
"=""2881""","富邦金","14","5","0","0.00%","94.62%","100.00%"
"=""2882""","國泰金","13","5","2","15.38%","92.31%","100.00%"
"=""2883""","凱基金","8","3","0","0.00%","98.00%","100.00%"
"=""2884""","玉山金","12","5","2","16.67%","100.00%","100.00%"
"=""2885""","元大金","9","4","1","11.00%","99.00%","100.00%"
"=""2886""","兆豐金","15","5","6","40.00%","100.00%","100.00%"
"=""2887""","台新新光金","7","3","1","14.29%","100.00%","100.00%"
"=""2889""","國票金","13","4","2","15.38%","98.00%","100.00%"
"=""2890""","永豐金","7","3","1","14.29%","100.00%","100.00%"
"=""2891""","中信金","7","4","1","14.29%","100.00%","100.00%"
"=""2892""","第一金","14","5","8","57.00%","98.86%","100.00%"
"=""2897""","王道銀行","14","3","2","14.29%","100.00%","100.00%"
"=""2901""","欣欣","9","3","3","33.30%","100.00%","33.30%"
"=""2903""","遠百","7","3","3","43.00%","89.00%","100.00%"
"=""2904""","匯僑","7","3","0","0.00%","97.62%","100.00%"
"=""2905""","三商","9","3","0","0.00%","90.28%","100.00%"
"=""2906""","高林","12","4","0","0.00%","100.00%","100.00%"
"=""2908""","特力","7","4","2","28.57%","98.21%","100.00%"
"=""2910""","統領","10","3","2","20.00%","97.10%","0.00%"
"=""2911""","麗嬰房","7","3","2","28.57%","94.29%","71.43%"
"=""2912""","統一超","13","3","2","15.38%","99.00%","100.00%"
"=""2913""","農林","11","4","1","9.09%","92.14%","33.33%"
"=""2915""","潤泰全","9","3","0","0.00%","88.00%","100.00%"
"=""2923""","鼎固-KY","11","3","3","27.27%","95.00%","100.00%"
"=""2929""","淘帝-KY","5","3","0","0.00%","100.00%","40.00%"
"=""2939""","永邑-KY","8","4","3","75.00%","90.00%","75.00%"
"=""2945""","三商家購","9","3","0","0.00%","90.28%","77.78%"
"=""3002""","歐格","11","4","2","18.18%","100.00%","54.54%"
"=""3003""","健和興","7","3","0","0.00%","97.14%","85.71%"
"=""3004""","豐達科","9","3","0","0.00%","98.15%","100.00%"
"=""3005""","神基","10","4","1","10.00%","97.40%","100.00%"
"=""3006""","晶豪科","9","4","0","0.00%","98.55%","100.00%"
"=""3008""","大立光","9","3","0","0.00%","97.60%","33.30%"
"=""3010""","華立","8","2","1","12.50%","98.00%","62.50%"
"=""3011""","今皓","7","3","1","14.28%","100.00%","100.00%"
"=""3013""","晟銘電","7","3","2","28.57%","83.67%","57.14%"
"=""3014""","聯陽","7","3","2","28.57%","100.00%","100.00%"
"=""3015""","全漢","10","3","1","10.00%","100.00%","100.00%"
"=""3016""","嘉晶","9","3","1","11.11%","95.24%","88.89%"
"=""3017""","奇鋐","13","4","1","7.69%","98.72%","69.23%"
"=""3018""","隆銘綠能","8","2","3","37.50%","92.78%","37.50%"
"=""3019""","亞光","7","3","1","14.29%","95.92%","71.43%"
"=""3021""","鴻名","9","3","3","33.00%","93.65%","100.00%"
"=""3022""","威強電","6","3","1","16.67%","96.30%","100.00%"
"=""3023""","信邦","11","3","1","9.10%","100.00%","100.00%"
"=""3024""","憶聲","11","3","4","36.36%","92.73%","54.55%"
"=""3025""","星通","8","4","2","25.00%","100.00%","0.00%"
"=""3026""","禾伸堂","9","3","0","0.00%","100.00%","33.33%"
"=""3027""","盛達","8","4","0","0.00%","96.50%","100.00%"
"=""3028""","增你強","10","3","0","0.00%","97.50%","100.00%"
"=""3029""","零壹","8","3","0","0.00%","96.43%","100.00%"
"=""3030""","德律","9","3","1","11.11%","95.56%","100.00%"
"=""3031""","佰鴻","9","4","3","33.00%","100.00%","89.00%"
"=""3032""","偉訓","9","3","2","22.00%","100.00%","55.00%"
"=""3033""","威健","7","3","1","14.29%","100.00%","100.00%"
"=""3034""","聯詠","8","3","1","12.50%","100.00%","100.00%"
"=""3035""","智原","9","3","2","22.22%","100.00%","100.00%"
"=""3036""","文曄","7","3","3","42.86%","98.90%","100.00%"
"=""3037""","欣興","9","3","1","11.00%","96.00%","100.00%"
"=""3038""","全台","9","3","3","33.00%","95.00%","44.00%"
"=""3040""","遠見","7","3","2","28.60%","100.00%","100.00%"
"=""3041""","揚智","5","3","1","20.00%","100.00%","60.00%"
"=""3042""","晶技","11","4","2","18.18%","96.97%","100.00%"
"=""3043""","科風","6","3","2","33.33%","77.77%","83.33%"
"=""3044""","健鼎","9","3","1","11.00%","100.00%","100.00%"
"=""3045""","台灣大","9","5","1","11.11%","100.00%","100.00%"
"=""3046""","建碁","7","3","1","14.29%","100.00%","100.00%"
"=""3047""","訊舟","11","4","0","0.00%","98.48%","100.00%"
"=""3048""","益登","9","3","1","11.00%","97.00%","100.00%"
"=""3049""","精金","7","3","1","14.29%","89.00%","100.00%"
"=""3050""","鈺德","7","3","2","28.57%","94.29%","100.00%"
"=""3051""","力特","12","4","2","16.00%","81.00%","0.00%"
"=""3052""","夆典","7","3","2","28.57%","96.43%","57.14%"
"=""3054""","立萬利","9","3","2","22.00%","95.00%","100.00%"
"=""3055""","蔚華科","7","3","4","57.00%","98.00%","100.00%"
"=""3056""","富華新","8","3","3","37.50%","96.88%","100.00%"
"=""3057""","喬鼎","6","4","0","0.00%","85.00%","50.00%"
"=""3058""","立德","8","2","1","12.50%","95.00%","100.00%"
"=""3059""","華晶科","7","3","3","42.86%","100.00%","57.14%"
"=""3060""","銘異","7","3","1","14.00%","86.00%","57.00%"
"=""3062""","建漢","6","4","2","33.33%","96.43%","100.00%"
"=""3090""","日電貿","10","3","2","20.00%","100.00%","100.00%"
"=""3092""","鴻碩","7","3","0","0.00%","99.40%","100.00%"
"=""3094""","聯傑","7","3","1","14.30%","100.00%","100.00%"
"=""3130""","一零四","7","3","1","14.28%","100.00%","100.00%"
"=""3135""","凌航","","","","","",""
"=""3138""","耀登","9","4","1","11.11%","98.48%","100.00%"
"=""3149""","正達","6","3","0","0.00%","88.57%","50.00%"
"=""3150""","鈺寶-創","","","","","",""
"=""3164""","景岳","9","3","0","0.00%","92.00%","33.33%"
"=""3167""","大量","9","3","0","0.00%","100.00%","100.00%"
"=""3168""","眾福科","","","","","",""
"=""3189""","景碩","9","3","1","11.11%","97.78%","100.00%"
"=""3209""","全科","7","3","0","0.00%","100.00%","100.00%"
"=""3229""","晟鈦","9","3","1","11.11%","100.00%","100.00%"
"=""3231""","緯創","9","5","1","11.11%","94.44%","100.00%"
"=""3257""","虹冠電","7","3","0","0.00%","100.00%","100.00%"
"=""3266""","昇陽","6","3","0","0.00%","100.00%","100.00%"
"=""3296""","勝德","8","3","3","37.50%","95.45%","100.00%"
"=""3305""","昇貿","9","4","1","11.00%","94.00%","100.00%"
"=""3308""","聯德","7","3","2","28.57%","100.00%","14.29%"
"=""3311""","閎暉","7","3","1","14.29%","91.07%","100.00%"
"=""3312""","弘憶股","7","3","1","14.29%","100.00%","100.00%"
"=""3321""","同泰","7","3","1","14.29%","93.00%","71.00%"
"=""3338""","泰碩","9","4","1","11.11%","100.00%","100.00%"
"=""3346""","麗清","9","3","2","22.20%","83.33%","66.67%"
"=""3356""","奇偶","7","3","2","28.57%","100.00%","71.42%"
"=""3376""","新日興","9","3","1","11.11%","100.00%","100.00%"
"=""3380""","明泰","7","3","2","28.57%","100.00%","100.00%"
"=""3406""","玉晶光","9","3","1","11.11%","100.00%","44.44%"
"=""3413""","京鼎","7","4","2","28.57%","93.87%","85.71%"
"=""3416""","融程電","9","3","1","11.00%","100.00%","100.00%"
"=""3419""","譁裕","10","3","1","10.00%","100.00%","100.00%"
"=""3432""","台端","7","3","2","28.57%","100.00%","100.00%"
"=""3437""","榮創","7","4","1","14.29%","92.86%","100.00%"
"=""3443""","創意","9","5","1","11.00%","98.00%","100.00%"
"=""3447""","展達","7","3","1","14.29%","95.24%","100.00%"
"=""3450""","聯鈞","7","3","1","14.29%","100.00%","100.00%"
"=""3481""","群創","9","5","1","11.11%","97.92%","100.00%"
"=""3494""","誠研","5","3","1","20.00%","92.73%","100.00%"
"=""3501""","維熹","7","3","2","29.00%","100.00%","57.00%"
"=""3504""","揚明光","7","3","2","29.00%","96.00%","100.00%"
"=""3515""","華擎","7","3","0","0.00%","90.48%","100.00%"
"=""3518""","柏騰","9","3","0","0.00%","85.71%","100.00%"
"=""3528""","安馳","7","3","0","0.00%","100.00%","100.00%"
"=""3530""","晶相光","5","3","1","20.00%","100.00%","100.00%"
"=""3532""","台勝科","10","3","1","10.00%","96.70%","100.00%"
"=""3533""","嘉澤","7","3","2","28.57%","92.86%","100.00%"
"=""3535""","晶彩科","9","4","0","0.00%","87.00%","100.00%"
"=""3543""","州巧","9","4","0","0.00%","100.00%","100.00%"
"=""3545""","敦泰","8","4","1","12.50%","97.00%","100.00%"
"=""3550""","聯穎","7","3","0","0.00%","100.00%","100.00%"
"=""3557""","嘉威","7","3","1","14.00%","98.00%","100.00%"
"=""3563""","牧德","9","3","0","0.00%","100.00%","100.00%"
"=""3576""","聯合再生","11","3","0","0.00%","96.97%","100.00%"
"=""3583""","辛耘","9","3","2","22.00%","0.00%","100.00%"
"=""3588""","通嘉","7","7","0","0.00%","98.08%","100.00%"
"=""3591""","艾笛森","9","4","2","22.00%","98.36%","100.00%"
"=""3592""","瑞鼎","7","3","0","0.00%","97.00%","100.00%"
"=""3593""","力銘","9","3","1","11.11%","90.48%","66.67%"
"=""3596""","智易","9","3","0","0.00%","94.44%","100.00%"
"=""3605""","宏致","7","3","1","14.28%","100.00%","100.00%"
"=""3607""","谷崧","9","3","0","0.00%","97.22%","100.00%"
"=""3617""","碩天","7","3","1","14.29%","94.64%","100.00%"
"=""3622""","洋華","9","3","2","22.22%","88.89%","88.89%"
"=""3645""","達邁","9","3","4","44.44%","97.62%","66.67%"
"=""3652""","精聯","9","3","1","11.11%","98.00%","100.00%"
"=""3653""","健策","11","3","1","9.09%","96.83%","36.36%"
"=""3661""","世芯-KY","7","3","0","0.00%","100.00%","100.00%"
"=""3665""","貿聯-KY","7","3","1","14.30%","95.70%","100.00%"
"=""3669""","圓展","7","3","0","0.00%","100.00%","100.00%"
"=""3673""","TPK-KY","9","3","0","0.00%","97.67%","100.00%"
"=""3679""","新至陞","9","3","2","22.00%","100.00%","100.00%"
"=""3686""","達能","5","3","1","20.00%","100.00%","100.00%"
"=""3694""","海華","7","3","1","14.00%","97.14%","100.00%"
"=""3701""","大眾控","7","3","0","0.00%","97.91%","100.00%"
"=""3702""","大聯大","11","4","1","9.09%","98.35%","100.00%"
"=""3703""","欣陸","7","3","3","42.86%","100.00%","100.00%"
"=""3704""","合勤控","9","3","1","11.11%","100.00%","100.00%"
"=""3705""","永信","9","3","1","11.00%","99.07%","100.00%"
"=""3706""","神達","10","3","0","0.00%","100.00%","100.00%"
"=""3708""","上緯投控","8","4","0","0.00%","100.00%","100.00%"
"=""3711""","日月光投控","13","3","1","7.69%","95.51%","100.00%"
"=""3712""","永崴投控","9","3","1","11.11%","96.83%","100.00%"
"=""3714""","富采","9","5","0","0.00%","98.41%","100.00%"
"=""3715""","定穎投控","5","0","0","0.00%","100.00%","100.00%"
"=""3716""","中化控股","","","","","",""
"=""3717""","聯嘉投控","","","","","",""
"=""4104""","佳醫","9","3","0","0.00%","98.41%","100.00%"
"=""4106""","雃博","9","5","1","11.00%","95.56%","100.00%"
"=""4108""","懷特","12","3","2","16.67%","91.67%","50.00%"
"=""4119""","旭富","7","3","1","14.28%","97.96%","100.00%"
"=""4133""","亞諾法","7","3","2","28.57%","85.71%","100.00%"
"=""4137""","麗豐-KY","7","3","4","57.00%","96.43%","100.00%"
"=""4142""","國光生","11","3","2","18.18%","89.39%","9.00%"
"=""4148""","全宇生技-KY","9","4","4","44.00%","100.00%","100.00%"
"=""4155""","訊映","9","4","3","33.00%","95.00%","100.00%"
"=""4164""","承業醫","7","3","0","0.00%","97.00%","100.00%"
"=""4190""","佐登-KY","9","3","1","11.00%","100.00%","100.00%"
"=""4306""","炎洲","5","3","0","0.00%","100.00%","40.00%"
"=""4414""","如興","8","3","2","25.00%","100.00%","87.50%"
"=""4426""","利勤","7","3","0","0.00%","81.00%","0.00%"
"=""4438""","廣越","7","3","0","0.00%","100.00%","14.29%"
"=""4439""","冠星-KY","7","3","0","0.00%","96.83%","100.00%"
"=""4440""","宜新實業","9","4","1","11.11%","100.00%","100.00%"
"=""4441""","振大環球","","","","","",""
"=""4526""","東台","12","3","2","16.67%","93.33%","100.00%"
"=""4532""","瑞智","8","2","0","0.00%","76.92%","87.50%"
"=""4536""","拓凱","10","4","1","10.00%","98.00%","100.00%"
"=""4540""","全球傳動","7","3","0","0.00%","100.00%","100.00%"
"=""4545""","銘鈺","7","3","0","0.00%","97.14%","100.00%"
"=""4551""","智伸科","8","3","1","12.50%","100.00%","100.00%"
"=""4552""","力達-KY","7","3","1","14.00%","86.67%","100.00%"
"=""4555""","氣立","7","3","0","0.00%","100.00%","100.00%"
"=""4557""","永新-KY","9","3","0","0.00%","100.00%","100.00%"
"=""4560""","強信-KY","7","4","1","14.29%","89.80%","100.00%"
"=""4562""","穎漢","9","4","0","0.00%","100.00%","100.00%"
"=""4564""","元翎","7","3","2","28.57%","97.14%","100.00%"
"=""4566""","時碩工業","7","4","2","28.57%","97.83%","100.00%"
"=""4569""","六方科-KY","","","","","",""
"=""4571""","鈞興-KY","7","3","0","0.00%","100.00%","100.00%"
"=""4572""","駐龍","7","3","2","28.57%","100.00%","100.00%"
"=""4576""","大銀微系統","9","3","1","11.11%","98.60%","100.00%"
"=""4581""","光隆精密-KY","9","3","2","22.22%","100.00%","100.00%"
"=""4583""","台灣精銳","7","3","1","14.29%","96.40%","100.00%"
"=""4585""","達明","","","","","",""
"=""4588""","玖鼎電力","","","","","",""
"=""4590""","富田-創","","","","","",""
"=""4720""","德淵","11","4","1","9.09%","95.00%","100.00%"
"=""4722""","國精化","9","3","1","11.00%","100.00%","33.00%"
"=""4736""","泰博","7","4","0","0.00%","100.00%","100.00%"
"=""4737""","華廣","9","3","3","33.33%","100.00%","66.67%"
"=""4739""","康普","9","3","0","0.00%","97.78%","100.00%"
"=""4746""","台耀","7","2","2","29.00%","96.00%","100.00%"
"=""4755""","三福化","9","3","0","0.00%","97.22%","100.00%"
"=""4763""","材料*-KY","7","3","0","0.00%","97.62%","100.00%"
"=""4764""","雙鍵","7","3","2","28.57%","100.00%","100.00%"
"=""4766""","南寶","7","3","0","0.00%","100.00%","100.00%"
"=""4770""","上品","9","3","1","11.11%","100.00%","100.00%"
"=""4771""","望隼","","","","","",""
"=""4807""","日成-KY","7","3","1","14.28%","97.62%","100.00%"
"=""4904""","遠傳","11","3","1","9.09%","97.73%","100.00%"
"=""4906""","正文","9","3","1","11.11%","97.53%","100.00%"
"=""4912""","聯德控股-KY","9","5","0","0.00%","93.00%","100.00%"
"=""4915""","致伸","8","4","1","12.50%","100.00%","100.00%"
"=""4916""","事欣科","7","3","3","43.00%","92.86%","100.00%"
"=""4919""","新唐","11","4","1","9.00%","95.00%","91.00%"
"=""4927""","泰鼎-KY","11","4","1","9.09%","100.00%","100.00%"
"=""4930""","燦星網","5","3","1","20.00%","100.00%","100.00%"
"=""4934""","太極","7","3","2","28.57%","93.88%","100.00%"
"=""4935""","茂林-KY","7","3","1","14.29%","100.00%","100.00%"
"=""4938""","和碩","12","3","1","8.33%","100.00%","100.00%"
"=""4942""","嘉彰","9","4","0","0.00%","100.00%","100.00%"
"=""4943""","康控-KY","7","3","0","0.00%","100.00%","100.00%"
"=""4949""","有成精密","","","","","",""
"=""4952""","凌通","7","3","1","14.29%","100.00%","100.00%"
"=""4956""","光鋐","9","3","0","0.00%","94.44%","66.67%"
"=""4958""","臻鼎-KY","7","3","0","0.00%","100.00%","100.00%"
"=""4960""","誠美材","8","3","0","0.00%","87.62%","100.00%"
"=""4961""","天鈺","7","3","2","28.57%","94.29%","100.00%"
"=""4967""","十銓","7","3","2","28.57%","100.00%","100.00%"
"=""4968""","立積","9","4","1","11.11%","98.00%","100.00%"
"=""4976""","佳凌","9","3","1","11.11%","97.78%","77.78%"
"=""4977""","眾達-KY","7","3","0","0.00%","100.00%","100.00%"
"=""4989""","榮科","7","3","2","28.57%","95.92%","100.00%"
"=""4994""","傳奇","7","4","1","14.29%","97.78%","100.00%"
"=""4999""","鑫禾","9","4","1","11.11%","98.41%","100.00%"
"=""5007""","三星","9","3","1","11.11%","97.78%","88.89%"
"=""5203""","訊連","7","3","1","14.30%","100.00%","100.00%"
"=""5215""","科嘉-KY","9","3","0","0.00%","98.15%","100.00%"
"=""5222""","全訊","10","4","1","10.00%","98.39%","100.00%"
"=""5225""","東科-KY","7","4","0","0.00%","100.00%","100.00%"
"=""5234""","達興材料","9","3","0","0.00%","97.00%","100.00%"
"=""5243""","乙盛-KY","7","3","0","0.00%","94.29%","100.00%"
"=""5244""","弘凱","9","4","0","0.00%","96.50%","88.89%"
"=""5258""","虹堡","7","3","0","0.00%","92.86%","100.00%"
"=""5269""","祥碩","7","3","0","0.00%","94.29%","100.00%"
"=""5283""","禾聯碩","9","3","0","0.00%","100.00%","100.00%"
"=""5284""","jpp-KY","7","3","1","14.29%","100.00%","100.00%"
"=""5285""","界霖","7","3","0","0.00%","100.00%","100.00%"
"=""5288""","豐祥-KY","7","3","1","14.29%","100.00%","100.00%"
"=""5292""","華懋","","","","","",""
"=""5306""","桂盟","7","3","1","14.29%","100.00%","100.00%"
"=""5388""","中磊","7","3","1","14.28%","97.62%","100.00%"
"=""5434""","崇越","9","3","2","22.20%","100.00%","55.50%"
"=""5469""","瀚宇博","11","3","1","9.09%","98.70%","100.00%"
"=""5471""","松翰","9","3","0","0.00%","98.00%","33.00%"
"=""5484""","慧友","7","3","1","14.29%","97.96%","85.71%"
"=""5515""","建國","13","3","0","0.00%","97.44%","100.00%"
"=""5519""","隆大","7","3","0","0.00%","91.43%","100.00%"
"=""5521""","工信","6","2","1","16.67%","97.00%","100.00%"
"=""5522""","遠雄","7","3","1","14.00%","82.00%","86.00%"
"=""5525""","順天","13","3","1","7.69%","90.00%","92.31%"
"=""5531""","鄉林","7","3","2","28.57%","95.92%","100.00%"
"=""5533""","皇鼎","9","3","2","22.22%","100.00%","33.33%"
"=""5534""","長虹","9","3","2","22.22%","88.89%","0.00%"
"=""5538""","東明-KY","7","3","1","14.29%","91.43%","42.86%"
"=""5546""","永固-KY","7","3","2","29.00%","94.00%","100.00%"
"=""5607""","遠雄港","7","3","0","0.00%","86.00%","100.00%"
"=""5608""","四維航","6","3","1","16.67%","100.00%","100.00%"
"=""5706""","鳳凰","9","3","1","11.00%","100.00%","100.00%"
"=""5871""","中租-KY","9","3","1","11.11%","98.99%","100.00%"
"=""5876""","上海商銀","9","3","0","0.00%","100.00%","100.00%"
"=""5880""","合庫金","15","4","3","20.00%","95.00%","100.00%"
"=""5906""","台南-KY","7","3","1","14.28%","98.41%","100.00%"
"=""5907""","大洋-KY","7","3","2","28.57%","91.67%","100.00%"
"=""6005""","群益證","11","3","1","9.09%","90.91%","100.00%"
"=""6024""","群益期","7","3","2","28.57%","98.21%","100.00%"
"=""6108""","競國","6","3","4","67.00%","100.00%","100.00%"
"=""6112""","邁達特","7","3","2","28.57%","100.00%","100.00%"
"=""6115""","鎰勝","9","3","2","22.22%","95.56%","100.00%"
"=""6116""","彩晶","7","3","4","57.00%","100.00%","100.00%"
"=""6117""","迎廣","7","3","3","43.00%","100.00%","100.00%"
"=""6120""","達運","7","3","1","14.29%","100.00%","100.00%"
"=""6128""","上福","9","3","2","22.20%","91.10%","100.00%"
"=""6133""","金橋","7","3","1","14.28%","92.86%","28.57%"
"=""6136""","富爾特","7","3","1","14.29%","100.00%","100.00%"
"=""6139""","亞翔","8","3","1","12.50%","85.00%","25.00%"
"=""6141""","柏承","7","3","0","0.00%","100.00%","100.00%"
"=""6142""","友勁","7","3","0","0.00%","98.00%","100.00%"
"=""6152""","百一","7","3","0","0.00%","100.00%","100.00%"
"=""6153""","嘉聯益","9","3","1","11.11%","94.52%","100.00%"
"=""6155""","鈞寶","11","3","1","9.09%","95.45%","100.00%"
"=""6164""","華興","11","4","1","9.09%","94.26%","100.00%"
"=""6165""","浪凡","7","3","4","57.14%","90.48%","12.00%"
"=""6166""","凌華","9","4","2","22.22%","93.33%","100.00%"
"=""6168""","宏齊","7","3","0","0.00%","97.62%","100.00%"
"=""6176""","瑞儀","10","4","1","10.00%","99.00%","100.00%"
"=""6177""","達麗","7","3","1","14.29%","100.00%","85.71%"
"=""6183""","關貿","15","3","2","13.33%","98.64%","100.00%"
"=""6184""","大豐電","9","3","1","11.11%","100.00%","0.00%"
"=""6189""","豐藝","9","4","3","33.00%","100.00%","100.00%"
"=""6191""","精成科","9","3","0","0.00%","96.83%","100.00%"
"=""6192""","巨路","8","3","2","25.00%","97.43%","12.50%"
"=""6196""","帆宣","9","3","2","22.22%","98.61%","100.00%"
"=""6197""","佳必琪","9","4","3","33.33%","100.00%","100.00%"
"=""6201""","亞弘電","7","3","1","14.29%","100.00%","100.00%"
"=""6202""","盛群","9","3","1","11.00%","100.00%","100.00%"
"=""6205""","詮欣","8","3","2","25.00%","100.00%","100.00%"
"=""6206""","飛捷","7","3","1","14.00%","90.00%","100.00%"
"=""6209""","今國光","9","3","1","11.00%","94.00%","44.00%"
"=""6213""","聯茂","7","4","2","28.57%","96.40%","100.00%"
"=""6214""","精誠","12","3","2","16.70%","97.70%","100.00%"
"=""6215""","和椿","7","3","0","0.00%","95.83%","71.43%"
"=""6216""","居易","9","3","1","11.11%","76.39%","100.00%"
"=""6224""","聚鼎","10","3","0","0.00%","96.00%","33.00%"
"=""6225""","天瀚","7","3","4","57.14%","84.61%","0.00%"
"=""6226""","光鼎","9","3","1","11.00%","96.11%","0.00%"
"=""6230""","尼得科超眾","12","4","0","0.00%","100.00%","100.00%"
"=""6235""","華孚","9","3","1","11.11%","98.15%","100.00%"
"=""6239""","力成","11","4","1","9.09%","98.18%","54.55%"
