"報告年度:2024","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸(t))-用水量(公噸(t))","資料邊界-資料邊界","用水密集度-用水密集度","用水密集度-單位","驗證標準-取得驗證"
"=""2204""","中華","167,662.0000","楊梅廠","3.2000","公噸/產品","ISO 46001"
"=""2206""","三陽工業","524,825.0000","新竹廠、新豐廠、宿舍","10.5400","公噸/百萬元營業額","N/A"
"=""2207""","和泰車","15,729.0000","和泰母公司","27.0000","公噸/人","N/A"
"=""2208""","台船","425,570.0000","台船公司高雄廠區、基隆廠區","25.1745","公噸/百萬元營業額","N/A"
"=""2211""","長榮鋼","62,202.0000","母公司","6.2143","公噸/百萬元營業額","N/A"
"=""2227""","裕日車","3,576,400.0000","本公司2024年用水量","0.0067","公噸/百萬元營業額","N/A"
"=""2228""","劍麟","25,908.0000","母公司(台北總部與南投廠)","13.0879","公噸/百萬元營業額","N/A"
"=""2231""","為升","23,135.0000","母公司","N/A","N/A","N/A"
"=""2233""","宇隆","26,443.0000","母公司","14.6743","公噸/百萬元營業額","N/A"
"=""2236""","百達-KY","N/A","N/A","N/A","N/A","N/A"
"=""2239""","英利-KY","56,649,260.0000","開曼英利工業股份有限公司、長春英利汽車工業股份有限公司及英利工業股份有限公司","8,950.0000","公噸/百萬元營業額","N/A"
"=""2241""","艾姆勒","29,634.0000","母公司","0.0461","公噸/產品","N/A"
"=""2243""","宏旭-KY","N/A","N/A","N/A","N/A","N/A"
"=""2247""","汎德永業","77,383.3300","合併財務報表全據點","1.3425","公噸/百萬元營業額","N/A"
"=""2248""","華勝-KY","56,618.0000","全公司","N/A","N/A","N/A"
"=""2250""","IKKA-KY","98,429.7000","母公司及合併報表子公司","N/A","N/A","N/A"
"=""2254""","巨鎧精密-創","1.9060","已完成母公司","N/A","N/A","N/A"
"=""2258""","鴻華先進-創","11,412.0000","合併財務報表之母子公司；包括台灣地區營運據點，及中國地區之杭州及福州辦公室。 另，台灣地區僅兩處排除，因苗栗三義（辦公室）實驗室及彰化整車實驗室皆為承租用地與業主共用，未架設獨立水錶，故無用水相關統計數據。","1.3400","公噸/百萬元營業額","確信準則3000號非屬歷史性財務資訊查核或核閱之確信案件"
"=""2301""","光寶科","2,017,668.0000","母公司及重要生產據點子公司","16.0900","公噸/百萬元營業額","ISO 14001"
"=""2302""","麗正","35,123.0000","母+子公司","548.7968","公噸/產品","N/A"
"=""2303""","聯電","27,563,062.0000","母公司、子公司和艦、聯芯、聯穎、USJC ","104.1600","公噸／wafer-m2","ISO 14001(母公司、子公司和艦、聯芯、聯穎、USJC)、ISO 14046(12A第二廠區)"
"=""2305""","全友","13,385.0000","合併報表之母子公司","18.6681","公噸/百萬元營業額","N/A"
"=""2308""","台達電","4,192,700.0000","全球營運據點 ","9.6600","公噸/百萬元營業額","ISO14001 "
"=""2312""","金寶","1,630,562.1100","合併財務報表之母子公司","9.9200","公噸/百萬元營業額","N/A"
"=""2313""","華通","11,759,100.0000","蘆竹廠、大園廠及惠州電腦、惠州精密、重慶廠、蘇州廠、泰國廠","177.1002","公噸/百萬元營業額","N/A"
"=""2314""","台揚","40,068.0000","台灣新竹廠","23.9930","公噸/百萬元營業額","N/A"
"=""2316""","楠梓電","1,273,449.0000","僅母公司","1.0600","公噸/產品","N/A"
"=""2317""","鴻海","82,690,387.2683","合併財務報表之母子公司","12,237.4050","公噸/百萬元營業額","N/A"
"=""2321""","東訊","20,271.0000","台灣自來水帳單資料","N/A","N/A","N/A"
"=""2323""","中環","333,000.0000","僅母公司","660.0000","公噸/員工數","N/A"
"=""2324""","仁寶","1,597,408.5900","個體財報邊界","1.7500","公噸/百萬元營業額","AA1000"
"=""2327""","國巨","1,235,885.0000","母公司","33.9629","公噸/百萬元營業額","N/A"
"=""2328""","廣宇","3,031.1449","母公司","0.3718","公噸/百萬元營業額","ISAE3000"
"=""2329""","華泰","1,248,478.0000","母公司","78.1077","公噸/百萬元營業額","ISO 46001"
"=""2330""","台積電","109,130,163.0000","台灣廠區及部分子公司 用水量：天然水 總取水量、總耗水量：天然水+再生水","161.0000","天然水用量公升/十二吋晶圓當量-光罩數","International Water Stewardship Standard V2.0"
"=""2331""","精英","935,436.0000","精英電腦臺灣總部、精英電腦(美國)股份有限公司、精英電腦(日本)股份有限公司、精英電腦(韓國)股份有限公司、興英數位科技(深圳)有限公司及精強科技股份有限公司","53.4666","公噸/百萬元營業額","N/A"
"=""2332""","友訊","10,970.0000","公司總部大樓","23.9500","員工人數","N/A"
"=""2337""","旺宏","4,456,582.0800","本公司(包括:總部、晶圓二廠、晶圓五廠及測試廠)","106.9756","公噸/百萬元營業額","經濟部發布之用水回收率查驗作業指引、用水計畫審核管理辦法及耗水費徵收辦法等政策之規範"
"=""2338""","光罩","283,811.1002","FAB1+FAB2+FAB3+FAB6","0.6254","公噸/百萬元營業額","N/A"
"=""2340""","台亞","1,381,996.0000","2024年度","64,740.0000","公噸/百萬元營業額","ISO 46001"
"=""2342""","茂矽","N/A","N/A","79.9396","公噸/產品","N/A"
"=""2344""","華邦電","4,564,136.0000","母公司","96.0000","公噸/百萬元營業額","ISO 46001"
"=""2345""","智邦","74,931.0000","母公司","0.6786","公噸/百萬元營業額","N/A"
"=""2347""","聯強","15,737.0000","聯強國際集團母公司及部分同地點涵蓋之子公司","17.0987","公噸/人","N/A"
"=""2348""","海悅","17.1243","母公司","N/A","N/A","N/A"
"=""2349""","錸德","N/A","N/A","N/A","N/A","N/A"
"=""2351""","順德","1,228,488.0000","母公司","151.1000","公噸/百萬元營業額","N/A"
"=""2352""","佳世達","379,656.0000","台灣、蘇州、越南","131.0000","公噸/百萬元營業額","N/A"
"=""2353""","宏碁","179,748.0000","包含合併財務報表之母子公司","0.6791","公噸/百萬元營業額","N/A"
"=""2354""","鴻準","885,595.0000","大陸主要營運據點(瀋陽、煙臺、太原、昆山、佛山、南寧)","11.7379","公噸/百萬元營業額","N/A"
"=""2355""","敬鵬","3,937.7192","已完成合併財務報表之母子公司","0.2408","公噸/百萬元營業額","N/A"
"=""2356""","英業達","1,165,000.0000","合併財務報表之母子公司 ","1.8026","公噸/百萬元營業額","N/A"
"=""2357""","華碩","206,563.0000","華碩全台營運據點","25.6000","公噸/員工人數","ISO 46001"
"=""2359""","所羅門","7,346.0000","母公司","2.0970","公噸/百萬元營業額","N/A"
"=""2360""","致茂","48,573.1000","總公司(含華亞廠)+新竹分公司+高雄分公司","3.8218","公噸/百萬元營業額","N/A"
"=""2362""","藍天","139.8900","台北總部、昆山工廠","0.0053","公噸/百萬元營業額","N/A"
"=""2363""","矽統","N/A","N/A","N/A","N/A","N/A"
"=""2364""","倫飛","7,695.0000","合併財報母子公司","6.1585","公噸/百萬元營業額","N/A"
"=""2365""","昆盈","7,437.0000","台北總公司及東莞廠","N/A","N/A","N/A"
"=""2367""","燿華","2,270,774.0000","母公司","0.1290","公噸/百萬元營業額","N/A"
"=""2368""","金像電","7,884,421.0000","合併財務報表之母子公司","0.2033","百萬公升/百萬營收","N/A"
"=""2369""","菱生","1,014,859.0000","菱生T1~T6廠","220.0543","公噸/百萬元營業額","N/A"
"=""2371""","大同","549,031.0000","總公司、大園廠、桃園電線電纜廠、桃園壹廠、電表中心、三峽廠","31.3812","公噸/百萬元營業額","N/A"
"=""2373""","震旦行","39,914.0000","僅母公司","12.0368","公噸/百萬元營業額","N/A"
"=""2374""","佳能","7,504.0000","佳能企業股份有限公司","12.7402","公噸/人","N/A"
"=""2375""","凱美","1,131.0000","凱美電機股份有限公司","N/A","N/A","N/A"
"=""2376""","技嘉","254,153.0000","技嘉科技營運總部、桃園南平廠、中國東莞及寧波廠","0.9600","公噸/百萬元營業額","N/A"
"=""2377""","微星","592,560.0000","微星科技股份有限公司中和廠(微星台北)、微星科技股份有限公司桃園廠(微星桃園)、恩斯邁電子(深圳)有限公司(恩斯邁電子)及微盟電子(昆山)有限公司(微盟電子)","2.9900","千公升/每百萬新台幣營收","N/A"
"=""2379""","瑞昱","181,590.0000","新竹一、二、三廠/台北、台南辦公室","0.0335","水量/人數","N/A"
"=""2380""","虹光","10,716.0000","僅母公司","300.0000","取水量/員工人數","N/A"
"=""2382""","廣達","756,614.2980","包含母公司；QSMC廣達上海製造城、QCMC廣達重慶製造城、QMB Co, Ltd.、QMH Computer CO. Ltd.、QCG Computer GMBH、Quanta Mexico Manufacture Center、Quanta Manufacturing Fremont、Quanta Manufacturing Nashville","0.5363","公噸/百萬元營業額","N/A"
"=""2383""","台光電","939,511.0000","母公司: 台光電子材料股份有限公司 子公司: 台光電子材料(昆山)股份有限公司、中山台光電子材料有限公司、台光電子材料(黃石)有限公司","0.0098","【總耗水量總計 (百萬公升/年) / 合併營收 (新台幣百萬元)】","N/A"
"=""2385""","群光","3,266.5000","台北總公司、清溪廠、茂瑞廠、吳江廠、重慶廠、泰國廠","0.0529","公噸/百萬元營業額","N/A"
"=""2387""","精元","5,020.3500","台灣總公司","0.3800","公噸/百萬元營業額","N/A"
"=""2388""","威盛","15,470.0000","威盛電子台北總公司","0.9723","公噸/百萬元營業額","N/A"
"=""2390""","云辰","N/A","N/A","N/A","N/A","N/A"
"=""2392""","正崴","2,810,000.0000","正崴主要生產廠區","22.9142","公噸/百萬元營業額","N/A"
"=""2393""","億光","700,447.0000","樹林總部、苗栗苑裡、苗栗銅鑼、蘇州吳江、廣東中山","N/A","N/A","N/A"
"=""2395""","研華","111,198.0000","2024年度","31.8254","人","N/A"
"=""2397""","友通","20,074.5300","地理範疇：包含汐止總部、桃園工廠、新店研發辦公室等擁有營運控制權範圍。 汐止總部：新北市汐止區新台五路一段 97 號 10 樓 桃園工廠：桃園市龜山區山鶯路 157 號 1、3 樓  新店研發：新北市新店區寶橋路 233-2 號 10 樓","6.2305","公噸/百萬元營業額","N/A"
"=""2399""","映泰","6,198.4000","母公司","0.0473","人均用水(百萬公升/人)","N/A"
"=""2401""","凌陽","30,191.0000","母公司(新竹科學園區創新一路19號、19-1號及新竹科學園區研發五路6號)","18.4100","公噸/百萬元營業額","N/A"
"=""2402""","毅嘉","34,807.0000","母公司","5.5236","公噸/百萬元營業額","N/A"
"=""2404""","漢唐","16,772.0000","已完成母公司 ","0.5033","公噸/百萬元營業額","N/A"
"=""2405""","輔信","4,770.0000","母公司","N/A","N/A","N/A"
"=""2406""","國碩","65,080.0000","國碩二廠+新豐廠","149.5777","公噸/百萬元營業額","N/A"
"=""2408""","南亞科","9,545,000.0000","母公司","4.0200","公噸/千顆晶粒","AWS"
"=""2409""","友達","17,530,000.0000","製程總用水量","0.3000","公噸/產品","ISO 46001"
"=""2412""","中華電","2,160,745.2460","數據涵蓋範疇為100%營運據點","9.3958","公噸/百萬元營業額","ISO 46001"
"=""2413""","環科","19,622.0000","台中市南屯區工業27路2號及3號","6.0730","公噸/百萬元營業額","N/A"
"=""2414""","精技","5,661.0000","僅母公司(不含無獨立水表之中壢、台中、台南、高雄分公司)","0.2671","公噸/百萬元營業額","N/A"
"=""2415""","錩新","326,870.0000","總公司+子公司-CX Technology (VN) Corporation+子公司Merrimack River Precision Industrial  (HD) Co.,Ltd.","142.9300","公噸/百萬元營業額","N/A"
"=""2417""","圓剛","N/A","N/A","0.0034","公噸/百萬元營業額","N/A"
"=""2419""","仲琦","26,035.0000","母公司及越南、蘇州子公司","2.8647","公噸/百萬元營業額","N/A"
"=""2420""","新巨","33,506.0000","台灣新店總部+台灣五股廠+台灣樹林廠+中國新豪廠 ","14.9798","公噸/百萬元營業額","N/A"
"=""2421""","建準","265,044.0000","建準電機工業股份有限公司(高雄總部及工廠、台北辦事處) 昆山廣興電子有限公司 北海建準電子有限公司 北海立準電子有限公司 Sunon Electronics Philippines Corp.  Sunon Inc.  Sunon SAS ","18.1240","公噸/百萬元營業額","N/A"
"=""2423""","固緯","14,175.0000","本公司設置於工業區內非生態保育之相關區域，取用水均來自自來水公司，自來水公司供應2024 年取水量為14.18 百萬公升，取水量用途主要用於生活用水，本年度並無發生因本公司營運取水而受顯著影響的水源。","N/A","N/A","N/A"
"=""2424""","隴華","842.9000","隴華母公司","N/A","N/A","N/A"
"=""2425""","承啟","N/A","N/A","N/A","N/A","N/A"
"=""2426""","鼎元","734,620.0000","僅母公司","312.2550","公噸/百萬元營業額","N/A"
"=""2427""","三商電","6,616.0000","全公司","1.3657","公噸/百萬元營業額","N/A"
"=""2428""","興勤","435,922.0000","本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司","33.3660","公噸/百萬PCS產品","N/A"
"=""2429""","銘旺科","N/A","N/A","N/A","N/A","N/A"
"=""2430""","燦坤","293,309.0000","全台門市、4 區物流中心及印尼物業","N/A","N/A","N/A"
"=""2431""","聯昌","N/A","N/A","N/A","N/A","N/A"
"=""2432""","倚天酷碁-創","719.0000","包含合併財務報表之母子公司","0.2760","公噸/百萬元營業額","N/A"
"=""2433""","互盛電","3,823.0000","僅母公司","2.7300","公噸/百萬元營業額","N/A"
"=""2434""","統懋","2,594.0000","母公司","94.6957","公噸/百萬元營業額","N/A"
"=""2436""","偉詮電","8,368.9402","已完成合併財務報表之母子公司","2.7044","公噸/百萬元營業額","N/A"
"=""2438""","翔耀","N/A","N/A","N/A","N/A","N/A"
"=""2439""","美律","261,010.0000","台灣總部、MECL、METC、MEVN、MSCS、MESG、MEST、MECA、MENA、SENM、MEMP、FUXM、ASCX。","11.6100","全集團全年總工時","AA1000 第二類高度保證"
"=""2440""","太空梭","156.6890","涵蓋合併財務報表之兩家子公司用水量；因總公司位於竹北市「昌益科技產發園區」，整個園區無各別廠戶水錶，水費含在管理費用，故無總公司用水量。","0.0393","公噸/百萬元營業額","N/A"
"=""2441""","超豐","1,127,116.0000","母公司","0.0741","公噸/百萬元營業額","N/A"
"=""2442""","新美齊","14,023.0000","113年新美齊新建工程建案","N/A","N/A","N/A"
"=""2444""","兆勁","N/A","N/A","N/A","N/A","N/A"
"=""2449""","京元電子","3,235,436.0000","全集團","87.4437","公噸/百萬元營業額","ISO 46001"
"=""2450""","神腦","34,014.7140","神腦全據點(含辦公室、特約門市、維修門市及倉儲中心)","1.1061","公噸/百萬元營業額","N/A"
"=""2451""","創見","28,110.0000","已完成母公司","2.7900","公噸/百萬元營業額","N/A"
"=""2453""","凌群","13,679.2719","全公司","2.0387","公噸/百萬元營業額","N/A"
"=""2454""","聯發科","525,000.0000","資料範疇：包含竹科/竹北/臺北/臺南辦公室","1.8721","公噸/百萬元營業額","N/A"
"=""2455""","全新","80,915.0000","平鎮廠及平鎮二廠","24.9661","公噸/百萬元營業額","N/A"
"=""2457""","飛宏","266,230.0000","飛宏科技(股)公司(PHT)/飛宏(東莞)電子有限公司(PHC)/東莞達宏電子有限公司(PHP)/越南飛宏有限公司(PHV)/馳諾瓦科技(股)公司(ZTM)/馳諾瓦科技(東莞)有限公司(ZCM)","24.4300","公噸/百萬元營業額","N/A"
"=""2458""","義隆","17,959.0000","義隆電子(新竹)、義晶、義碩 ","28.9200","公噸/人-年 ","N/A"
"=""2459""","敦吉","103,600.0000","母公司：敦吉科技股份有限公司。 子公司：敦吉檢測科技股份有限公司、信華科技(廈門)有限公司。","N/A","N/A","N/A"
"=""2460""","建通","N/A","N/A","N/A","N/A","N/A"
"=""2461""","光群雷","22,868.0000","母公司","13.6427","公噸/百萬元營業額","N/A"
"=""2462""","良得電","1,078.3200","範疇三","0.2646","公噸/百萬元營業額","N/A"
"=""2464""","盟立","50,269.0000","母公司","7.9932","公噸/百萬元營業額","N/A"
"=""2466""","冠西電","10,602.4400","母公司總公司、母公司宜蘭廠","20.5479","公噸/百萬元營業額","N/A"
"=""2467""","志聖","15,729.7000","各廠區自來水費帳單","N/A","N/A","N/A"
"=""2468""","華經","1,567.0000","已完成母公司","0.6977","公噸/百萬元營業額","N/A"
"=""2471""","資通","8,247.0000","包含合併財務報表之母子公司","N/A","N/A","N/A"
"=""2472""","立隆電","188,078.0000","立隆電子、立隆(蘇州)、立隆(惠州)、立隆(蘇州)科技","20.5957","公噸/百萬元營業額","N/A"
"=""2474""","可成","6,433,171.0000","母公司+重要營運據點(宿遷廠)","355.7300","公噸/百萬元營業額","ISO 14001"
"=""2476""","鉅祥","56,507.1000","鉅祥企業股份有限公司「新屋廠」桃園市新屋區九洲路1號、「新屋廠廠外宿舍」桃園市新屋區校前路143巷35,37號","34.6068","公噸/百萬元營業額","N/A"
"=""2477""","美隆電","1.6200","桃園市桃園區幸福路99號","0.0006","公噸/百萬元營業額","N/A"
"=""2478""","大毅","305.9080","2024全年度台灣廠區取水量統計","0.0016","公噸/產品","N/A"
"=""2480""","敦陽科","1,515.0000","新竹總公司","0.7907","公噸/百萬元營業額","N/A"
"=""2481""","強茂","343,572.0000","岡山廠","39.7000","公噸/百萬元營業額","N/A"
"=""2482""","連宇","4,446.0000","母公司","N/A","N/A","N/A"
"=""2483""","百容","44,181.0000","僅母公司","36.4607","公噸/百萬元營業額","N/A"
"=""2484""","希華","76,522.0000","母公司","38.1466","公噸/百萬元營業額","N/A"
"=""2485""","兆赫","47,569.0000","母公司(台北&新竹&嘉義)","14.3334","公噸/百萬元營業額","N/A"
"=""2486""","一詮","212,628.0000","母公司20240101~20241231","81.9713","公噸/百萬元營業額","N/A"
"=""2488""","漢平","6,220.0000","漢平電子台灣總部","0.0020","公噸/百萬元營業額","N/A"
"=""2489""","瑞軒","170,613,000.0000","母公司與部分合併報表子公司","0.0073","公噸/百萬元營業額","N/A"
"=""2491""","吉祥全","1,033.0000","統計資料涵蓋母子公司廠區","5.1400","公噸/百萬元營業額","N/A"
"=""2492""","華新科","N/A","N/A","0.0586","公噸/百萬元營業額","N/A"
"=""2493""","揚博","15,269.0000","合併報表內母子公司","4.1741","公噸/百萬元營業額","N/A"
"=""2495""","普安","11,200.0000","母公司","N/A","N/A","N/A"
"=""2496""","卓越","13,621.0000","本公司及重要子公司（陳立教育事業股份有限公司）","16.2963","公噸/百萬元營業額","N/A"
"=""2497""","怡利電","24,648.0000","僅母公司","11.2566","公噸/百萬元營業額","N/A"
"=""2498""","宏達電","84,588.0000","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","42.6243","公噸/平均每人/年","AA1000"
"=""2501""","國建","1,573.7266","僅母公司","0.1203","公噸/百萬元營業額","N/A"
"=""2504""","國產","180,540.0000","總公司、汐止廠、台中廠、台南廠","N/A","N/A","N/A"
"=""2505""","國揚","1,180.0000","台北總部辦公室及高雄辦事處。","N/A","N/A","N/A"
"=""2506""","太設","N/A","N/A","N/A","N/A","N/A"
"=""2509""","全坤建","1,011.0000","台北辦公室","0.8579","公噸/百萬元營業額","N/A"
"=""2511""","太子","276,895.0000","母公司","N/A","N/A","N/A"
"=""2514""","龍邦","1,368.0000","僅母公司","1.0846","公噸/百萬元營業額","N/A"
"=""2515""","中工","269,072.0000","母公司","11.8173","公噸/百萬元營業額","N/A"
"=""2516""","新建","88,356.0000","公司總部及全國各專案工程施工單位均列入統計範圍。","9.1822","公噸/百萬元營業額","N/A"
"=""2520""","冠德","1,841.1258","1841.1258","17.8750","ETC商業檢驗中心 ","溫盤14064的驗證"
"=""2524""","京城","323.0000","京城建設股份有限公司總部","0.0357","公噸/百萬元營業額","N/A"
"=""2527""","宏璟","86,285.0000","包含合併財報之境內母子公司 ","11.8768","公噸/百萬元營業額","N/A"
"=""2528""","皇普","1,125.0000","本公司","N/A","N/A","N/A"
"=""2530""","華建","19,682.8872","大華建設台北及台中辦公室、華建開發辦公室、工地區域","3.2293","公噸/百萬元營業額","確信準則3000號"
"=""2534""","宏盛","N/A","N/A","N/A","N/A","N/A"
"=""2535""","達欣工","95,867.0000","總部大樓及工地","6.5260","公噸/百萬元營業額","N/A"
"=""2536""","宏普","365.0000","台北市大安區敦化南路二段71號21樓","0.1490","公噸/百萬元營業額","N/A"
"=""2537""","聯上發","N/A","N/A","N/A","N/A","N/A"
"=""2538""","基泰","N/A","N/A","N/A","N/A","N/A"
"=""2539""","櫻花建","49,822.0000","本公司","0.0820","樓地板面積","N/A"
"=""2540""","愛山林","3,727.0000","台北辦公室","N/A","N/A","N/A"
"=""2542""","興富發","2,697.0000","母公司","0.1081","公噸/百萬元營業額","N/A"
"=""2543""","皇昌","147,555.0000","皇昌營造總部據點及各施工案場","11.8699","公噸/百萬元營業額","N/A"
"=""2545""","皇翔","N/A","N/A","N/A","N/A","N/A"
"=""2546""","根基","110,159.6149","公司總部及2024年全國在建工地自來水用量","7.7391","公噸/百萬元營業額","N/A"
"=""2547""","日勝生","1,702.0000","母公司","14.2000","公噸/百萬元營業額","N/A"
"=""2548""","華固","932.0000","總公司7樓辦公區域","13.1300","公噸/公司內業人數","N/A"
"=""2597""","潤弘","100,247.0000","(1) 台北總公司辦公室：台北市中山區八德路二段10樓、12樓(潤弘精密工程事業股份有限公司及潤陽營造股份有限公司) (2) 楊梅預鑄廠：桃園市楊梅區泰圳路1442號 (3)工地","5.0600","立方公尺/百萬營收","N/A"
"=""2601""","益航","1,061,710.0000","益航+大洋商業集團","218.9093","公噸/百萬元營業額","N/A"
"=""2603""","長榮","450,457.1738","已完成合併財務報表之母子公司","0.9717","公噸/百萬元營業額","N/A"
"=""2605""","新興","29,097.0000","已完成母公司及部分子公司之盤查 ","409.8200","公噸/百萬元營業額","N/A"
"=""2606""","裕民","1.3169","船舶艙底水及排泄汙水","0.0000","公噸/千元營業額","ISO 14001"
"=""2607""","榮運","76,164.0000","長榮國際儲運股份有限公司營運場址","N/A","N/A","N/A"
"=""2608""","嘉里大榮","140,730.0000","母公司全組織","14.1400","公噸/百萬元營業額","N/A"
"=""2609""","陽明","306,793.0000","母公司陸地據點含貨櫃場及營運船舶","1.3776","公噸/百萬元營業額","N/A"
"=""2610""","華航","124,017.0000","華航園區、修護廠區、松山園區、台北分公司","0.7079","公噸/百萬元營業額","ISAE 3000"
"=""2611""","志信","0.6290","已完成母公司。","N/A","N/A","N/A"
"=""2612""","中航","11,609.0000","本公司統計數據涵蓋海運、陸運、倉儲物流及商用車等合併公司","N/A","N/A","N/A"
"=""2613""","中櫃","22,110.0000","中櫃公司之五堵、台中站、臺運實業。","6.7300","公噸/百萬元營業額","N/A"
"=""2614""","東森","23,204.0000","已完成母公司","14.9718","公噸/百萬元營業額","N/A"
"=""2615""","萬海","282,330.0000","合併財務報表之母子公司 ","1.7400","公噸/百萬元營業額","N/A"
"=""2616""","山隆","124.1166","母公司","0.0114","公噸/百萬元營業額","N/A"
"=""2617""","台航","1,500.0000","母公司據點","0.3409","公噸/百萬元營業額","N/A"
"=""2618""","長榮航","158.5900","僅母公司","0.7300","自來水度數/樓地板面積(m2)","N/A"
"=""2630""","亞航","48,454.0000","松山廠、台中廠、台南廠(含歸仁場站)、屏東廠、空勤外站(高雄、花蓮、台東機場)、停機線維修(桃園、台中、台南、高雄機場)","9.3179","公噸/百萬元營業額","N/A"
"=""2633""","台灣高鐵","743,719.0000","基地及車站","0.0095","度/旅次","N/A"
"=""2634""","漢翔","1,499,363.0000","母公司(台中廠區、沙鹿廠區、岡山廠區)","38.2000","公噸/百萬元營業額","N/A"
"=""2636""","台驊控股","N/A","N/A","N/A","N/A","N/A"
"=""2637""","慧洋-KY","1,809.0000","母公司總部辦公大樓","11.1667","公噸/員工人數","N/A"
"=""2642""","宅配通","62,607.0000","已完成合併財務報表之母子公司","N/A","N/A","N/A"
"=""2645""","長榮航太","231,800.0000","長榮航太母公司(不包含松山駐點維修站)","0.0080","百萬公升/百萬元營收","N/A"
"=""2646""","星宇航空","133,680.0000","2024年統計範圍星宇航空全球營運據點，包含臺灣新增之辦公室據點，以及海外10處分公司及其營運據點。","0.0040","百萬公升/百萬元營業額","N/A"
"=""2701""","萬企","57,700.0000","以萬華企業為主體","198.9700","公噸/百萬元營業額","N/A"
"=""2702""","華園","11,667.0000","華園飯店股份有限公司（華園飯店）及華園開發股份有限公司","N/A","N/A","N/A"
"=""2704""","國賓","135,035.0000","台北館、新竹館","103.7135","公噸/百萬元營業額","N/A"
"=""2705""","六福","1,004,950.0000","母公司","432.3327","公噸/百萬元營業額","N/A"
"=""2706""","第一店","17,110.0000","本公司以下營運據點：第一華僑大飯店股份有限公司","48.0780","公噸/百萬元營業額","N/A"
"=""2707""","晶華","931,389.0000","母公司+子公司","165.6392","公噸/百萬元營業額","N/A"
"=""2712""","遠雄來","150,399.2777","母公司","423.6599","公噸/百萬元營業額","N/A"
"=""2722""","夏都","208,064.0000","包含合併財務報表之母子公司","329.5035","公噸/百萬元營業額","N/A"
"=""2723""","美食-KY","140.5600","同永續報告書","N/A","N/A","N/A"
"=""2727""","王品","2,252,180.0000","合併財務報表之台灣地區公司","125.1281","公噸/百萬元營業額","確信準則3000號"
"=""2731""","雄獅","21,688.0000","母公司。","0.7991","公噸/百萬元營業額","N/A"
"=""2739""","寒舍","878,362.0000","母公司","174.6000","公噸/百萬元營業額","N/A"
"=""2748""","雲品","348,122.0000","總管理處、君品酒店、雲品溫泉酒店、頤品大飯店。","142.4600","公噸/百萬元營業額","N/A"
"=""2753""","八方雲集","317,359.9294","水資源統計涵蓋據點包含台灣地區的各倉儲、廠區、辦公室及直營門市。","6.3949","公噸/產品","N/A"
"=""2762""","世界健身-KY","2,804,744.0000","母公司暨子公司至2024年12月31日止最後一間開幕會所：土城海山。","285.7610","公噸/百萬元營業額","N/A"
"=""2801""","彰銀","134,728.3341","國內、外及子公司全數營業據點","3.2217","公噸/百萬元營業額","ISO 46001"
"=""2812""","台中銀","55,840.0000","母公司全行各單位","N/A","N/A","N/A"
"=""2816""","旺旺保","13.9920","總公司及分公司及其所轄單位","11.9000","公噸/服務","N/A"
"=""2820""","華票","2,395.0000","本公司所屬行業別為票券金融業，數據邊界範圍為總公司及5 間分公司營業據點，涵蓋範圍包括所使用辦公樓層，盤查涵蓋範圍為100%。","1.0700","公噸/百萬元營業額","N/A"
"=""2832""","台產","12,609.0000","總分公司","1.7178","公噸/百萬元營業額","環保署飲用水水質標準"
"=""2834""","臺企銀","117,856.6000","合併財務報表母子公司","3.4550","公噸/百萬元營業額","ISO 14064-1"
"=""2836""","高雄銀","23.2265","高雄銀行全行據點","0.0053","公噸/百萬元營業額","N/A"
"=""2838""","聯邦銀","81,444.9544","已完成合併財務報表之母子公司","4.1078","公噸/百萬元營業額","N/A"
"=""2845""","遠東銀","66,231.0000","已完成合併財務報表之母子公司","24.9900","人均","N/A"
"=""2849""","安泰銀","40,490.0000","已完成母公司(安泰商業銀行股份有限公司53個據點)","7.3038","公噸/百萬元營業額","ISAE3410"
"=""2850""","新產","6,473.6630","總公司+新竹分公司","0.8372","公噸/百萬元營業額","N/A"
"=""2851""","中再保","3,385.0000","已完成母公司","0.1479","公噸/百萬元營業額","N/A"
"=""2852""","第一保","7,270.0000","總公司","8.6137","公噸/員工人數(人)","N/A"
"=""2855""","統一證","34,668.0000","總公司及分公司","2.8830","公噸/百萬元營業額","ISO 14064-3"
"=""2867""","三商壽","8.1352","全公司","0.5945","公噸/百萬元營業額","N/A"
"=""2880""","華南金","288,116.0000","已完成合併財務報表之母子公司","24.9106","公噸/人","ISO 46001"
"=""2881""","富邦金","554,285.2345","富邦金控、富邦人壽、台北富邦銀行、富邦產險、富邦證券、富邦銀行（香港）、富邦證券投資信託、富邦華一銀行、富邦期貨、富邦育樂、富邦運動場館、北富銀創投、富邦證券投資顧問、富邦私募股權、富邦財產保險（廈門）、富邦綜合保險代理人、富邦金控創業投資、富邦資產管理、富邦現代生命保險、富邦基金管理（香港）。","13.2649","公噸/員工人數","N/A"
